{'短评内容': '酒店还可以吧 房间有点冷空调比较老 总体来说还可以的', '短评打分': 5}
{'短评内容': '环境还不错~~~服务态度不错，就是这个空调不太管，屋里有点冷，水温时热时冷~~~', '短评打分': 5}
{'短评内容': '太棒了很方便又实惠以后出差就选择它了太舒服了', '短评打分': 3}
{'短评内容': '温馨舒适房~不错···性价比很高~就是没有窗户有点别扭~', '短评打分': 5}
{'短评内容': '因为是特价房，通风不太好，房间有点异味，不过问题不大，打开换风机就行了，主要问题在于这个房间是有窗户的，但是窗户朝向正好是楼道口，睡觉的床正好面对那个窗户，不关灯和电视的时候感觉不到，可是一旦关上了楼道里的灯光还是会漏一些到床上，对于睡眠好的没什么问题，不过如果睡眠不好的话最好不要选特价房哦，很容易睡不着的。', '短评打分': 5}
{'短评内容': '服务很好，一起去的朋友很满意，位置也不错。', '短评打分': 5}
{'短评内容': '很一般的酒店，房间硬件比较齐全，服务挺好的，卫生条件不错，干净整洁，其他都比较一般化', '短评打分': 3}
{'短评内容': '整体其实还可以。但是电视只有8个台。特价房没窗子。。', '短评打分': 5}
{'短评内容': '99的温馨特价房~除了没有窗户，其他都很好··', '短评打分': 5}
{'短评内容': '房屋很大,很舒适！交通也很方便，去汽车站很近。', '短评打分': 5}
{'短评内容': '电视是坏的，淋浴的水也不热，而且房间里很潮，有股发霉的味道。', '短评打分': 5}
{'短评内容': '性价比很高，离着商业界也很近，很方便！！服务也很好，下次还来住', '短评打分': 5}
{'短评内容': '价格合理  卫生环境也不错             值得推荐', '短评打分': 5}
{'短评内容': '就是没有窗户,不过是特价房,被子很舒服的.', '短评打分': 5}
{'短评内容': '位置不错，环境还好，服务到位。就是特价房因无窗，室内有异味。感觉被子有些潮。再者，我在网上订的双床，却说是大床房。让我无语。只好将就着住。', '短评打分': 3}
{'短评内容': '服务不错,地理位置不错,就是特价房有些异味,原在网上订的是双床,实际入住的却是大床房.', '短评打分': 5}
{'短评内容': '这个酒店很干净 价钱也好 就是水有些小', '短评打分': 5}
{'短评内容': '环境太差，后面在建楼房，住前面房间，结果晚九点多回去，有大吊车在楼顶施工，一直到很晚；卫生也太差，房间打扫也不干净，前台服务也较差，特别是刚入住的时候是个小伙子接待，服务太差了，各方面条件比锦江之星差多了，下次不会再去住了', '短评打分': 1}
{'短评内容': '房间宽敞明亮，服务也还不错。欠缺的是：房间有一点下水味道，餐厅饭菜口味一般。', '短评打分': 5}
{'短评内容': '杂音太大。热水不热。杂音太大。热水不热。', '短评打分': 3}
{'短评内容': '价格适中，装修别致、居家、现代，给人亲切感。。服务质量高，性价比高。。', '短评打分': 3}
{'短评内容': '装饰居家现代，空间大，服务质量高，价位不高，是众宾馆比较中算是性价比很高理想住处。。', '短评打分': 5}
{'短评内容': '不错，就是我住的那间房那天下水道堵了，水都下不去，我打电话告诉前台MM，她说马上叫人来修，不过我当时不方便，就没让来，服务态度不错，赞一个', '短评打分': 5}
{'短评内容': '半夜里被啪啪的声音吵醒，关了厕所的门，关了饮水机还是没用，后来关了空调才好，但是却被热坏了。', '短评打分': 3}
{'短评内容': '卫生间漏水！房间的色调太暗！感觉就像住进了地下室！', '短评打分': 1}
{'短评内容': '住的是温馨房，卫生间设施一般，宽带断断续续，噪音大，不过服务还行，有问题能及时解决', '短评打分': 5}
{'短评内容': '卫生间有异味。  长时间留在房间内的，无人通风的', '短评打分': 3}
{'短评内容': '房间大！干净是出行的好住所,晚上还有电脑上网！就是早餐不免费！希望酒店能弄点抽屉放东西！', '短评打分': 5}
{'短评内容': '服务热情，设施尚可。性价比不错。', '短评打分': 5}
{'短评内容': '性价比较好， 值得一住。  安静        交通便捷', '短评打分': 5}
{'短评内容': '+环境、卫生调件一般', '短评打分': 5}
{'短评内容': '很好，就是晚上洗澡的热水不太热…', '短评打分': 5}
{'短评内容': '还好吧，卫生还不错，就是隔音不大好。另外，退房有点慢。', '短评打分': 5}
{'短评内容': '+非常满意。我订的特价房没了，还帮我免费升级订了一间更好的。', '短评打分': 5}
{'短评内容': '酒店位置很好找，服务态度也可以，只是隔音效果的确不怎样', '短评打分': 3}
{'短评内容': '除了隔音效果差些 其他都可以，卫生间环境不是很好，有异味', '短评打分': 5}
{'短评内容': '为什么我五号在邯郸的住宿酒店都已经核对了，而三号和四号在聊城怡家的没有核对呢？？纳闷中~~~', '短评打分': 3}
{'短评内容': '为了积分我还是毅然决然的续了一天，某些小地方偶尔感觉不满，这个价位一般都是这样的。还可以吧。', '短评打分': 3}
{'短评内容': '喷头水有异味，我怀疑是过滤的地下水，另外房间有一只蚊子，其他的还可以，服务挺好的。', '短评打分': 1}
{'短评内容': '性价比不错，特价房房间有点潮', '短评打分': 5}
{'短评内容': '酒店周围很多饭店，不错。所处的位置也不错。就是不太喜欢房间的格局，尤其是洗手间。枕头有点不舒服额。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错，值得一住', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '很好的店，推荐', '短评打分': 3}
{'短评内容': '很不错的店，下次还回来', '短评打分': 3}
{'短评内容': '\r\n不错，就是特价房潮湿', '短评打分': 3}
{'短评内容': '就是特价房有点潮湿，其他都好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '99元舒适房不推荐住,噪音太大.', '短评打分': 1}
{'短评内容': '整体我认为很一般，在聊城的酒店价格都很便宜，这家感觉还是有点高喽', '短评打分': 3}
{'短评内容': '性价比较高', '短评打分': 1}
{'短评内容': '酒店整体环境条件还是不错的；很干净；交通也很方便；价格也是很适中的；下次有机会预定,还是选择预定的；', '短评打分': 5}
{'短评内容': '设施对不住这价格，提前在网上预订了房间可去了却告诉我说没有了，服务有待改进。', '短评打分': 1}
{'短评内容': '服务越来越不行了，提前预定了房间结果到了以后居然告诉我没有我要的房间了，给我调了个房间还要按照原价给我，真是很气人。\r\n', '短评打分': 1}
{'短评内容': '条件一般、价格一般、宽带不好。', '短评打分': 5}
{'短评内容': '总体感觉还不错，有99元的经济房，就是有的房间隔音效果不好。呵呵，GF的声音比较大，隔音不好不能尽兴啊。', '短评打分': 5}
{'短评内容': '新开业不久的酒店，环境很舒适，干净，服务也很热情。', '短评打分': 3}
{'短评内容': '硬件设施可以再完善一下，服务环境方面还都不错，就是价格稍高一些', '短评打分': 5}
