{'短评内容': '装修太老了，味道很重', '短评打分': 5}
{'短评内容': '一般般环境', '短评打分': 5}
{'短评内容': '住这个酒店附近有吃喝玩乐.Muse也在旁边很近,出门右转走过去3分钟就到了.位置还是可以的.不过酒店门口那儿最近在修高架,有点点吵.其他硬件配套设置各方面还可以.不过要提醒一下.那里3楼的KTV最好别的去.里面的洋酒喝了不对劲.', '短评打分': 5}
{'短评内容': '总体来说是家很不错的酒店。因为是跟团旅游，刚开始的时候找不到位置，就打了酒店前台的电话问询，前台人员说了在我的位置往西，本来刚到就东西南北不会分，有点恼火。还好到酒店后感觉很他们服务还是很热情，几天旅游下来，换洗的衣物在四川这地方都不会干，呼他们送几个衣架，很快就到位，晚上被子不够用，也很急时的为我们加了被子。床还超给大。这下把刚开始的不爽通通抹去了。下次再来成都还是会入住这家酒店的！', '短评打分': 5}
{'短评内容': '总体不错，住了多回了······就是在实惠点就好了·', '短评打分': 5}
{'短评内容': '不错的酒店，舒适，下次还住这里····，就是价格再便宜一点就好了·', '短评打分': 5}
{'短评内容': '各方面都还好，就是价格有点贵\n在成都350元都找不到酒店了,\n晕死', '短评打分': 5}
{'短评内容': '很不错，离伊藤洋华堂比较近，购物娱乐较方便，服务也还可以，希望更进一步', '短评打分': 5}
{'短评内容': '距离华堂较近，购物方便。宾馆客房不错，服务态度也很好，值得推荐。', '短评打分': 5}
{'短评内容': '交通为不错，门面太小，管理和内部装潢还不错，值得推荐。', '短评打分': 3}
{'短评内容': '档次较高，位置不错，周边有许多餐饮场所。', '短评打分': 5}
{'短评内容': '感觉还行，新装修，对味道敏感的要慎重，另外他们的服务态度还有待提高', '短评打分': 3}
{'短评内容': '位置比较方便\n比较整洁\n配套设施一般\n性价比一般', '短评打分': 5}
{'短评内容': '房间不错，早餐也很丰富。在繁华区域，吃喝购物、玩都方便。离杜甫草堂和武侯祠也很近。不错的地方', '短评打分': 5}
{'短评内容': '酒店给我的印象很好干净，清爽。服务也好。', '短评打分': 3}
{'短评内容': '酒店设施很不错，但是致命的问题是服务跟不上，例如：1、我进店的时候到前台，前台的服务员连个你好都不会说;2、由于第二天要赶早班飞机，头一天就定的叫醒服务，但是第二天根本就没有叫，幸亏我到点醒来了，不然误了飞机还得自己承担，哎！不会再住这里了·！', '短评打分': 1}
{'短评内容': '房间很大很舒适，好象是去年才装修的。都很新。服务员态度也很好交通购物都非常方便下次还来', '短评打分': 3}
{'短评内容': '价格合理 酒店那个2米2的大床非常好 经常在那住 服务员主要长得好看', '短评打分': 5}
{'短评内容': '还行！', '短评打分': 3}
{'短评内容': '酒店环境不错，餐厅粤菜很好，周边配套齐全便利。', '短评打分': 3}
{'短评内容': '酒店卫士、位置也不错，在二环上，离火车北站打车需要25元左右。价格稍微有点贵。', '短评打分': 5}
{'短评内容': '这的早餐种类挺多，口味很好，室内的设施也不错，电视电脑网络都有，使用挺方便的。', '短评打分': 3}
{'短评内容': '酒店装修的挺人性化的，服务和卫生都挺好，设施也不错，就是价格偏高些。', '短评打分': 3}
{'短评内容': '卫生倒是每天都及时打扫，这点挺好的，服务态度也挺好，早餐也不错，这次住的挺舒心。', '短评打分': 5}
{'短评内容': '干净卫生，安静舒适，服务周到，出行方便，值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺不错，服务很周到，房间住的很舒适，在这有种宾至如归的感觉。', '短评打分': 5}
{'短评内容': '挺好，服务质量很好，房间舒适干净，下行还会去住的。', '短评打分': 5}
{'短评内容': '周边环境挺好，出行挺方便，离小吃街也挺近，附近也有商场超市，购物也挺方便。', '短评打分': 3}
{'短评内容': '这家酒店的卫生方面做得不错，位置也挺好的，出行挺方便。', '短评打分': 3}
{'短评内容': '周边交通挺便利的，房间挺好，干净整洁，光线很好，隔音也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间质量和舒适度挺好，服务也挺周到，值得推荐。', '短评打分': 5}
