{'短评内容': '还不错，挺好的，价格实惠，还不错！', '短评打分': 5}
{'短评内容': '比较好的一点就是在高交会的时候没有涨价，挺好的。', '短评打分': 5}
{'短评内容': '交通便利，离地铁口近，附件有商场\n酒店的地理位置不错，性价比还是可以。\n', '短评打分': 5}
{'短评内容': '购物方便、交通比较便利、服务态度好！\n但房间内陈设的杂志大多是一两年前的杂志。', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，性价比还是可以。\n设施已经于有点旧了，服务还可以。', '短评打分': 5}
{'短评内容': '出行很方便，附近都是购物商场。不过酒店最近的楼层服务员打扫卫生比较吵人', '短评打分': 5}
{'短评内容': '就是地理交通方便,最近住了总有服务员来敲门要打扫卫生,好烦.明明都有把请勿打扰挂上去了还敲.', '短评打分': 5}
{'短评内容': '        有机会我一定介绍给我的朋友，你们酒店物美价廉，当我有问题和要求时，本店以最快的速度帮我解决，甚至帮我调换我喜欢的房间。服务到位礼貌待人，我非常喜欢，周围环境方便，饮食环节选择很多，每当我来到深圳，本店是我首选目标！多谢关照！', '短评打分': 5}
{'短评内容': '感觉还可以 交通比较便利 适合出差商务住', '短评打分': 5}
{'短评内容': ' ,己入住罗湖大酒店 ,尽管是一个老酒店但给人感觉还是比较舒适和温馨的 !', '短评打分': 3}
{'短评内容': '交通便利，离地铁口近，附件有商场，吃饭打车都方便。', '短评打分': 5}
{'短评内容': '交通地理位置方便.不过发现隔音效果有些差', '短评打分': 5}
{'短评内容': '＋电视很旧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间一般，热水供应有点慢，要放掉很多水之后才有一点热水，其他的都还不错，对得起这个价钱', '短评打分': 5}
{'短评内容': '价格挺便宜，出行方便，房间还可以，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店位置很不错,地铁很近,很老的酒店,设施装修过,是新的,早晨种类不少,方便出行.房间也宽敞,比较大.', '短评打分': 5}
{'短评内容': '虽然装修老旧了，但是胜在地点适中就在写字楼边上。下次深圳公干还会选择这个地方。\n走不远就是东门，晚上还去了吃烧烤。', '短评打分': 5}
{'短评内容': '这是一家我长期选择入住的酒店.   交通方便,   地理位置优越.   房间隔音好.3分钟就能到地铁站', '短评打分': 5}
{'短评内容': '交通很便利，主要是立着地铁很近，附近有步行街，晚上可以溜达一下，房间的设施太陈旧啦！估计是一间很老的星级酒店了', '短评打分': 5}
{'短评内容': '交通方便，离地铁站很近，附近有步行街。住宿设施马马虎虎，床还行，早餐一般，电梯里有味道。离公司近，下次还会考虑。', '短评打分': 5}
{'短评内容': ' 不错 很干净 价位也好', '短评打分': 3}
{'短评内容': '离地铁近，很早的酒店，装修也不是特别新，总体还不错。', '短评打分': 5}
{'短评内容': '酒店附近硬件设施配套齐全.出门方便.住起来安静', '短评打分': 5}
{'短评内容': '房间有点小，早餐有点简单，别的还行吧，周围吃饭很方便。', '短评打分': 5}
{'短评内容': '位置很好，离国贸和海燕酒店都很近，离地铁也不远。可惜房间有点旧了。\n', '短评打分': 5}
{'短评内容': '房间卫生还可以。早餐一般。对面就是国贸，比较方便', '短评打分': 5}
{'短评内容': '闹中取静,很好.', '短评打分': 3}
{'短评内容': '办理开房速度快.酒店地理位置方便.以后还会选择它', '短评打分': 5}
{'短评内容': '酒店条件设施很好，有浴缸，交通很方便，离地铁很近\n\n', '短评打分': 5}
{'短评内容': '地段很好，很方便。设施一般、周围环境很好、安全。', '短评打分': 5}
{'短评内容': '没有经过住客的同意随便将住客入住信息告诉外面的人，我住这个酒店就是被酒店的人员泄露了我的房号给别人让我家庭破裂', '短评打分': 1}
{'短评内容': '软件很好，设备齐全，但是专修有些成就，希望可以重新装修一下', '短评打分': 5}
{'短评内容': '外宾很满意，周边设施很齐全，房间一般，4星标准还需要努力', '短评打分': 5}
{'短评内容': '给朋友定的，朋友很满意，以后还会入住，周边的交通很便利', '短评打分': 5}
{'短评内容': '酒店条件设施很好，有浴缸，交通很方便，离地铁很近', '短评打分': 5}
{'短评内容': '地理位置方便.住起来安静.还是值得推荐的一个酒店', '短评打分': 5}
{'短评内容': '酒店环境还不错，交通也不错酒店环境还不错，交通也不错', '短评打分': 5}
{'短评内容': '因为只住一晚，所以订了这里，虽说在罗湖，但是从罗湖海关到这里也需要坐地铁坐一个站的。房间比较沉旧，有股老家具的味道，设施一般。卫生间的淋浴水龙头不是很畅通，下水也不好，我是把地漏的盖子拿开了，水才下去，不然都积在了浴室里。\n服务生不错，全程帮着拿包和把我送到房间，表扬一下。\n早点一般般吧，如果不想吃饭店的，周围可以吃的东西也挺多的。\n我到机场是朋友开车送，要一个小时。\n不过，现在开通了地铁罗宝线，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '上网都有问题，而且酒店出入很不方便，周边没有购物处', '短评打分': 1}
{'短评内容': '酒店入住还是蛮安静的.位置方便,下次还会选择它', '短评打分': 5}
{'短评内容': '地理位置好,出行想要去的目的地方便,性价比高', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '酒店很老了，房间内设施也是，应该更新了。距离国贸地铁站很近，走路5分钟。出行方便。早餐不错，有日餐和西餐，可以自己选择。', '短评打分': 5}
{'短评内容': '服务生态度很好， 只是早餐方面应该有更多选择', '短评打分': 5}
{'短评内容': '交通便利 房间整理的不错', '短评打分': 3}
{'短评内容': '交通方便 早餐不错 周边吃得很多', '短评打分': 3}
{'短评内容': '交通便利 早餐可以选日餐或西餐 房间有点旧 毛巾有破了', '短评打分': 3}
{'短评内容': '离办事的地方满近，周围吃饭什么都很方便。交通也较便利。', '短评打分': 5}
{'短评内容': '環境舒服，服務態度不錯! 離金光華廣場跟國貿地鐵站很近。\n就是隔音似乎不太好....', '短评打分': 5}
{'短评内容': '方便的地方  挺好的！住的不错！值得推荐给亲友', '短评打分': 5}
{'短评内容': '好 主要地理位置好   吃喝玩乐方便  里国贸地铁站3分钟                ', '短评打分': 5}
{'短评内容': '这家酒店环境很好，内部设施比较齐全，交通极为方便，距国贸和火车站很近，下次还会再来住的。', '短评打分': 5}
{'短评内容': '入住第一天就發現房間內的悲居然沒洗,還留有前人的飲料在杯子裡', '短评打分': 1}
{'短评内容': '服务员态度不是很好 空间很小 性价比很低！ 连洗衣袋都要收费！！！早餐还很难吃 说什么四星级 不可能！', '短评打分': 1}
{'短评内容': '还算不错，旺地有这个价钱挺公道的。下次还会去，只是早餐比较简单。', '短评打分': 5}
{'短评内容': '酒店交通方便 服务还可以 隔音效果还算过关 值得推荐', '短评打分': 5}
{'短评内容': '火车站附近，很方便，下次还会住，还好！值得推介！', '短评打分': 5}
{'短评内容': '十很好!位置好，服务好，房间也不错…', '短评打分': 3}
{'短评内容': '因為便宜，只好住，不是很好的酒店，連免礦都沒', '短评打分': 5}
{'短评内容': '酒店在国贸旁边，到东门步行街就10分钟左右，到火车站也就地铁一个站，位置非常方便', '短评打分': 5}
{'短评内容': '交通还不错，早上的日食早餐还可以\n就是稍微有点老，如果再重新装修下就好了', '短评打分': 5}
{'短评内容': '房间设施OK，环境比较干净，但缺少赠饮水，希望可以提供，因为现在好多的酒店都已经提供这方面的服务！', '短评打分': 5}
{'短评内容': '垃圾，门口过个人都能听得到！前台服务很差，七楼连网线都没有', '短评打分': 1}
{'短评内容': '地理位置吃喝玩乐非常方便.夜生活丰富.住特价房性价比高', '短评打分': 5}
{'短评内容': '酒店环境不错，内部设施较齐全，交通方便，距火车站很近', '短评打分': 5}
{'短评内容': '设施有点旧，其他还是挺好的一个酒店，值得推荐', '短评打分': 5}
{'短评内容': '凌晨四点前入住，到了中午12点就算一天！其他酒店都不是这样。', '短评打分': 1}
{'短评内容': '还不错，早晨日式料理不错，交通业蛮方便的', '短评打分': 5}
{'短评内容': '环境好，地理位置好，服务也不错 ！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以，交通很方便，走路到罗湖汽车站和火车站只要20分钟，打的士不用跳表。酒店的早餐很丰富，吃早餐的地方还有免费的无线网络。酒店周围都是繁华的商业区，吃东西和逛街都非常方便。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间也还行，带早餐价钱挺合理。下次还来', '短评打分': 3}
{'短评内容': '罗湖大酒店房间和床都较小.冬季没暖风.较凉.早餐也只有简单西餐.总体感觉一般.', '短评打分': 3}
{'短评内容': '服务还行，酒店也还达标，称不上也没什么特别差的地方，总体还是很不错的。', '短评打分': 3}
{'短评内容': '地理方便,喜欢夜生活的朋友可以去那里住.下来就是全深圳最有名的苏荷酒吧,乐巢.不行5分钟内.而且楼下有个地标广场金光华广场.不错房间比较小.隔音有些差', '短评打分': 5}
{'短评内容': '位置好不再说，房间设施以那个价位来说，算真的不错了，以后继续住。', '短评打分': 5}
{'短评内容': '酒店还好了，距离步行街很近，乘地铁也很方便，到世界之窗这些地方都挺方便的。', '短评打分': 3}
{'短评内容': '环境一般，早餐也一般，不过对于要到罗湖过关的旅客来说是不错的，推荐.......', '短评打分': 5}
{'短评内容': '酒店开业时间比较早了，地理位置没得挑很中心的位置，出行交通也很方便。', '短评打分': 3}
{'短评内容': '设施还行，地段很不错，去那里都比较方便，就是房型不是很好；', '短评打分': 5}
{'短评内容': '比较普通的酒店，价格还是偏高，地理位置还算可以，只是酒店环境比较一般。', '短评打分': 1}
{'短评内容': '位置很不错，房间有些小，整体性价比比较合适吧，可以考虑入住。', '短评打分': 3}
{'短评内容': '挺不错的，价格也合理。就是房间里有霉味，不知道是不是个别现象。', '短评打分': 5}
{'短评内容': '位置比较好，就在市中心交通出行及购物都很方便.并且室内的环境也比较好，住着还是感觉挺舒服的.', '短评打分': 5}
{'短评内容': '卫生不错，房间很干净，地理位置很好，交通方便附近交通也很好。', '短评打分': 5}
{'短评内容': '去香港的话是个不错的选择，酒店环境挺一般的，设施配置有些老旧了。', '短评打分': 5}
{'短评内容': '房间太小了设施基本上还是挺全的，地理位置一般，价格还是贵了和设施感觉不是太匹配。', '短评打分': 1}
{'短评内容': '设施配置比较陈旧，卫生服务还可以，算是合格达标的酒店，还是比较喜欢新一点的酒店。', '短评打分': 3}
{'短评内容': '地理位置很好，房间也很好装修的很不错，服务态度也很好，价格还是可以接受。', '短评打分': 5}
{'短评内容': '比较好的地方就是位置很方便，距离大东门步行街都很近，附近出行交通也好。', '短评打分': 5}
{'短评内容': '房间的卫生设施还是一般显得比较陈旧，位置是挺方便的，价格还是挺合适的，服务态度不错。', '短评打分': 5}
{'短评内容': '在网上操作预定的这家酒店，环境设施都还一般，预定效率很高，酒店服务也还可以。', '短评打分': 3}
{'短评内容': '酒店很一般，卫生做的还可以，开业时间比较早了，设施配置都比较陈旧了些。', '短评打分': 3}
{'短评内容': '住的是各级客房，所以只能依据这个说说印象。酒店在真正的闹市区，不好不坏，说不出特别好也没有特别难于忍受之处。房间内没有任何饮料，冰箱也很残旧，这点让人很奇怪。洗澡的地方很简陋。床没有什么不舒服的地方，上网速度可以忍受。同样价格稍远一点地方，如华强北可能房间设施会好不少。', '短评打分': 1}
{'短评内容': '感觉环境服务都还不错。下次还会预定这里。', '短评打分': 5}
{'短评内容': '位置很好  购物方便  酒店的环境也不错  价格不太贵', '短评打分': 5}
{'短评内容': '不错的酒店服务很全面你懂得～～～～～～～～～～～～～～··～～！', '短评打分': 5}
{'短评内容': '不错的酒店服务很全面你懂得～～～～～～～～～～～～～～～～～～～！', '短评打分': 5}
{'短评内容': ':设备交差', '短评打分': 3}
{'短评内容': '交通还可以就是房间太小了', '短评打分': 3}
{'短评内容': '酒店装修还行房间也很干净，交通也是很方便，服务态度价格都很不错，总体看来环境还是挺不错的。我下次还会去的。', '短评打分': 5}
{'短评内容': '地理位置和酒店设施都感觉不错，值得推荐！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店很好，地理位置非常好，酒店很卫生，很干净，房价也不贵，超值！', '短评打分': 5}
{'短评内容': '到酒店还查不到我的预订，幸好我打印了预订单。', '短评打分': 5}
{'短评内容': '房间好旧', '短评打分': 5}
{'短评内容': '位置佳，交通方便,离东门商业街很近，性价比很高的酒店。', '短评打分': 5}
{'短评内容': '酒店位置不错交通方便就是房间小了点加上酒店配置家具太多，显得空间有点拥挤', '短评打分': 5}
{'短评内容': ' 酒店位置不错,房间也蛮好的.早餐开始时间希望能提早!', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
