{'descr': '前台服务特别好', 'star': 5}
{'descr': '环境不错，也蛮干净的，要是能送早饭就更好了.', 'star': 5}
{'descr': '房间有点小，管理还好。地理位置离出差地点近，还算方便。', 'star': 5}
{'descr': '还行，晚上屋里好几个蚊子。另外一天，招行卡可以折扣10元，当时店员竟然不知道，还得让我打电话到他们总部去', 'star': 5}
{'descr': '房间太小。而且没有洗衣服的服务。总体来讲，感觉不大好。', 'star': 1}
{'descr': '这次住的比上次好稍微好一点。但早饭就那样了。没什么好说的。', 'star': 1}
{'descr': '除了离康桥工业园近外，其他没什么好的。\n餐厅的菜分量小，味道一般，但没卖相。\n房间内还能看见一些墙体裂缝，地上也没打扫干净。', 'star': 1}
{'descr': '周边环境干净 但没什么吃饭的地，有些小吃，希望周边商业繁荣起来', 'star': 5}
{'descr': '还不错的地方 支持下\n安静也干净，就是选址有些偏', 'star': 5}
{'descr': '房间有大有小，环境不错，比较卫生，就是隔音效果不佳。', 'star': 5}
{'descr': '房间小，服务差，早餐品种少。位置较偏，因为出差地点原因入住。', 'star': 1}
{'descr': '价格高，早饭10元什么都没有，太差了！退我的差价啥时候能打回来捏！', 'star': 1}
{'descr': '实际入住发现还是不错的，而且生意超好，要预定的抓紧 ', 'star': 5}
{'descr': '酒店环境还不错，干净 \n\n隔音稍微有点不好\n\n服务员态度都很不错 ', 'star': 5}
{'descr': '还不错\n听干净的 服务业可以 反正都是快捷酒店 基本情况都差不多的啦', 'star': 5}
{'descr': '我是14号晚上入住的，可能是网上定错了。\n一次性拖鞋有强烈的刺鼻味，根本不能穿。\n浴室门关不上。\n隔音不好，太嘈杂。\n', 'star': 1}
{'descr': '感觉很好，很安逸！就是房间太小了！不过这个性价比很高啦！', 'star': 5}
{'descr': '因为和客户公司挨得近，这次是第2次住了，不知道这次还要不要核对！！', 'star': 1}
{'descr': '位置不好找，条件一般；设施较陈旧，应该更换了', 'star': 3}
{'descr': '世博期间，性价比不太好。其他都还行，位置稍远了一些', 'star': 5}
{'descr': '酒店不错干净卫生性价比高在世博期间\n', 'star': 5}
{'descr': '该宾馆入住条件还可以.但卫生间的排水不好.', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '还不错  蛮干净的。下次去还会考虑住在那', 'star': 3}
{'descr': '酒店一般，可以接受', 'star': 5}
{'descr': '还不错                                                                                           ', 'star': 3}
{'descr': '挺干净的', 'star': 5}
{'descr': '房间还算整洁干净，住着也还算舒服。值得推荐。', 'star': 5}
{'descr': '酒店的条件还不错,整体感觉很好房间住起来也挺舒服的.', 'star': 5}
{'descr': '离图书批发市场近，周边是早晚市场，有些吵，不要说大水晶街，有的的士容易走错，要说从保障街与大水晶街交汇处。', 'star': 5}
{'descr': '+ 宾馆还可以', 'star': 5}
{'descr': '酒店挺新的  还算整洁，干净，就是交通不是太方便。', 'star': 5}
{'descr': '挺干净，前台态度一般，房间里没椅子，凳子不利于长时间用电脑，累腰', 'star': 5}
{'descr': '在我们最后一晚入住时发现我们入住房间的被子上有污渍，酒店的人员说除了服务人员和客人没有其他人可以进入房间，但一直强调服务员绝不会弄脏卧具，言下之意就是客人弄上去的，但当我们要求调监控时却被酒店人员拒绝，酒店人员称事后会给我们电话告知查看监控的结果，但事后一直没接到该酒店的电话，这之间我们要求找相关机构做鉴定时酒店也未采纳，这很气愤。\r\n\r\n', 'star': 5}
{'descr': '挺新,挺干净,就是在修路,交通不方便,性价比高!', 'star': 5}
{'descr': '周边环境不是很好比较吵闹位置也不好找，酒店里面还行房间卫生设施还可以，服务蛮不错，价格的话反正比较适中。', 'star': 1}
{'descr': '房间不错', 'star': 5}
{'descr': '酒店位置还不错，周边公交挺多，出行挺方便的。', 'star': 5}
{'descr': '强力推荐！！这个地方很方便，周围是个小集市，有好多买吃的，附近超市也不少，还有南极市场——好大的食品批发集散地。这里卫生条件很好，当时就想在网上找便宜又干净的。服务很热情的，设施很齐全，有电梯哦，好像是8层吧,位置吗，个人觉得比较不错，就是可能离公交车站远一点。估计是因为保障街修路，所以这个价，性价比很高的。', 'star': 5}
{'descr': '总体还不错，就是房间有点小', 'star': 5}
{'descr': '价格比较便宜，服务还不错，卫生打扫很干净，整体感觉性价比还可以。', 'star': 5}
{'descr': '房间面积挺大，卫生打扫很好，设施也比较齐全，住的还是很舒适的。', 'star': 5}
{'descr': '住过几次，就觉得他们家的床很舒适，网速不慢，上网很方便。', 'star': 5}
{'descr': '卫生倒是不错，感觉房间各个地方打扫很干净。', 'star': 5}
{'descr': '酒店位置有些偏，不好打车，不过距离我办事地点到是蛮近的，应该是个新酒店，卫生不错，服务很好，房间硬件设施也很新，很不错。', 'star': 5}
{'descr': '整体还不错。', 'star': 5}
{'descr': '除去对他们服务的不满，这个酒店的性价比还不错。\r\n但是想想咱花钱是来消费的，不是来受气的，这个酒店下次我不会再选。\r\n开了没多久的酒店，里面装修还可以，但是服务人员素质太差，一点也不热情，入住那天，我都在前台站了半天，前台才慢悠悠的站起来，一副爱答不理的样子......网线坏了要客房换根网线，给前台打了4遍电话，不知道是前台没通知客房，还是客房忘记了，反正过了好几个小时也没动静，最后还是我看到有个', 'star': 1}
{'descr': '酒店设施时尚简洁，房间舒适安静，服务也不错，值得推荐。', 'star': 5}
{'descr': '顶到的是168的房间，据说和198的除了在楼层上有区别以外，其它都是一样的，感觉性价比很高，地段好卫生好装修也不错，唯一美中不足的是枕头太高太硬，睡不习惯啊。。。', 'star': 5}
{'descr': '酒店不错，就是早餐差了点', 'star': 5}
