{'短评内容': '干净，，，，，，整洁，，，，，，，，有空调，网很好，，，，位置也很好，，，，，，，，很不错。。。。。。', '短评打分': 5}
{'短评内容': '地理位置太好了，就在商业中心，下楼便到，公交也还可以，从北站坐98A就到了，20多分钟。服务员态度也很好，解答很认真，房间旧了些，床垫有一个都塌了。', '短评打分': 5}
{'短评内容': '公寓式酒店，位置很好，出行方便', '短评打分': 3}
{'短评内容': '价格合适 位置好  就是房间内的设施有点陈旧   有些木头的门已经被虫蛀的很严重了 希望能改进更换', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '还不错\u3000周边玩乐很方便', '短评打分': 3}
{'短评内容': '酒店的位置好，在市中心，逛街挺方便的，交通也方便，坐车也方便。酒店的房间干净明亮，整洁，卫生很清洁，价钱也便宜，挺适合逛街玩耍的。', '短评打分': 5}
{'短评内容': '在春熙路，方便。但卫生不是做的很好，希望加强，前台服务不太热情', '短评打分': 5}
{'短评内容': '除了地段这个优势外其余则太令人失望，屋内不仅设施电器陈旧，空调还不制冷热水器也无法使用。', '短评打分': 1}
{'短评内容': '成都名嘉酒店环境太一般了，有点年久失修的感觉，28晚入住的房间空调有问题，叫来服务员他们也早知道这个问题，应该好好装修一下，起码墙应该刷刷了。', '短评打分': 1}
{'短评内容': '在市中心，地理位置很好，房间格局也不错，但是空调好像太老了，制冷效果不是很好', '短评打分': 5}
{'短评内容': '位置还是很好。酒店是在居民楼里改的，灯这些都保留了原住户的环境，房间都还和居民住户混杂，住的1317，是个一室一厅改的，还有个没用的厨房。设施比较差，空调周围的墙面是黑的，好像是漏水漏的，墙角也有浸水的痕迹，刚刚入住空调滴答滴答的漏水，修了才好。有两个抽屉都是坏的，马桶冲水盖子和马桶里外圈盖都是坏的。', '短评打分': 5}
{'短评内容': '酒店不错，3人间设计很合理，就是3张床其实一样大。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间还行，离购物的地方很方便，下楼就是春熙路', '短评打分': 5}
{'短评内容': '不错啦，连厨具都有，地理位置很好，出行方便', '短评打分': 5}
{'短评内容': '房间还是不错的，到设施有点老！马桶冲不干净', '短评打分': 3}
{'短评内容': '房间挺大的，离成都市春熙路特别进！不错。', '短评打分': 3}
{'短评内容': '还可以，就是房间灯光照明不太好。房间还有味道，需要改进！', '短评打分': 5}
{'短评内容': '这个酒店是住房改装的，里面设施陈旧，窗帘质量太差，前台太差，床还算卫生，门是防盗门，吃早饭的地方在8楼，确实不怎么样，148的价格完全可以到附近去住了。在红星广场，很多的。', '短评打分': 1}
{'短评内容': '名不副实', '短评打分': 3}
{'短评内容': '酒店前台服务员态度生硬。跟吵架是的，不管是谁的错误，这样的服务另人不满意。', '短评打分': 1}
{'短评内容': '酒店不是太理想，位置倒是挺好。还没有如家那几个连锁酒店好', '短评打分': 1}
{'短评内容': '虽说出去玩不能要求太多,但是最起码的设施还是需要的吧!!这家酒店设施陈旧,淋浴的时候需要站在蹲式马桶上面!如果房间小为了节省空间倒也算了,但是命名房间很大,还有麻将桌!?', '短评打分': 1}
{'短评内容': '除了地理位置有优势外，其他的都不行。家具旧旧的，房间灯光昏暗，洗手的池子还不大通畅。热水器用水的时候声音大得吓人', '短评打分': 1}
{'短评内容': '酒店地理位置很好，但是硬件不行，家具很旧，厕所的池子也不太通畅', '短评打分': 1}
{'短评内容': '只是酒店所处的地段好,其他都很差,总之不会再去住', '短评打分': 1}
{'短评内容': '在市中心， 楼下附近有很多商场，购物方便。环境清静，挺合适居住。\n', '短评打分': 5}
{'短评内容': '这个酒店说实话真的太次了！，房间是旧不要紧，关键别这么脏啊，感觉就是那种开房用的地方！太烂', '短评打分': 3}
{'短评内容': '厕所太小，窗帘很薄完全不遮光', '短评打分': 3}
{'短评内容': '酒店在一座大楼的楼上，有好几层，所以就没有什么独立的大堂了。不过酒店的位置非常好，下楼就是春熙路商圈。房型多样，富有生活情趣。下次到成都还会去住的。', '短评打分': 5}
{'短评内容': '在这地段，这个价位，真的算很不错了，环境也不错，空间也很大。', '短评打分': 5}
{'短评内容': '很旧，靠这糖酒会赚钱，热水不多，早餐简单，网速奇慢', '短评打分': 1}
{'短评内容': '就是去春熙路出行方便些，设施比较简单因为酒店也是公寓式的房间分布还是比较乱写，服务基本也就没接触过，住着条件还算不错，价格也不是很贵。', '短评打分': 3}
{'短评内容': '条件不错，环境也很好，住着舒适且安静，比较适合休息，及商务出差人入住.', '短评打分': 5}
{'短评内容': '客房条件还不错，舒适度挺高的，而且服务也可以.比较热情，而且整体条件也不错.', '短评打分': 5}
{'短评内容': '酒店位置一定都不好找，家具也很陈旧而且房间的灯也有很多不亮的，服务员都没有看到，价格也一点不合适。', '短评打分': 1}
{'短评内容': '1,服务态度极差。2，房间设施也差。具体就不说了，都不值得我废这个时间。不会再去住的！', '短评打分': 1}
{'短评内容': '房间设施基本，但是面积比较大，地理位置好，在春熙路上。', '短评打分': 5}
{'短评内容': '除了近，其他的无任何可取之处。冬天空调开了和没开相比，除了有声音外，无任何差别！下次不会再来！', '短评打分': 1}
{'短评内容': '酒店很简陋挂着是商务酒店实际就是小旅馆，位置也很难找，价格虽然不贵但是和酒店环境一点不符合。', '短评打分': 1}
{'短评内容': '酒店里面设施设备都很陈旧，服务也一般，价格也不是太合适，位置的话还是比较好找。', '短评打分': 1}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '晚上入住的，帮亲戚订了2间房间，还行！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务态度好，但酒店设施陈旧了点。位置不错。可以考虑。', '短评打分': 5}
{'短评内容': '总体还行。', '短评打分': 3}
{'短评内容': '地段很好，不过电梯实在是差。最好有一次性拖鞋', '短评打分': 5}
{'短评内容': '酒店感觉很不专业，有些小旅馆的感觉.硬件设施有些陈旧.隔音效果有些不太明显.', '短评打分': 3}
{'短评内容': '虽然在春熙闹市 但的确挺难找 房间还不错 就是楼层分布比较麻烦 在春熙路上这样的价格还算不错', '短评打分': 5}
{'短评内容': '性价比很高的酒店，房间硬件设施很齐全，卫生条件很好，打扫的很干净，住宿环境不错', '短评打分': 5}
{'短评内容': '酒店卫生条件还可以，服务员会及时打扫房间的，房间很大，一进去感觉很放松，周边交通很好，打车方便，室内很安静，晚上休息的很好', '短评打分': 5}
{'短评内容': '房间很大很宽敞，卫生条件不错，没有卫生死角，酒店地处繁华地带，出行还是很方便的，住宿环境还是蛮好的', '短评打分': 5}
{'短评内容': '房间卫生条件很好，打扫的很干净，前台服务员办事很认真，而且态度也很好，周到热情，办事效率快，酒店位置不错，门口打车方便', '短评打分': 5}
{'短评内容': '酒店位置还可以，在市区繁华地带，出行挺方便的，前台服务员工作认真，态度热情，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店内部环境很好，房间很大很宽敞，床也很大的，住着很舒服，卫生间和床上都打扫的很干净，房间里还可以上网，性价比蛮高的', '短评打分': 5}
{'短评内容': '年久失修维护不好与网上图片差距很大', '短评打分': 3}
{'短评内容': '希望可以开通信用卡预授权，方便客人支付定金以及付房费。', '短评打分': 5}
