{'descr': '性价比较高，干净，适合学生住。但是房间很小。', 'star': 5}
{'descr': '价格便宜，服务热情，地理位置出行便捷····', 'star': 5}
{'descr': '价格相当便宜，而且房间很大，因为是随机抽的房间，比一般的大床房房间还要宽敞，而且是带窗户的。 \n\n用代金券购买的，结果只花了49元 享受了139元的房间，超赞的。', 'star': 5}
{'descr': '价格很给力，也很干净，位置不错，楼下就是KFC 早饭可以在那里吃 推荐', 'star': 5}
{'descr': '服务非常好', 'star': 3}
{'descr': '环境还可以，就是服务有待提升，建议前台多请个服务员帮忙，免得退房办事效率低', 'star': 5}
{'descr': '价格便宜，环境也还不错。但其他的不能指望太多，小住几天还是可以的。', 'star': 5}
{'descr': '交通是比较方便，但前台的服务及效率不怎么样？建议早上退房时得多安排一个人帮忙，可别再耽误我们的时间了', 'star': 5}
{'descr': '酒店环境不错，挺干净，服务态度也不错，交通也方便!!', 'star': 1}
{'descr': '环境很不错  ,交通也很方便,酒店的服务也还行。总之物超所值！', 'star': 5}
{'descr': '交通很方便，周围小吃很多，楼下就是KFC，挺好的，就是房间有点小啊~', 'star': 5}
{'descr': '常住，而且现在返现很多超值的哦！…………………………', 'star': 5}
{'descr': '冲着返的现金券，这么住都算划算的啦！…………………………', 'star': 5}
{'descr': '太小了', 'star': 3}
{'descr': '干净，方便！房间有点小，但住着还是满舒服的！', 'star': 5}
{'descr': '到了房间第一感觉就是小，看看卫生还可以。服务态度还可以。不提供一次性用品。', 'star': 1}
{'descr': '经常住在汉庭海友客栈，价钱便宜，交通方便，特别适合年轻人，三楼的活动室也很实用，房间不提供一次性用品，更低炭环保', 'star': 3}
{'descr': '房间太小了，隔音还差。早上正睡得香来门口几小孩咋咋呼呼，还听见一阵警报声，太他妈操蛋了', 'star': 1}
{'descr': '很一般般，建议别选，除了交通不错之外，一无是处', 'star': 1}
{'descr': '房间太小，隔音效果很不好……下次不会考虑', 'star': 3}
{'descr': '客栈实在太小，大床房的床和普通宾馆的单人床差不多大，卫生间是透明的用玻璃围起来的，只是在重要的部分用了磨砂玻璃，而且不提供拖鞋、香皂，除了毛巾和地巾其他全部都要自己准备，吹风机每层的尽头才会有一个。', 'star': 1}
{'descr': '非常好，洗漱用品也才一元~最重要的是交通非常方便~能让我玩了南京第二天也即是赶上飞厦门的飞机~好评~~~', 'star': 5}
{'descr': '房间太小了，超乎想象。想想这么便宜的价位，就算了吧', 'star': 5}
{'descr': '房间的确很迷你~蓝色白色主色调的房间~还算清爽~房间也挺简介干净。位置很方便~就在地铁口，离新街口也很近~', 'star': 5}
{'descr': '酒店还不错，我是第二次住了，这次比上次合算多了而且房间也好，就是呢无线网络不是很好，搜不到这个比较郁闷。', 'star': 5}
{'descr': '按照价钱来看还可以，就是我住的无窗户大床房的卫生间较差(无门)、房间有点小，其他选址和服务还可以。如有人要一个人住几天可以推荐。机场大巴的车站就在对面这一点还不错。', 'star': 1}
{'descr': '一直住在这，价格一直涨，东西配套的什么都没有.不如张府园那家百时，图的是它家的无线网络呢', 'star': 3}
{'descr': '不错，除了需要自带洗漱用品外，环境还是不错的', 'star': 5}
{'descr': '房间很舒适，服务周到。设施齐全，还有休闲娱乐场所，考虑周到。', 'star': 5}
{'descr': '小是小了点，环境还不错，交通也很方便，下次还会选择', 'star': 5}
{'descr': '价格可以接受，但便宜没好货啊，房间没有洗漱用品就算了，拖鞋也没有也就认了，网上说有无限网，可我怎么搜也搜不到，洗澡洗到一半洗不下去了，水太烫，后来干脆只出开水不出冷水，省水没必要省到如此地步吧。除了价格优惠外，一无是处！', 'star': 1}
{'descr': ' 就在地铁旁，方便，值得推荐！', 'star': 3}
{'descr': '卫生很好，环境不错，就是隔音较差，周围交通很便利，前台如果态度更好就好了\n', 'star': 5}
{'descr': '酒店很不错，环境很好，交通很放便，下次还会入住', 'star': 5}
{'descr': '先说说第一感觉，就是小，虽然看了间介是12平方米，但是真正看到，还是觉得太小了。。。放了个行李箱，基本没地方了，不过地方大小见仁见智，可能有人就喜欢那样的大小。下面再来谈谈隔音，说实话，不是太好，我能听见斜对面的电视机的声音。可是配上这个价格我也没法抱怨太多，而且入夜之后就安静了很多，对休息没什么影响。靠近地铁，交通方便是它的一大优点，这也是我为什么选这家的原因。', 'star': 5}
{'descr': '房间很新很干净，门口就是地铁、公交、机场大巴。提点小建议，希望能提供水杯，喝水漱口神马，总是用得着的。还有，一条小毛巾肯定是不够的，起码得两条，或者加条浴巾。一条洗脸，另一条洗澡后擦身体', 'star': 5}
{'descr': '虽然比较小的一个房间，但是很干净、整洁，有无线网，楼下还有免费的打印机可以用，不错不错，下次一定还会住。', 'star': 3}
{'descr': '房间小还行', 'star': 3}
{'descr': '太小啦！！！！', 'star': 3}
{'descr': '小巧精致的客房收拾的蛮干净的，比上次住的180／天的格林豪泰舒服多了', 'star': 3}
{'descr': '就在汉中门KFC隔壁 很好找 招牌挺大的 在这样的路口能有这么便宜的房间真的很不错 去自己住的楼层需要刷房卡 这样让人觉得很安全避免了一些闲杂人的进入  房间虽然很小 但是很干净 也很安静 房间里没有提供一次性洗漱用具 和拖鞋 需要自带 也可以自己在3楼贩售机买到 房间有宝洁洗发水和面霜的试用装哦 很不错 嘿嘿', 'star': 5}
{'descr': '环境和服务态度还可以，，，但我住的那间竟然卫生间的水下不去，，，还有枕套上有些污渍。。。。隔音效果嘛，，呃。。。。其他都还好啦。。。', 'star': 5}
{'descr': '交通便利   出门不远处就有地铁和公交   服务不错   有免费的娱乐设施   房间还行     ', 'star': 5}
{'descr': '比想像中的要好，适合出差的朋友。卫生干净，还有免费的无线上网。交通也方便', 'star': 5}
{'descr': '精致干净', 'star': 3}
{'descr': '非常好！旺中带静！可以看到南京的夜景！而且送的试用装非常实惠！隔音条件也不错', 'star': 5}
{'descr': '房间很干净，价位适合，娱乐设施也很不错，在那边住的很舒心！', 'star': 5}
{'descr': '环境很不错，适合年轻人住', 'star': 3}
{'descr': '很不错，很干净实惠，这次会再次去住，感觉非常好啊。。。。。。', 'star': 5}
{'descr': '地理位置相当好，出门有公交有地铁还有肯德基，无聊时的娱乐设施也多，台球，桌上足球免费电脑上网等等。就是房间比较小，后来老板人巨好，给我们换了一间有窗的，满足啦', 'star': 5}
{'descr': '南京汉庭海友客栈汉中路真心好!!!!尤其是工作人员很善良:)', 'star': 3}
{'descr': '总体来说，是一家性价比比较高的酒店，对得起这个价格。地理位置很好，我很喜欢，出了地铁2号线就是酒店，非常方便，附近有KFC和一家生煎周边也有超市，购物吃饭比较方便。首先入住的时候服务员给错房间了，不过后来很顺利的解决了。再说房间吧，进去的时候呢我还是小小的失望了一下，比较小，但是比较齐全，要啥有啥。我的房间是无窗的，不过还好，只要一直开着灯就好了。卫生间的设计我很喜欢，很干净，哈哈。提示大家一下，', 'star': 5}
{'descr': '位置不错，挨着地铁口，去哪里都很方便，床也还不错，还送了很多洗漱用品试用装，呵呵，就是希望能打扫的再干净点，总体来说还可以', 'star': 5}
{'descr': '定的大床房 房间太小了！ 不过很干净 很适合学生住 热水不太稳定... 拖鞋都不给 还要自己买。。。。。', 'star': 5}
{'descr': '周围环境不错，交通方便。就是高低铺太响，影响休息。建议入住别住高低铺', 'star': 5}
{'descr': '还不错，地理位置不错，交通很方便，出门就是地铁站，楼下有肯德基，还有上海生煎包，买吃的也很方便！', 'star': 5}
{'descr': '价格太贵,环境太小了，网速太慢，其他的都还好', 'star': 5}
{'descr': '需要自己带一些洗漱用品。交通真的很方便！！地铁公交随意坐。房间该有的都有虽然有些小，不过很划算啊。', 'star': 5}
{'descr': '海友客栈适合担任住，大床房最多住两个人，还算干净，没有窗户的就是空气不太好', 'star': 5}
{'descr': '地理位置不错', 'star': 3}
{'descr': '挺不错的酒店，交通方便，干净，性价比高。', 'star': 5}
{'descr': '房子很干净很小～', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '酒店位置很好~交通方便~干净温馨~', 'star': 3}
{'descr': '房间很干净。但是盥洗台放在了卧室里，客房没有电话，旅店不提供早晨叫醒服务，向着汉中路的房间早上五点半就车马喧嚣。', 'star': 1}
{'descr': '房间干净、整洁、舒适，虽然大床房比我想象中的要小些，整体感觉还是挺满意的。', 'star': 5}
{'descr': '已经住了很多次了，干净，还是干净，干净，干净，干净，', 'star': 5}
{'descr': '价格低，交通便利，很赞。环境也不错的。。。。', 'star': 5}
{'descr': '条件一般，房间太小，加钱又调了大房间，不过这个价位也就这样了,地处路段还不错，交通便利，就当作是方便的休息地吧', 'star': 1}
{'descr': '很好哦~ 服务态度也很好~~ 这是我第二次住这里了~~房间也是很舒服的~ 很贴心的哦~ 建议以后可以考虑在贩卖机上提供些零食什么的~ 呵呵~', 'star': 5}
{'descr': '就是低碳环保，人多比较适合住，地理位置很好，去新街口超方便啦', 'star': 5}
{'descr': '挺不错的 价格也合适 房间干净 配备齐全', 'star': 5}
{'descr': '优点：房间虽然小，但很干净，洗澡方便，电视、空调也都齐全，交通方便，出门就是地铁和公交站。还可以免费上网，每个楼层楼道可公用吹风机。缺点：早上6点半到达，本预定的109元的单人间没有，需要等有客人退房后预计9点多才能入住，改139元的大床间。所谓大床可能1米35宽，如果两个人住有些拥挤。', 'star': 5}
{'descr': '地理位置非常方便，虽然设施简单但是很干净整洁，公共设施也很人性化，推荐！', 'star': 5}
{'descr': '非常好，对于一个人住的情况再合适不过了，干净、整洁、舒心！', 'star': 5}
{'descr': '麻雀虽小，五脏俱全，挺舒服干净的，就是没窗帘啊。。。', 'star': 5}
{'descr': '晚上很吵，隔音不好，性价比不高，都是小年轻。。。。。。', 'star': 1}
{'descr': '其他还好就是房间有点小,要是有拖鞋就好了。', 'star': 5}
{'descr': '还行，坐车很方便，就在地铁口，离市中心新街口也很近。', 'star': 5}
{'descr': '不是很推荐\n为啥？\n1.周围没有好东西吃！！\n  确实离地铁站近，但周围环境一般，银行网点数量不多，像我想找的招行没看见。有一个小的苏果超市，买点食品饮料还是方便的。但周边没有什么好吃的东西，感觉很不方便\n2.酒店本身的评价\n   a 我入住时根本就搞不清楚汉庭里面还分很多种，登记时就找错位置了。跑到一楼，然后又被一楼的小姐打发到3楼。我觉得很不方便。\n   你们完全可以在一起登记，为什么要顾客跑', 'star': 1}
{'descr': '不错                           还可以', 'star': 5}
{'descr': '麻雀虽小，五脏俱全。性价比很高，比青年旅舍的条件要好。', 'star': 5}
{'descr': '希望网上预定更优惠 门店最低价居然有89的', 'star': 5}
{'descr': '海友客栈环境很年轻，很有活力。\n服务台在3楼，第一次去不知道。\n环境很好，很活泼，很喜欢。\n', 'star': 5}
{'descr': '外部设备和内部设备都ok啊~~大房比较舒坦', 'star': 5}
{'descr': '总得说可以', 'star': 3}
{'descr': '环境不错,价格合理,就是热水不太到位\n', 'star': 3}
{'descr': '干净，便宜。床和枕头都蛮舒服的，性价比在这一带的旅店中算高的，就是窗帘不好使，还有电视放太高了。', 'star': 3}
{'descr': '挺干净的，还有无线网可用\n地理位置不错（很方便）。', 'star': 5}
{'descr': '很好 不错 性价比很高。而且娱乐设施也不错哦', 'star': 5}
{'descr': '客房小了点  电视频道少 隔音效果不太好 影响睡眠', 'star': 5}
{'descr': '地理位置好,离地铁和新街口都近,也很容易找到,周边有KFC,沙县,便利店等,房间干净整洁,价格低廉。', 'star': 5}
{'descr': '非常好~呵呵~', 'star': 3}
{'descr': '太吵，地漏有异味散出，服务态度卫生都还好。', 'star': 3}
{'descr': '周末要多收20.。很奇怪的是我明明用了券，怎么现在看都没有了呢', 'star': 5}
{'descr': '离地铁口确实比较近，但是还是不好找啊，外面也没有路标啥的。其他的都还不错', 'star': 5}
{'descr': '没有毛巾没有拖鞋', 'star': 3}
{'descr': '很好··以后还会来的！价格实惠，环境优雅。就是房间不好定尤其是周末。。', 'star': 5}
{'descr': '适合年轻的朋友们一起出游，便宜实惠性价比高，客栈给了愉快的氛围。建议带洗刷用品。这个客栈不提供的哦……', 'star': 5}
{'descr': ' 还好吧', 'star': 3}
{'descr': '一般般，屋子里面的味道很大，空间也很小，而且网上预订99元，到那里被告知涨价到119元，强烈不推荐', 'star': 1}
{'descr': '环境不错，地方不小，价格实惠，旁边吃东西也方便', 'star': 5}
{'descr': '可以，离地铁很近！就是没有牙刷毛巾拖鞋有点郁闷！', 'star': 3}
{'descr': '住着蛮舒服的，特别适合背包旅行的驴友,还有前台的服务也很热情', 'star': 5}
{'descr': '房间很干净整洁，关键是紧挨地铁站和汽车站，交通非常方便', 'star': 5}
{'descr': '交通挺方便，房间也不错，有窗户的比没窗户的舒服很多~工作人员也超级NICE~很喜欢的酒店，唯一小小的遗憾就是附近没有什么吃的，就一家肯德基和比较水的生煎包什么~', 'star': 5}
{'descr': '果然是适合背包族住的房子，很小但是很可爱，大床蛮大也挺干净，就是淋浴不太顺畅，需要长时间防水，我们国家水资源不丰富啊。。。额，抽水马桶不知道是不是我住的那间有问题，抽一次水响半天，还有电视，因为线路问题（柜台咨询回答）没有机顶盒，所以能收到的台较少。。。 其余的，地铁旁边很近很近非常好，前台服务态度很好很好，便宜，性价比还算是比较高的，有机会还会选择。', 'star': 5}
{'descr': '价格挺便宜的 然后住的地方除了没有窗户外、浴室设计不合理之外 其他都挺好的', 'star': 5}
{'descr': '还挺好的，干净，房间不大', 'star': 3}
{'descr': '很干净，下次还会来', 'star': 3}
{'descr': '房间还不错喔，就是不免费提供洗漱用品，需要自主选择购买，所以下次记得自己带~', 'star': 3}
