{'短评内容': '帮别人订的，应该还可以吧。', '短评打分': 5}
{'短评内容': '交通便利屋子并不冷但是床单有些脏房间冷清提供送餐服务很不错', '短评打分': 5}
{'短评内容': '性价比还是不错的.很干净,地理位置很方便.', '短评打分': 5}
{'短评内容': '不像一个宾馆，倒像一个招待所，不好，态度还好了', '短评打分': 1}
{'短评内容': '很近西栅景区南门入口，交通很方便。房间简洁，干净，老板及工作人员很热情。', '短评打分': 3}
{'短评内容': '非常好的酒店，离火车站很近 ，经济实惠，又很干净。下次还会选这家。', '短评打分': 5}
{'短评内容': '。酒店还可以吧！价格贵了点', '短评打分': 3}
{'短评内容': '酒店距离乌镇西景区非常近,很方便!', '短评打分': 3}
{'短评内容': '老板服务热情,下次去还会住那里.', '短评打分': 3}
{'短评内容': '老板很好很热情的帮我们介绍景区，房间很干净，也很安静，距离西栅景区只需要走几步，很近很方便~在宾馆门口有免费的车子接送去东栅景区！', '短评打分': 5}
{'短评内容': '真的不怎么样。。。跟描述的都不一样！确实在门口，比较近，不过食宿条件太差了！房间很一般很一般！希望朋友们不要去。。。', '短评打分': 1}
{'短评内容': '1、酒店离景区很近，非常方便，门口有免费大巴啊\n2、很安静、也卫生、有空调、有热水器、还有数字电视！\n3、鲫鱼豆腐汤好好吃啊\n4、菊花茶很好喝啊，老板说走的时候送一小包。忘记了！\n5、梅菜扣肉好肥哈哈！有点咸！\n老板很热情！所以我推荐朋友入住这里的。', '短评打分': 5}
{'短评内容': '房间不错 老板很热情！免费接送！房间不错 老板很热情！免费接送！房间不错 老板很热情！免费接送！房间不错 老板很热情！免费接送！', '短评打分': 5}
{'短评内容': '相当美的夜景，离宾馆很近，很方便。宾馆老板一家都很热情。', '短评打分': 3}
{'短评内容': '沁水園的服務親切,住宿環境及地點好,值得一住', '短评打分': 3}
{'短评内容': '离晾区真的很近,房间也还可以,挺宽敞干净,不错.', '短评打分': 5}
{'短评内容': '老板人很好，白水鱼味道正宗，只是不在景区内', '短评打分': 3}
{'短评内容': '环境很好，地理位置非常好。', '短评打分': 3}
{'短评内容': '在乌镇入口处，还算不错，老板也比较热情，价格还算合理。', '短评打分': 5}
{'短评内容': '老板很热情，服务不错，房间一般，离西栅景区很近。', '短评打分': 5}
{'短评内容': '环境还行，干净服务很好很热情。洗欲用品自己带啊', '短评打分': 5}
{'短评内容': '服务真的很好，老板很热情，还有免费的早餐。离西栅景区真的很近。', '短评打分': 5}
{'短评内容': '不在西栅景区里，房间太简陋，洗澡都挨着马桶，十分不方便', '短评打分': 1}
{'短评内容': '＋还不错，哈哈，已成功入住', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '离西栅真的很近！老板人很好服务态度也很好，卫生条件挺好的，就是床的噪音太大了…隔音也有点差…', '短评打分': 5}
{'短评内容': '酒店不错，离西栅景点非常近，晚上夜游回来方便住宿。老板服务也是不错滴', '短评打分': 5}
{'短评内容': '老板人很热情 还问老板娘要了扎头发的皮筋 离景区很近很方便', '短评打分': 5}
{'短评内容': '离景区真的很近,到东西栅和汽车站的交通也和方便.如果没有定到景区内的民宿的话可以考虑.', '短评打分': 5}
{'短评内容': '位置好，老板热情，用餐也不错，倒是景点没太多意思', '短评打分': 5}
{'短评内容': '客人说不错，下次还会选择你们的，我们认这可以放心推荐', '短评打分': 5}
{'短评内容': '哈哈，家庭式的宾馆，旅游景点很好了，老板很客气，真有宾至如归的感觉。', '短评打分': 5}
{'短评内容': '很不错，很干净，离景区非常的近，门口就是，以后还会住', '短评打分': 5}
{'短评内容': '房间网速很不错，就在景区门口，走过去很舒服，而且客运站有公交直达，就是洗澡很不方便，玻璃门，毛巾感觉不好，洗漱用品自带的话就没问题了！', '短评打分': 5}
{'短评内容': '房间不错 老板娘人也很好', '短评打分': 3}
{'短评内容': '性价比很高,服务也不错,房间大小合适,设备干净,酒店的班车很方便.', '短评打分': 5}
{'短评内容': '老板十分热情,还主动来汽车站接我们.房间很干净,酒店位置很好.下次还要入住.', '短评打分': 5}
{'短评内容': '不怎么样,我明明说的大床房,他给我间标房,里面浴巾也没有的,后来问老板娘拿的', '短评打分': 1}
{'短评内容': '房间够大，干净，基本设施齐备，老板十分热情，服务周到。饭做的很好吃。位置也不错，出西栅景区南门就是，晚上很安静。', '短评打分': 5}
{'短评内容': '老板人非常好.住宿环境也不错.下次去乌镇还住这里.', '短评打分': 3}
{'短评内容': '觉得以后再也不会假期去了，价格太高，性价比太低。', '短评打分': 1}
{'短评内容': '酒店离景区门口很近，老板也很热情，下次来还住这里，呵呵！', '短评打分': 5}
{'短评内容': '酒店位于西栅景区的大门口，老板很热情，酒店也还干净，就是这个价格有点稍高了点。', '短评打分': 5}
{'短评内容': '位置很好就在景区南大门外，标准间面积较大，卫生和设施也不错，老板夫妇很热情，饭菜味道也不错，唯一缺点是价格太高了。', '短评打分': 5}
{'短评内容': '老板很热情，饭菜也很可口，离景点超近很方便的 我们三人间还有电脑 ', '短评打分': 5}
{'短评内容': '房间很干净，老板很热情', '短评打分': 5}
{'短评内容': '酒店真一般，但老板娘真的挺热情，如果不住景区内，住这是离景区最近的一家酒店了！', '短评打分': 5}
{'短评内容': '位置就在西栅南门旁边，非常方便，服务也很好，卫生干净。', '短评打分': 5}
{'短评内容': '我们觉得还好!态度很好!', '短评打分': 5}
{'短评内容': '位置方便，服务卫生还不错，但奇怪的是大床房的被子是单人用的，那叫一个郁闷呀！', '短评打分': 3}
{'短评内容': '位置比较方便就在西栅的大门口卫生和服务也不错的家庭旅馆有点奇怪的是为什么大床房的被子是单人间的尺寸两个人盖住了脚就没法盖过身上', '短评打分': 5}
{'短评内容': '+服务真的很不错，环境也很好！', '短评打分': 5}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '该店老板服务态度极好，有一种回家的感觉，毕竟是个体，因而在硬件上还须改善，想想在镇上能有这么好的宾馆，已经不错了。', '短评打分': 3}
{'短评内容': '房间很干净，家常饭菜可口﹑价格实惠。', '短评打分': 5}
{'短评内容': '虽说不在园内，但服务态度好，很热情。值得。', '短评打分': 5}
{'短评内容': '设施比较简陋，也没个电话，最主要的是两个大男人给安排了一个大床，怎么住啊。酒店说房紧给换不了房，只能再加张床，太晚了只能先住下了。第二天就退了。', '短评打分': 1}
{'短评内容': '该宾馆干净卫生，服务热情周到，值得推荐。', '短评打分': 5}
{'短评内容': '老板很热心，只是由于是私人开的，本该有的被能省就省了。。。。', '短评打分': 5}
{'短评内容': '宾馆的位置很好，就在景区大门口，这次我请朋友来乌镇游玩，第二次入住沁水园，朋友感觉非常好，老板很热情、菜做的也很好吃，还帮我们买回去的车票，极力推荐。', '短评打分': 5}
{'短评内容': '已经入住，吓了一跳，性价比果然低到鬼哭神嚎的地步，五星的价格招待所的享受…应该好好宣传宣传！！', '短评打分': 5}
{'短评内容': '性价比很低，卫生较差，设施陈旧，地理位置尚可，服务热情，不要预定高级大床房，没有的，骗你有，不要上当！', '短评打分': 1}
{'短评内容': '不错的位置，就在西栅大门口。老板人很好，饭菜做的也不错', '短评打分': 5}
{'短评内容': '位置不错，离西栅景区很近，老板一家为人热情，房间也比较干净。但感觉房价较高，与其他大中城市同等价位酒店比，设施有距离，性价比一般。', '短评打分': 5}
{'短评内容': '娘很满意，开始她对私人的很不放心，怕不安全什么什么的。但是这家酒店虽然是私人自己开的，但是算上有些规模。而且私人的好处就是你可以尽可能的利用能够利用的资源，比如说中午买个西瓜冰他们冰箱里晚上回来吃，在他们前台的电脑上登录renren传照片，哈哈。', '短评打分': 5}
{'短评内容': '老板好，菜好吃，位置也好。。', '短评打分': 3}
{'短评内容': '老板很热情哈。。。餐厅的菜也很好吃啊。地址在西栅景区门口，去景区很方便。极力推荐。', '短评打分': 5}
{'短评内容': '距离乌镇西栅很近，家庭式旅馆，该有的都有，老板老板娘态度也挺好\r\n\r\n价格略高，总体不错', '短评打分': 5}
{'短评内容': '服务比较好！', '短评打分': 5}
{'短评内容': '位置非常好，就在西栅牌坊旁边；服务更好，有种宾至如归的感觉，来回乌镇车站都有车接送（其中回程去车站时店内的车不在，是老板娘另外雇车送我们去车站的），真的很感动！水乡的蚊蝇多了点，如果这点能改善，那就非常完美啦！', '短评打分': 5}
{'短评内容': '不适应卫生间', '短评打分': 1}
{'短评内容': '有人到车站来接我们，很热情。到了宾馆，我们被安排到通风透亮的房间，采光很好，房间也很干净。就是夏天蚊子太多，一楼苍蝇很多，需要老板做好灭蝇工作。宾馆靠近西栅，位置很不错，就是到东栅需要坐车或步行一段时间，但是总体来说还是很好。', '短评打分': 5}
{'短评内容': '酒店的位置就在西栅门口，离景区好近哦。\r\n老板的服务很好，菜做的很香，房间也蛮干净的。\r\n下次来还住这。', '短评打分': 5}
{'短评内容': '就在西门口，老板娘挺热情的，推荐', '短评打分': 5}
{'短评内容': '旅店位于乌镇西栅门口，位置方便，老板服务态度值得称赞，下次有机会还会定那里。', '短评打分': 5}
{'短评内容': '唯一值得说的是酒店的位置，就在景区门口。其余，真是乏善可陈，设施不好，房间小，性价比低。还好，此次乌镇行是自己的美好回忆。老板人很好，还邀请我一起吃饭。宾馆的菜烧得很咸。', '短评打分': 1}
{'短评内容': '该酒店位于乌镇西栅景区南大门，真的是一步之遥，很近。老板的服务态度很好，热情周到。要是房钱能再便宜点就好了。', '短评打分': 5}
{'短评内容': '老板和老板娘人都很好，端午节去的，早餐的粽子相当好吃~~~\r\n宾馆离西栅很近，很方便~~~~', '短评打分': 5}
{'短评内容': '酒店位置不错，卫生较好，就是房间小了点', '短评打分': 5}
{'短评内容': '地理位置非常好，靠近西栅大门，游玩回来很累，走路3分钟就可回到酒店中休息，不知道羡慕死多少人~店内老板非常热情，服务非常周到，早上起来负责叫车送我们回车站~~饭菜也很香~~下次去乌镇还要住他家！', '短评打分': 5}
{'短评内容': '有点吵哦！', '短评打分': 3}
{'短评内容': '位置很好，就是环境不够安静！', '短评打分': 5}
{'短评内容': '不错。 第一次入驻。 老板娘 和服务的阿姨 都很热情。 不错。 就在西栅南大门 门口。  就是有点点偏僻而已。 但是没事。 可以直接穿过南门去东门那一片看看。 行。 \r\n卫生也不错。 值得推介。', '短评打分': 5}
{'短评内容': '房间太小了，相比之下价格有点偏贵', '短评打分': 3}
{'短评内容': '酒店位置和卫生状况都不错，就是房间小了点，放电脑的地方都没有。', '短评打分': 5}
{'短评内容': '老板和老板娘都很好，很热情，还有免费早餐。。。电视是卫星电视，只是没有无线网络有点可惜。距离乌镇的西栅很近，交通非常方便。。', '短评打分': 5}
{'短评内容': '价格从网上订有些贵 不如到当地订才100块', '短评打分': 5}
{'短评内容': '就是私人小饭店', '短评打分': 1}
{'短评内容': '酒店主人的服务超好，绝对宾至如归。费用嘛，仁者见仁。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '帮朋友预定的，比较干净卫生，老板娘态度也不错。', '短评打分': 5}
{'短评内容': '房间比较干净，整体来说比较值得推荐', '短评打分': 5}
{'短评内容': '性价比很高，就在西栅景区门口，适合看西栅夜景', '短评打分': 5}
{'短评内容': '入住当天，网络稍有些慢，后来搞定了，其他都很好。', '短评打分': 5}
{'短评内容': '老板很客气，服务不错，位置也很好。房间比较干净，整体来说比较值得推荐', '短评打分': 5}
{'短评内容': '房间很干净，建议酒店的纸巾再好点，其他不错。', '短评打分': 5}
{'短评内容': '就在西栅景区门口，适合看西栅夜景,性价比不错', '短评打分': 5}
{'短评内容': '这家酒店其实是一个四层小洋房。里面房间建议住303，301太小。离乌镇买票的地方很近。走路几分钟就到了。很适合夜游乌镇居住。\r\n总的来讲，不错。性价比很高。', '短评打分': 5}
{'短评内容': '老板很客气，服务不错，地理位置好。', '短评打分': 5}
{'短评内容': '入住当天，网络有点故障，上网比较慢，其他都很好。', '短评打分': 5}
{'短评内容': '房间很干净，建议酒店的纸巾再好点，其他不错。', '短评打分': 5}
