{'短评内容': '非常的不错', '短评打分': 5}
{'短评内容': '服务很差 前台人少，房价不值可能是世博的缘故吧', '短评打分': 3}
{'短评内容': '前台服务很差。爱理不理的 前台人也少。 打电话送房间一卷卫生纸还必须打2次电话。不是因为开展会绝对不会来这住了', '短评打分': 1}
{'短评内容': '有待提高', '短评打分': 1}
{'短评内容': '很不错！值得推荐', '短评打分': 3}
{'短评内容': '干净舒适！', '短评打分': 5}
{'短评内容': '非常不错，物超所值', '短评打分': 3}
{'短评内容': '酒店的位置有点远。若是在浦东办事的话那到是很不错的选择，房间很新。', '短评打分': 3}
{'短评内容': '就是远了点，坐车回市中心要很久，房间不算小，床也很舒服\r\n', '短评打分': 5}
{'短评内容': '很干净，房间采光也不错', '短评打分': 5}
{'短评内容': '上海太大了，要住离地铁近一些的酒店。我们住在这里，没有速8的条件和设施好，并且还较贵，不象宣传的那样好。所以，不推荐住在这里。当然，如果是商务旅行就另说了。', '短评打分': 1}
{'短评内容': '房间不算小，床也很舒服，整体感觉不错', '短评打分': 5}
{'短评内容': '住在二楼的~一进房间有一种臭味！后来发现是卫生间下水道传来的。。。拿了毛巾沾了水压在下水道口才没有了。其他都不错~唯一的就是臭。。。一开始弄得我心情都不好了。希望下次入住可以没有这方面的尴尬~', '短评打分': 5}
{'短评内容': '简直是物超所值，在浦东办事的朋友强烈推荐此店', '短评打分': 5}
{'短评内容': '很好，很舒服', '短评打分': 5}
{'短评内容': '服务员的工作熟练度还需要完善，但服务员态度很好。', '短评打分': 5}
{'短评内容': '很舒服，不错\r\n就是远了点，坐车回市中心要很久', '短评打分': 5}
{'短评内容': '位置还可以,房间也不错,就是早餐差,房间写的是9:00早餐结束,但是你要是超过8点10分去吃的话,基本上没东西了;', '短评打分': 3}
{'短评内容': '还可以,就是早餐一般,而且说是9点半前结束,其实8点半就没什么吃的了.', '短评打分': 5}
{'短评内容': '仅位置有点偏远，其他都比较好', '短评打分': 5}
{'短评内容': '酒店各方面感觉都还可以,在同等价格的酒店中还是不错的一家,就是位置不明显,不太好找', '短评打分': 3}
{'短评内容': '相对比较好', '短评打分': 5}
{'短评内容': '比较好，尤其早餐是相关连锁酒店中最丰富最好的，就地理位置不好', '短评打分': 5}
{'短评内容': '酒店各方面感觉都还可以,在同等价格的酒店中还是不错的一家,就是位置不明显,不太好找', '短评打分': 5}
{'短评内容': '装潢感觉不错，很舒适，环境干净，性价比高', '短评打分': 5}
{'短评内容': '大堂一角有个商务中心，不错。房间性价比不错，隔音不太好。餐厅无窗有点压抑，饭菜质量待提高。', '短评打分': 5}
{'短评内容': '酒店的服务、环境都很好，出行不太方便', '短评打分': 5}
{'短评内容': '酒店内部环境还可以，价格也合适，当时酒店附近在修路没，出门吃饭不是很方便', '短评打分': 5}
