{'短评内容': '舒服、环境不错', '短评打分': 5}
{'短评内容': '环境一般，但是酒店位置很好，还算干净，住了两天，服务也不错。赞', '短评打分': 5}
{'短评内容': '不错的酒店，就是电热水器不怎么好，因为冲凉时一会儿就没有热水了。可以考虑换成空气动热能热水器', '短评打分': 5}
{'短评内容': '位置方便，前台服务慢，房间宽敞，推荐入住！', '短评打分': 5}
{'短评内容': '装修风格我很喜欢，很安静，网速还不错，唯一不好的就是位置不好找，网上地址没给清楚，总体来说我给4颗星', '短评打分': 5}
{'短评内容': '超值，酒店房间绝对够得上4星级的水准。另外还有洗衣机，实在是太方便了。交通也是相当的方便。总之，绝对的推荐', '短评打分': 5}
{'短评内容': '适合度假，生活配套完善，有洗衣机。地段也行，酒店附近早餐方便。就是酒店卫生细节不尽人意。', '短评打分': 5}
{'短评内容': '住过好多城市的公寓式酒店都让我很满意，性价比极高。\n花城假日的房间很宽敞，风格很小资，厨卫俱全。\n喜年广场物业很不错，24小时有保安给开门关门，下雨天还借了把伞。', '短评打分': 5}
{'短评内容': '比较舒适，挺满意的！', '短评打分': 3}
{'短评内容': '乾淨\n新穎\n地點也好\n\n唯一小小的缺點是 地毯稍微髒了些\n\n', '短评打分': 5}
{'短评内容': '位置不错，距春熙路只有七八分钟路程，比较满意', '短评打分': 5}
{'短评内容': '性价比较高，当晚住顶层景观不错，房间有WIFI，但网络....', '短评打分': 5}
{'短评内容': '＋西式全景房，跟图片上一样，床很大很舒服，满意，卫生间相对旧点。', '短评打分': 3}
{'短评内容': '前台和服务比较冷漠，但是房间装修还不错', '短评打分': 3}
{'短评内容': '房子比较不错，还可以，以后还是会住的。....', '短评打分': 5}
{'短评内容': '比较舒适！', '短评打分': 3}
{'短评内容': '不错的酒店。有家的感觉，还有电磁炉，和锅。下次可以考虑来煮火锅吃了。就是周围在修房子。比较闹，那些睡眠不怎么好的，比较困难', '短评打分': 5}
{'短评内容': '酒店位于下东大街上的喜年广场大厦，从大厦贵阳银行边的小门进去，属于公寓性质的酒店，离春熙路步行也就5分多钟，这也是我们选择的原因。\n酒店进出需要门禁卡，有物业管理，我们预定的是豪华景观房，不过两面窗口也看不到多少漂亮的景致。客房内有滚筒洗衣机这个不错，起码我们夏天带来的衣服每晚都能换洗，第二天就干了。床很大，软硬适中，机顶盒初次使用需要琢磨一番，由于我们带的是平板电脑没有用酒店的网线，不知道效果如', '短评打分': 5}
{'短评内容': '差徑!只有一個字形容,爛!網速慢,設備又簡陋,跟圖片根本不一樣,離市中心又遠,原本預訂2星期,住了1睌就退房了,預定還必須用信用卡擔保,住宿還不可以刷銀聯或信用卡,什麼時代了,奉勸大家別去阿!', '短评打分': 1}
{'短评内容': '房间很大，位置靠近步行街！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '其他都还挺好的，就是很早就被楼上的装修声吵醒了。', '短评打分': 3}
{'短评内容': '还行。', '短评打分': 3}
{'短评内容': '没什么服务............................', '短评打分': 1}
{'短评内容': '酒店环境还不错，房间也够大，下回还会住。', '短评打分': 5}
{'短评内容': '酒店交通挺方便，房间里有洗衣机，这是最有用的一点', '短评打分': 5}
{'短评内容': '本来预订的泰式房，结果到店后，酒店工作人员说由于工作失误，泰式房已被订满，房间被临时调整成了中式房……希望下次杜绝这样的疏忽。', '短评打分': 5}
{'短评内容': '经济实惠的酒店 位置好 房间装修也不错 \n不过要求得到星级酒店服务的住客不宜入住 因为整栋大厦有至少4家类似的酒店 一层楼的各个房间属于不同的酒店管理  各家酒店规模小 人手不多 难怪之前会有住客投诉服务有时欠佳\n如果不是很介意这方面的问题  也值得来尝试一下', '短评打分': 5}
{'短评内容': '一如既往的好，不过朋友的耳环掉了没找到。', '短评打分': 5}
{'短评内容': '室内装修还可以。但是厕所浴室明显不足！\n\n老板很热情，服务不错，可以推荐', '短评打分': 5}
{'短评内容': '酒店设施都还不错，如果洗手间不是透明玻璃就更好了，总体性价比还是较高。', '短评打分': 3}
{'短评内容': '房间真大，透明浴室也不错，除了不好找以外什么都好。另外没有香皂。', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 3}
{'短评内容': '酒店位置不错,闹市中相对安静的地方;房间的布局、摆设也极力地模仿星级酒店；但是不足之处是卫生跟不上酒店的标准，当然，这毕竟不是酒店。', '短评打分': 5}
{'短评内容': '很不错的公寓式酒店,装修很喜欢,房间楼层高,很安静,窗户可以看到不错的夜景,房间有滚筒洗衣机,洗衣服很方便啦.离春熙路也很近,步行3分钟把.总之很推荐.', '短评打分': 5}
{'短评内容': '除了没有前台有些麻烦,其他都是非常不错的,以后有机会还回来', '短评打分': 5}
{'短评内容': '位置好，房间大，服务也不错，还能洗衣服，很适合中长期住', '短评打分': 5}
{'短评内容': '酒店房间非常不错，对于此价格来说，物有所值。地理位置也 很好，宽敞。', '短评打分': 5}
{'短评内容': '很哈，很喜欢…………房间很干净，就是有点吵，旁边在建高楼…………', '短评打分': 5}
{'短评内容': '酒店地址不太好找，但是房间面积大，如果想感受高层的景色还是很推荐的，但是服务不如酒店的到位！', '短评打分': 5}
{'短评内容': '位置便利，房间宽敞，周围好吃的东西特别多，总体比较满意:）', '短评打分': 3}
{'短评内容': '交通方便，房间很好，很宽敞。装修得很舒适，还会再住', '短评打分': 5}
{'短评内容': '环境还可以只不过没有酒店的氛围，很冷清', '短评打分': 3}
{'短评内容': '花城酒店环境很好，就是地址不好找。没有明显的标志。不过找到了感觉房间总体还可以。', '短评打分': 3}
{'短评内容': '环境不错，就地方是有点难找，不过毕竟是公寓式酒店，没有大厅，可以理解。\n我住的那个房间，空调不是很给力。。。\n总的来说，是个很不错酒店了', '短评打分': 5}
{'短评内容': '地點很好 步行至春熙路約5分  不像酒店 倒像是借住民宅 房間不錯 寬帶是无線的', '短评打分': 5}
{'短评内容': '非常好，像家一样，价格还便宜，服务态度也好，真的不错！', '短评打分': 5}
{'短评内容': '第1次尝试公寓酒店，没想到非常的满意。优点:地段非常好，建筑显眼易找，房间大，全景房非常好，配置新，适合度假出差也不错，有家的感觉，价格不高还蛮气派，性价比高。缺点：电热水器水，2个人洗就显不太够了。要分开点时间洗，最冷的天，房间大，空调就稍微弱点。其他都很好，会推荐给朋友。', '短评打分': 5}
{'短评内容': '酒店是不错，不过比较难找，因为没有指示牌，找了好久才找到，还有是暖气不够暖。', '短评打分': 1}
{'短评内容': '酒店不错，环境温馨，唯独位置不好找，卫生干净', '短评打分': 5}
{'短评内容': '优点： 地址位置在市中心， 装修不错。\n缺点： 热水要先烧再能洗，对于这样较高档的酒店公寓实在有些欠佳\n       一次性用品质量太差', '短评打分': 5}
{'短评内容': '真的很实惠！！房内装修好  可惜楼有点高 30楼。。怕高  哈哈  下次还会来！', '短评打分': 5}
{'短评内容': '酒店装修的不错，也比较干净！\n但显然软件及细节上还停留在小旅馆的境界，室内没有固定电话、水龙头上的吊柜过低导致无法使用、热水供应仅仅15分钟、质量低劣的一次性用品等等皆影响了整体品质！', '短评打分': 5}
{'短评内容': '是个非常好的公寓酒店，虽然酒店的前台也是设在房间里的，不过对客人还挺客气的，房间么一开始住的是他们的豪华全景房，但是旁边正好在造新的大楼非常吵，所以要求换了一间房，但是他们生意实在太好了，都没什么房间可调，不过还算好，我说我是要住5天的，一直这么吵不行，后来还是给我换到了中式的房间，就在他们前台的对面的房间，设施和豪华房一样，就是没有电话，有点不方便，其他的都还好，房间内的设施不错，都比较新，家具', '短评打分': 5}
{'短评内容': '看了网上评价后预定的。硬件确实不错，软件（服务和细节）尚需改进', '短评打分': 5}
{'短评内容': '这家酒店最大的缺点就是太难找了，商务楼是新造的，没有任何的指示牌和门牌号码，非常难找，找了整整一小时。但是房间内部装修非常好，因为是新造的酒店，所以设施都很新，床也很大，装修风格比较时尚现代，就是洗澡水怎么也不热，把我冻的够呛，另外不如意的地方就是枕头太高了，睡起来不够服帖。其他都很满意，已经推介给朋友入住了。', '短评打分': 5}
{'短评内容': '不错,已经是第二次入住了,下次去还会住在那里', '短评打分': 5}
{'短评内容': '酒店位置还可以，但是外观没有装修完，没有明显标志，前台在一个屋里，不是很规范，夜里去就麻烦了，找不到前台，因为不开门办公。但是房间装修和面积都不错，洗澡水好像是电加热，要快洗。性价比也合适，总体还行。', '短评打分': 5}
{'短评内容': '新开的酒店，性价比很不错。\n我中途有事退房了，老板很体谅的收了半价。\n5分。', '短评打分': 5}
{'短评内容': '离春熙路还算近，酒店是新开的，连招牌都没有，比较难找。房内的装修还算不错。', '短评打分': 5}
{'短评内容': '房间很大，设施很好，位置也很好，公寓式服务很方便很体贴。房间开放式卫生间，淋浴间和厕所较小，厕所没有遮挡不是很好。牙刷和鞋质量不好，可以的话酒店还是应该采用质量好的。房间里德厨房餐厅使用很方便，有电磁炉可以做火锅，哈哈。\n给个建议，地毯还是经常打扫一下，看上去有点脏，进门的地方搞个显眼的换鞋提示，加上一双厚厚的拖鞋，会对地毯的保洁很有帮助。', '短评打分': 5}
{'短评内容': '非常不错的一家酒店,很喜欢,下次还去.不过用信用卡担保有点不太合理~', '短评打分': 5}
{'短评内容': '很有潜力的一家公寓，性价比很高，只要把细节东西做好了，能算得上4星吧。呵呵，还需再接再厉。', '短评打分': 5}
{'短评内容': '环境不错，房间够大。但房间配置的东西比较差。', '短评打分': 3}
{'短评内容': '地段不错，出行方便。酒店条件也不错，挺干净。下次还会考虑', '短评打分': 5}
{'短评内容': '离市区较近，出行方便，酒店环境还是可以的！值！', '短评打分': 5}
{'短评内容': '各方面都没话说非常好！！ 装修很不错！\r\n唯一不足就是厕所也该像浴室那样搞个帘子。。。。\r\n\r\n推荐情侣入住', '短评打分': 5}
{'短评内容': '因为设备很新，所以舒适度不错。只是今后如何保持，需要管理跟进。', '短评打分': 5}
{'短评内容': '酒店整体来说还算不错。接待的MM很热情，到店夜里1点多说要洗衣服，还主动给了洗衣液。', '短评打分': 5}
{'短评内容': '入住3016西式全景房，卫生间有点小，全玻璃式没有遮掩似乎不是太好。窗帘也很透明。性价比还可以。', '短评打分': 5}
{'短评内容': '有家的感觉。。。感觉卫生间设施简陋了一点。冒进掉毛。。。。。老板的态度服务非常好。', '短评打分': 5}
{'短评内容': '酒店很不错！隔音很好、够大、设备也全、地点也好。', '短评打分': 5}
{'短评内容': '浴室内没有置物架，取东西很不方便，室内卫生稍差，一次性香皂和脱鞋质量有些次，不太符合室内装修定位，下次不会选。', '短评打分': 3}
{'短评内容': '在喜年公寓头，空间大，楼层高，房间新设施不错。但卫生状况不如连锁酒店那么好，毛巾掉毛，容器有污垢，厕所无遮挡，浴室无置物台，热水器容量偏小，床偏硬。接待处很简陋感觉很不正规。', '短评打分': 5}
{'短评内容': '+花城假如硬件设施比较好，只是现在筹备阶段，没看到服务员，但是店家态度还不错，屋里卫生不如如家更不如锦江之星，距离春熙路步行1', '短评打分': 5}
{'短评内容': '离春熙路很近，又是新开的店，房间很大还有厨房，很喜欢~', '短评打分': 5}
{'短评内容': '浴室没有架可放沐浴露等东西。每次都要走出淋浴间拿令到地板全湿很烦人', '短评打分': 5}
{'短评内容': '很不错的公寓自助式酒店！位置在市中心，交通非常方便！', '短评打分': 5}
{'短评内容': '环境不错，干净舒适，交通方便', '短评打分': 5}
{'短评内容': '\u3000很赞的酒店\u3000时尚干净服务热情周到\u3000性价比超高\u3000', '短评打分': 5}
{'短评内容': '环境不错，设计还行，新酒店住宿率一般，但是周围交通便利，还可以逛春熙路，还不错', '短评打分': 5}
