{'短评内容': '酒店很干净，不吵，房间不大但设施很齐全', '短评打分': 5}
{'短评内容': '房间整洁、干净，比较安静，隔音还好，前台服务不错。\n房间略小，离火车站有点远......离机场大巴乘降站也不是很近，去的当天晚8点左右没有热水，到将近晚10点才有热水。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错，下次还来', '短评打分': 3}
{'短评内容': '环境还可以，房间有点小！', '短评打分': 3}
{'短评内容': '汉庭口碑一直不错。主要是服务到位价格合适。长沙火车站汉庭交通便利价格不算太贵，深夜到访长沙或欲立即中转别地可以借宿一住。\n', '短评打分': 5}
{'短评内容': '条件不错很干净。,缺点卫生间太小,再就是最好该有个衣架凉衣服。', '短评打分': 3}
{'短评内容': '干净清爽，整洁卫生，采光好，而且服务员服务态度很好的哦，值得一住，下次有机会还是会来住的，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '位置好找，交通方便，价格比较划算，就是房间有点旧了', '短评打分': 5}
{'短评内容': '位置比较好找，就在省公安厅对面，交通便利，价格也比较合适，就是房间有点旧了', '短评打分': 5}
{'短评内容': '有点旧了，但是方便，离火车站民航大吧都很近，价格适中。', '短评打分': 5}
{'短评内容': '汉庭的品质，干净，实惠，服务态度好。到火车站的距离有点尴尬，走吧，有点儿远；出租吧，有点儿近。而且长沙打车很难，感觉出租车比较少。\n\n', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '干净，设施齐全，服务很好', '短评打分': 3}
{'短评内容': '感觉不错，要是进去房间里的气味清香点就更好了。', '短评打分': 3}
{'短评内容': 'LITTLE CARD...位子比较好  交通啊什么的都方便', '短评打分': 5}
{'短评内容': '服务还是不错，地点也不错，价钱还是便宜的。', '短评打分': 5}
{'短评内容': '离机场大巴下客点还是要走一会儿的 七八百米吧  在省公安厅对面  房间小  毛巾有点老旧 脏脏的 没有其它城市的品质', '短评打分': 3}
{'短评内容': '汉庭酒店，品质还是很好的。设施都不错。服务也很好的。\n不过这家靠近大马路，有点吵。\n', '短评打分': 5}
{'短评内容': '还不错,坐车很方便,环境也还好,坐168直接到省博物馆,很方便', '短评打分': 5}
{'短评内容': '环境很好··  床是很大·服务态度也很不错 就是周围没有很好的能逛的地方', '短评打分': 5}
{'短评内容': '汉庭口碑一直不错。主要是服务到位价格合适。长沙火车站汉庭交通便利价格不算太贵，深夜到访长沙或欲立即中转别地可以借宿一住。', '短评打分': 5}
{'短评内容': '位置很好，对面就是省公安厅，很安全啊！房间就小了点，但很干净。公车很方便。打车到商业区也就10元左右。', '短评打分': 5}
{'短评内容': '长沙火车站店离火车站远了点，酒店还不错', '短评打分': 3}
{'短评内容': '不错的酒店，下次继续选择', '短评打分': 3}
{'短评内容': '入住的这一间还行，只是房间很小，特别是洗手间，转身的位置都没有，空调很吵，床上和台面有头发，不是很干净，锦江之星好多了', '短评打分': 1}
{'短评内容': '晚上7点多入住，放下行李就出去了，12点回到酒店发现空调坏了（房间很闷很热），要求换房没有，要求退房但必须支付120元，房费才192，入住了5个小时就要支付120元（只洗了个澡而已），简直就是过分无理，而且当时很热，没有空调根本睡不了。后来无奈之下只好拿来风扇用着.....谁知到了半夜3点多，房间没有电（入住的另外一个房间没事），我要求必须退房，酒店还是不同意，而且态度恶劣，弄了许久才换了另外一间', '短评打分': 1}
{'短评内容': ' 汉庭一直都蛮好的~这边离长沙火车站大概步行十几分钟', '短评打分': 3}
{'短评内容': '离民航酒店蛮近的，从八一路长岛路穿出来就到五一大道了，玉楼东、火宫殿这些比较有名的餐饮就在马路对面，再往左边走一点点，即使民航大酒店了，7、8分钟吧，对面就是省公安局，很好认。。。\n设施齐全，服务态度佳，吹风机坏了一个电话，马上送了个上来，洗澡水很热水也大，晚上不关窗的话靠马路的比较吵，订的是周日百元房，所以觉得很超值！！！！', '短评打分': 5}
{'短评内容': '房间很小，但是很干净，也很方便。', '短评打分': 3}
{'短评内容': '位置很方便，到民航酒店坐大巴和火车站都很方便。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '酒店还可以，对于一般的消费族来说不错，离火车站很近，就是购物不方便', '短评打分': 5}
{'短评内容': '服务态度好 环境也还可以 不错的 房间也不错 不错', '短评打分': 5}
{'短评内容': '房间有点小，靠马路那边很热闹，要是隔音做得再好点就好了', '短评打分': 5}
{'短评内容': '这里不太好找，店面不太显眼．入住的感觉还不错．当时已经过了时间点，行李还是给看管了．房间住起来还挺舒服的．周边条件设施还行．', '短评打分': 3}
{'短评内容': ' 房间不错 就是灯不够亮', '短评打分': 5}
{'短评内容': '在长沙出差住过这两次了，总体感觉还不错，价格也实惠！', '短评打分': 5}
{'短评内容': '其它的都还可以 就是\r\n房间不通风 有股刺鼻的味道', '短评打分': 3}
{'短评内容': '其它的还好就是房间不通风，进房间有股刺鼻的味道', '短评打分': 5}
{'短评内容': '距火车站较近，出行方便，价格也比较适中，感觉还可以', '短评打分': 5}
{'短评内容': '还算不错，就是房间有些太小了。总的来说还算可以，比较干净。', '短评打分': 5}
{'短评内容': '离火车站近，交通方便，卫生还可以，性价比很高，条件还过得去', '短评打分': 5}
{'短评内容': '硬件设施、卫生环境比较满意，房间小点，单位面积的价格同比有点偏高', '短评打分': 5}
{'短评内容': '离火车站有点远的 走路需要20分钟左右   其他设施还可以', '短评打分': 5}
{'短评内容': '这个位置刚好在省公安厅大门对面！交通便捷！房间不大。但床铺很大！整体感觉还是不错的！', '短评打分': 5}
{'短评内容': '酒店空间太小，浴巾毛巾颜色发暗黑，地板陈旧，相比住过的连锁酒店中这家硬件最差。', '短评打分': 1}
{'短评内容': '离火车站要走10几分钟，离民航酒店也差不多10几分钟，这段路在夏天，如果走的话，是很热的，打的又觉得不划算，而且打的不是很好打。来往的都是载客了的。通常要等10来分钟才等到一辆空的士。如果想住在火车站附近，建议不考虑这家店了。', '短评打分': 1}
{'短评内容': '性价比不错，值得选择。', '短评打分': 3}
{'短评内容': '性价比不错，值得选择。', '短评打分': 3}
{'短评内容': '整体还不错。可以选择这。', '短评打分': 5}
{'短评内容': '太旧了', '短评打分': 1}
{'短评内容': '位置很好，但是门牌号和网上标的不对，出租车差点开远了，希望能及时调整。', '短评打分': 5}
{'短评内容': '服务态度很好。宾馆位置不显眼，但是室内设施齐全，还可以了。', '短评打分': 5}
{'短评内容': '总的来说还是可以，就是邻街的房间有点吵，窗子隔音不行。', '短评打分': 5}
{'短评内容': '由于我的授权单丢了,我现在钱回来没有回来我都不清楚.', '短评打分': 5}
{'短评内容': '门面很小，在公安厅附近， 隔着火车站15分钟的走路路程，不算近。', '短评打分': 1}
{'短评内容': '觉得挺好的 又近！方便', '短评打分': 5}
{'短评内容': '不错，很大，干净卫生，网速很快', '短评打分': 5}
{'短评内容': '不错，干净卫生，就是双人间都靠马路，有点吵', '短评打分': 5}
{'短评内容': '房间还蛮干净的,蛮好的,服务也还可以', '短评打分': 5}
{'短评内容': '房间比较小，衣柜也没有，总的评价一般吧。不过这个新春百元房的价格相比长沙其他经济型酒店倒是很实在，', '短评打分': 5}
{'短评内容': '房间挺干净，值得推荐', '短评打分': 5}
{'短评内容': '第二次入住，新加了吹风机，很方便！', '短评打分': 5}
{'短评内容': '客房服务员的记忆力很差，要一个什么东西，一个晚上没有见到人', '短评打分': 5}
{'短评内容': '就是房间小', '短评打分': 5}
{'短评内容': '设施太简陋了，卫生，服务都很一般，价格也不便宜，总的来说性价比不高，还靠着马路，太吵了', '短评打分': 1}
