{'短评内容': '有停车场，位置很好', '短评打分': 5}
{'短评内容': '位置、服务、设施都较好，但房间内网络使用太啰嗦，需输入许多：地址、网关、子网掩码等，望能简化', '短评打分': 5}
{'短评内容': '位置、服务、设施都较好，但房间内网络使用太啰嗦，需输入许多：地址、网关、子网掩码等，望能简化。', '短评打分': 5}
{'短评内容': '房间挺大,床很舒适,早餐还不错,性价比好', '短评打分': 3}
{'短评内容': '酒店大厅很漂亮，环境也不错，卫生间很大，价位也不高。物超所值。', '短评打分': 3}
{'短评内容': '酒店极其一般，到处都脏呼呼！', '短评打分': 3}
{'短评内容': '房间的床太硬，其他的还好。旁边是密虹公园，环境优美。交通方便', '短评打分': 5}
{'短评内容': '感觉很好，如果晚上餐厅晚点关就好了？', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '地毯稍脏，其他不错。', '短评打分': 3}
{'短评内容': '酒店挺好，床太硬了，应该加个辱子，', '短评打分': 3}
{'短评内容': '＋宾馆服务质量不错，价格也合理', '短评打分': 3}
{'短评内容': '还好…服务还可以…就是找了点时间', '短评打分': 3}
{'短评内容': '地理位置优越，环境不错。房间大小令人满意，只是卫生间问题较多，有漏水现象', '短评打分': 5}
{'短评内容': '地理位置优越，环境不错。房间大小令人满意，只是卫生间问题较多，有漏水现象。', '短评打分': 5}
{'短评内容': '周边环境好。尤其是18号房间，面对公园，春天来了很美的景色从窗户就可以欣赏了。', '短评打分': 5}
{'短评内容': '   4日住', '短评打分': 3}
{'短评内容': '总体不错，自从开了按摩，房间就不安静了。。', '短评打分': 5}
{'短评内容': '酒店很好,服务不错', '短评打分': 3}
{'短评内容': '还行。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置非常好，房间还OK，服务还OK，性价比好的酒店', '短评打分': 5}
{'短评内容': '酒店位置很好，饭菜也不错，是不错的选择。', '短评打分': 5}
{'短评内容': '环境好，值得一住', '短评打分': 3}
{'短评内容': '很满意,房间大舒服,离南山滑雪场很近!周围环境也很不错,去哪里都方便!', '短评打分': 5}
{'短评内容': '冬季不理想，中央空调有点冷。热水也不行，需要放好久才出热水。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '环经很好，服务周到', '短评打分': 3}
{'短评内容': ' \r\n房间宽畅,总体性价比还可以,但床太硬垫太薄。', '短评打分': 3}
{'短评内容': ' \n各方面条件与价格相配,总体不错,再来时还住此。', '短评打分': 3}
{'短评内容': '价格合理，位置在密云县城里，交通方便，早餐较为丰富。', '短评打分': 5}
{'短评内容': '酒店硬件设施还可以，但前台服务人员的态度冷若冰霜，下次不会来入住了\n', '短评打分': 1}
{'短评内容': '交通很便利，出了高速很快就能找到，位于密云县城中心位置，周围配套很齐全。停车位充足。服务热情周到。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，设施略显陈旧，但很干净。早餐还可以，交通便利是很大的优势，服务人员相当热情，建议住下试试看！', '短评打分': 5}
{'短评内容': '不错的酒店, 就是家具旧了点, 早餐挺好的, 推荐.', '短评打分': 5}
{'短评内容': '环境很好，服务不错,值得再去,开车去住是个很好的选择', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店配套设施、服务态度一般，早餐品种不多、也无多大变化，但综合价格尚可，去密云很值得一住。', '短评打分': 5}
{'短评内容': '服务好，非常满意。', '短评打分': 3}
{'短评内容': '酒店还不错 卫生间地很脏就是 ', '短评打分': 3}
{'短评内容': '酒店位置很好找，出门有一个大公园，环境很不错。房间细节有待提高，卫生间设施稍微落后一点，空调不太好用。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店总体不错，特别是饮食，在密云应该说算不错的了。大堂服务不错，有水准，但楼层服务较差，服务员在工作间大喊大叫，影响住客休息。', '短评打分': 5}
{'短评内容': '文锦世博酒店的床垫太薄，建议加后床褥！', '短评打分': 5}
{'短评内容': '1、在当地算是性价比很高的酒店了，交通特别方便，对面就有开往市区的980公交车。\r\n2、酒店的餐饮价格有高有低，炒饭挺贵的，量够4个成年男士吃，一个人点的时候服务员也没提个醒\r\n3、卫生间有点味\r\n4、早餐还可以\r\n5、房间里的农夫山泉只有380ML的小瓶装，5块钱有点贵\r\n6、洗衣服务有点慢，需要超过24小时', '短评打分': 5}
{'短评内容': '服务员素质太低，说话一点没有礼貌，业务能力也不行\r\n', '短评打分': 1}
{'短评内容': '经常入住，各方面都属于上乘。价位合理，地理位置很好，服务也很到位。', '短评打分': 5}
{'短评内容': '不错,在密云算很不错的酒店了.性价比很高,而且视野比较好,窗户前就是河\r\n早餐还不错.服务也好,下次还去', '短评打分': 3}
{'短评内容': '服务周到，态度热情。屋内地毯略脏，有待清洗。', '短评打分': 5}
{'短评内容': '服务周到 房间设施完备 交通方便 房间视野很好 下次还住', '短评打分': 3}
{'短评内容': '酒店的早餐品种单调，牛奶都没有，房间的地毯很脏，需要清洗，设施较旧，性价比不高。', '短评打分': 5}
{'短评内容': '外面挺不错，房间地毯不太干净，其他没有什么问题，还算舒适。', '短评打分': 5}
{'短评内容': '非常好 性价比高', '短评打分': 5}
{'短评内容': '周边环境很好，酒店很舒适。', '短评打分': 3}
{'短评内容': '环境很好。', '短评打分': 5}
{'短评内容': '离国泰西单商场非常近，房间面积大，酒店服务很好，早餐一般，性价比还是很高的！', '短评打分': 5}
{'短评内容': '很干净~~服务态度很好~~\r\n中央空调一点不凉~~\r\n晚上还不开~~', '短评打分': 5}
{'短评内容': '房间挺大的，尤其是卫生间，不过卫生间地面实在不敢恭维，灰尘太厚了，问了服务员是不是没拖地，答到:就是这样花色的地砖，我信以为真，就赤脚踩上去了，结果淋浴开关一开，就发现了地砖的真面目，脚底板上也是一层黑。不知道是不是那个房间N久没人住过了，还是怎么回事，真叫人无语。', '短评打分': 1}
{'短评内容': '挺不错的选择', '短评打分': 3}
{'短评内容': '性价比比较高的酒店，值得推荐', '短评打分': 5}
{'短评内容': '对于在密云出差的人来说住在那里还是性价比较高的，早餐较丰盛，价格合理，推荐入住。', '短评打分': 5}
{'短评内容': '比较干净，有的房间能看到密云河，和北面山上奥运标志，晴天时开窗看远山蓝天，吸一口清新空气，好棒！！！', '短评打分': 5}
{'短评内容': '若改善一下早餐与服务态度则更有性价比 ', '短评打分': 5}
{'短评内容': 'bcuo', '短评打分': 3}
{'短评内容': '位置不错，性价比还可，早餐较差 \r\n', '短评打分': 3}
{'短评内容': '不错，就是早餐服务人员一问三不知', '短评打分': 5}
{'短评内容': '综合条件不错。值得入住。', '短评打分': 5}
{'短评内容': '住的还可以，吃的一般', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧了，但是东西很齐全，服务态度还可以，这次安排到七楼，正好可以看到县城容貌，很不错，下次还会入住', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '位置不错，性价比还可，早餐较差', '短评打分': 5}
{'短评内容': '位置不错，性价比还可，早餐较差。', '短评打分': 3}
{'短评内容': '春节期间入住客人很少，服务不错，早餐较差。', '短评打分': 5}
{'短评内容': '不太好，但价格还行', '短评打分': 1}
{'短评内容': '我网上定的是17号11：30PM入住，一直到11：55才办理下来，并告知因过年比较忙，打扫房间人手不够，暂时没有房，需要再等20分钟。经过协调，将延迟我们19号的入住时间。房间的浴室很糟糕，排水口很小，洗完澡，整个浴室都是水，服务员说都这么小，没办法处理。谢谢网友提醒，房间里的矿泉水是收费的，我问了下，5元一瓶。\r\n酒店服务态度还不错，经理处理问题也很及时。相对其他酒店而言，性价比还是很高的。早餐', '短评打分': 5}
{'短评内容': '性价比还不错，地理位置比较便利，服务一般，客房还算干净', '短评打分': 5}
{'短评内容': '性价比很高，自助早餐还不错就是量少了点，去太晚的话估计就不剩什么了，卫生间洗澡用拖鞋感觉稍微差了点，其他都不错。', '短评打分': 5}
{'短评内容': '酒店很舒适，早餐不错，还可以免费洗浴，不错，下次还会去住。', '短评打分': 5}
{'短评内容': '要是酒店的服务意识再增强一些就好了。。。。', '短评打分': 5}
{'短评内容': '我入住的是大床房，房间挺大的，装修挺好的，不过卫生间的装修显得稍差点。房间有两个空调排气口，但是好像只能开一个，所以晚上房间一边热一边冷。房间里有两小瓶矿泉水（300ml左右），但是没有标价格，以为是赠送，结果结帐时说每一瓶5元（好像里面的旺仔也就6元），感到不是很爽。房间靠马路，能够看到密云的风景，挺美的，晚上也不吵。', '短评打分': 5}
{'短评内容': '淋浴地方不好，空间不大，人员服务到位，价格合适', '短评打分': 3}
{'短评内容': 'It is very good compared with the price. I will recommend my friend for this hotel.', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务员的态度不太好，也不热情 。最让人接受不了的是酒店前厅部前台的员工，对酒店产品知识不清楚，服务态度超恶劣，特别没有素质，如果不是因为他们的缘故，我想我下次还去住这家酒店的，劝各位也不要去那里，如果非要住的话那有远离前台员工了。其他还好，交通也方便，比较安静。\n', '短评打分': 1}
{'短评内容': '原先住在世豪B座没有早餐没法上网，同等价位在文津世博有双早和免费的网络，二楼还可以免门票洗浴，蛮实惠的。论设施的确没有世豪好（好歹人家是五星），但是服务等我觉得比世豪还要好，麻利快捷而且比较实在。\n唯一不太好的就是空调，冬天时冷时热的，有些不习惯。其他都蛮好', '短评打分': 5}
{'短评内容': '房间较大 舒适 在网上订 很划算   房间的床很舒适  衣帽间的女士衣架很温馨 设施9成新 卫生间也挺大的 （就是淋浴的喷头有问题 水花乱溅）服务员的态度 不太好 也不热情 总的来说 硬件设施还是不错的。。。', '短评打分': 5}
{'短评内容': '确如其他评论，卫生间地面没有能够清除装修污渍，感觉不干净；淋浴房门关不上；淋浴开关安装反了，使用不便。其他还好。靠近密虹公园，交通也方便，比较安静。', '短评打分': 5}
{'短评内容': '因为是新酒店的缘故，设施还比较不错，只是卫生间内的工程做的不是很好，很糙，卫生间地面显得很脏；客房服务员的还是比较专业的\r\n最让人接受不了的是酒店前厅部前台的员工，对酒店产品知识不清楚，服务态度超恶劣，特别没有素质，如果不是因为他们的缘故，我想我下次还去住这家酒店的，只是因为他们。。。下次不会选择住那里。劝各位也不要去那里，如果非要住的话那有远离前台员工了。。。否则自找不痛快', '短评打分': 1}
