{'短评内容': '环境好，每次出差上饶都住这家，值得推荐给大家', '短评打分': 5}
{'短评内容': '酒店基本和快捷酒店差不多，早餐也很差，酒店基本和快捷酒店差不多，早餐也很差', '短评打分': 1}
{'短评内容': '同志们要住的请记得千万别定1309啊，那破房间个破啊，其实说实话条件都还好，只是隔音就像一层纸，声音响的别人放个屁我都能听见。', '短评打分': 1}
{'短评内容': '还算方便，火车站过来很近，打车谈价格是20其实可以更便宜点，标间还算可以，除了洗澡的地方小店，其他设施尚可，走到市中心也不远，刚刚吃了顿辣辣的菜，爽', '短评打分': 5}
{'短评内容': '住的是豪华标间，环境还是不错的，就是早餐品种太少了，基本能吃饱', '短评打分': 5}
{'短评内容': '很不错的4星级酒店，干净，卫生。不错，强推荐', '短评打分': 5}
{'短评内容': '住', '短评打分': 3}
{'短评内容': '和平国际整体环境还不错，工作人员服务态度挺满意，早餐有待改进，下次有机会还会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间设施还可以，但够不上四星标准，价位一般，卫生间太小，不能干湿分离，可能在上饶还算最好的宾馆了。', '短评打分': 5}
{'短评内容': '挂牌四星级就这样子……早餐一般，装修普通……和江浙一带的相同级别宾馆感觉上在软件上差了好多', '短评打分': 1}
{'短评内容': '和平国际酒店沿马路，嘈音很大，睡觉不安稳。', '短评打分': 1}
{'短评内容': '和平国际的房间太小了，还没有电脑，停车位又不多', '短评打分': 1}
{'短评内容': '这次是第2次入住该酒店，总体来讲差不多，感觉还好，早餐有待提高。', '短评打分': 5}
{'短评内容': '装修普通，设施陈旧。', '短评打分': 3}
{'短评内容': '隔音效果太垃圾了 连旁边关个灯的声音都能听到 ', '短评打分': 1}
{'短评内容': '还行，上饶市区这块也只有国际和阳光2家了。', '短评打分': 5}
{'短评内容': '价格位置等其他还可以，就是早餐不太好，内部设施也可以。', '短评打分': 5}
{'短评内容': '设施陈旧，也不在市中心 打车不太方便\n下次不考虑，有性价比更高的', '短评打分': 1}
{'短评内容': '交通很方便，早餐一般。还有房间隔间不好，酒店有点旧', '短评打分': 5}
{'短评内容': '总的来说还是不错的，不过隔间有点差。早餐一般', '短评打分': 5}
{'短评内容': '已入住上饶和平国际大酒店8809.8812.房两间。', '短评打分': 3}
{'短评内容': '交通算方便，火车站有车直达，但酒店有点老', '短评打分': 5}
{'短评内容': '设施陈旧，位置没在市中心，其他还行，总体性价比不是很高', '短评打分': 1}
{'短评内容': '住过两次，在上饶应该算不错了，就是早餐不太理想，花样不多，还总是拿不到吃的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '+已入住预定酒店，换成该酒店另一房间。谢谢！', '短评打分': 5}
{'短评内容': '在上饒是很好的入住地,房裡有很多窩心的準備,值得推薦.', '短评打分': 5}
{'短评内容': '开标间，如没有登记两个人，就发一张早餐券，第一次听说这事。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台接到很不错，酒店入住很温馨，中秋佳节赠送的月饼味道不错。', '短评打分': 3}
{'短评内容': '酒店不错,感觉很温心,前台接待态度很热情,业务素养好.', '短评打分': 5}
{'短评内容': '以前到上饶住和平阳光,觉得很吵,这次住和平国际,感觉不错,至少要安静得多', '短评打分': 5}
{'短评内容': '酒店不错，就是卫生间小了点', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '+房间有股味道，网速很快', '短评打分': 5}
{'短评内容': '空间很大，楼上噪音不断。', '短评打分': 5}
{'短评内容': '隔音不太好，其他都挺不错的', '短评打分': 5}
{'短评内容': '房间还可以，隔音太差，服务可以，早餐不好，停车不方便，停车场太小，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '為什麼是四星級？橫豎都是吹出來的吧，不如寫為五星級啦。\n心裡有數的明白這只是三星級價錢，三星級的質量，所有事情都會變得容易接受。', '短评打分': 5}
{'短评内容': '性价比还可以，就是隔音太差。。。。', '短评打分': 5}
{'短评内容': '酒店隔音效果比较差，但位置还好', '短评打分': 5}
{'短评内容': '房间隔音效果，硬件设施一般，房间里到是蛮干净的，服务也不错，性价比较高，下次会考虑入住的。', '短评打分': 5}
{'短评内容': '设施比较陈旧，上饶这个地方也不太大，感觉酒店位置也差不多，卫生条件一般，服务也还可以，性价比一般，下次如果在上饶出行可能会看一下其他酒店。', '短评打分': 1}
{'短评内容': '酒店住宿条件还是不错的，房间打扫的很干净，设施方面也比较齐全，酒店的周边环境还可以，就是周边停车不是很方便，价格方面我觉得还算比较合适的。', '短评打分': 5}
{'短评内容': '上饶市区好像没太好的酒店，这家很偏打不到的士，房间设施有点旧', '短评打分': 1}
{'短评内容': '酒店位置离火车站较近，打的很不方便，房间格音效果非常差。', '短评打分': 5}
