{'descr': '豪华标准间 房间有点小。', 'star': 5}
{'descr': '位置和服务都对得起这个价位 就是隔音效果不太好', 'star': 5}
{'descr': '服务很周到 很干净 性价比很高，下次还会入住', 'star': 5}
{'descr': ' 对得起这价钱啊。离大悦城和地铁很近。就是冬天屋里不透气太热。总体比较满意', 'star': 3}
{'descr': ' 还不错的一个酒店，地理位置非常好，离西单地铁站只有不到两百米的距离，还蛮干净的，性价比也高，推荐入住！', 'star': 3}
{'descr': '位置好闹中取静性价比高', 'star': 3}
{'descr': '条件挺好的！以后还会来！', 'star': 3}
{'descr': '这个价位 已经很不错了  地段好  交通还方便，以后会常住！', 'star': 5}
{'descr': '酒店的服务实在是难以恭维，房间小的可怜，卫生就不用提了，电梯慢的可以从楼梯上了', 'star': 1}
{'descr': '条件一般。。。。。。。交通便利。。。。。。。', 'star': 5}
{'descr': '地点不错  条件非常一般', 'star': 3}
{'descr': '酒店条件一般吧，地理位置不错，离西单，地铁站都很近', 'star': 3}
{'descr': '总的来说对得起这个价钱。但是晚上头顶上出风口的声音太大！睡觉轻的人不能入睡！交通便利是其唯一的优点！', 'star': 3}
{'descr': '条件太差，还豪华标间那和马车大店一样。', 'star': 3}
{'descr': '感觉很超值，很安静，环境也还可以，地理位置相当好……', 'star': 3}
{'descr': ',总体还行,交通方便,设施有点旧！', 'star': 3}
{'descr': '除了地理位置之外，其它的真的就只有这般！', 'star': 1}
{'descr': '位置和服务很好，设施一般但够用。', 'star': 3}
{'descr': '房间不算小，但窗户不能上锁，似乎不太安全，好在窗户临街', 'star': 5}
{'descr': '优点：酒店位置很好，离西单很近，出行方便，离地铁出口很近。\n缺点：房间设施及用品，就是一个招待所的水平吧！入住晚上，宽带网络速度奇慢！简直不可理喻！害得订机票多花了300大洋。\n 就北京而言，这个房价与房间还是适应的。\n', 'star': 1}
{'descr': '还不错，在那个位置价格相对来说算是便宜的，房间也通透，就是有点吵，可能不适应吧', 'star': 5}
{'descr': '环境和设施太差服务态度还行下次不会再去', 'star': 3}
{'descr': '酒店位置很好，离地铁和公交很近，出行方便；房间卫生也不错，很整洁，但家具较陈旧；总体感觉还可以。', 'star': 5}
{'descr': '离地铁远了点 但是离大悦城很近\n掌柜很和善\n唯一遗憾 没有给我返券~~~~', 'star': 5}
{'descr': '酒店每天送两瓶矿泉水。建议酒店每天打扫房间时 用白醋清洗下烧水壶', 'star': 5}
{'descr': '我来北京 就住这里，交通很便利，不像别的酒店打车不好打', 'star': 5}
{'descr': '位置好是最大优势，处在西单闹市中，出行方便，对房间小、设施简陋这些能忍就忍了吧~~~', 'star': 5}
{'descr': '下次来京还住这，便宜，地理位置不错，就是太吵了', 'star': 3}
{'descr': '条件一般，性价比还行，地理位置好，逛街方便', 'star': 3}
{'descr': '楼下有早点，还有连锁的香妃烤鸡，经济房没窗户有点不好，不过可以定豪华的', 'star': 5}
{'descr': '离西单商场几十米，很方便逛街，过马路就是苹果专卖', 'star': 5}
{'descr': '太吵了 晚上休息不好，修路的，拉垃圾的车不停，还有喝醉的，无法入眠', 'star': 1}
{'descr': '酒店附近有家炖水蛋很好。就是有点吵，晚上大车过的多', 'star': 5}
{'descr': '性价比可以，酒店位置很好，离西单很近，附近有庆丰包子', 'star': 5}
{'descr': '服务良好位置优越', 'star': 3}
{'descr': '位置很好，也很好找，出门办事出行方便\n就是周边环境比较商业化，呵呵，好吵啊，快到12点了才好点儿\n房间比较小，在那个位置这样也不错了。', 'star': 5}
{'descr': '总体上还可以吧。有窗户的房间太吵了。其它没什么问题。离商场很近~', 'star': 5}
{'descr': '最好别选有窗户的。 窗户外面就是个废品收购站，天啊，公鸡一叫，他们就开始干活，砸锅卖铁般的吵啊！ 聊天声音还很大。其它的都还好。设施完善。', 'star': 5}
{'descr': '地理位置很好', 'star': 3}
{'descr': '酒店设施一般吧，但是地理位置相当优越~~', 'star': 5}
{'descr': '太旧了', 'star': 3}
{'descr': '位置好，服务态度不错，逛街非常方便，值得推荐。', 'star': 5}
{'descr': '位置好，服务员态度也不错，逛街非常方便。', 'star': 5}
{'descr': '挺好的，地理位置非常好，交通很方便。第二次住了。', 'star': 5}
{'descr': '其他都好，                  晚上风机有动静', 'star': 1}
{'descr': '交通方便。', 'star': 3}
{'descr': '楼板房，房间太吵，房间又小，但购物和吃东西方便', 'star': 1}
{'descr': '？ ', 'star': 3}
{'descr': '设施陈旧简陋，唯一的优势就是坐落位置好。', 'star': 1}
{'descr': '逛街真的很方便、可以入住、就是没窗户、冬天没有空调但是暖气烧的还不错！', 'star': 5}
{'descr': '一些房间没有窗户，味道很重，房间稍微小了点！洗发液和沐浴露是塑料袋子装的。', 'star': 1}
{'descr': '网上显示可使用10元优惠卷,到酒店后却不能用,为什么', 'star': 3}
{'descr': '先说缺点：酒店比较小，不大气；有稍许吵，房间设备比较老，特别是入住建议自备毛巾，酒店毛巾一入水，就发现漂白粉很浓。\n优点:位置很好，离地铁5分钟内，到各西单各商场也是五分钟内。房间相对比较大，宽敞。没有外界的骚扰，安全性好。\n\n性价比还不错', 'star': 5}
{'descr': '环境舒适，服务热情，我是帮朋友订的，朋友说挺好的，下次来北京还让给他订这里！', 'star': 5}
{'descr': '酒店整体不错，位置较好，比铰满意', 'star': 3}
{'descr': '在北京还不错，就是小点，下面好吃的不少。下次去玩还不错。', 'star': 5}
{'descr': '房间有点小，但是，最重要的是半夜很吵，也没有服务人员来管理的。感觉不太好。', 'star': 1}
{'descr': '位置不错，环境一般', 'star': 3}
{'descr': '地点不错，但服务比较差。临走前洗澡，浴巾上沾些染发的颜色，立即要收取浴巾费十五元。其实那颜色用漂白剂很快可以清洗的。', 'star': 1}
{'descr': '我已入住', 'star': 5}
{'descr': '酒店位置不错，靠近商业区，购物很方便，酒店check in 速度很快，性价比不错。', 'star': 3}
{'descr': '很方便的地点，但酒店的设施实在不尽人意。', 'star': 3}
{'descr': '酒店性价比真的不错，逛街简直太方便了，很喜欢，下次还会住', 'star': 5}
{'descr': '酒店和网上看的相差太远，房间太差，有上被骗的感觉', 'star': 5}
{'descr': '+电视比较小,其余都还好~', 'star': 5}
{'descr': '位置很好,交通便利,离地铁站很近,半小时可步行到天安门广场.酒店旁边的胡同里有小吃和水果卖.', 'star': 5}
{'descr': '很一般的经济型酒店，短暂停留还可以。', 'star': 1}
{'descr': '太吵了！', 'star': 1}
{'descr': '条件不好，像招待所一样.并且价位也略高.感觉整体不达标.我个人不太喜欢.', 'star': 1}
{'descr': '地理位置绝对没话说!离西单几个商场特别近,步行2,3分钟吧.\r\n房间很大,但是设施挺简陋,也有点陈旧,不过该有的都有.\r\n性价比还可以吧,毕竟在西单这个地方,这个价钱算还好了.', 'star': 5}
{'descr': '位置好，性价比很好的酒店！', 'star': 5}
{'descr': '性价比很高，位处西单中心，交通方便极了，酒店业很好找。房间虽小点，但卫生干净，出行方便，住的很舒适！推荐！下次来京还住这家。 \r\n', 'star': 5}
{'descr': '酒店位置很喜欢。性价比不错。', 'star': 3}
{'descr': '酒店位置很喜欢。性价比不错。', 'star': 5}
{'descr': '卫生还好因为没有窗户开空调也是显得挺热的，位置还是比较不错，服务态度还行，感觉还是挺不错的酒店还可以。', 'star': 1}
{'descr': '豪华标间卫生间鼓风机震耳欲聋，洗个澡整个卫生间全湿，隔音很差。地点很好。我是不会再去了。', 'star': 1}
{'descr': '交通周边都不错，服务也很好，就是小房里没窗户有点憋，其它都挺好。', 'star': 5}
{'descr': '位置极佳，条件较差，价格低廉', 'star': 5}
{'descr': '位置很棒，离西单近，购物非常方便，服务也是不错的，工作人员挺客气。', 'star': 5}
{'descr': '感觉像个招待所一样，连个大堂也没有，设施太陈旧，整体感觉不是很好，价格，位置到是不错。', 'star': 1}
{'descr': '我不会推荐给自己的朋友,而且自己也不会在那里住了.拉个大箱子,站在店门口很久都打不到出租车,房间内条件非常的一般,很陈旧,被套都是烂的.', 'star': 3}
{'descr': '整体环境可以，房间里的设施齐全，白天出去逛，晚上回来洗个热水澡，睡个安稳觉，很惬意的。', 'star': 5}
{'descr': '如果是旅游位置可以,价格不是很便宜.我不会推荐给朋友的,打车快一小时没人停,房间内的烧水壶水垢可怕,住了两个晚上不知脖子被啥啶了,当时吓我一跳,不像一般的蚊虫咬,还好涂上白油一周后好了.不方便打的,跟前的工作人员也说,的士司机不爱停那里.', 'star': 1}
{'descr': '地段很不错，去西单、天安门都很近，非常适合去北京旅游的人居住，会省不少时间和精力。', 'star': 5}
{'descr': '感觉是写字楼改成的酒店，房间小，卫生间小，如果出门要求不高还凑合。主要是地段好，出行方便，在西单购物很好。', 'star': 5}
{'descr': '在这住即距离大型商业区近到地铁站的距离也很近，到地铁一号线也就6分钟的路，真的很方便呢', 'star': 5}
{'descr': '位置不错,就是有点乱.好多单位都在楼里.', 'star': 5}
{'descr': '就在西单附近，距离西单商场、明珠市场，大悦城很近，是个休闲娱乐的好地方', 'star': 5}
{'descr': '在西单能住到这么便宜的酒店，一个字值，简直太值了，不仅是便宜而且其他各个方面做得也是相当的好', 'star': 5}
{'descr': '酒店的一些设施有些老，比如说床，和毛巾，有些都需要更换，但总的来说还是推荐这里的，就因为他便宜', 'star': 5}
{'descr': '卫生条件很好，而且房价很便宜，酒店的性价比很高，住的很舒适很是适宜', 'star': 5}
