{'短评内容': '赞一个！！！！！', '短评打分': 5}
{'短评内容': '房间设备有些旧了，房间的面积较大，卫生间的毛巾应该更换新的了。早餐品种比较精致，西湖醋鱼做的味道还算不错。就是房间较为难定，最难受的是早上上班时等电梯，因为大楼里是浙江住京办和大量的写字楼，人员较多。总台员工的服务态度较好，总体还不错。（连住两次，于是再发一次了）\n\n', '短评打分': 5}
{'短评内容': '房间设备有些旧了，房间的面积较大，卫生间的毛巾应该更换新的了。早餐品种比较精致，西湖醋鱼做的味道还算不错。就是房间较为难定，最难受的是早上上班时等电梯，因为大楼里是浙江住京办和大量的写字楼，人员较多。总体还不错。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '这间酒店位于北三环中心地点，特别是处于安贞医院附近，很值得推荐。', '短评打分': 5}
{'短评内容': '酒店地理条件不错，特别是临近客人要去的安贞医院。服务也不错。', '短评打分': 5}
{'短评内容': ' 酒店一般，就是离医院较近', '短评打分': 3}
{'短评内容': '酒店房间比较大，早餐比较好；交通也比较方便；服务、卫生较好，退房时前台结账比较快。', '短评打分': 5}
{'短评内容': '住了几次 还不错 推荐入住 早点很有江浙特色', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店服务优良，', '短评打分': 3}
{'短评内容': ' 好评。', '短评打分': 3}
{'短评内容': '交通便利、房价适中、房间面积较大，可设备陈旧，卫生欠佳，餐厅服务意识较低！', '短评打分': 5}
{'短评内容': '浙江大厦的服务、房间等总体不错，房间设施虽然有限旧了，但还算干净整洁；早饭也不错，就是品种基本几年不变，中晚餐杭帮菜不错，能够吃到较为地道的西湖醋鱼。有几点需要注意，一是部分房间卫生间的地漏应该定期疏通，装修时间长了有时候会返异味；二是床有点偏硬；三是电梯在上下班期间等候时间太长（下面是写字楼）。', '短评打分': 5}
{'短评内容': '本酒店设备陈旧、价格过高；占据主要优势是离安贞医院近，否则无竞争；不能使用消费券，深感遗憾！餐厅服务员意识不强，有待加强！', '短评打分': 1}
{'短评内容': '房间面积较大，卫生条件一般，设备陈旧；其他配套设施较差，尤其是地毯、被罩等等；餐饮服务意识不强，只强调企业利益，杜绝客人带酒用餐，简直是无法容忍；呼吁商务人士及客人坚决抵制这种行为。', '短评打分': 1}
{'短评内容': '18至23层是酒店，上下班时需要等一会儿电梯，可以。', '短评打分': 5}
{'短评内容': '房间干净，空气清新,活动空间充足，备品干净齐全', '短评打分': 5}
{'短评内容': '房间空间很大，但饭菜价格虚高，口味一般，性价比不高。', '短评打分': 1}
{'短评内容': '周围环境不错，交通比较方便，和华联商厦比较近，', '短评打分': 5}
{'短评内容': '住过几次，感觉不错，离木偶剧院很近，建议一家人入住。', '短评打分': 5}
{'短评内容': '交通便利，购物方便，离北京华联很近，唯一不足之处就是上下班时间电梯很难等，什么时候都是满员', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友反应不错,距离安贞医院较近', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '挺好的,适合南方人住,酒店的饭菜不错,还有早餐,就是离地铁远了一点.', '短评打分': 5}
{'短评内容': '帮朋友定的，离安贞医院较近，很方便，别的就不清楚了', '短评打分': 5}
{'短评内容': '以住宿', '短评打分': 3}
{'短评内容': '酒店设施太过陈旧，性价比极低！酒店入口太过隐蔽，不熟悉的根本找不到车辆入口。', '短评打分': 1}
{'短评内容': '以竞住宿', '短评打分': 3}
{'短评内容': '现在在北京有双早餐真是难得了,凭这点就值得选了,离地铁远了点,18楼以下是办公楼,电梯忙了一点.', '短评打分': 5}
{'短评内容': '床太硬了，洗发水和沐浴露是混合装的，浴室的花洒太陈旧了，隔音也不是很好。空调也旧了，开了一个晚上还是觉得热。\n', '短评打分': 1}
{'短评内容': '酒店环境和位置都不错，对面就是华联商厦，很是方便', '短评打分': 5}
{'短评内容': '位置还不错，不过就是楼下都是公司，上下班高峰期和中午吃饭的时候，坐电梯很郁闷\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '位置还不错，不过就是楼下都是公司，上下班高峰期和中午吃饭的时候，坐电梯很郁闷', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '浙江大厦的服务、房间等均属上乘，早饭也不错，是很不错的酒店，我个人很推崇。不过我个人感觉有两点需要注意，一是卫生间的地漏可能因为某种原因有时候会返异味；二是桌子上没有台灯，不方便阅读。', '短评打分': 5}
{'短评内容': '酒店总体感觉还可以，只是这个季节空调没有开房间太热，靠马路这边太吵又不敢开窗，早餐还不错。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间很大，也很干净，就是装修老了些且电梯很慢。', '短评打分': 3}
{'短评内容': '还可以。后面有个华联，买东西比较方便。打车也方便。', '短评打分': 5}
{'短评内容': '浙江大厦 环境以及服务很好，位置在三环交通还可以', '短评打分': 5}
{'短评内容': '优质服务！', '短评打分': 3}
{'短评内容': '不错，房间够大，可惜只住了一晚。为什么一定要设20个字的起点限制咧？', '短评打分': 5}
{'短评内容': '还不错、但没空调', '短评打分': 3}
{'短评内容': '酒店不错，房间很干净，靠近三环,环境很好。', '短评打分': 5}
{'短评内容': '酒店不错，靠近三环，房间很大，早餐也不错。', '短评打分': 5}
{'短评内容': '还好还好，说的过去，不算差也说不上有多好', '短评打分': 5}
{'短评内容': '浙江公司自然住浙江大厦，房间面积大，但有些吵，窗户关上到好许多。', '短评打分': 5}
{'短评内容': '地理位置很好，但是就是18楼以下的都是公司，属于商务性质，上下班的时候，电梯比较慢。。', '短评打分': 5}
{'短评内容': '四星，酒店房间较大，适合商务人士入住，环境卫生都不多。', '短评打分': 5}
{'短评内容': '酒店不错，距离北三环近，北边有安贞医院。', '短评打分': 5}
{'短评内容': '酒店整体还好，服务也不错。只是设施有点陈旧，通风系统噪音大，但调节温度效果不佳。', '短评打分': 5}
{'短评内容': '1.我们浙江企业出差人员,选择浙江大厦很自然.\n2.卫生\\服务不错.\n3.希望尽快评4*级酒店.\n4.礼宾皮衣很有特色.', '短评打分': 5}
{'短评内容': '1.房间30~40M2,大床房型比较理想.\n2.酒店位置方便,下回还住', '短评打分': 5}
{'短评内容': '设施陈旧，服务也不好，饭更难吃，很冷清感觉。', '短评打分': 1}
{'短评内容': '大厦还是很不错的选择\n环境也好\n 楼比较高', '短评打分': 5}
{'短评内容': '酒店位置不错，公交、购物均方便。\n开车要绕到北门，不太方便。房间构造上有遗憾，工作台在里面，床在进门处，显得隐秘性稍差。', '短评打分': 5}
{'短评内容': '房间宽敞，干净，卫生好，住的很舒适。早餐丰盛。下次还会选择。', '短评打分': 5}
{'短评内容': '价格稍贵，但购物方便，吃饭也很有特色，附近的张生记我很喜欢，嘻嘻。可以推荐。', '短评打分': 5}
{'短评内容': '2010年1月10日入住该酒店，该酒店的卫生及服务都很不错，感觉交通方便，早餐也很丰盛。距离华联商厦近，购物及餐饮都很方便，最关键是离安贞医院很近。只是靠北三环一侧的房间晚上听到车辆的噪音比较大，请求调换房间但没成功。另外这座酒店的17层以下是写字楼，白天来往的人员比较多。', '短评打分': 5}
{'短评内容': '服务到位优质', '短评打分': 3}
{'短评内容': '房间大，地理位置方便，卫生整洁，早餐也不错，设施有点时间了 ', '短评打分': 5}
{'短评内容': '比周边福建大厦,性价比尚可,有早餐,但房间隔音不好!', '短评打分': 5}
{'短评内容': '价格偏高，性价比较低，且没有免费茶叶，感觉有点吝啬了！', '短评打分': 1}
{'短评内容': '一般 大厅没有休息厅 ', '短评打分': 3}
{'短评内容': '和周边相类似的酒店比较,性价比算不错的了.还有早餐,对出门在外的人来讲还是方便的.', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '你', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很安静，交通也挺便利，房间有点旧，有点贵。', '短评打分': 5}
{'短评内容': '+服务好', '短评打分': 5}
{'短评内容': '性价比一般的酒店', '短评打分': 3}
{'短评内容': '性价比一般的酒店', '短评打分': 3}
{'短评内容': '房间很大，硬件老旧！一般的酒店，价格还好', '短评打分': 5}
{'短评内容': '居住地点非常不错 楼下有超市、快餐等11111111111111111', '短评打分': 5}
{'短评内容': '环境不错 离超市较近 情况不错 临街的房间有点吵', '短评打分': 5}
{'短评内容': '设施不是一般陈旧了，真不理解为什么就不能更新，哪怕是翻新一下？', '短评打分': 1}
{'短评内容': '房间比较大，在北京找到这么大的房间不容易。', '短评打分': 5}
{'短评内容': '条件不错，就是房间少了些，地理位置很好，出行方便\r\n', '短评打分': 5}
{'短评内容': '就在北三环，交通挺方便的~\r\n而且宾馆的浙江菜餐厅价钱还算可以，龙井也挺好喝', '短评打分': 5}
{'短评内容': '+北京浙江大厦住宿整体水平不错,很温馨.只是有的房间隔音效果稍微差些。', '短评打分': 5}
{'短评内容': '酒店位置很好，位于北三环，到哪儿旅游都方便，也不过份拥堵。价格有点小贵。', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '瞒好的，要是配备台式电脑就更好。谢谢', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以看见国家体育馆，buuco ', '短评打分': 5}
{'短评内容': '朋友推荐的，位置很好，在北京去哪里办事都比较方便。', '短评打分': 5}
{'短评内容': '酒店比较旧,但位置和价格还可以', '短评打分': 1}
{'短评内容': '酒店有些老，设施一般.大厦只有最上面的几层是酒店，位置不错.周边出行比较方便.', '短评打分': 5}
{'短评内容': '酒店的位置不错，就是设施觉得有些过时，电视还是过去大大的那种，现在一般酒店已经全部是液晶的了，房间还算干净，服务也还热情，价钱能再便宜些会考虑多次入住。', '短评打分': 5}
{'短评内容': '除了交通方便 外，没有其他的优势！', '短评打分': 5}
{'短评内容': '位置不错，设施一般，朋友经常来这里，不是纯酒店', '短评打分': 5}
{'短评内容': '价格反正多少有些贵了，酒店还不错，房间也挺干净的，位置也挺好找的，性价比感觉还是挺不错的。', '短评打分': 5}
{'短评内容': '因为是周边办事，所以就近找了这家酒店.如果非要在安贞商圈办事的话这家酒店选择还可以，因为相对来讲可能星级及价格更好一些.', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置方便，卫生，服务都蛮好，住着也很舒服。', '短评打分': 5}
{'短评内容': '不错了', '短评打分': 3}
{'短评内容': '都挺好的', '短评打分': 5}
{'短评内容': '服务亲切热情，内部装饰整洁。感觉很好，有机会还会继续入住。', '短评打分': 5}
{'短评内容': '设施有旧。性价比一般。', '短评打分': 5}
{'短评内容': '第一次接招客户住，服务非常到位，环境好交通也很方便，以后还会住的。', '短评打分': 3}
{'短评内容': 'bucuo', '短评打分': 5}
{'短评内容': '我是介绍客户入住的，交通非常方便，前台服务非常到位，以后还会介绍客户住的。', '短评打分': 5}
{'短评内容': '设施有点旧了。服务还可以，人员有点杂。', '短评打分': 5}
{'短评内容': '酒店设施不错，房间很大，位置好', '短评打分': 5}
{'短评内容': '房间面积大，设施全，全景落地窗，可观鸟巢和水立方。早餐丰盛，服务态度好。', '短评打分': 5}
