{'descr': '酒店不错，房间大，不过在八层的房间有点热，有点异味！', 'star': 5}
{'descr': '酒店房间很大,内设一般,还凑合', 'star': 3}
{'descr': '从太原火车站到维客用10.8元，我拍的是特价房，就住了一天，所以感觉性价比还是挺高的，当然也有一些小瑕疵，比如说地毯比较脏，床单有破损，拖鞋顺脚了，大厅电话打不通，隔音效果不是很好，隔壁打电话听得一清二楚，但是服务员态度蛮好的，问他地址坐几路公交都很乐意帮助你，退房后还可以把行李寄存在那里，逛街回来在去取挺方便的，可以入住', 'star': 5}
{'descr': '不错的地方，很大，配置也可以，并不像有些评论所说的那样！！！', 'star': 5}
{'descr': '房间大，店主的服务态度也不错，本来出门买手机线要打车的，店主主动告诉我做公交就可以了，就是设施旧点，没有其他缺点', 'star': 5}
{'descr': '一直都住這家。', 'star': 3}
{'descr': '很好，来了几乎每次都在这里住。总体来说不错。房间大，而且采光也不错，就是有些家里设备比较旧，翻新下会很不错', 'star': 5}
{'descr': '酒店位置可以屋子够大，卫生一般', 'star': 3}
{'descr': '\n房间特别脏！床单都是没换过的，枕套上还有污渍！墙皮掉漆，服务很慢，第二天起来直接停水，很差劲\n再也不来了', 'star': 3}
{'descr': '位置很好，离火车站很近，屋子挺大，晾台式卧室', 'star': 5}
{'descr': '一直有事没有上来评，迟了两个星期才评。整体性价比很好，环境不错，周边交通业很方便，离汽车站，火车站都很近，好评', 'star': 5}
{'descr': '酒店设施等都还不错，交通也还方便，感觉价格如果再便宜些更好了。', 'star': 5}
{'descr': '总的来说,还不错.对的起这个价。雨天还有雨伞借，真的很好', 'star': 5}
{'descr': '酒店房间够大但隔音不好。', 'star': 3}
{'descr': '酒店价格还好,不过灯光有些暗,隔音不好', 'star': 3}
{'descr': '酒店条件很一般啊，特价房在顶层，五一住进去感觉闷热闷热的，空调不怎么管用，要是夏天住是不敢想象的。墙皮有地方脱落，洗浴用品和沙发都脏兮兮的，整体环境确实不怎么样。地理位置还是比较好的，离火车站和汽车站都不远。', 'star': 1}
{'descr': '房间有点旧，床板硬。', 'star': 3}
{'descr': '前台服务员服务意识差，全欠他家钱', 'star': 3}
{'descr': '价格还可以，条件一般', 'star': 3}
{'descr': '房间很差劲，墙面掉皮严重，而且室内设计相当差劲，跟地下室似的，水龙喷头也是坏的，因为很累所以没有计较，室内有其他房间的水管通过，一晚上都有水流声，反正是相当不满意就是了，希望有所改进。', 'star': 1}
{'descr': '只能说还可以，紧挨着南内环路，所以晚上车辆比较多，入住时候门口还有施工，所以出行停车不是很方便，酒店内热水器坏了，服务人员给予更换了。洗漱用品比较差劲，餐厅的早餐也是很简单的咸菜稀饭，比较符合山西特色。', 'star': 1}
{'descr': '没有电脑，看好了有才定的。不过服务态度可以', 'star': 5}
{'descr': '房间挺大，但是空调坏了，而且隔音效果不好', 'star': 3}
{'descr': '还可以!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', 'star': 5}
{'descr': '酒店离火车站汽车站不近，但条件真心不错。房间大、床大、还有沙发差几。落地窗、厕所半开放式，呵呵~下次还住这！', 'star': 3}
{'descr': '我在这个酒店住了两天，第一天住在214.房间及其脏旧。墙上掉皮，床单上还有洞。\n酒店前台女服务生态度一般，跟他们说了爱答不理的。\n第二天住的501，房间比第一天好很多，其余都不错，底下的前台男服务还行。\n地点离火车站打车起步价。周围也比较乱。', 'star': 1}
{'descr': '入住满意，风格别致，还不错。', 'star': 3}
{'descr': '房间挺大，装修也好，风格不同，感觉很好。推荐。', 'star': 5}
{'descr': '房间挺大，装修风格挺特别，大部分都还好，但是：床太硬基本跟木板感觉差不多；屋子温度低空调不好用', 'star': 3}
{'descr': '前台的服务员好像不喜欢跟客人沟通，每次进出酒店都是我主动跟他们打招呼，就连最后结账开发票后都是我说的“谢谢，再见！”，刚住的时候，正好碰见有客人结账离店，好像发票抬头开成个人了，那位客人要求重新开单位的，但是遭到拒绝，服务员态度蛮横，说“早干嘛了，早怎么不说开单位”，客人气愤的离开说要投诉酒店。房间倒是挺大，就是好大的发霉的味道。。。', 'star': 5}
{'descr': ' 房间一般般啊！除了装修有一点特色外，没有什么可以的，不值这个价，关键的是感觉卫生不怎的', 'star': 3}
{'descr': '酒店位置离火车站很近。环境属中等吧。大床房设计很有特色。', 'star': 3}
{'descr': '优点：价格便宜些，交通位置不错，紧挨农行取钱也方便，24小时热水，能上网，距火车站近。\n缺点：就是房间卫生一般，装修老旧，有一股子霉味，墙上有有蜘蛛网，窗台一层灰，还有小强，电话是坏的，隔音很差，楼层没有设服务员。', 'star': 5}
{'descr': '挺好的，交通方便，很不错啊下次还去,环境部错啊', 'star': 5}
{'descr': '我住的是203房间，日式的，第一次感觉别具风格。感觉很好，下次有机会一定去，也会推荐朋友去', 'star': 5}
{'descr': '帮老公订的标间，房间挺宽敞，但是不送早餐，而且周边没有连锁快餐不太方便。太原的房价确实比其他地方贵！', 'star': 3}
{'descr': '服务很好，很周到，就是隔音不太好，总是有水滴的声音', 'star': 5}
{'descr': '酒店很好，服务很周到，水壶坏了马上就换了一个', 'star': 5}
{'descr': '环境不错，交通也很方便，就是空调有异味，害的我开了一晚上窗户', 'star': 5}
{'descr': '奇特的房间。地段不错就是设施旧点', 'star': 3}
{'descr': '干净，卫生，硬件还可以，但是位置有点偏，不过离国家体育馆、水立方很近，坐公交车很方便，值得推荐', 'star': 5}
{'descr': '服务挺好，很安静， 离地铁站很近，但是附近没什么购物的地方。 \n还有地板有点旧， 住的时候酒店也正在更换中，下次去北京还住这儿。 ', 'star': 5}
{'descr': '网上订的比前台会员的还便宜，早餐可以签单10元/人。房间不错，特价房和其他房间的区别只是房间在角落里。下次还会选择这里。', 'star': 5}
{'descr': '环境还行，交通方便，就是停车有些不方便。', 'star': 5}
{'descr': '房间比较卫生，卫生间比较小，但设计较为合理。主要是有餐厅，虽然用餐品种不太多，但自助餐还是满足吃饭需要的。早晨18元，晚上25元，也还实惠吧。', 'star': 5}
{'descr': '不错，只是房间里没有电吹风，空调有点异味，但服务很好，顶一个····', 'star': 5}
{'descr': '位置比较好，出行方便，在地铁8号线附近，宾馆也比较干净、安静，会再去的。', 'star': 5}
{'descr': '环境很好，客房打扫很及时，服务也很好', 'star': 3}
{'descr': '锦江之星还是不错的，喜欢他统一的布局。还会住。', 'star': 5}
{'descr': '恩 挺温馨的地方 要是电吹风多几个就好了 早餐不错哦～～～～', 'star': 5}
{'descr': '很实惠啊，地理位置也很好！下次肯定还会住那里！房间有一点小旧，但是比较有特色！', 'star': 5}
{'descr': '干净，温馨，家的感觉，靠近地铁出行很方便，还会选择锦江之星', 'star': 5}
{'descr': '距离地铁出口也算近，站在出站口就能看到锦江之星的牌子，离科技馆，鸟巢很近，房间环境一般，也算可以接受', 'star': 3}
{'descr': '设施不错，服务也挺好。周围挺安静的，比我同事住的老四星级酒店要好。', 'star': 5}
{'descr': '其他还不错、就是打车难点、地点不太好找', 'star': 3}
{'descr': '帮朋友预定的，很不错的酒店。干净，服务也很不错，楼下就是餐厅。\n只是赶上换地板，敲敲打打，想多睡会都不成，小缺憾吧~', 'star': 5}
{'descr': '位置挺安静的，旁边就是派出所，感觉比较安全！房间就是一般的连锁，不大。', 'star': 5}
{'descr': '离鸟巢很近，地理位置比较难找，房间很干净，床很大', 'star': 5}
{'descr': '就是空调，不是很好，有异味。希望你们修理下', 'star': 5}
{'descr': ' 酒店干净整洁，服务到位，住着非常温馨舒适像在自己家一样，如果以后去北京还住那里', 'star': 3}
{'descr': '总体说来还可以，房间感觉有点浮土，房间挺大多的，服务还可以，早饭不太好。\n', 'star': 3}
{'descr': '酒店交通方便，房间宽敞，服务态度挺好。', 'star': 3}
{'descr': '酒店很不错，房间里面有一个大大的阳台，阳光满屋，那种感觉真是好及了', 'star': 5}
{'descr': '住宿条件不错，服务态度好', 'star': 3}
{'descr': '酒店环境很好，干净整洁舒适！价格还比较优惠哦！', 'star': 5}
{'descr': '每次来京开会都住这家，但是订单过了18点自动取消实在有点不好！不管是EL还是酒店都不会主动来电话告之。害得我们一大帮人在大堂等了快一小时，订单恢复再传真至酒店总部，才能入住！', 'star': 5}
{'descr': '各方面都不错，早中晚餐都很全，很不错的经济型酒店，下次还来!', 'star': 5}
{'descr': '房间很大空间很开阔，工作人员的服务也很热情，唯一不足的是室内物品稍显陈旧，总体来说还是很不错的', 'star': 5}
{'descr': '整体不错，有点日式的感觉，有点燥音', 'star': 3}
{'descr': '各方面都不错，如果有带早餐就更完美了，很不错的经济型酒店，下次还来!', 'star': 5}
{'descr': '安静，干净，这个价位在北京来说很划算了。。', 'star': 5}
{'descr': '房间干净，整洁，也比较大。只是酒店外的环境差了些。是在一个胡同里。。', 'star': 5}
{'descr': ' 这间酒店相当不错，环境—流，服务一流，在北京住宿的首选', 'star': 3}
{'descr': '酒店附近有个很大的超市，离火车站汽车站也很近，机场过来到火车站下车坐3个站就到，而且可以在火车站坐201公交到机场，特便宜，房间好想挺多人住的，房间里很大，而且挺舒服的，睡得很香！！！', 'star': 5}
{'descr': '总体不错，房间布局不错！\n但房间、家具室内用品已相当陈旧，极大的影响到顾客对房间卫生状况的感官印象。\n甚至墙皮脱落，开关不灵，灯光昏暗！', 'star': 5}
{'descr': '酒店地理位置不错，同等大床间面积较大，服务人员态度良好，住宿条件良好，设施齐全', 'star': 5}
{'descr': '很不错设施稍微有点陈旧但总体还好，格局比较好，洗澡很舒服，，就是网速太慢', 'star': 5}
{'descr': '距离火车站大约5站地，距离还行，但是临街，卫生条件差点，尤其是暖气不热，空调不起作用，冷了一夜，难熬啊！真的印象不好！', 'star': 1}
{'descr': '就是晚上有点冷，交通还不错，O(∩_∩)O~', 'star': 5}
{'descr': '空调不热，房间太冷，装修太次，还有味道，好吧…吃亏上当就一回！', 'star': 3}
{'descr': '便宜，位置好，但是床单，沙发不太干净。服务还好。总体性价比还是不错的。', 'star': 5}
{'descr': '这里挺好找，就是晚上有点冷', 'star': 3}
{'descr': '还不错，性价比算是不错啦……有点特点，大的落地窗，早上起来阳光很足……很舒服', 'star': 5}
{'descr': '酒店还不错，环境也还行\n，空调不好不热\n服务太多不太好，隔音效果不是太理想', 'star': 5}
{'descr': ' 房间挺大，店开的有年头了。', 'star': 3}
{'descr': '价格适中，房间格局差，交通便利，餐饮和商店很少', 'star': 5}
{'descr': '188的价格住的升级版的说是288的，就一个落地窗看好以外，其他设施都不行。看起来像小旅馆。床单有泥印，房顶有脱屑，很简陋。', 'star': 1}
{'descr': '挺好得，就是有点旧，要是重装一下就好了！', 'star': 5}
{'descr': '还好`就是隔音效果不大好,其他的还都可以.', 'star': 5}
{'descr': '环境还不错，服务不怎么样。这个价钱还行吧。', 'star': 5}
{'descr': '环境不错，服务不错。就是网上预订的基本都安排在8层，晚上有点冷，空调不管用！', 'star': 5}
{'descr': '环境还不错，价格也还算合适，离火车站、建南汽车站、迎泽汽车站都不远，相当方便的。', 'star': 5}
{'descr': '环境不错，服务态度也很好啊，早餐也有，样式不怎么多啊\n~~', 'star': 5}
{'descr': '日式风格装修，茶叶还不错，但是地板太脏，床头也没有插座，完全没有上次住标间好', 'star': 1}
{'descr': '酒店位置不太理想，房间设施比较陈旧，特别是双人间，条件比较一般，单间条件还不错，但是供暖严重不足，暖气半夜会停，空调制暖基本可以不用考虑，整体评价非常一般。', 'star': 1}
{'descr': '酒店房间很大,比较干净，这个价格值了!', 'star': 3}
{'descr': '，客房打扫马虎', 'star': 3}
{'descr': '房间墙面墙皮都快掉光了，该重新装修了。暖气不足，开空调30度也不暖和，不知道神马情况。整体感觉就很简陋，失望啊。', 'star': 1}
{'descr': '维克商务酒店环境好、服务周到、性价比高。', 'star': 3}
{'descr': '，该重新装修了', 'star': 3}
{'descr': '价格合适，就是晚上取暖不给力，空调开着也不好使，冷。要是夏天就美了。', 'star': 5}
{'descr': '推荐，酒店地理位置不错，服务也好，在这个价格区间内是一家不错的酒店，值', 'star': 5}
{'descr': '价格很合适，环境也不错,住了两天感觉还行，楼里的服务人员很好啊，清洁的阿姨很好', 'star': 5}
{'descr': '房间不错很大很明亮 就是顶层没有暖气有点冷', 'star': 5}
{'descr': '不要住8楼，好像是水管还是什么的声音，吵死个人，其他的还不错，房间挺大，设施挺全', 'star': 5}
{'descr': '酒店的被套床单换一换啦，沙发也应该清洁一下。', 'star': 5}
{'descr': '床单被罩太旧了，沙发和地毯也应该清理一下', 'star': 5}
{'descr': '还是不错，价格适中，服务态度很好！交通也比较便利！', 'star': 3}
{'descr': '房间大小还可以，就是半夜有一点冷！其他还好。', 'star': 3}
{'descr': '房间大 设施一般，都是挺旧的。不过整体还算可以。有一点空调不给力啊，尤其是住在两边都是玻璃的房间。冷啊', 'star': 5}
{'descr': '还行。就是隔音不太好。。。前台服务人员工作挺认真。一个房间只给一张房卡，其实一个房间加一张房卡比较好。。。。', 'star': 5}
{'descr': '酒店环境不错，设施也不错，服务挺周到挺满意的', 'star': 5}
{'descr': '房间太旧了，吹风机也没有，感觉不是很卫生！', 'star': 1}
{'descr': '不错，早晚餐都有，很方便', 'star': 3}
{'descr': '房间挺大   还有沙发  就是有个八楼  电梯不能直达  ...........................................................................................................................................................................', 'star': 5}
{'descr': '房间不错，就是6楼的有点小……还可以！值得住。', 'star': 5}
{'descr': '房间都还行。唯一缺点就是空调不太给力。。。。。。。。。', 'star': 5}
{'descr': '住在最东面的房间 两面玻璃，感觉很冷，空调也不是很管用，其它的还行。', 'star': 5}
{'descr': '冷~~  还是冷~~~！！半夜被冻醒~！ 感冒了·', 'star': 1}
{'descr': '环境不错，就是有点偏。不过整体不错，价格也挺合适！', 'star': 5}
{'descr': '交通非常方便，很干净不亏是连锁的店。', 'star': 3}
{'descr': '房子太差了，能冻死你，空调一点都不管用。极差！', 'star': 1}
{'descr': '性价比一般，但是住的感觉还不错！就是感觉有点偏...', 'star': 5}
{'descr': '房间暖和，有空调有暖气，其他还可以吧。。。', 'star': 5}
{'descr': '格局布置上有些特别，床比较硬，离火车站还是不算近的，墙有点脏，就一般。', 'star': 1}
{'descr': '不错。环境卫生都不错。\n\n支持，交通也方便。', 'star': 5}
{'descr': '服务细节不到位，纸都不提供，', 'star': 3}
{'descr': '服务挺好。房间比较大，很安静，还有免费得宽带，住了好几回了，值得推荐！', 'star': 5}
{'descr': '这次住的是8楼标间   枕头上有洞   床单上有补丁  隔音不好   但是比上次暖和', 'star': 5}
{'descr': '还好，一般吧，有点冷，有点旧，卫生挺差,性价比一般，没有想象中的好，评论有点晚', 'star': 5}
{'descr': '干净,专业.非常满意,就是有些小贵.', 'star': 3}
{'descr': '房间挺大的，如果夏天去还可以，冬天去太冷了，房间有点陈旧的，床也不好啊，前台服务态度比较差，好不容易吃次早餐吧，太恶心了，就有点鸡蛋，几个小凉菜，包子都是热了好几次的，有点馒头还有点面条的，也太差劲了，这个还10块', 'star': 5}
{'descr': '环境挺好，就是空调不是很好有点冷，总体来说还是不错的', 'star': 3}
{'descr': '环境比较好，去机场比较方便，出来胡同马路对面就是到机场的大巴，早餐一般般。', 'star': 5}
{'descr': '我定的是大床房~ 环境很好~  设计也很好        就是到半夜会冷  暖气不是很好  隔音也不是很好  早上醒来 听到隔壁房间的手机声和呼噜声~ ', 'star': 5}
{'descr': '酒店真的是不知道可以说什么好了 ， 大冬天的冷死了 ，被子还那么薄， 房间里都没有过道暖和，空调的问题给服务员说了，都没有人管的，这就是维克的态度。', 'star': 1}
{'descr': '酒店环境不错，卫生较好，只是早餐单调一些。', 'star': 5}
{'descr': '环境还不错,服务也可以', 'star': 3}
{'descr': '价格可以 环境也行 住过很多次了 以后还会住的', 'star': 5}
{'descr': ' 房间整洁干净', 'star': 3}
{'descr': '环境还是很不错的啦，虽然有些瑕疵，但是对于这个价格，还是很好的了…下次有空还住……顶起…', 'star': 3}
{'descr': '性价比可以，位置有点偏。房间的隔音很不好，隔壁做运动的声音很清楚。', 'star': 5}
{'descr': '环境还不错，就是有点冷，卫生间的灯竟然坏了。', 'star': 5}
{'descr': '晚上屋子里比较冷，空调不管用，冻醒了好几次', 'star': 3}
{'descr': '酒店地理为止还行，但是没有网上介绍的那么好，有网口没电脑，卫生死角多！', 'star': 3}
{'descr': '什么酒店呀，晚上能冻死个人啦，破空调。晕。再也不会去了、', 'star': 1}
{'descr': '酒店三楼房间格风不错!入住的一楼房间比较大,简沽,服务也不错,不过一楼房间有点潮的味道,建议可放点香料/香球之类!', 'star': 3}
{'descr': '服务周到,房间比较紧凑些,挺干净的.只是位置比较偏僻些,不太好找.', 'star': 5}
{'descr': '卫生、清净。自助餐不错。前台接待也蛮热情。', 'star': 5}
{'descr': '维客便宜，干净，比较有特色', 'star': 3}
{'descr': '墙上掉皮，床垫弹簧都快出来了墙上掉皮，床垫弹簧都快出来了', 'star': 1}
{'descr': '整体环境还可以，地理位置不错，缺点是屋内装饰陈旧，墙皮脱落，感觉不太舒适！', 'star': 5}
{'descr': '住一天，还可以，多住几天就没人搞卫生，日用品不及时补充。', 'star': 3}
{'descr': '到北苑路办事，入住此酒店。\n锦江之星一贯的干净，商务酒店来说是不错的。\n旁边是一世纪华联小超市，还有几家做小吃早点的，买东西挺方便。\n地理位置还算方便，步行10分钟内有地铁，就是出租不好打，这在北京也不是什么新鲜事。\n地址是北苑路，其实算不上是北苑路，是北苑路对面一胡同，大众4S店对面。\n总体还是不错的。', 'star': 5}
{'descr': '房间样式不错，就是连不上无线网，很不方便，另外晚上睡觉很冷，好几次被冻醒，开着空调不管用', 'star': 5}
{'descr': '装修不错，就是空调有点不管用，冬天屋子里不太暖和，总的来说还是比较值的', 'star': 5}
{'descr': ',隔音效果太差，整晚被隔壁房间吵得无法睡，打呼噜声都能清楚听到。', 'star': 3}
{'descr': '，感觉蛮好，房间很大，就是房内灯光太暗，而且没有台灯，要看书写字不太方便。', 'star': 3}
{'descr': '环境还是不错比较干净，就是很难找实在是难找，进去的路很不起眼。', 'star': 5}
{'descr': '房间简洁干净，周围环境安静，就是离地铁站有点远，但是还不算太难找。', 'star': 3}
{'descr': '都与其它锦江之星差不多,唯一不足的就是前台的服务员态度太差,完全不懂得与客人对话,客人问话,她就像没听见一样,太没有礼貌了,完全不是锦江之星的风格,希望酒店加强培训,以免形象全国锦江酒店的形象', 'star': 5}
{'descr': '酒店位置不错，距离火车站特近，但是房间内的设施较为陈旧', 'star': 5}
{'descr': '酒店位置不错，但是设备有些陈旧，房间内地毯有些脏', 'star': 5}
{'descr': '酒店位置不错，但设备有些陈旧，房间内的地毯有些脏', 'star': 5}
{'descr': 'very clean, and quiet', 'star': 5}
{'descr': '酒店地理位置优越，环境不错，视野空间良好，卫生间设置的很好，床也比较舒服！酒店服务态度也特好，希望下次再次入住！', 'star': 5}
{'descr': '感觉不错 设计也挺好 就是卫生不是很干净 灰特多', 'star': 3}
{'descr': '价格实惠，房间设施一般。算上返现后，性价比合适。', 'star': 5}
