{'短评内容': '东方海港很干净', '短评打分': 4}
{'短评内容': '位置好，房间有点小，早餐一般。  推荐。', '短评打分': 5}
{'短评内容': '酒店位置很有优势，内部设施也不错，中午68元的自助餐还是值得推荐的。只是我的房间空调位置不好，正对写字台吹，冷得不行。', '短评打分': 5}
{'短评内容': '＋酒店环境不错，服务很到位！赞一个…', '短评打分': 5}
{'短评内容': '很好~~服务很周到~~里面相当舒适~~性价比OK~', '短评打分': 5}
{'短评内容': '整体环境不错，周边餐饮也较为方便。希望在交通方面能够再加以完善。', '短评打分': 5}
{'短评内容': '酒店很新，房间干净明亮！一切都很顺利！下次还会入住！', '短评打分': 5}
{'短评内容': '这家酒店不错，很干净，工作人员服务态度也很好', '短评打分': 5}
{'短评内容': '新酒店，设施还不错，硬件不错，软件没跟上。\r\n\r\n一、没见过哪个酒店是要客人自己去马路上叫的士的（大热天的），美其名曰我们帮你叫私家车（黑车？）。。。\r\n\r\n二、酒店房间的浴室居然没有移动的花洒，晕倒。。。\r\n\r\n三、酒店早餐还不错，但是晚上自助餐居然要98RMB一位，“真够便宜”的，宁波富邦也才68，性价比才是王道。\r\n\r\n四、最让人郁闷的是，每天晚上20:45左右准时断网，短则几分钟，长则十几', '短评打分': 5}
{'短评内容': '房间较大', '短评打分': 5}
{'短评内容': '非常不错。值得推荐。', '短评打分': 5}
{'短评内容': '这是我目前在北仑区找到的最高星级的酒店，性价比非常好。', '短评打分': 5}
{'短评内容': '比较欧式', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '非常好的酒店，就是打车不太方便。', '短评打分': 5}
{'短评内容': '宁波海港东方酒店酒店位置很方便找，同三高速下来沿泰山路到长江路左转再走一段即到。只是要注意同三下来时匝道口要走舟山方向，那个指示牌有点迷惑，我们朝泰山路方向下去结果开去了反方向，离长江路越走越远。酒店很简洁，但是设施都很新，开关果然都是触摸式的。只是不知道为什么北伦这样的地方酒店价位也要这么高。', '短评打分': 3}
{'短评内容': '酒店位置很方便找，同三高速下来沿泰山路到长江路左转再走一段即到。只是要注意同三下来时匝道口要走舟山方向，那个指示牌有点迷惑，我们朝泰山路方向下去结果开去了反方向，离长江路越走越远。酒店很简洁，但是设施都很新，开关果然都是触摸式的。只是不知道为什么北伦这样的地方酒店价位也要这么高。', '短评打分': 5}
{'短评内容': '地理位置尚可，整体也可以接受。预约出租车略困难。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '性价比不错的酒店', '短评打分': 3}
{'短评内容': '还不错的酒店。', '短评打分': 5}
{'短评内容': '就是价格在那个地方不是很合理', '短评打分': 1}
{'短评内容': '在北仑还是不错的选择，现在都替客人订这里', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '真得不错,下次还来', '短评打分': 3}
{'短评内容': '酒店是新装修, 不错.', '短评打分': 5}
{'短评内容': '很好，性价比高！', '短评打分': 3}
{'短评内容': '蛮舒服', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '自动升级到豪华房，性价比不错的酒店', '短评打分': 5}
{'短评内容': '价钱不贵而且还很好的酒店，很新，灯的开关是触屏的，枕头是羽绒的，以后，房间很大。附近很多很多足浴城。还有个金汇百货里面东西也很便宜。', '短评打分': 5}
{'短评内容': '最近时不时需要到北仑办事，经过几次尝试，发现这家当地人都不太知道的酒店居然是最好的！位置在城里，而且设施很新，房间很大，触摸式的开关很新颖。可以看出是在努力向国际化的高级酒店学习、看齐，虽然有些地方还有差距。比起老板娘这样名气大，但典型的中国政府接待宾馆，还是性价比很高的，老外也很喜欢。提点改进意见：\r\n- 触摸开关的冷光在黑暗中有些亮，会影响睡眠；\r\n- 在房间的minibar中多放些零食供消费', '短评打分': 5}
{'短评内容': '价格可以', '短评打分': 1}
{'短评内容': '非常不错的酒店', '短评打分': 5}
