{'短评内容': '在余姚出差基本都住这里,酒店就在市中心，周边很热闹离我们的工厂很近。有一次发现房间有味道直接要求换一间，服务员的办事效率还是满快的。', '短评打分': 4}
{'短评内容': '每次来余姚都住这里，很不错的酒店！', '短评打分': 5}
{'短评内容': '总体还可以，去了救助这里，交通方便。市中心，可以的。', '短评打分': 5}
{'短评内容': '第二次住，总体还是可以的，就出在市中心，方便。', '短评打分': 5}
{'短评内容': '第三次住，总体还是可以的，就出在市中心，方便。', '短评打分': 5}
{'短评内容': '酒店环境不错，周边购物吃饭都挺方便的，早餐的种类不够多。', '短评打分': 5}
{'短评内容': '比较舒适的一家酒店，位置好，在市中心，交通、吃饭都很方便，在余姚市中心还有一家五星的酒店，价格较贵，相比较而言，还是这家价格合适，一般住住可以了', '短评打分': 5}
{'短评内容': '对于这个地段来说比较价格合理，同等价格里性价比不错。', '短评打分': 5}
{'短评内容': '属于老式酒店，设施不新颖，一般般吧，您别太奢望就可以了！', '短评打分': 5}
{'短评内容': '酒店地理位置相当好，就是有点老了，有些楼层在装修，还是有一定的噪音的。但是整体还算不错，停车位也很多。', '短评打分': 5}
{'短评内容': '不错，就是早餐差了点', '短评打分': 3}
{'短评内容': '酒店位置不错，附近就有王阳明故居 商业广场 离火车站也很近。', '短评打分': 5}
{'短评内容': '还不错，就是酒店年代久了，设备有点旧。早餐最好能在晚点结束。', '短评打分': 5}
{'短评内容': '位置还可以，离高铁和高速大巴车站比较近，楼下吃饭(麦当劳，永和之类的快餐)比较方便，总体来说，价格不便宜，酒店比较老，房价重新装修不久，但接近400元的\n价格相比品质来说在这样的小城市不便宜', '短评打分': 5}
{'短评内容': '地段非常好,没得说! 但是早餐的话,品种太少了,且以中式早餐为主.而且房间有点吵.', '短评打分': 5}
{'短评内容': '位置确实还可以，在余姚的选择也是很少的。只是上次住的时候将剃须刀的盖子弄丢了，相当的郁闷哪。多半是服务员以为是不要的东西丢掉了。', '短评打分': 5}
{'短评内容': '位置不错。房间还行。不过服务太过糟糕。早餐比较差，都是便宜的东西。咖啡也比较差。服务员态度不好。结账速度非常慢。\n不过在余姚，它就好在一个位置。附近也没有其它的选择。', '短评打分': 1}
{'短评内容': '酒店早餐不错。', '短评打分': 3}
{'短评内容': '还不错，地理位置不错，还算干净，价格也可以', '短评打分': 5}
{'短评内容': '在余姚市里应该是不错的了。酒店地理位置不错，靠近市中心的主干道，紧邻火车站，周边其它设施都有，商场，餐馆等。酒店设施也还可以，还比较干净，价格一般。', '短评打分': 5}
{'短评内容': 'Good location\nGood breakfast', '短评打分': 5}
{'短评内容': '对于老牌三星酒店来说，性价比不算很高，但余姚四星酒店断层，加上这家酒店地理位置相当好，处于余姚最繁华的商业地段，到火车站汽车站都相当近，交通便利，所以也算是一个必然的选择了。', '短评打分': 5}
{'短评内容': '新装修的设施还可以，就是装修的时候从早上7点刚过点就开始施工了，吵得不行！这么规模的老牌酒店应该知道尊重客人的。起码8点半等大部分客户醒来后再施工。而且施工期间，甚至在大堂等处都没有设立一个牌子，说明一下，施工有可能影响到客户而表示抱歉。哎。。。有待改进！', '短评打分': 5}
{'短评内容': '酒店位于市中心，逛街购物较方便，因为正在装修，稍微有点吵杂。', '短评打分': 5}
{'短评内容': '酒店近期在装修,位置在市中心.离火车站比较近.', '短评打分': 5}
