{'短评内容': '酒店可以推荐的', '短评打分': 4}
{'短评内容': '每次到上海都选择这家店，位置不错，老板很满意', '短评打分': 5}
{'短评内容': '非常不错的一家商务型酒店，服务到位。位置也很方便，距离虹桥机场只需20分钟的车程。 一如既往上海出差时的首选酒店。 \n', '短评打分': 5}
{'短评内容': '非常不错的一家商务型酒店，服务到位。位置也很方便，距离虹桥机场只需20分钟的车程。 一如既往上海出差时的首选酒店。', '短评打分': 5}
{'短评内容': '这个酒店不错的，服务态度不错，行政酒廊的东西做的不错。', '短评打分': 5}
{'短评内容': '不错 离机场近 方便 就是为了赶早班机才定的', '短评打分': 5}
{'短评内容': '各方面均不错，价格偏高！', '短评打分': 3}
{'短评内容': '交通方便，很不错，还会继续入住，推荐大家', '短评打分': 5}
{'短评内容': '通过旅悦订房网预订了这间酒店，感觉都不错，价格合适，主要是环境挺好的。', '短评打分': 5}
{'短评内容': '老品牌值得信赖～～～老外指定的～～～～～', '短评打分': 5}
{'短评内容': '非常不错的一家商务型酒店，服务到位。位置也很方便，距离虹桥机场只需20分钟的车程。 一如既往上海出差时的首选酒店。', '短评打分': 5}
{'短评内容': '非常不错的一家商务型酒店，服务到位。位置也很方便，距离虹桥机场只需20分钟的车程。 一如既往上海出差时的首选酒店。\n', '短评打分': 5}
{'短评内容': '离虹桥机场较近，位置还不错，就是稍微贵了些', '短评打分': 5}
{'短评内容': '非常不错的一家商务型酒店，服务到位。位置也很方便，距离虹桥机场只需20分钟的车程。', '短评打分': 5}
{'短评内容': '不错安静，交通方便 不错安静，交通方便 不错安静，交通方 不错安静，交通方便 便', '短评打分': 5}
{'短评内容': '酒店靠近虹桥机场，很方便进出。\n\n地理位置不错，设施有些老，酒店服务一般。', '短评打分': 5}
{'短评内容': '位置很好，进出虹桥机场很方便。\n\n早餐不错，午餐一般。距离地铁10号线也很方便。', '短评打分': 5}
{'短评内容': '位置不错，离机场高铁都比较近。去周边地区挺方便', '短评打分': 5}
{'短评内容': '豪套还是很不错的  就是太贵了 浴缸也不是SPA的 装修也应该可以更新了', '短评打分': 5}
{'短评内容': '不用多说了，价格摆在这里呢，硬件没得说，公费可选，自费贵了点。', '短评打分': 5}
{'短评内容': '距离虹桥机场，虹桥高铁站很近，靠近上海动物园，周边饭店也多。位置非常方便。就是酒店的价格稍贵，公司买单还好。服务业不错，还会在这住。', '短评打分': 5}
{'短评内容': '挺不错的一家酒店，服务态度很好！而且去虹桥机场很方便！', '短评打分': 5}
{'短评内容': 'good location and good service.', '短评打分': 5}
{'短评内容': '万豪的品质不错。但是只不过超过6点钟十分钟就加收一天房费，有点贵吧。', '短评打分': 5}
{'短评内容': '入住了，还可以，交通方便，感觉不错，住着也舒服。', '短评打分': 5}
{'短评内容': '酒店有些老，位置比较偏，周边较安静，服务不错，房间尚可。', '短评打分': 1}
{'短评内容': '在酒店的时间短，匆匆路过一晚，酒店房间不大，其他的还好，', '短评打分': 1}
{'短评内容': '一家挺新的酒店，设施和服务都还不错，可以一住。\n', '短评打分': 5}
{'短评内容': '物有所值。。。。。。。。。。。。。。。。。。。。。                                     ', '短评打分': 5}
{'短评内容': '还行吧               离虹桥交通枢纽近', '短评打分': 1}
{'短评内容': '楼层低，房间硬件差，服务还过得去！咖啡厅是美女啊！', '短评打分': 1}
{'短评内容': '酒店的位置比较好。离虹桥火车站和机场都比较的近。就是消费有点小贵。', '短评打分': 5}
{'短评内容': '环境非常好。服务不错。交通十分方便。还有优惠。', '短评打分': 5}
{'短评内容': '酒店环境很好，设施完善我很喜欢，下次还会入住。', '短评打分': 3}
{'短评内容': 'good location & service.....', '短评打分': 5}
{'短评内容': '酒店环境很好,可以推荐,前台服务比较慢,入住手续用了20分钟', '短评打分': 5}
{'短评内容': '环境还可以，设施比较陈旧，价格高了点。出行还算方便。\n', '短评打分': 5}
{'短评内容': '酒店环境很好我很喜欢以后我还会去', '短评打分': 3}
{'短评内容': '位置挺方便的，离机场很近。不过开店时间很久了，很多设施比较陈旧了。', '短评打分': 5}
{'短评内容': '非常好！环境还可以，服务很好。。。。。。。 ', '短评打分': 5}
{'短评内容': '环境还可以，就是设备有点旧了，洗浴用品部怎么样。', '短评打分': 5}
{'短评内容': '酒店虽是五星级，但设施陈旧，盥洗室连梳子都没有,没有烧开水的壶。所以不太理想!', '短评打分': 3}
{'短评内容': '还算不错的酒店。离虹桥很近。餐饮也不错。', '短评打分': 5}
{'短评内容': '总的来说一般', '短评打分': 1}
{'短评内容': '五星酒店，环境不错', '短评打分': 5}
{'短评内容': '酒店不错 我基本去上海就住那里', '短评打分': 5}
{'短评内容': '环境和外观都不错，就是价格高了点', '短评打分': 3}
{'短评内容': '别的都不错，价格是稍微贵了一点', '短评打分': 5}
{'短评内容': '价格昂贵，酒店高档，服务很好！', '短评打分': 5}
{'短评内容': '房间不是太大，应提供免费上网', '短评打分': 3}
{'短评内容': '便宜些就好了', '短评打分': 3}
{'短评内容': '服务设施都还可以，就是价钱涨了不少，应考虑赠送免费早餐以及免费上网和停车', '短评打分': 5}
{'短评内容': '都还可以，就是价钱涨了不少，应考虑赠送免费早餐', '短评打分': 5}
{'短评内容': '离机场很近，交通很方便，服务也很好，马上又要去上海了，还选择了这家。', '短评打分': 5}
{'短评内容': '靠机场很近', '短评打分': 5}
{'短评内容': '总体还不错。', '短评打分': 3}
{'短评内容': '离虹桥机场很近，所以经常入住。总体还可以，价格变化比较频繁。', '短评打分': 5}
{'短评内容': '房间设施很好，服务很周到', '短评打分': 3}
{'短评内容': '酒店卫生还行就是设施有点旧了', '短评打分': 5}
{'短评内容': '标准房间在万豪中算旧的了', '短评打分': 5}
{'短评内容': '我住的房间洗手间小，别的都还好，离虹桥近，去机场也方便', '短评打分': 5}
{'短评内容': '設備不錯，但因為酒店的疏忽，結帳鬧了一個烏龍，竟然說我們沒結帳就跑掉了，害我名譽掃地！這點很難原諒！', '短评打分': 5}
{'短评内容': '酒店的设施服务都非常好但是我入住了两晚,差价居然有五百多.其它都是很满意的.', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比很高。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '服务非常好，很安静', '短评打分': 5}
{'短评内容': '软件服务与五星酒店相差甚远.', '短评打分': 1}
{'短评内容': '公司在这里开展览活动，感觉设施很不错，工作人员也很殷勤，就是价格有点贵了。', '短评打分': 3}
