{'短评内容': '干净，方便，安静，暖和', '短评打分': 5}
{'短评内容': '一切都如家，就是地方偏僻了点。干净，卫生。而且没有外界的嘈杂的汽车声', '短评打分': 5}
{'短评内容': '还是那样，没变化，挺好的，就是床的褥子有点薄，不舒服，太硬了。其他还好吧。再有，为什么非要50字以上啊，有病呀，哪儿那么多说的啊', '短评打分': 5}
{'短评内容': '如家的标准风格，服务态度很好，效率也比以前提高很多。', '短评打分': 5}
{'短评内容': '传说中的迷宫 果然有点意思  第二次住了  就是有点绕 还行', '短评打分': 5}
{'短评内容': '位置不错，内部如迷宫。浴室内放洗漱用品的玻璃台子都快掉了也不修。', '短评打分': 5}
{'短评内容': '位置一般          还行              ', '短评打分': 5}
{'短评内容': '酒店位置不错，每次出差都住这里，会推荐朋友去住的', '短评打分': 5}
{'短评内容': '位置不错，就是内部布局有点像迷宫，不过如家都这样了。', '短评打分': 5}
{'短评内容': '价格比较贵 房间太多了 通道较窄 像迷宫一样', '短评打分': 3}
{'短评内容': '价格偏贵 早餐不错                                      ', '短评打分': 5}
{'短评内容': '位置不是很好，而且隔音效果不好，我有一晚没睡好，墙不是实体的。', '短评打分': 1}
{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '地理位置不错，就是建筑内部结构复杂，像迷宫。', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '总体感觉还行,是如家的风格.', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '位置还不错，就是在一条小街道里，不太好找', '短评打分': 5}
{'短评内容': '酒店总体感觉还是不错，酒店房间打扫的还是蛮干净，服务态度也比较热情，位置不是很好，不是位于繁华地带上，交通不是很便利，价格方面我觉得偏高些，150元还比较合适的。希望酒店能够提供无线网络，这样更好些。', '短评打分': 5}
{'短评内容': '标准的如家，没什么特别的地方。房间很不隔音，网速有些慢。没有电梯', '短评打分': 5}
{'短评内容': '没有电梯，周围比较安静 交通比较方便', '短评打分': 5}
{'短评内容': '没有电梯，房间很潮', '短评打分': 5}
{'短评内容': '环境很好，经常住如家，经济实惠', '短评打分': 5}
{'短评内容': '总体来讲还好，标准的如家标准。', '短评打分': 5}
{'短评内容': '服务还不错，就是房间隔音不好，5点多就被别的房间某种声音弄醒了。另外100元的券也没有给，不知道是不是总台忘给了', '短评打分': 5}
{'短评内容': '酒店的服务，环境都不错也挺舒服的，虽然他交通挺方便的，不过他也是在胡同里，不好找。', '短评打分': 1}
{'短评内容': '入住即感觉到有股霉味，尤其受是房间里的网络根本没法使用，基本打开一个普通页面的速度是40分钟以上，别的房间上网也很慢，所以调房间基本解决不了问题。本来打算在酒店住3天，因为上不了网，住了一宿就离开了', '短评打分': 3}
