{'短评内容': '子生，交通方便，以后还会入住。', '短评打分': 5}
{'短评内容': '酒店新开刚一年，问了好几个司机竟然不知道地方，最后还要靠我的手机导航。卫生还行，网络太差了，时断时续根本没法用，不如我的手机上网；再就是没有用餐的地方，吃饭不方便；价格还算合理。', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '地图上看着离西湖挺近，但是很不方便，公交少而且六点之前几乎所有公交都停了。房间很小，就只能放下一张床，大床房都在一楼，行人说话，走路的声音听的一清二楚，对房间要求不高的可以考虑入住', '短评打分': 1}
{'短评内容': '临街的就会有些吵.其他还好..交通挺方便的', '短评打分': 5}
{'短评内容': '宾馆装修过于简陋，电视有点小，不过因为在西湖附件，性价比相相对来说还可以', '短评打分': 5}
{'短评内容': '感觉这家店总体还算不错 就是距离苏堤有点小远 到苏堤坐车就只有一辆315，很不方便 但是服务态度比较不错 下次可以考虑是否再来', '短评打分': 5}
{'短评内容': '酒店的位置还不错，就是感觉房间有点小，卫生间很滑，带着婆婆一起去杭州玩，结果老人家在卫生间里面摔了一跤，幸好没有摔伤，否则后里不堪设想。', '短评打分': 5}
{'短评内容': '位置离景区较近，条件还好 ', '短评打分': 5}
{'短评内容': '挺不错的，也还干净，就设施陈旧了些！', '短评打分': 3}
{'短评内容': '附近没有大一点的超市，每次回来后想买点东西回酒店吃喝都不行', '短评打分': 3}
{'短评内容': '没有电梯，我住在一楼，提行李还算方便，打电话问服务员位置，她自己也说不清楚。隔壁是住宅小区，夜晚还算安静，就是没有晾衣服的地方有点不方便。', '短评打分': 5}
{'短评内容': '位置设施都只是一般而已，肯定不值这个价。', '短评打分': 1}
{'短评内容': '说是326，但是最后还是收了我336，有点失望，算了也懒得为这个十块钱和他们理论。', '短评打分': 1}
{'短评内容': '很好的一家便捷的酒店,服务很好,房间的设施也蛮好,很满意,会跟朋友推荐的.', '短评打分': 3}
{'短评内容': '很好的一家便捷的酒店,服务很好,房间的设施也蛮好,很满意,会跟朋友推荐的.', '短评打分': 5}
{'短评内容': '到杭州火车站给酒店前台电话，说告诉出租车司机到雄镇楼下车，但所有司机都不知道这个雄镇楼\r\n不过酒店蛮清爽，干净。\r\n晚上步行到河坊街，看看街景', '短评打分': 3}
{'短评内容': '    离鼓楼、清坊步行街挺近的，南宋御街遗址就在宾馆对面，公交站就在宾馆的右边可以坐13路公车到银泰。\r\n   卫生环境还可以，房间不大有宽带但网速不快，我住的是邻街的晚上有点吵\r\n', '短评打分': 5}
{'短评内容': '嗯，蛮不错的，舒服，比什么如家莫太好。我喜欢卫生间漂亮的不锈钢花洒，还有概念式的个性小温柔花洒，真棒！强烈推荐入住大床房，比标准房不知要好几倍呢。\r\n希望酒店自己要提高知名度，我说的是要让杭州出租车司机都知道，这条路应该不偏阿，怎么很难叫车呢？', '短评打分': 3}
{'短评内容': '因为订酒店晚了，万般无奈中订了这家，谁想到小小酒店竟是出乎我的意料。我本来对睡觉要求很高：一要静，二要无光，三要隔音，结果这个酒店都符合。为什么呢？因为我住的是215房间，就是2楼一直走到底的那间，窗帘也很棒，隔音隔光。昨天正好是杭州春雨绵绵，走到外面雨滴嗒嗒，而在屋子里，小楼一夜听不到春雨，特此表扬一个。\r\n另外，215房的门锁卡务必要换一个，每次我都打不开，要喊来服务小妹妹，你累我也急啊，说是', '短评打分': 5}
{'短评内容': '离西湖和河坊街，火车站都很近，价格也还公道，在清明那几天这么贵的房价里', '短评打分': 5}
{'短评内容': '很不错，服务更是一流，值得推荐。', '短评打分': 5}
{'短评内容': '酒店在中河南路高架下面，其他都挺好，就是靠街的一面晚上比较吵。', '短评打分': 5}
{'短评内容': '酒店可能是刚刚开业没有多久，有些出租司机还不了解地点，标房比较小，浴室和睡床用不透明玻璃隔开，没有衣柜，不爽。没有早餐比较遗憾，虽然有高银路小吃一条街，但走过去也要二十分钟左右，所以房价不高，服务态度不错，有一定的性价比。交通还可以。离火车站比较近，打车就是起车费。对房间要求高的人不适合。离高架比较近，靠近高架的房子比较吵。', '短评打分': 1}
{'短评内容': '舒适度较差，环境不好，位置一般。', '短评打分': 1}
{'短评内容': '环境干净，服务也挺好，价格适中，地段也很便利，整体感觉性价比合适', '短评打分': 3}
{'短评内容': '酒店外观看上去不怎么样,不过进去里面感觉还不错,蛮新的,蛮干净的,住着着的舒适度也还可以.', '短评打分': 3}
{'短评内容': '酒店是新开业的,所以里的设施和环境都挺好的,而且房间也很干净,感觉很大气, 离西湖也比较近,性价比比较高.', '短评打分': 3}
{'短评内容': '宾馆外部看起来不起眼，里面很舒服，很干净，价钱也很合适，\r\n\r\n会推荐朋友！', '短评打分': 5}
