{'短评内容': '锦江是我爱我家，我会长来了，推荐朋友住，点赞', '短评打分': 5}
{'短评内容': '乾淨衛生', '短评打分': 3}
{'短评内容': '以前住这家酒店没觉得有什么不同，但这次发现水压很小（3楼）并且靠路边的窗户晚上休息还是很吵（摩托车太多）', '短评打分': 5}
{'短评内容': '入住两天感受，卫生较清洁。空调只有单冷没有取暖设备房间较凉。晚间叫服务员加了一条被子。第一天还有点温水可免强洗澡，第二天一点热水都没有放了好长时间没热水。第三天逃离。', '短评打分': 1}
{'短评内容': '非常安静，就在华盖路步行街上，下面有家百年老店卖双皮奶的很好吃，这种冷冻天气来一杯热的双皮奶是很好的享受噢！', '短评打分': 5}
{'短评内容': '酒店十分配套设施很完善,很不错值得推荐!', '短评打分': 5}
{'短评内容': '酒店不错，闹市中，虽然有些吵闹，但影响不了我对他的看法！', '短评打分': 5}
{'短评内容': '环境不错,早餐一般', '短评打分': 3}
{'短评内容': '豪华房较舒适 安静很多', '短评打分': 3}
{'短评内容': '酒店有点吵，靠步行街上，晚上步行街上有人吵架，晚上失眠了！其他还可以吧！', '短评打分': 5}
{'短评内容': '接近步行街和清晖园。很方便。环境还不错，住里面靠山也不会被吵到。几个还算实惠。', '短评打分': 5}
{'短评内容': '位置和早餐不错,客房床上用品太差,服务态度跟业务知识欠缺', '短评打分': 3}
{'短评内容': '干净整洁！', '短评打分': 3}
{'短评内容': '很快捷,性价比很高的motel.不过早餐不是很好。', '短评打分': 5}
{'短评内容': '酒店性价比比较高，就在步行街边边，吃饭购物都比较方便哈，强烈推荐', '短评打分': 5}
{'短评内容': '一家很不错的酒店，环境优美、干净整洁，值得推荐。', '短评打分': 5}
{'短评内容': '一般，房间比较细，而且上网速度慢，花洒又有问题。', '短评打分': 1}
{'短评内容': '预约了竟然没有我预约的房！其他还好', '短评打分': 3}
{'短评内容': '感觉还不错，交通较方便，就是有点嘈，休息不好啊。', '短评打分': 5}
{'短评内容': ' 这次噪音比较大 其他还是可以的  还有空调要注意维修', '短评打分': 3}
{'短评内容': '很好的酒店，环境好，干净整洁，购物非常方便，就是早餐单调一点', '短评打分': 5}
{'短评内容': '房间很干净，早餐也很可口，车库也够大，非常人性化的一间酒店，以后还会入住的。', '短评打分': 5}
{'短评内容': '环境很不错~~挺舒服的~~房间很干净，价格也很经济，周围也都还好', '短评打分': 5}
{'短评内容': '就在步行街里面，楼下就有两家双皮奶的店，可以大块朵颐；但是商家关门较晚，想11点前入睡且对睡眠环境要求较高的同学慎选；有地下停车场；服务人员态度感觉一般', '短评打分': 5}
{'短评内容': '豪华单人间面积少，豪华双人房面积够大，但灯光较暗。', '短评打分': 5}
{'短评内容': '不错,值得推荐,环境很好很舒服,服务也很好', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，就在步行街的中间，还特别靠近顺德的著名旅游景点清晖园，所以交通什么的特别方便。', '短评打分': 5}
{'短评内容': '地方不错.房间干净...\n\n每次住豪华单人房, 不错. (靠山不吵, 靠步行街就麻烦点.)\n\n', '短评打分': 5}
{'短评内容': '总体来说不错，而且挺干净的，，，可惜停车场一般，，，', '短评打分': 5}
{'短评内容': '总体还是不错的 就是服务人员好像很少 环境也不错  还是满喜欢的', '短评打分': 5}
{'短评内容': '整体上很好，里面环境很静～不过当时不知道为什么电视没声音，空调有点不够力～～整体上很好，里面环境很静～不过当时不知道为什么电视没声音，空调有点不够力～～～整体上很好，里面环境很静～不过当时不知道为什么电视没声音，空调有点不够力～～', '短评打分': 5}
{'短评内容': '闹中的静,很好啊.离步行街近,晚上出来走走吃甜點.房间挺干净,洗澡房和厕所之间是没有门的，很不方便,早餐一般的差,但每次来顺德都會住这家.', '短评打分': 5}
{'短评内容': '房间蛮干净的、、、而且价格也不贵、逛街也方便、不错不错、而且订房也方便、性价比蛮高的、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '不愧是华侨城集团的.服务态度很不错.位置也很好..不过WIFI只有在一楼才能收到.=w=.还有我们早上还在睡觉的时候服务员居然敲了两下门就打开了我们的房间门........吓到了.', '短评打分': 5}
{'短评内容': '真的不错（关键是干净）。\n几乎每次都住这里的豪华单人房（比较大），最好靠后面的山，会安静点。\n早餐一般，样式较少，还可以吧。', '短评打分': 5}
{'短评内容': '位置相当不错，放车方便，周日及周一入住还有双皮奶送。在步行街上，购物很方便。下次跟朋友再来这住。不过空调噪音大，房间空调可能刚修过吧搞得很不干净。', '短评打分': 5}
{'短评内容': '环境挺好，就系被套有点破旧！枕头套都有个洞', '短评打分': 5}
{'短评内容': '酒店就在步行街中，想行街买衣服，到清晖园游玩都很方便，也有小食，但想食饭好麻烦，要走出去好远的地方，我们住的是豪华双人房，一开始进入房间时，还以为酒店给错了我们，好小，洗手间也很狭窄，连衣帽架也没有，其实说有窗户，用来都是摆设的，封死了，只留很小很小的一条缝，其中一张床单上还有几点很清楚的血测。但其中最不满意的是早餐了，很差很差，我去过那么多酒店入住，也没见过那么差的早餐，什么也没有，就摆着几个很', '短评打分': 1}
{'短评内容': '闹中取静，很好啊。性价比高！离步行街近，晚上出来走走很好的。附件有顺德的小吃什么的很方便。', '短评打分': 5}
{'短评内容': '该店地理位置优越，门口就是步行街，购物方便；酒店房间够大，而且床单什么的都很干净，比较不错。', '短评打分': 5}
{'短评内容': '挺好，环境卫生都不错，推荐。特别是客栈设计不错，很安静。', '短评打分': 5}
{'短评内容': '豪华标间性价比比较高\n房间比较大，大环境很好\n床铺舒适', '短评打分': 5}
{'短评内容': '地理位置还可以，在步行街，只是酒店比较旧，早餐也不好，洗澡房和厕所之间是没有门的，很不方便', '短评打分': 1}
{'短评内容': '吵!  房外有机器一整晚都轰轰地响, 震得耳膜不舒服.....房里的空调又时不时地要加大动力地响一下....毛巾虽然不是很黑但是边边都烂掉了...靠后山的房晚上下大雨还听到水流声,有点阴深...', '短评打分': 1}
{'短评内容': '住过一次高级单人房，发现宁愿花多20元住豪华房！', '短评打分': 5}
{'短评内容': '大隐于市，山涧鸣幽是这家酒店的最大特色吧，它在步行街的的中心位置，与老牌民信双皮奶几步之遥。逛街购物相当方便。而打开窗户又是苍翠的凤凰岭，空气十分清新。与TA在窗前对视，读木，有种遗世独立的感觉。188的性价比，完美得没话说……', '短评打分': 5}
{'短评内容': '位置不错，就在步行街里。房间挺干净，电视不咋的。早上报警器误响，好久才停下来，处理太慢了', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '服务还不错，酒店环境也还可以，门口就有顺德的双皮奶老店，走5分钟就是景点。', '短评打分': 5}
{'短评内容': '7-16日的前台服务态度超级差，开始分到马路上面的房间，看了之后觉得很吵要求换房，直接就说没有房换了！', '短评打分': 5}
{'短评内容': '那天的前台服务态度太差劲了，分的房在马路边太吵了，看房后要求换房不给换。', '短评打分': 5}
{'短评内容': '新建的快捷酒店，位置可以说是顺德老城区的中心，好的没法说。最主要的是，房间非常卫生、安静，选择这家应该不会错。ps.服务有点冷淡~', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '地处步行街，购物方便。近清辉园，附近有一家最正宗的双皮奶吃。晚上还比较安静', '短评打分': 5}
{'短评内容': '每次来顺德都住这家，性价比还行！以后还会住', '短评打分': 5}
{'短评内容': '环境可以，就是服务态度一般，房间有点吵，尤其是那个排气扇，很吵，', '短评打分': 5}
{'短评内容': '这次往了一下双床房,房间非常大又过房间没有冰箝有点云爽.', '短评打分': 3}
{'短评内容': '不错的预定网站，但是到店的时候名字高错了，不过还是有住进了预定的房间，很好', '短评打分': 5}
{'短评内容': '还好吧 配套齐全 配双早 不过没去吃', '短评打分': 3}
{'短评内容': '闹中有静----门外即是热闹繁华的商业街，入门则是安静如家的四合院，房间简洁又温馨。', '短评打分': 5}
{'短评内容': '环境还不错，其他还好，就是入住的时候我们换了一间考本面的房间居然要我们加价三十多块。', '短评打分': 5}
{'短评内容': '还可以啊！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '地处步行街，购物方便。近清辉园，附近有一家最正宗的双皮奶吃。晚上还比较安静', '短评打分': 5}
{'短评内容': '这个城市客栈比其他城市的好，感觉设施新一点，也干净。地理位置非常好，位于步行街正中间。晚上逛逛非常舒服。步行街上还有正宗的百年老店双皮奶民信老铺，里面有近百种甜品，离酒店只二分钟路程。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '先入住502，空调居然不制冷，燥热难耐无法入睡，好在后来有房可换', '短评打分': 5}
{'短评内容': '这是一家很有主题的经济酒店，服务员挺热情，不过酒店房内设施已经显得比较陈旧了，客房墙上都有裂开的痕迹，桌子也比较旧，除了这些，其他还好。', '短评打分': 5}
{'短评内容': '＋总体还凑合吧，就是房间的毛巾实在是很破，房间气味太大，自助早餐也差了点，比锦江之星差远了，附加收费的垃圾都扔掉吧，学习一下7天', '短评打分': 3}
{'短评内容': '静，近步行街，价钱都几合理，都好舒服下。不过冷气不给力 ', '短评打分': 5}
{'短评内容': '地理位置不错，隔音太差，价格偏高了，浴巾毛巾太旧', '短评打分': 5}
{'短评内容': '不错，环境不错，卫生也不错！背后靠山，挺安静的！', '短评打分': 5}
{'短评内容': '不好，服务很差！', '短评打分': 3}
{'短评内容': '一楼的餐厅菜比较少，几天就全吃遍了，而且没有咖啡', '短评打分': 5}
{'短评内容': '有的房间灯光不好，床那边就床头有灯，比较暗', '短评打分': 5}
{'短评内容': '习惯的酒店', '短评打分': 3}
{'短评内容': '坐落在步行街上，周围氛围很好，早餐算是丰盛，住宿条件也很好，服务很到位，', '短评打分': 5}
{'短评内容': '餐厅的饭菜比较便宜，不过品种比较少。早餐更少。', '短评打分': 5}
{'短评内容': '靠小山的那边，虫子比较多，蚊子也比较多，但是比较安静', '短评打分': 5}
{'短评内容': '房间有点小，而且没窗户，不过145算是便宜的了', '短评打分': 5}
{'短评内容': '交通很方便，房间很干净整洁，不错！就是房间光线有点暗~', '短评打分': 5}
{'短评内容': '酒店比较便宜，就是酒店里卖的东西太贵了，一瓶矿泉水要卖5块钱，玉溪要40块一包', '短评打分': 5}
{'短评内容': '有的房间靠外面的步行街，比较吵，靠后面小山的房间比较安静', '短评打分': 5}
{'短评内容': '干净\n整洁，外面就是步行街，相当方便。价格算是合理，尤其是吃饭。\n', '短评打分': 5}
{'短评内容': '餐厅的那几个MM挺可爱的，就是早饭品种比较少', '短评打分': 5}
{'短评内容': '外面就是步行街，方便，离新世界不远，离清晖园也近，不错不错', '短评打分': 5}
{'短评内容': '55555555555555555555555', '短评打分': 5}
{'短评内容': '环境还挺满意。如果能在卫生和幽静以及饮食上做得更上一层楼就再好不过了。', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '酒店环境优雅，房间整洁舒适，交通也算便利，外面就是步行街，还有早餐', '短评打分': 5}
{'短评内容': ' 房间比较小！毛巾居然烂边了！没有浴袍！早点样式太少！', '短评打分': 3}
{'短评内容': '房间虽然有点小，不过整体感觉还是蛮好的', '短评打分': 3}
{'短评内容': '环境好，柜台有点慢~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '清晖城市客栈真爽,开窗就是山景,出门就是步行街,干净的房间,桑拿房式的洗澡间,性价比真高!', '短评打分': 3}
{'短评内容': '环境舒适，处于繁华地段，出行方便，性价比高！', '短评打分': 5}
{'短评内容': '不错，饭比较便宜，188的房间比较大，168的不行', '短评打分': 5}
{'短评内容': '房间有点小，不过还比较干净,服务不差，不过早餐选择太小，没有顺德特色', '短评打分': 5}
{'短评内容': '不错，交通方便，门口就是步行街，有吃的，有穿的。下次再住。', '短评打分': 5}
{'短评内容': '酒店环境不错，挺时尚的', '短评打分': 3}
{'短评内容': '房间很安静，舒服，但是空调太旧，不够力，送的早餐要求多多，很不人性化', '短评打分': 3}
{'短评内容': '酒店还不错,环境好早餐也不错!地处步行街没事可以转转', '短评打分': 5}
{'短评内容': '性价比很好，住在五楼，很安静。房间的设施有点旧，整体还不错啦。', '短评打分': 5}
{'短评内容': '酒店环境很好，性价比还不错。住的是靠山的那边，很安静，服务也很好。就是早餐略显单调，可选品种不多。以后来顺德，就住这了。', '短评打分': 5}
{'短评内容': '酒店床很舒服', '短评打分': 3}
{'短评内容': '很好的酒店，地理位置也很好，交通方便，最主要的是在步行街这样的地段，性价比很高', '短评打分': 5}
{'短评内容': '酒店干净,方便,性价比还好。', '短评打分': 3}
{'短评内容': '十房子小了点，天花有点烂。挺干净，位置好，就在步行衔，逛街方便。', '短评打分': 3}
{'短评内容': '感觉良好', '短评打分': 3}
{'短评内容': '房间干净，设施有点旧，靠山的房间很舒服。', '短评打分': 3}
{'短评内容': '方便...地點好..環境好..服務不錯.. 會再選擇', '短评打分': 5}
{'短评内容': '城市中心,环境可以.装修旧了点', '短评打分': 3}
{'短评内容': '位置不错，就是房间里的浴巾很旧很旧，都破洞了，还给客人用~之前看别人的评论都担心房间会很嘈，但我住的是2楼，感觉也还好，不嘈~~~早餐没有用过，所以也不知道怎样~~', '短评打分': 5}
{'短评内容': '性价比很高，设计很时尚，处于的地段也非常好，出行挺方便的，只是近市中心，有一点点的嘈杂，总体非常不错，推荐推荐！', '短评打分': 5}
{'短评内容': ',帮朋友订的,说就是晚上空调太吵了,其他的很好。', '短评打分': 3}
{'短评内容': ' 不错，性价比挺高！', '短评打分': 3}
{'短评内容': '方便, 出差的好選擇. 而且價格不錯..', '短评打分': 5}
{'短评内容': '方便, 地點好, 安靜. 服務不錯...', '短评打分': 5}
{'短评内容': '安静舒适。干净整洁。值得再次入住。在山边上满山植物特别宜人。', '短评打分': 5}
{'短评内容': '在步行街附近特别方便，条件也不错，服务态度不错。', '短评打分': 5}
{'短评内容': '很干净, 位置在市中心.性价比很高!\n\n每次去大良都住这家酒店.', '短评打分': 5}
{'短评内容': '好...方便...而且環境不錯. 清潔~', '短评打分': 5}
{'短评内容': '很清静。特别是靠山的房间，早上小鸟轻轻给您唱歌。', '短评打分': 5}
{'短评内容': '还可以，在步行街的中间，旁边吃的还比较多，装修不错。。。挺温馨的。。。', '短评打分': 5}
{'短评内容': '环境好，性价比高，只是不容易找到前台大堂，不过还是值得回头住！', '短评打分': 5}
{'短评内容': '很普通，很普通的一间酒店，你懂的。', '短评打分': 3}
{'短评内容': '  环境可以，就是靠街的房间有点吵', '短评打分': 3}
{'短评内容': '很不错啊，干净，而且便宜，又位于步行街里面，交通也很方便。', '短评打分': 5}
{'短评内容': '168价钱的房好嘈，它是考马路的，那服装店的音响嘈4\n', '短评打分': 5}
{'短评内容': '没有热水。不知是设备坏了呢。还是什么原因，开了半天就是没有热水。一样的价钱，且靠山的房间也有，总台就是不愿意给我们住，还是一再强调才给的。不够以人为本。', '短评打分': 1}
{'短评内容': '环境还算可以，但是最大的缺点是烧水的水壶是手动关电源的。。烧开了也会继续烧。。要是装水多了的话漏出来还会跳闸，整个房间没电，要叫人来修。。', '短评打分': 5}
{'短评内容': '住过不下10次 -- 还可以 -- 关键是干净/安全 (房间有点小).\n选房时要选靠山的(靠马路的半夜都很吵)\n早餐比较简单,过得去.\n地下有停车的(大门处仅能停3-4部车,地下可以停15-20部吧)', '短评打分': 5}
{'短评内容': '不错呀！', '短评打分': 3}
{'短评内容': '比想象中好多，性价比不错喔', '短评打分': 3}
{'短评内容': '就在清晖园前一点,路的旁边就是步行街.\n188豪华单人房,含双早,性价比不错.\n里面环境还可以.也不觉得很吵.\n交通也挺方便的!', '短评打分': 5}
{'短评内容': 'This hotel is quite good and the price is reasonable.', '短评打分': 5}
{'短评内容': '整体还可以', '短评打分': 3}
{'短评内容': '，房间卫生整洁，两张大床，楼下步行街，很不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '位于市区中心交通便利，附近就是当地著名景点清晖园和商业步行街。环境舒适清洁，感觉温馨。', '短评打分': 5}
{'短评内容': '本觉得环境不错，特别是附近的特色，在酒店外就是步行街，而且街道很有特色。而且酒店就餐方便。下次再荐', '短评打分': 5}
{'短评内容': '没热水冲凉，空调又不行，226房表示不满', '短评打分': 3}
{'短评内容': '地段不错，只是早上有点吵。不过总的来说，还是很不错的', '短评打分': 5}
{'短评内容': '交通便利，缺少一盏床头灯。早上被车辆经过的吵醒。', '短评打分': 5}
{'短评内容': '不错，位于步行街里面逛街、食嘢好方便，下次会继续入住', '短评打分': 5}
{'短评内容': '帮我弟弟在广州定的，据说虽然比较小，但是感觉还蛮温馨的。', '短评打分': 5}
{'短评内容': '房间比较小,其他还好,楼下的民信双皮奶很正点.', '短评打分': 5}
{'短评内容': '出差经常住这家，性价比还不错！以后也会住的。', '短评打分': 5}
{'短评内容': '比较值，干净，简洁，作为商务旅游，想住得经济点，这里是首选。', '短评打分': 5}
{'短评内容': '酒店环境很好，地理位置也好，有早餐，真的很划算，性价比高！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店位置不错，就造在步行街上，前面就是清晖园。但是靠街的房间有点吵，楼下商家晚上10点才关音响。他们的窗很奇怪，只能开一点点大，有时候抽了烟，味道都散不掉，这点我不太习惯。洗手间的水要放好久才能热，希望酒店能够改进。其他的都挺满意的。值这个价钱。', '短评打分': 5}
{'短评内容': '很好,很干净卫生,服务态度也很好`以后肯定也再次入住`', '短评打分': 5}
{'短评内容': '房间也很干净，早餐马马虎虎，相对于同一地段的酒店如盈建酒店，这家性价比还是很高的', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '房间很好后山风景美，但那早餐，式样实在太少，会让人饿着的', '短评打分': 3}
{'短评内容': '住过很多次了，这是是和同事一起住的，感觉卫生条件不如以前好了。\n位置不错，在步行街里面。总体一般吧，下次或许还会住，毕竟比较便宜。', '短评打分': 5}
{'短评内容': '城市客栈系列的酒店都还不错，不过这间就显得内装修有些粗糙', '短评打分': 5}
{'短评内容': '还不错,房间比较小,不过有窗户,挺干净的.就是被子有点薄.', '短评打分': 5}
{'短评内容': '家里人去出差帮订的，据说还不错，挺温馨的。', '短评打分': 5}
{'短评内容': '这次住的2楼的房间不好，有股子霉的味道，蚊子多，电话信号不好---后边是个山', '短评打分': 5}
{'短评内容': 'very good  i will be  back', '短评打分': 5}
{'短评内容': '还不错，还有免费的早餐送，交通比较方便。就是房间电视有点太老了，换个液晶比较好，房间在大一点更好！', '短评打分': 5}
{'短评内容': '实惠，隔音一般，服务热情，在大良闹市区，去哪都方便。', '短评打分': 5}
{'短评内容': '第二次住这里了，感觉还行吧，周围是步行街很热闹，但是酒店有点陈旧了，卫生也没有上次好。', '短评打分': 3}
{'短评内容': '哦', '短评打分': 5}
