{'短评内容': '一分钱一分货吧', '短评打分': 3}
{'短评内容': '给我钱，我都不住这家店了！！！！\n第一，这个店离首都机场特远\n第二，进了酒店觉得是去了90年代的招待所，感觉特别恐怖，设施陈旧，而且很脏，床垫是弹簧的吧，睡着上面感觉一个圈一个圈的，膈得不行了，根本睡不了\n第三，服务态度狂差，向前台提意见说，床没法睡，经理坐在前台后面的办公室，在前台服务员请示完毕的情况下，连面都不露，说句抱歉的话，打个招呼也行啊，什么都没有，态度很强硬\n第一次住格林豪泰的店，很失', '短评打分': 1}
{'短评内容': '酒店状况用以下词语形容：\n脏乱差！极其！！！\n餐厅简直就是不洗菜，服务态度极其差！北京贫民窟的素质很差！\n都不敢和朋友谈住那里！\n噩梦！', '短评打分': 1}
{'短评内容': '我朋友害怕了。说闹鬼了。位置真的很偏的呢。呵呵。', '短评打分': 1}
{'短评内容': '第二次住，挺好的！但不要定离路边近的房间，太吵了\r\n', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '品牌连锁酒店，服务不错 但是可能因为开业太久了吧 装修和设施有些陈旧', '短评打分': 1}
{'短评内容': ' 我已入住', '短评打分': 3}
{'短评内容': '条件还可以，房间也较整洁，就是地方有点偏，开始头一次不太好找，不过到机场打车去还是比较方便的', '短评打分': 5}
{'短评内容': '地点偏了点~~~其它还好，周边有家味道的酒店还很便宜，好吃~~~', '短评打分': 5}
{'短评内容': '两个字！垃圾。地理位置巨差，名字还搞个毛的首都机场店，离机场老远了，边上全是盖房子的，什么东西都没有，吃东西的地方都没有。房间连暖气都没有，进来就是一股刺鼻的潮味，门上爬了一只蟑螂.....只能开空调，但是空调就跟耷拉着一个叶片一样，恳恳恳恳响个不停.喝口水吧，一看茶杯 没洗干净......', '短评打分': 1}
{'短评内容': '房间电脑上网很烂', '短评打分': 3}
{'短评内容': '不错值这个价值位置偏', '短评打分': 5}
{'短评内容': '设备一般   地方交通不是很好  距离景点远', '短评打分': 1}
{'短评内容': '不错 还可以 卫生条件不错 旁边还有吃饭的地方', '短评打分': 5}
{'短评内容': '性价比不错，但是房间墙角发霉，卫生间漏水，希望能进行处理。', '短评打分': 5}
{'短评内容': '房间一股浓重的烟味。设施、卫生让人感觉就像是县城的一个招待所。服务态度、人员素养，和如家、速8/7天连锁等比起来，差的太远。格林豪泰的连锁酒店如果想和其他的经济型连锁酒店竞争的话，应该派人去其他酒店去住一住，找找自己的不足', '短评打分': 1}
{'短评内容': '   这家酒店位置较偏，床垫太差，搁人，酒店服务还行吧', '短评打分': 5}
{'短评内容': '服务生比较专业，解答一些问题很准确，给我们提供了不少帮助，很感谢。', '短评打分': 5}
{'短评内容': '是家连锁型的酒店，房间干净、舒适，还有保险柜，可以存放一些贵重又不便于携带的物品，考虑挺周到的。', '短评打分': 5}
{'短评内容': '房间面积小，显得很拥挤.而且服务人员也不是很热情.不如＂如家＂＂锦江＂这类连锁酒店好.当时我们就近找了这家，位置挺一般的.', '短评打分': 1}
{'短评内容': '房间面积小，显得很拥挤.而且服务人员也不是很热情.不如＂如家＂＂锦江＂这类连锁酒店好.当时我们就近找了这家，位置挺一般的.', '短评打分': 1}
{'短评内容': '  位置偏 没窗户 空气不好', '短评打分': 1}
{'短评内容': '墙壁有些掉皮了，其它设施还好', '短评打分': 5}
{'短评内容': '位置偏了点', '短评打分': 5}
{'短评内容': '房间的隔音有些差,服务很一般,位置比较偏离市中心很远,交通很不方便.', '短评打分': 3}
{'短评内容': '服务很好，很周到。\r\n隔音效果不好。', '短评打分': 5}
