{'短评内容': '服务员刘燕、李金兰服务周到，下次继续入住。', '短评打分': 5}
{'短评内容': '在芜湖是不错的酒店，环境挺好，安静，以后还会入住。', '短评打分': 5}
{'短评内容': '还不错，设施和服务都挺好，听舒适的，窗外就是新酒店的未完工走廊，建议做好遮挡设施', '短评打分': 5}
{'短评内容': '还可以，但是早餐时间结束的太早了，懒觉一睡就没吃了。', '短评打分': 5}
{'短评内容': '海螺国际很好，房间好，早餐很丰富，服务好，在芜湖不考虑其他酒店了', '短评打分': 5}
{'短评内容': '酒店房间舒适，早餐丰富，交通方便，旁边有一个大润发购物广场，吃饭购物方便，而且去芜湖汽车站火车站步行差不多10分钟路程，交通也方便。\n如果硬要说唯一缺点的话，就是我住的是标间，其实不错了但我想住的是单间，可惜单间价格太贵了。\n总体评价，赞一个字是必须的。 只要保持这个服务水准，而不下降的话，强烈推荐朋友入住。哈。', '短评打分': 5}
{'短评内容': '不错哦。有所值！以后将继续\n住的\n！！！！！！！！！', '短评打分': 5}
{'短评内容': '早餐不错，很丰富，房间一般！床不是很舒服。。。整体比较老', '短评打分': 5}
{'短评内容': '酒店大气干净，早餐不错，值得入住，窗户值得改进', '短评打分': 5}
{'短评内容': '早餐不错，挺干净的，就是离步行街稍微有点远，需要打车', '短评打分': 5}
{'短评内容': '总体讲还是不错的。软硬件设施还是不错的。因考虑到北方的天气相对比较干燥，建议每个房间都配置擦身体的润肤露就更好了。', '短评打分': 5}
{'短评内容': '可以.可以.可以.可以.可以.\n房内温度太高,不太好调节.内外温差大,容易感冒.', '短评打分': 5}
{'短评内容': '不错.交通等各方面都很方便.推荐!芜湖最好酒店之一.', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '非常不错，就是地理位置稍偏，不过自己开车还是挺实用的', '短评打分': 5}
{'短评内容': '位置比较方便，服务不错，早餐不错，就是设施稍微老了一点，好处是没有新装修的甲醛：）', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '酒店位置好，毗邻超市，购物餐饮方便，交通便利 。\n', '短评打分': 5}
{'短评内容': '房间干净、卫生。交通便利、停车方便。但房间价格还可以便宜些。', '短评打分': 5}
{'短评内容': '早餐还不错。在芜湖算比较好了。房间比较陈旧，退房速度很慢。不过员工态度还不错', '短评打分': 5}
{'短评内容': '太老了，房间里有苍蝇和蚊子，实在不敢恭维啊！！。。。。。。。。。', '短评打分': 1}
{'短评内容': '装修中，比较吵。早餐种类变化了不少，酒店性价比不错。', '短评打分': 5}
{'短评内容': '酒店离火车站不远，早餐丰富，但房内设施陈旧。', '短评打分': 3}
{'短评内容': '很好~房间比较大，性价比不错！！！~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店服务设施和硬件都不错，在芜湖住这样的酒店，很不错，周边还有大润发超市', '短评打分': 5}
{'短评内容': '太老旧了，应该重新装修了，性价比略低了一点', '短评打分': 5}
{'短评内容': 'check-in有点儿慢，性价比不行，房间装修老旧，附近吃饭不方便，如有其他选择不推荐，跟总部那个酒店没法比...', '短评打分': 1}
{'短评内容': '酒店很干净，早餐也很好，服务员服务态度很好，健身房设备也不错。', '短评打分': 5}
{'短评内容': '酒店硬件设施都已太旧了，门口打车不方便要自己走到马路口才能拦到出租车。', '短评打分': 5}
{'短评内容': '酒店机打发票抬头要手写 唉 俺们不能报销，郁闷啊。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '整体环境不错，服务不错。装修完的新楼应该更好吧!', '短评打分': 3}
{'短评内容': '酒店地理位置非常好，性价比非常高，下次还来这里住，非常值得推荐', '短评打分': 5}
{'短评内容': '离市区和火车站都比较近，房间性价比比较高，早餐也不错', '短评打分': 5}
{'短评内容': '酒店很干净，早餐不错，房间也大，交通也方便，老牌好酒店。', '短评打分': 5}
{'短评内容': '地点不错，离火车站较近，性价比还可以，就是设施旧了点', '短评打分': 5}
{'短评内容': '不错。价格性能比可以，让客人觉得有所值。自助餐不错。', '短评打分': 5}
{'短评内容': '价格还不错，比较合理，只是酒店有点陈旧了。', '短评打分': 5}
{'短评内容': '设施环境很好，价钱适中', '短评打分': 3}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '环境好，房间舒适，早餐的环境好，有阳光位置。', '短评打分': 3}
{'短评内容': '整体都不错，性价比不错，对得起这个价格。早餐是亮点', '短评打分': 5}
{'短评内容': '房间比较老旧，开窗户还要联系前台，早饭尚可', '短评打分': 1}
{'短评内容': '房间比较老旧，开窗户还要联系前台。早餐尚可。', '短评打分': 1}
{'短评内容': '环境优美，服务优良，房间很宽敞，价格也比较便宜', '短评打分': 5}
{'短评内容': '不错的酒店，但周边吃饭地方几乎没有，吃个饭，找的好辛苦 ', '短评打分': 5}
{'短评内容': ' 总体尚可 装修旧了解 卫生间太小\r\n孟辉', '短评打分': 3}
{'短评内容': '国庆在这里住了两天，酒店设施还行，是传统的四星酒店；位置比较方便，马路对面有个大超市和一个小的餐饮街；早餐比较丰富，服务也算快捷，总体感觉还不错。', '短评打分': 5}
{'短评内容': '窗户打不开，没法子透气，其他都Ok', '短评打分': 3}
{'短评内容': '很安静、很舒适、交通方便、服务周到，下次还会来。。。', '短评打分': 5}
{'短评内容': ' 酒店基础设施有待番新和增设, 自助早餐不够丰富.', '短评打分': 3}
{'短评内容': '房间旧，地理位置尚可。', '短评打分': 3}
{'短评内容': '位置不错,房间设施有点老,还行，性价比不算高', '短评打分': 3}
{'短评内容': '酒店不错，卫生、服务堪称一流，希望能继续保持，下次还会选择。', '短评打分': 5}
{'短评内容': ' 还可以', '短评打分': 3}
{'短评内容': '老牌高就酒店，设施什么的都不错。。。\n房间很干净，床很大，不过冰箱里的东东少了点。\n最关键的是早餐还不错。。。', '短评打分': 5}
{'短评内容': '酒店性价比还可以，就是设施略有陈旧了。', '短评打分': 3}
{'短评内容': '总体来说还是不错的。自己住了两天，帮同事定了一天。早餐的小混沌尤其不错。服务员很负责，电话没有挂好，有人来提醒的，为的是预定的叫醒可以顺利进行。下次还会住。', '短评打分': 5}
{'短评内容': '早餐不错，自助中餐晚餐性价比很高。酒店比较老，但房间里面的设施已经更新，总体来说感觉还是相当不错的。', '短评打分': 5}
{'短评内容': '酒店还可以，早餐少了点，装修有点老，不过性价比还是可以的，作为商务人士还是可以推荐的。望酒店能持续改进，增加早餐品种。', '短评打分': 5}
{'短评内容': '巳入住，很好。', '短评打分': 3}
{'短评内容': '位置不错,服务也挺好,服务员都很热情\n。房间有点老，性价比很高，还会在来。如果酒店电视换成液晶的就更好了。', '短评打分': 5}
{'短评内容': '芜湖较老的酒店.周围一切都还方便.设施什么都还过得去.在芜湖一直住在这里.不错的.已在新建新设施.以后还会继续入住的......', '短评打分': 5}
{'短评内容': '虽然是一个有十周年店庆的老店，但经过整修以后，整个客房显得干净，整洁，就是床垫显得太薄，虽然床垫还是很软！早餐没有吃到，因为昨晚回的太迟，所以不能对其发表点评！！！', '短评打分': 5}
{'短评内容': 'dfshjfhsjjhfjhsjh书法家说的话举笏击蛇房间后圣诞节收到符合及时的回房间哈斯金哀伤的煎熬说的就是是放的喝的房间后斯蒂芬火炬手的很紧', '短评打分': 5}
{'短评内容': '不错的酒店，服务态度很好，所住的房间设施也不错。位置也很好。房间的隔音还有待提高，结账的速度比较慢。', '短评打分': 5}
{'短评内容': '酒店还行，有个戴眼镜的前台很漂亮哦，因为是新来的，所以业务不是很熟悉，希望大家不要为难她，现在工作真的很难做。', '短评打分': 5}
{'短评内容': '都还好，就是感觉浴室地板有点湿湿的感觉，瓷砖看上去有点脏兮兮的，不过是看上去而已。浴巾毛巾比较干净，房间大小合适。', '短评打分': 5}
{'短评内容': '装修挺老的，房间不够安静。但是价格挺合适，餐厅的菜还可以。就是打车不方便', '短评打分': 1}
{'短评内容': '不错的酒店,虽然边上在施工,但还是挺安静的,吃饭购物都方便', '短评打分': 5}
{'短评内容': '第二次入住了，感觉还行。早餐一般，离超市很近，不过商务中心的商品数量过少。', '短评打分': 5}
{'短评内容': '酒店还不错，挺大的，装修比较豪华，早餐还可以', '短评打分': 5}
{'短评内容': '老店了，但服务还行。客房叫餐挺好的，价格便宜。。。。。', '短评打分': 5}
{'短评内容': '作为四星级酒店，可以说是物美价廉，性价比很不错', '短评打分': 5}
{'短评内容': '恩 不错的酒店 住了好久 早餐还不错  房间送餐也不贵 床很舒服', '短评打分': 5}
{'短评内容': '还可以  和业务单位近  但服务有时候欠缺  有问话没回音 郁闷', '短评打分': 5}
{'短评内容': '不错 呵呵 住了快一周了 酒店设施还行 在酒店里用餐也不贵', '短评打分': 5}
{'短评内容': '还好！性价不错。只是有点老了，设施不咋样！！！', '短评打分': 5}
{'短评内容': '酒店比较大气 设施也比较不错 早餐很丰富 床很舒服 洗澡水温偏热 不好调节', '短评打分': 5}
{'短评内容': '不错的酒店，服务态度很好，所住的房间设施也不错。价格能匹配服务，下次还会入住。', '短评打分': 5}
{'短评内容': '续住.还行.算芜湖较老的星级酒店.性价比不错.', '短评打分': 5}
{'短评内容': '虽然旧了些,但性价比还可以.周围都比较方便.', '短评打分': 5}
{'短评内容': '太老旧的酒店,和汉爵阳明完全不能比,该装修咯！！', '短评打分': 1}
{'短评内容': '交通很方便，离火车站不远，离政府机关也很近。干净卫生，服务态度好。', '短评打分': 5}
{'短评内容': '房间设施和人员的服务态度都挺好。 周围现在设施也比较齐全。交通方便。', '短评打分': 5}
{'短评内容': '酒店太老了，以前感觉还不错，现在芜湖有很多新的酒店，感觉性价比不高', '短评打分': 1}
{'短评内容': '房间设施有点旧，但酒店地理位置还不错~~ ', '短评打分': 5}
{'短评内容': '还行，早餐不错。价格有点小贵，离四星还差一点。', '短评打分': 5}
{'短评内容': '房间大小，服务态度都还不错。晚上觉得很安静。价格再便宜一点点就更好了。', '短评打分': 5}
{'短评内容': '酒店停车挺方便，晚上外部看灯光很美，内部略显陈旧，可能是老酒店的缘故~', '短评打分': 5}
{'短评内容': '地理位置比较方便，早餐也不错......', '短评打分': 5}
{'短评内容': '酒店装修比较旧了，卫生状况还不错，早餐也挺好！', '短评打分': 5}
{'短评内容': '房间装修比较久了，木质部分显得很旧。收拾得比较干净，洗浴用品还是舒蕾的~', '短评打分': 5}
{'短评内容': '酒店外观很大气，房间价格比较实在，但是装修比较陈旧~', '短评打分': 5}
{'短评内容': '房间整洁，但是浴室可能是由于刚打扫完，有点湿湿的。早餐ok。洗浴用品还不错。', '短评打分': 5}
{'短评内容': '酒店不错，但有些旧。但周围吃饭的地方不多，只能考虑在酒店吃了', '短评打分': 5}
{'短评内容': '感觉一般', '短评打分': 3}
{'短评内容': '继续续住.不错,不错.很方便.设施老了些,但不影响.', '短评打分': 5}
{'短评内容': '＋干净，安静，早餐不错。', '短评打分': 3}
{'短评内容': '续住.应该不错.很方便.就是早餐简单了些.', '短评打分': 5}
{'短评内容': '芜湖老牌星级酒店.各方面都不错.虽然设施旧了些,但还凑合.', '短评打分': 5}
{'短评内容': '不错。位置好，服务好，交通方便！性价比高，下次还住。', '短评打分': 5}
{'短评内容': '基本每次去芜湖都住海螺   服务好  档次也不错  位置我喜欢 ', '短评打分': 5}
{'短评内容': '不错，就是时间有点旧了。。。。。。。。。。。。。\n', '短评打分': 5}
{'短评内容': '酒店房间大小合适，我住的是普通标间，价格偏高，早餐质量感觉下滑', '短评打分': 5}
{'短评内容': '酒店的设施都还不错，环境也挺干净的，离长途总站也很近。', '短评打分': 5}
{'短评内容': '太差了，入住退房很不方便，设施很老很老，以后再也不住，这个价格可以住汉爵或中央大酒店', '短评打分': 1}
{'短评内容': '设施hen旧，但不影响质量。网速非常的快。早餐就算凑副吧，没什么太好的特点，但是可以吃好。\n', '短评打分': 1}
{'短评内容': '距离赭山公园比较近，步行10分钟可达。去方特公交车就可以了。在广电中心上车，往北走。自助晚餐58元，早餐30元。符合预期', '短评打分': 5}
{'短评内容': '虽然是四星，价格还是有点高，性价比一般.服务还要加强', '短评打分': 5}
{'短评内容': '芜湖的酒店整体偏贵\n这一家也老了，没什么特色', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店外观比较旧了，没有四星的样子。到前台的时候服务有点问题，竟然找不到我的预定信息。幸好，前台在主动查看了我的短信后立刻给我安排了房间。内部设施和用品质量还不错，晚上房间很安静，睡的比较好。总之性价比不错，推荐下。', '短评打分': 5}
{'短评内容': '酒店大堂比较气派，早餐还可以，房间不大，价格再便宜些就好了。', '短评打分': 5}
{'短评内容': '房间空间挺大，酒店位置也不错。\n价格稍微有些高。\n走廊有点味道，可能是酒店有点老吧。', '短评打分': 5}
{'短评内容': '挺好的，设施稍微有点旧，但不影响质量。网速非常的快。早餐就算凑副吧，没什么太好的特点，但是可以吃好。', '短评打分': 5}
{'短评内容': '一周内第二次入住了，不错的酒店。\n推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，虽然入住时将近24:00，但总体感觉不错。', '短评打分': 5}
{'短评内容': '不错的一家酒店,早餐很满意,而且离车站很近,交通方便,下次来还继续住', '短评打分': 5}
{'短评内容': '设施不象前面几位说的那么陈旧啊？难道已经重新装潢过了？\n干净、整洁，服务也不错。值得推荐。', '短评打分': 5}
{'短评内容': '不错       条件挺好 装修有点古老  但是 空调什么的 还有细雨 都不错的', '短评打分': 5}
{'短评内容': '装修旧了点', '短评打分': 3}
{'短评内容': '很好                                            的', '短评打分': 5}
{'短评内容': '地址位置还可以， 但是房间装修较老，与房间不符 啊', '短评打分': 1}
{'短评内容': '挂牌四星，感觉设施较为陈旧。热水壶和毛巾使用时间较长，细节之处不怎么讲究，例如装璜的角落，茶叶罐、水杯等', '短评打分': 5}
{'短评内容': '酒店挺干净，早餐也很好。旁边不远就有大润发超市，购物也十分方便。，', '短评打分': 5}
{'短评内容': '服务和餐饮都还不错，就是房间装修老了点儿', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': ' 好。', '短评打分': 3}
{'短评内容': '房间很大，感觉挺好！', '短评打分': 3}
{'短评内容': '酒店硬件设施还可以,但服务不是很好.大堂保安不会帮你拿行礼,我想四星级的酒店这些帮忙应该会有的,特别的是行礼比较多的女士,我建议酒店的管理要注意下我的建议.', '短评打分': 5}
{'短评内容': '酒店很干净，早餐也不错，服务也好。交通也方便，离车站很近。', '短评打分': 5}
{'短评内容': '酒店还好啊，会推荐给其他认得，呵呵 ，不错不错的啊。。。。。。。', '短评打分': 5}
{'短评内容': '总的来说，价位还可以，不过这应该是住过的房间最小的四星级酒店了，不过酒店餐厅的价格倒真是四星级的', '短评打分': 5}
{'短评内容': '不错。下次还会订这家酒店。价格适中，服务态度不错，硬件设施也不错', '短评打分': 5}
{'短评内容': '交通方便，就在汽车站旁边，早上早点也不错，环境好', '短评打分': 5}
{'短评内容': '酒店还可以房间的设施也很新，位置也很熟悉，价格也还算合理。', '短评打分': 3}
{'短评内容': '设施和服务还不错  下次还会考虑入住', '短评打分': 3}
{'短评内容': '好  ', '短评打分': 3}
{'短评内容': '性价比中等，硬件设施一般，服务态度还可以。', '短评打分': 5}
{'短评内容': '设施一般  ', '短评打分': 3}
{'短评内容': '酒店设施一般  总台男服务生态度冷淡', '短评打分': 3}
{'短评内容': '不错~ 设施齐全~ 楼结构有点老~液晶电视~环境不错~服务也不错', '短评打分': 5}
{'短评内容': '酒店还可以，性价比不错，以后到芜湖还是这家酒店', '短评打分': 5}
{'短评内容': '很好.一切都可以.在芜湖算是比较好的酒店.', '短评打分': 5}
{'短评内容': '不错  喜欢 房间不大不小  很温馨，地理位置也很好', '短评打分': 5}
{'短评内容': '酒店位置很好，离芜湖火车张，汽车站都很近，酒店整体环境不错，服务也到位。就是设备有些陈旧了。', '短评打分': 5}
{'短评内容': '芜湖最好的酒店之一.一切都很方便.适合出差商务.', '短评打分': 5}
{'短评内容': '海螺的大堂还是挺气派的，早餐由于睡晚了没吃到，下回去再吃吧', '短评打分': 5}
{'短评内容': '酒店里芜湖火车站很近。总体感觉房间有些旧，其他还不错。', '短评打分': 5}
{'短评内容': '已入住420酒店很好。价位也不高。', '短评打分': 3}
{'短评内容': '酒店有点旧，但还算舒适。晚上吃了个自助餐58，还行。', '短评打分': 5}
{'短评内容': '位置不错，早餐很好，服务周到。缺点是硬件设施有点落后。', '短评打分': 5}
{'短评内容': '还可以                                                           ', '短评打分': 5}
{'短评内容': '酒店地理位置可以，服务也还好。但价格与档次及当地收入水平相比有点贵。', '短评打分': 5}
{'短评内容': '   还不错', '短评打分': 3}
{'短评内容': '酒店不错的.早餐也可以的.地理位置也很好,服务也不错的.', '短评打分': 5}
{'短评内容': '                 性价比还可以.', '短评打分': 5}
{'短评内容': '\n叶斌', '短评打分': 5}
{'短评内容': '环境不错早餐也还好。要是价格在便宜点就合理了', '短评打分': 5}
{'短评内容': '性价比较好', '短评打分': 5}
{'短评内容': '+芜湖海螺国际大酒店是位于芜湖市中心地段的挂牌四星级酒店,房间设施尚可,比较卫生,停车也比较方便!', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '已入住酒店不错。', '短评打分': 5}
{'短评内容': '房间大小适中，比较干净，只是旁边有施工，总的来讲可以推荐。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 5}
{'短评内容': '酒店 的自助餐还可以,附近有个吃奎湖鱼庄,吃长江野生鱼的,味道不错', '短评打分': 5}
{'短评内容': '性价比较高，早餐丰富，卫生间地砖档次较差建议重铺', '短评打分': 5}
{'短评内容': '   该酒店区位好，交通便捷，内部管理有序，服务热情周到，环境雅致、卫生，是一座召开会议，旅游休憩的好场所。', '短评打分': 5}
{'短评内容': '太老旧的酒店，房间里的设施很陈旧，席梦思床垫已经损坏，睡得腰疼，性价比极差，建议不要入住！', '短评打分': 1}
{'短评内容': '    芜湖的老牌星级酒店,一切都还可以.', '短评打分': 5}
{'短评内容': '设施较好，交通便利，服务一般，可以入住。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '太旧了，不怎么样。', '短评打分': 3}
{'短评内容': '离开市区较远，吃饭不方便。房间还可以。', '短评打分': 5}
{'短评内容': '老，旧，就是位置还好', '短评打分': 1}
{'短评内容': '不能怪这家酒店，芜湖的酒店价格太高了，这个设施和卫生不敢恭维，实在不配这个价格', '短评打分': 1}
{'短评内容': '性价比很差的酒店，340的标间基本上比快捷酒店的还差，强烈不推荐', '短评打分': 1}
{'短评内容': '酒店有点旧了，和普通三星的设施差不多，早餐还可以', '短评打分': 1}
{'短评内容': '酒店房间比较的大，但是内部设施比较简单，特别是早餐不是很让人满意。离国际化酒店还需努力。', '短评打分': 5}
{'短评内容': '感觉设施比较老', '短评打分': 3}
{'短评内容': '这家酒店位置尚好，设施比较成旧。自助早餐太差了，而且服务员的态度及其令人憎恨，面目表情，竟然向她询问不搭理你。在外住酒店头一会遇见，少见！房间价格也贵，以后一定不会去住。', '短评打分': 1}
{'短评内容': '酒店设施相对较老', '短评打分': 3}
{'短评内容': '比较老的酒店了，酒店的设施比较陈旧了，早餐不是特别好，感觉中餐品种相对不多，西点还是很好好多的', '短评打分': 5}
{'短评内容': '位于市中心，早餐还可以不错，房间普通吧，下雨借伞还要20元押金呢，打车需要走到马路边，服务一般，环境尚可', '短评打分': 5}
{'短评内容': '设施陈旧,远没有达到4星级的水准.', '短评打分': 1}
{'短评内容': '中式早餐相对比较弱一些，其他都还可以，下次还会来！', '短评打分': 5}
{'短评内容': '非常好的酒店, 地利位置非常好..`', '短评打分': 5}
{'短评内容': '年代较久的4星级酒店，服务一般，设施陈旧，性价比较差。', '短评打分': 1}
{'短评内容': '还行吧，可以推荐', '短评打分': 5}
{'短评内容': '不错的酒店，就是中餐简单了点，性价比还是比较高的', '短评打分': 5}
{'短评内容': '服务好，设施好，位置好', '短评打分': 5}
{'短评内容': '芜湖不错的酒店，前厅大气。\r\n早餐没吃，不知如何', '短评打分': 5}
{'短评内容': '性价比还是不错的，几乎每次去芜湖都住这个酒店', '短评打分': 5}
{'短评内容': '酒店的地理位置还是蛮好的,非常方便,里面的卫生环境也挺好的,性价比还成,不过感觉酒店的行政房没有它的豪华房好.', '短评打分': 3}
{'短评内容': '周围没有什么设施', '短评打分': 5}
{'短评内容': '我最满意的是这家酒店的服务态度非常好，好体现在不是哪个人，而是所有的人员服务意识和服务态度都很好，我很满意，以后去芜湖，我还会入住海螺国际大酒店的\r\n', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店服务还行，就是退房的时候那个小姑娘差一点。设施不算豪华，但还比较温馨，位置不错。', '短评打分': 5}
{'短评内容': '相对前一段时期服务有所下降', '短评打分': 5}
{'短评内容': '不错的酒店，就是周围配套差了点，买个水果还有走两条街', '短评打分': 5}
{'短评内容': '在芜湖住过几次酒店,比较之下,在同等价格的酒店当中,该酒店还算可以,下次还会入住该酒店!', '短评打分': 5}
{'短评内容': '设施条件比较好，服务什么也不错，就是 位置离市中心还是稍微有点距离的', '短评打分': 3}
{'短评内容': '酒店位置特别方便,环境也不错,而且价格比较适中,总的来说性价比还可以,值得推荐\n', '短评打分': 3}
{'短评内容': '因为是小城市,这样的酒店算是不错的了.酒店服务,设施也算是不错.位置邻近市府大楼,交通便得.离火车站,汽车站很近,打的只是起步价5元.非常方便', '短评打分': 5}
{'短评内容': '服务态度热情周到', '短评打分': 5}
{'短评内容': '可能因为是小城市，号称芜湖前三的酒店，房间很一般。\r\n中式的早餐我喜欢。', '短评打分': 5}
{'短评内容': '前台的服务一般。不是很热情到位', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置很好的，交通很便利的，价格有点高了', '短评打分': 5}
{'短评内容': '設施有點老舊,早餐一般', '短评打分': 1}
{'短评内容': '酒店的服务比较不错，在芜湖我只住过这一家酒店，感觉还是挺不错的，就是房间里的硬件比较陈旧，价格还可以，位置不错。', '短评打分': 5}
{'短评内容': '他这个位置上交通还挺方便的，不过整体来说比较一般，硬件设施服务环境都很一般。', '短评打分': 1}
{'短评内容': '性价很高的酒店。但在非商务间中有网线，但客人所带的电脑没有摆放的好位置，给商旅人士造成不便。', '短评打分': 5}
{'短评内容': '在芜湖算高档的了,整体酒店感觉满好的,大厅开间很大,房间也很大,配套设施也很全的,值得推荐.', '短评打分': 5}
{'短评内容': '电视节目丰富，有HBO！床也够舒服，在芜湖算不错啦！', '短评打分': 5}
{'短评内容': '异型间不错！标准间虽然达到四星，但比起异型间似乎要差很多！', '短评打分': 3}
{'短评内容': '芜湖最好的酒店。房间大，设施达到四星，但早餐不好。听说芜湖还有一家五星的酒店-花园酒店，过去一看是个冒牌货，并不是THE GARDEN HOTEL，只是一个三星而已！', '短评打分': 3}
