{'短评内容': '太差劲了', '短评打分': 1}
{'短评内容': '电视机巨古老 \r\n信号也不怎么样\r\n出门车子也不多 \r\n周围不远便是流浪汉晚上的据点 深夜回来挺可怕的', '短评打分': 5}
{'短评内容': '性价比高  服务也挺好  ', '短评打分': 3}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '还可以了。服务也不错。就是硬件设施有点不好了。价钱还很合适了。', '短评打分': 5}
{'短评内容': '为了衔接前后的行程而定的。。够便宜，用消费券只要75，不过确实是一分价钱一分货，只能算对的起价格了，只有空调没暖气，中转歇脚要求不高不准备洗澡的可以住住，西安冬天太冷了，在这洗澡会很冷。。。顺便国外网站优惠订的馨乐庭，在市中心，看起来烂烂的，条件要好很多，不过价格也差很多。。唯一不好的是在国内网站馨乐庭都含早，我定的却没有，气人。。。', '短评打分': 1}
{'短评内容': '还算可以吧', '短评打分': 5}
{'短评内容': '床不好 太老了 其他的 都不是大问题 那个床是钢丝弹簧的垫子 太古老了 ', '短评打分': 3}
{'短评内容': '服务不错 环境一般 硬件设施有些旧 性价比还不错 有机会还会去。', '短评打分': 3}
{'短评内容': '是一家老宾馆，服务还不错，设施齐全，性价比一般。', '短评打分': 5}
{'短评内容': '总体说 一般 床太老了 ', '短评打分': 5}
{'短评内容': '总体而言，性价比还不错。地理位置优越，价格适中，服务态度较好；不足之处在于房间设施有点陈旧，感觉不是特别干净，不过就这个价钱来说，还算公道。', '短评打分': 3}
{'短评内容': '被子床单很不干净，是潮湿的；卫生间很不好用。还是别为了省钱入住。我们住了一晚就换到别的店去了。', '短评打分': 1}
{'短评内容': '虽然设施一般，但服务态度还是很好的，', '短评打分': 5}
{'短评内容': '价位很低,所以和价格比起来也就这样的服务了,一般化', '短评打分': 3}
{'短评内容': '热水就没有热过，座便器是脏的,门保险是坏的，真有点没法形容了，唉', '短评打分': 1}
{'短评内容': '其他的都很好，只是冬天入住时不是很方便，一到晚上淋浴的喷头里洒出来的热水就不够烫，有的时候甚至只是温水，根本没法洗澡，有的时候连早上都是如此，希望以后有所改进。', '短评打分': 5}
{'短评内容': '老点 但是环境还是不错的  相对来说 比较不错  又在钟楼附近 所以价钱还是可以接受的', '短评打分': 5}
{'短评内容': '这家酒店条件还不错,设备蛮齐全蛮新的,而且价格也不贵,综合还是比较满意的.', '短评打分': 3}
{'短评内容': '总体而言，性价比还是不错。', '短评打分': 5}
{'短评内容': '性价比相当不错。当然这样的价格就不能对硬件设施之类提太高要求了。热水小了点。服务态度不错。所处地段较好，搭公交或出租均方便。', '短评打分': 5}
{'短评内容': '位置不错，但房间设施太过陈旧，还有最严重的是卫生间的热水不热，水也小，不是很推荐。', '短评打分': 3}
{'短评内容': '服务很好,态度不错,设施有些老旧了,性价比很一般,位置和好.', '短评打分': 3}
{'短评内容': '酒店位置较好，房间设备比较旧，电视遥控器不好使用，酒店比较安静，房间隔音不好。但是这个价位很好！', '短评打分': 5}
{'短评内容': '室内硬件陈旧，卫生间排水管漏水，要想发展成连锁快捷酒店还有很多方面需要提高。不过相对于性价比来说，住着还算凑合。', '短评打分': 1}
{'短评内容': '整体不错，值得推荐！', '短评打分': 5}
{'短评内容': '服务态度很好的 就是房间有点小 设施还是挺齐全的 ', '短评打分': 3}
{'短评内容': '宾馆条件差，环境不好，感觉就是一个破旧的小招待所，没有一点快捷酒店的样子，真不该定那样的酒店，哎~！', '短评打分': 1}
{'短评内容': '位置不错，性价比不错，冷暖空调，就是没开瓶器，得用牙咬，嘿嘿', '短评打分': 1}
{'短评内容': '酒店位置不错，可惜设施过于陈旧，卫生间很小，而且热水不热，时有时无。', '短评打分': 1}
{'短评内容': '地理位置很好，在市中心，也比较好找，从火车站坐很多路车都可以到刁家村下，往前走一点儿（往南）在文艺路和建西街的路口。服务态度很好，我喜欢。虽然地方小点儿，但还算舒服。性价比不错。', '短评打分': 5}
{'短评内容': '价格挺便宜的 服务态度好 就是房间有点小 相对而言性价比还可以 ', '短评打分': 5}
{'短评内容': '卫生和设施方面都比较不错,价格也挺好的,地理位置也不错交通挺方便的,总体感觉还是不错的.', '短评打分': 3}
{'短评内容': '比较老旧，性价比不高，交通方便，服务很好', '短评打分': 5}
{'短评内容': '硬件设施建成时间比较老旧，卫生服务算是比较达标的，价格合理适中，位置出行交通也比较方便。出差临时入住还是可以考虑入住的。', '短评打分': 3}
{'短评内容': '酒店的整体条件与它的价格还是比较成比例的,不过感觉档次不是很高,所以不太适合家人入住.', '短评打分': 3}
{'短评内容': '这个价位的，很不错了，除了房间小点，设施旧点基本没什么，没有电梯只有3层楼，如果行李又多又重，可要累了，位置超好，交通很方便，去钟鼓楼，大雁塔，坐机场大巴，打的只要起步价。', '短评打分': 5}
{'短评内容': '这家旅店最大的瑕疵就是水质不好，南方来的朋友肯定不习惯，因为很难洗净残留的肥皂。但是如果你不追求非常舒适的要求，单从价格考虑还是可以住的，至少有热水、前台的服务业非常好。希望节省旅行费用的朋友还是可以勉强住的......交通很便利、尽管卫生间排水差点。', '短评打分': 5}
{'短评内容': '地段不错.看西安的特色演出比较方便.\r\n\r\n但是东西太旧了,干净也谈不上.住的不太舒服.', '短评打分': 1}
{'短评内容': '酒店的硬件设施比较简单陈旧一点，不过还算干净，位置倒是很不错，交通方便，价格也挺优惠的。', '短评打分': 3}
{'短评内容': '便宜，卫生服务都还好，只是酒店有点旧了，不过像这种价位的还算不错，离市区和火车站都不远', '短评打分': 5}
{'短评内容': '我是十一期间入住，人多，170元/天。酒店虽然是旧了点，贵了点，但服务较热情，总体不错。具体如下：走道在中间，隔音效果不是很好，走路能听见声音（不怕睡过钟）。单人房是大床，洗手间与房间用透明玻璃隔开（有窗帘），有温水洗澡但水量小（节约环保），房间灯暗，看不清旅游图（好催眠）。我住的房间不靠路边，靠小区，很安静，有虫鸣，我很喜欢这个意境。服务是很热情啦，尤其是前台工作人员，帮我指路，想方设法帮我留房', '短评打分': 5}
{'短评内容': '根据价位来说，还算不错。交通便利，就是酒店的设施比较差，很吵，旁边是家属楼，在施工', '短评打分': 5}
{'短评内容': '我住的房间洗手间的地面有点滑，别的方面都感觉不错，关键是价格便宜', '短评打分': 3}
{'短评内容': '酒店的一楼卫生很差，设施很陈旧了。酒店的位置还可以的，出行很方便，酒店的价格还可以。', '短评打分': 3}
{'短评内容': '酒店很好找，坐公交的话你是大包小包建议你还是打的吧10块搞定。饭店的床有点软不适合腰不行的人，如果你连住几天记得要他们换被子不然很潮。总体还好性价比很强', '短评打分': 5}
{'短评内容': '酒店一般吧,位置比较好,而且价格实惠.', '短评打分': 5}
{'短评内容': '酒店算是可以的，像是硬件条件方面，服务卫生方面包括地理位置都还挺好的。', '短评打分': 5}
{'短评内容': '经济型的酒店，按照价格来讲还可以了，周边环境还是不错的，交通蛮方便的，就是隔音效果不是很好。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较一般，卫生服务也只是达标，但是酒店的位置非常好出行交通方便，价格也合理适中，很方便的酒店还是可以考虑入住的。', '短评打分': 5}
{'短评内容': '酒店比较旧比较老,位置还可以路牌不明显,卫生还可以,服务一般,价格到是比较便宜,如果今后来附近办事还可以选要不是不会推荐的.', '短评打分': 1}
{'短评内容': '除了设施方面陈旧些了，其它方面还是不错的，价格也比较合适的。', '短评打分': 5}
{'短评内容': '酒店位置还可以,酒店内部的环境比较差,比较老旧,设施陈旧,卫生和服务也都比较一般,除了位置离我办事地点比较近其它是不会推荐给朋友的.', '短评打分': 1}
{'短评内容': '设施简陋,床单也是不很干净,位置有些偏,服务很好', '短评打分': 1}
{'短评内容': '酒店的硬件设施比较差,装修比较粗糙,卫生条件也很差,酒店的位置还可以,下次不会在入住这家酒店', '短评打分': 1}
{'短评内容': '如果你想知道摄影可以美化让人变多美，你就可以去住这家宾馆。如果你想体验山寨破烂版本的如家，你也可以住这家宾馆。如果你想看到粉刷不完整外加发霉的墙壁，你也可以去这家酒店。\r\n当然，非要瘸子里面挑将军，说些优点的话，那就是地理位置还凑合，在文昌门往南一站路，服务员也还算友善。', '短评打分': 1}
{'短评内容': '设施条件很一般了,服务也不好', '短评打分': 1}
{'短评内容': '酒店的服务一般，环境不太好，而且房间里的硬件也比较旧了，包括他的床都不是舒服，不好。', '短评打分': 1}
{'短评内容': '酒店房间面积比较小,而且装修也有些陈旧,人员服务还可以,交通位置也还不错', '短评打分': 5}
{'短评内容': '酒店的价格非常的便宜，位置也挺好，唯一的缺点是隔音不好，总的还行，以后去西安还会住那', '短评打分': 5}
{'短评内容': '酒店的硬件设施配套设施都不是很好,比较旧的酒店了,位置出行方便,价格也比较合理,但是设施很不好,下次过去不会考虑入住这家酒店了.', '短评打分': 1}
{'短评内容': '酒店的整体都很好,服务,卫生都不错,位置也很方便的,', '短评打分': 5}
{'短评内容': '服务态度很好，但是单人床太小，空调淋浴不好用', '短评打分': 5}
{'短评内容': '酒店的硬件比较一般，不过环境卫生还不错，交通很方便，离市中心也挺近的，价格也可以接受。', '短评打分': 5}
{'短评内容': '我是到附近办事，所以特意挑了一个比较近的酒店，到了那离我办事地方很近，价格也比较适中，服务还可以，但是他房间里的东西比较陈旧了，希望可以改善一下。', '短评打分': 5}
{'短评内容': '经济实惠，价位比较有吸引力，设施方面有点陈旧', '短评打分': 5}
{'短评内容': '设施的确有点旧。。但其他的都不错，也很安静，性价比不错！', '短评打分': 5}
{'短评内容': 'haihao', '短评打分': 5}
{'短评内容': '服务挺热情周到的,价格也挺合适的.', '短评打分': 5}
{'短评内容': '服务挺热情周到的,价格也挺合适的.', '短评打分': 5}
{'短评内容': '我是2008年12月24日起入住4晚。感觉服务态度好，比较有人情味。\r\n但设施欠佳，过于陈旧，地板、墙壁都有破处，水龙头有点漏水。\r\n但热水量很充足。爬完华山回来想洗头，竟然没能借到吹风机（说是借完了）。\r\n第一晚睡到半夜冻醒，后来说是平安夜了客人太多，空调负荷工作跳闸。要了床小棉被，但后面几晚一直盖两床被子都不觉得热，虽然空调遥控还是显示30&#176;。\r\n交通便利，在刁家村有208去钟鼓楼（', '短评打分': 5}
{'短评内容': '位置算是好找的，但是设施比较旧！服务还是很不错的！订的房间没有了，他们给我找个家庭间！晚上也比较静！还是能睡个好觉的！但是设施是比较差的！', '短评打分': 5}
{'短评内容': '这家酒店还是挺不错的，  安全、价位很便宜，95元一天，我住的是单间、虽然房间面积不大，但很干净、特别是卫生间很有意思，最主要的是可以免费上网，地理位置好，离市中心近，坐车很方便、服务员也特别热情，还可以免费寄存东西，下次还住这家酒店。', '短评打分': 5}
{'短评内容': '酒店比较干净，服务也很好，设施陈旧，', '短评打分': 5}
{'短评内容': '价格适中，房间很小，卫生不错，隔音不太好，位置偏', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '服务员态度不错，虽然价格很低，但是设施和管理太差了。', '短评打分': 1}
{'短评内容': '太破了 简直就是个小破招待所 阴暗潮湿 比招待所还不如', '短评打分': 1}
{'短评内容': '一般，位置不太好找，没有注明美宝，只是电力的标志。', '短评打分': 3}
{'短评内容': '性价比还是不错的！值得考虑的一个住所。', '短评打分': 3}
{'短评内容': '价格低，地理位置不错，但房子比较旧，标间面积太小了。另外我个人觉得卫生条件不怎么样。', '短评打分': 1}
{'短评内容': '不错的地方\u3000\u3000可是说是西安最低的价格了\u3000\u3000上次去西安自己选择的地方\u3000\u3000交通都很方便的\u3000\u3000\u3000硬件设施在提高点就好了\u3000\u3000我下次还住那里！', '短评打分': 5}
{'短评内容': '刚住了三晚上回来，环境还可以，但就是晚上关灯后感觉有很明显的老鼠声，吓的我只能把灯开了才敢睡，交通什么还可以，公交车什么都方便，离城墙也近，最关键的是，价格比较合理。', '短评打分': 3}
{'短评内容': '还可以，经理和前台的服务态度很好，热情。经常上网的人这里重要的是有免费宽带，西安有免费宽带的非常少。价格还可以，设施还需要提高', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;又去住了一次这家店，上次住的3层，这次在2层。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;厕所不像3层那样有个很有创意的玻璃墙，稍微有些失望了。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;另外，看见了一只很肥的老鼠，虽然只看见了一次，但是还是有点担心，主要是担心', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;虽然在住宿硬件方面还有些不足，但是服务人员的态度还不错，给5分了&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;价格方面，虽然95一天在西安来讲已经算不高的了，但是如果再便宜一点就更好了&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;环境和设施方面，周围有点吵，但还能接', '短评打分': 5}
{'短评内容': '第一，是便宜，我想这个事有点，现在讲几个感受，位置太偏僻，虽然离市区很近，但是打听建西街很多司机不懂得，第二，我不会嫌弃酒店简陋，只是卫生不是很好阿，可能是节约了成本，没有什么服务员的缘故吧，还有是暖气空调不能效果不是很好，都冬天了，被子也忒单薄，可以申请加被，还有就是洗手间没有热水阿，很郁闷阿，水质感觉不是很好，我想我希望西安有更多快捷经济酒店，只是最起码最基本的服务要跟上，我希望电力饭店努力做', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;价格比较有吸引力。因为对西安不太熟，但感觉这个价格应该还是比较少见的吧~~~&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;感觉不错！！：）&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;从性价比看这家酒店不错了，房价只有95元，恐怕在西安是没有的了。一楼房间较暗、装修一般，还是住二、三楼的房间舒服干净。下次来西安我还会住这里。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '不建议入住, 可能时间比较久, 房间地板很脏, 整体感觉旧破, 晚上安静, 但有老鼠和虫子, 交通不便, 走到了文昌门, 问路人建西街, 都说不知道.热水供应不好, 说是温泉 , 其实不如热水器来的好,', '短评打分': 1}
{'短评内容': '对这个价格来说,这家酒店很不错了.它门口那家烤肉店,是我觉得西安最好吃的东西了.所以感觉很好,虽然没有钥匙,开门也挺方便.还有就是位置不错,存包也不收钱,我去华山玩了两天,存了两天的包,一分钱也没收.不错不错.', '短评打分': 5}
