{'短评内容': '帮朋友订的。', '短评打分': 4}
{'短评内容': '位置非常好，右边过个天桥就是五一广场，马路对面往左边走一段路就到福州最热闹的东街口了，进去500米左右就是福州最有名的安泰楼，福州有名的小吃在这都能找到，比温州的天一阁还要大品种还要多。吃的地方在二楼，从一楼自动扶梯上去就是，不要怀疑这是什么大酒店什么的。吃好后从安泰楼的旁边巷子里进去600米左右就是“三坊七巷”了，正好消消食。。', '短评打分': 5}
{'短评内容': '住着挺方便的，服务也挺好的。交通还可以的', '短评打分': 5}
{'短评内容': '不错的酒店。各方面我都很满意。离福州的几个本人感兴趣的景点（林则徐纪念馆、三坊七巷等）和东街口步行距离都不远。但是周围吃饭可供选择的餐馆不是很多。总之，瑕不掩瑜，值得推荐。', '短评打分': 5}
{'短评内容': '除了位置稍好外，其他都很一般', '短评打分': 1}
{'短评内容': '酒店的位置感觉应该是挺不错的，但是到了那以后，晚上过了10点酒店周边竟然找不到吃东西的地方，而且酒店很老了，没有翻新过似的，东西都很旧，虽然酒店很干净，但是下次可能也不会再选如家这个店了。', '短评打分': 3}
{'短评内容': '房间有些小,价格还行,硬件设施还是比较欠缺,里面的水不知道放了多久都没有换了,因为是桶装的也就感觉不是很干净,就没有喝,我都是自己去买的纯净水喝的,位置还是有些偏了,当时差点没找到,还好啦,比较一般的酒店', '短评打分': 3}
{'短评内容': '位置还是不错的,交通很方便,服务也可以,很热情,就是房间的设施和卫生感觉就一般,有些陈旧,不过还是很符合酒店的价位的.', '短评打分': 3}
{'短评内容': '筒子楼，房间不好找', '短评打分': 5}
{'短评内容': '房间非常小,感觉比较压抑,而且隔音效果也不很理想,感觉很吵,位置还可以,蛮方便的!', '短评打分': 3}
{'短评内容': '酒店位置好,出行游玩购物方便,服务员态度好,若不计较酒店房间大小的话还是值得一住的.', '短评打分': 5}
{'短评内容': '干净、舒适', '短评打分': 5}
{'短评内容': '很棒的酒店，服务态度也很好，下次还会下榻的！！', '短评打分': 5}
{'短评内容': '整体感觉很一般的酒店,没有什么特别的对方；下次是否还选择这家酒店要考虑一下了；', '短评打分': 3}
{'短评内容': '酒店走廊光线太暗了，七拐八怪的，找自己的房间都不太好找，房间挺干净的，就是有点小，酒店位置不错，在市中心，外出方便', '短评打分': 5}
{'短评内容': '酒店的设施挺好的，服务态度也不错，而且价格也很便宜，地理位置也很好', '短评打分': 5}
{'短评内容': '价格有点贵', '短评打分': 5}
{'短评内容': '酒店的位置地段非常不错，出行交通都很方便，硬件设施舒适度也很不错价格也很优惠，各个方面都是比较达标的连锁型酒店还是可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '这个酒店内部的设施，装修还都不错，但是外表和他的大堂，感觉不是很醒目，过去的话不太好找，服务和其他店相比，也稍差一点，而且我看到阿波罗酒店对面也有一个，那个感觉挺不错的。', '短评打分': 1}
{'短评内容': '酒店的服务还不错，内部的设施也还可以，但是感觉酒店装修不是很好，而且周边环境也不太好，虽然交通比较方便，', '短评打分': 1}
{'短评内容': '房间面积比较小,其他方面还可以,服务和卫生条件都不错,但酒店周围没有吃饭地方', '短评打分': 5}
{'短评内容': '酒店位置很好，价格便宜，环境卫生，服务都很不错，总体来说过感觉不错。', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面都还不错，地理位置挺不错交通购物挺方便的，价格也比较实惠。', '短评打分': 5}
{'短评内容': '非常好，价格、位置个方面都不错', '短评打分': 5}
{'短评内容': '还好，房间小了一点，房价可能是因为地处市中心，所以会比较高一些。', '短评打分': 3}
{'短评内容': '第一次入住如家，订房前不知道如家是上市公司。&lt;br /&gt;\n感觉很好，满足了我的要求。&lt;br /&gt;\n房间整洁有序，小巧玲珑，设施齐全。大床很爽，被子床单看上去很新，淡红色，很温馨，被子质量不错，很轻，比较舒适。卫生间设施完好，很干净。&lt;br /&gt;\n&lt;br /&gt;\n体现几处人性化，房间有不间断电源插座，房卡拨了后也有电，带手提电脑不用关机。饮水机上的纯净水', '短评打分': 3}
{'短评内容': '电视全是雪花找人调说电视调不了遥控器不好使换了电池好了半个小时又不动了唉～～我的最爱————电视啊', '短评打分': 3}
{'短评内容': '挺好的，房间小了点，卫生间隔音差了点，其他都非常满意', '短评打分': 5}
{'短评内容': '好：1。位置不错&lt;br /&gt;\n2。如家连锁的风格还是比较喜欢，卫生，价格等都比较合适&lt;br /&gt;\n&lt;br /&gt;\n不好：&lt;br /&gt;\n1。打车不容易，因为福州打车不能乱停，要走好一段才能找到停靠点。&lt;br /&gt;\n2。大门外就是台阶，对拿了大箱子的人来说很不方便，应该修个拉包的坡就好可是貌似位置又不够', '短评打分': 3}
