{'短评内容': '房间真心不错。性价比高', '短评打分': 5}
{'短评内容': '室内环境还不错，但是房间的隔音效果简直太差了，住在5楼，外面的人在楼下打扫卫生都听的清清楚楚。', '短评打分': 1}
{'短评内容': '还不错，就是网络不太好，不过服务员马上给我换了主机。算个好评吧。', '短评打分': 5}
{'短评内容': '一直入住该酒店。不过刚刚发现一个不太好的方面。就是感觉七层的房间相对较小，特别的是七层房间的卫生度做的不如原来入住的六层的好，房间地毯比较脏。建议清洗了。', '短评打分': 5}
{'短评内容': '来了郑州第二次了，依然选择该酒店。主要关注周围吃饭比较方便。还有超市购物还可以。', '短评打分': 5}
{'短评内容': '酒店还不错，值得推荐,周边环境可以，吃饭也还算方便。只是没有免费早餐。', '短评打分': 5}
{'短评内容': '不错，卫生干净', '短评打分': 3}
{'短评内容': '很不错~~ 干净舒适~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '昆仑乐居酒店在花园路上，位置不错，交通比较方便，吃饭也很方便，购物的地方比较多，性价比比较高，值得推荐。', '短评打分': 5}
{'短评内容': '还可以，没有早餐有点失望。', '短评打分': 3}
{'短评内容': '位置是很好很方便，还有停车场，设施有些陈旧，房间里的设施简单，提供的纸巾都要收费，私密性不是太好，走廊上能听见房间里说话。', '短评打分': 5}
{'短评内容': '环境很不错。老板的品位可以，装修风格我很喜欢。交通非常方便。卫生条件也很不错。服务也很细致。唯一美中不足的是，早餐不是很好。品种有点少。', '短评打分': 5}
{'短评内容': '李前苇', '短评打分': 3}
{'短评内容': '没有早餐！', '短评打分': 3}
{'短评内容': '交通方便，吃饭和购物很方便，性价比不错，值得推荐。', '短评打分': 5}
{'短评内容': '因为之前住过 （北站店）感觉满好 \n所以再去还是订的昆仑乐居（花园店）\n网络定房，房型非常小，房间入住的时候才打扫。 网络定房是固定的几间房。\n有些一次性用品都没配齐全。电视不清。地毯上还有东西扎到我，有些地方很脏都没打扫。退房时间付全价的话应该是下午2点。但是网络定房只到12点。不划算。\n\n但是北站店的标间感觉还是挺好的。', '短评打分': 1}
{'短评内容': '房间小，电脑遥控器坏掉，毛巾看着不干净，空调不能调温度，185元的商务大床房没有电脑也无早餐，性价比低。\n', '短评打分': 1}
{'短评内容': '酒店出乎意料,很不错,外观差点,但是房间很干净不错,可能是新装修的.\n不足:大堂应该再装修下,感觉配不上房间;房间烟味很重,开了窗户就没了.', '短评打分': 5}
{'短评内容': '还不错，挺干净的，服务也很好，房间里的物品有明码标价，价格也不贵哦！！！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，干净整洁，从民航酒店打个车10多块钱就可以到，不过上午赶飞机还得赶早，郑州的出租车真不好找。\n', '短评打分': 5}
{'短评内容': '位置比较好，院里有苏荷等娱乐的地方，服务也不错，推荐。', '短评打分': 5}
{'短评内容': '酒店在闹市区，交通方便，房间感觉没有说的那么大。', '短评打分': 5}
{'短评内容': '干净整洁，就是房间太小，整体感觉还行，价钱适中', '短评打分': 5}
{'短评内容': '酒店环境中等', '短评打分': 3}
{'短评内容': '房间楼道还可以，屋内窗户关不严，开开空调也可以，网速差不多700k/s，洗澡水温还可以，床挺舒服的，地理位置很好。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，从民航酒店打个车10多块钱就可以到', '短评打分': 5}
{'短评内容': '硬件感觉不错。干净卫生。\n\n唯一一点不满意的是，对退房时间太生硬。\n我5点的航班，想多呆两个小时也不行。\n又算了半天房费。', '短评打分': 5}
{'短评内容': ' 住的还算舒服，卫生间门怀了。。。听恶心的', '短评打分': 3}
{'短评内容': '酒店还可以，就是空间较小，很实惠，位置比较好，晚上算是比较安静', '短评打分': 5}
{'短评内容': '房价过高 会员卡办理条款不合理 环境卫生还可以 交通便利', '短评打分': 5}
{'短评内容': '房间不是很大 但设计的很合理 非常喜欢他们的地毯 要是保早餐就更好了', '短评打分': 5}
{'短评内容': '酒店房間挺乾淨的，服務態度良好，就是等電梯有點久了···早餐還可以，希望能再增加點其他款式的早點！周邊打車有點難，特別是上下班期間.總體感覺還可以,值得推薦。', '短评打分': 5}
{'短评内容': '酒店差劲，吵，隔壁说话一清二楚，地毯脏，住的房间很大臭脚味', '短评打分': 3}
{'短评内容': '位置不错，设施还行。', '短评打分': 3}
{'短评内容': '服务比较热情，卫生也不错，房间有点小，不过价格也不贵。楼下有火车票预售点，打车到火车站要12元，比较方便。', '短评打分': 5}
{'短评内容': '没有经过什么思索，还是选择住在了这里。整体上感觉又有了进步。虽然早餐是买的，但是很超值，竟然配面包的果酱都有，很难得的。', '短评打分': 5}
{'短评内容': '这次的入住可是有点出乎意料了。地理位置和周边环境自然是没得说的，酒吧、KTV、红酒会所、高档餐饮、银行、火车票代售点、宽敞的停车场……之前朋友安排入住的时候就有点感叹，一个商务型酒店竟然有这样的配套。这次却又有不同的体验：床比以前舒适了，问了一个经理，说是特别定制的昆仑养生床垫，刚换了不久，早餐还是15元一位，不过品种比以前丰富了许多，餐厅环境也有了新变化，看得出也是刚改了不久的，服务员的问候很亲', '短评打分': 5}
{'短评内容': '房间内部装修感觉很老了,地毯脏,入住了四天打扫时从来没有吸过地毯.卫生间冲淋房漏水,床单斑斑点点,早餐15元/份,中式的品种很少,只有粥\\蛋炒饭和一些小菜,连豆浆牛奶之类的也没有,以后不会考虑入住.', '短评打分': 1}
{'短评内容': '房间里挺舒适的，床上用品挺干净，电视机也蛮大还是液晶的，看着很爽，这次住的很舒心啊。', '短评打分': 5}
{'短评内容': '麻雀虽小五脏俱全！地理位置超棒、配套服务齐全，美中不足之处就是地毯太脏。作为经济型商务酒店而言性价比很高，值得推荐！', '短评打分': 5}
{'短评内容': '这家酒店的位置很好，吃饭购物都很方便，价格也很便利。', '短评打分': 5}
{'短评内容': '我觉得房间里挺干净，设施质量也不错，也挺齐全，住蛮舒适的。', '短评打分': 5}
{'短评内容': '这家酒店相当的不错，很干净，设施完善，网速也很快，早餐也不错，我是相当的满意。', '短评打分': 5}
{'短评内容': '一般商旅可以入住，门口就是苏荷酒吧，位于郑州主干道，装修也不错，具有相当性价比！', '短评打分': 5}
{'短评内容': '房间不错,很宽敞,服务态度也不错', '短评打分': 5}
{'短评内容': '酒店价格不贵，设施很齐全，服务很好，周边购物吃饭也很方便，住的很舒适的。', '短评打分': 5}
