{'短评内容': '价格不贵，环境还可以', '短评打分': 5}
{'短评内容': '总体很OK，就是旁边的KTV太吵了，有免费早餐就更好了', '短评打分': 5}
{'短评内容': '总体不错,就是kTV在附近,比较吵', '短评打分': 3}
{'短评内容': '地段不错，挨着在水一方和一个KTV，房间大', '短评打分': 5}
{'短评内容': '房间装修精致，位置便利，推荐入住', '短评打分': 3}
{'短评内容': '酒店环境卫生都行，就是酒店下面是KTV整晚吵死人，建议睡眠不好的朋友不要去该酒店', '短评打分': 1}
{'短评内容': '住宿条件不错，服务态度好，希望下次有机会再次入住', '短评打分': 5}
{'短评内容': '酒店价格便宜，但歌厅太吵，影响休息。', '短评打分': 3}
{'短评内容': '很温馨，感觉不错，24小时热水，服务态度也不错，但是中午12点结账很不好，应该2点才合适，要不弄得流落街头好几个小时，这太不好了', '短评打分': 5}
{'短评内容': '地理位置很好，店内装潢及设施很好，性价比较高。', '短评打分': 5}
{'短评内容': '总体上非常不错,性价比不错,住着也比较舒服.', '短评打分': 3}
{'短评内容': '酒店不错哦，价格还好，离办事的地点不远，下次还住', '短评打分': 5}
{'短评内容': '入住条件好，地理位置可以，性价比吧错，就是旁边有个歌厅，会影响休息。', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '407房间', '短评打分': 3}
{'短评内容': '酒店很干净很舒服 没有其他评价中说的噪音那么夸张 服务人员态度特别好 很喜欢 下次去还会住这里的 ', '短评打分': 5}
{'短评内容': '还好吧，服务还可以！！！房间干净，交通方便！！！', '短评打分': 5}
{'短评内容': '不错！环境很好！就是感觉没有早餐送不好！希望下次有送！', '短评打分': 5}
{'短评内容': '环境不错条件亦可，提醒：洗漱用品，水，均另结帐，无早餐', '短评打分': 3}
{'短评内容': '性价比好，干净房间大，总之不错，以后就是住这里了，．.....', '短评打分': 5}
{'短评内容': '性价比好，干净房间大，总之不错，以后就是住这里了，．', '短评打分': 5}
{'短评内容': '服务员态度很好,到处都够干净，挺好的', '短评打分': 3}
{'短评内容': '环境很好  房间也很漂亮  就是个因不是很好  晚上会听见旁边KTV的歌声', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '酒店很新,房间很大,性价比很好,绝对住这里了.', '短评打分': 5}
{'短评内容': '房间卫生、整洁，只是晚上ktv的噪音有点大。', '短评打分': 5}
{'短评内容': '干净卫生，只是会稍微有点吵，总体来说还是可以的。', '短评打分': 5}
{'短评内容': '很干净，环境好，希望下次有机会来济南还入住银座佳驿酒店。', '短评打分': 5}
{'短评内容': '房间很宽敞，也很卫生。', '短评打分': 3}
{'短评内容': '地方大房间有点难找，不过房布置还挺温馨。', '短评打分': 3}
{'短评内容': '位置不对，隔音不好~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '总体来说，比较不错，环境很好很卫生，只是空间没那么大，空调没有打开，有暖和。挺不错的。', '短评打分': 5}
{'短评内容': '再次入住，感觉很不错，值得推荐！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '干净卫生，不错', '短评打分': 3}
{'短评内容': 'KTV有点吵，其他都很好。干净卫生服务周到', '短评打分': 5}
{'短评内容': '挺好，一直都喜欢银座佳驿。这个店也不错。推荐\n', '短评打分': 5}
{'短评内容': '挺好，一直都喜欢银座佳驿。这个店也不错。推荐', '短评打分': 5}
{'短评内容': '环境挺好的，也挺干净，就是隔音太差，隔壁房间快吵死了，还有楼下ktv', '短评打分': 5}
{'短评内容': '房间不大但挺温馨，睡得挺舒服，就是隔音不是太好，能听到隔壁KTV唱歌', '短评打分': 5}
{'短评内容': '去过好几次了。感觉不错。很干净。。。服务态度也很好。', '短评打分': 5}
{'短评内容': '不错。。。挺好的。。。支持。不过就是隔音不太好。墙不是实心的。。。', '短评打分': 5}
{'短评内容': '不错。就是隔音效果有点差。隔壁晚上有什么活动都能听见。。。。被吵醒了。郁闷。', '短评打分': 5}
{'短评内容': '环境很好，交通也挺方便的，不错，服务也很好', '短评打分': 5}
{'短评内容': '还不错 干净 卫生 房间略显空旷 缺乏安全感。 ', '短评打分': 5}
{'短评内容': '很温馨也很舒服，就是隔音不好，隔壁的声音听的好清楚啊', '短评打分': 5}
{'短评内容': '晚上吵，下面有个花样年华KTV。服务态度还是很好的。如果是去考试的话入住就不好了。', '短评打分': 1}
{'短评内容': '房间宽敞.卫生.隔音效果差点 ', '短评打分': 5}
{'短评内容': '卫生挺好的，隔音效果不敢恭维。', '短评打分': 5}
{'短评内容': '酒店位置稍微偏点，卫生还可以...环境一般', '短评打分': 1}
{'短评内容': '总体不错，干净。就是前半夜我住的房间，外面比较吵，可能是风机的声音，早上就没有这声音了！', '短评打分': 5}
{'短评内容': '服务不错，环境还可以，干净整洁，就是位置比较偏僻。', '短评打分': 3}
{'短评内容': '不错的酒店，各方面都很好，以后还会到这里住。', '短评打分': 5}
{'短评内容': '总体挺好，离考试的燕山学校很近，\r\n房间挺干净的，吃饭不方便。', '短评打分': 5}
{'短评内容': '房间不错，挺大而且很干净，要说缺点就是位置稍稍有点偏', '短评打分': 5}
{'短评内容': '位置嘛,因为现在周围在修路,所以出行不是很方便..而且楼下有KTV确实晚上有点吵,但是里面的设施还不错,服务业很好~~总体还是不错的```希望隔音效果再好些```', '短评打分': 5}
{'短评内容': '今天入住，被罩不干净。挺讨厌的。别的还挺好的。希望以后注意点。', '短评打分': 5}
{'短评内容': '酒店的位置不错，110路经过那里，不过前面有修路，还有几辆本来也经过那里不过绕路了，房间内非常干净，感觉很温馨。', '短评打分': 5}
{'短评内容': '比较喜欢银座佳驿，这家也不错。服务比较好，干净卫生，虽然旁边是KTV也没觉得吵。', '短评打分': 5}
{'短评内容': '态度比较好 环境也不错，可能隔音方面 需要改进一下 ', '短评打分': 5}
{'短评内容': '我觉得这酒店的各方面都不错。最主要是离我办事的地方近', '短评打分': 5}
{'短评内容': '很好！态度很好，虽然我去的那天停水了，但是酒店的备用水并没有影响我们正常的使用，很好！', '短评打分': 5}
{'短评内容': '还不错，这次是给客户定的，反映不错，值得推荐，下次还会再来的', '短评打分': 5}
{'短评内容': '各方面都满意，没住过的朋友可能不怎么找得到。。', '短评打分': 5}
{'短评内容': '总体还可以，就是不好找～～。。连锁酒店中佳驿还是不错的～', '短评打分': 5}
{'短评内容': '没有窗，不是很好~地段和交通都不错，空间够大。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很干净，住的也很舒服，服务也很棒~！', '短评打分': 5}
{'短评内容': '总体感觉很不错。值得推荐。价格合理。也挺卫生。就是晚上有点吵。不知道哪里有KTV唱歌的声音。宽带不知道为什么不能用。\r\n相比而言已经不过很不错了。很赞。。。。', '短评打分': 5}
{'短评内容': '济南燕子山路银座佳驿酒店服务态度挺好，室内干净舒适，是一个轻松快乐的休息场所。', '短评打分': 5}
{'短评内容': '个别服务员 态度极其差~5.1等房间等了半个小时，告诉我说 我订的房间 刚作为钟点房 租出去了，火大。。无奈 20元换了个房间，不是为了5.1难订房，直接就走了。。另外隔壁是KTV 吵的要死\r\n本来订的2天，第二天直接去的汉庭', '短评打分': 1}
{'短评内容': '靠近ktv 吵。 隔音效果很差 连锁酒店怎么不用实墙？又不是小旅馆', '短评打分': 5}
{'短评内容': '比较干净,楼下的歌厅太吵了', '短评打分': 5}
{'短评内容': '服务还是不错的，灯光也好，干净，就是无窗有点憋。', '短评打分': 3}
{'短评内容': '酒店紧挨着KTV，晚上比较吵闹', '短评打分': 1}
{'短评内容': '在ktv旁边,晚上比较吵.位置比较偏,打车不太方便', '短评打分': 1}
{'短评内容': '非常舒适、干净，下次还会住这个酒店', '短评打分': 5}
{'短评内容': '紧挨的KTV，半夜还能听到唱歌，隔音效果不好，店里是很干净，被子很舒适，枕头也好，服务不错，浴室里面的整体隔断不错，洗浴的时候不会弄得到处是水，设计不错。', '短评打分': 3}
{'短评内容': '干净，舒适，就是网上定的价格和店里差不多，另外没有外窗感觉很不爽。', '短评打分': 5}
{'短评内容': '比同价位的宾馆要好，上次在青岛就是房间的味道很大，这个不错，就是挨着KTV不太好，在可接受范围内！', '短评打分': 5}
{'短评内容': '位置不太好找。。现在对面施工中。。服务一般。。房间还算干净，，新开业。。喜欢住新的朋友可以去试试。其他都一般', '短评打分': 3}
{'短评内容': '感觉不如如家', '短评打分': 3}
{'短评内容': '因为我们是3个人入住 所以选了个套房 非常不错  性价比很高', '短评打分': 5}
{'短评内容': '感觉不如如家、汉庭', '短评打分': 1}
{'短评内容': '很不错的设施，就是有点儿吵，不过这个价位在济南是不错的了！', '短评打分': 5}
{'短评内容': '比我想象的好狠多，狠卫生。装修很舒适，就是有香味，估计是不环保的', '短评打分': 5}
{'短评内容': '不太好找。打车找了一圈。。现在附近在施工。房间隔音效果也很一般。价格在这个位置也合理。。总体感觉一般。。', '短评打分': 1}
{'短评内容': '环境优雅，干净整洁，而且是刚刚建成的新店', '短评打分': 5}
{'短评内容': '对这个价格来说还不错吧 只是有点吵。。', '短评打分': 5}
