{'短评内容': '房间床头靠背脏，房间小 脏就不说 隔音效果之差！唉……', '短评打分': 4}
{'短评内容': '离机场近，房间干净整洁，前台服务态度很好，下次还来住。', '短评打分': 5}
{'短评内容': '还是一如既往的好，真正做到了并至如归，希望下次过来还住在这儿', '短评打分': 5}
{'短评内容': '酒店设施卫生等还可以  比较安静  不足的是位置不太好   打的去机场要绕路   离轻轨站比较远   周边是住宅区  超市饭馆交通等不是很便利', '短评打分': 5}
{'短评内容': '第一来，感觉真的很好，房间也很干净，卫生，早点应该还算不错。特别是前台漂亮的服务小姐，很热情，一起把我的行李拿到了我的房间。临走时，有专车送机场，很是方便，下次还住这里！另外我已帮我的朋友订了三间房，我走后两天即来入住，强力推荐。', '短评打分': 5}
{'短评内容': '已经多次入住了，没什么好说的\n\n反正网速快，设施新，就吃饭没什么东西好吃', '短评打分': 5}
{'短评内容': '酒店设施不错。离机场很近，酒店有车\n\n下次还会住', '短评打分': 5}
{'短评内容': '欧式环境，感觉不错。', '短评打分': 3}
{'短评内容': '优点是离机场比较近，早上花个十块拼车，如果自己一个人走要二十块。前台ＭＭ的服务态度还不错，赞一个。缺点是房间比较小，但我住的是特价房，木有办法。但热水一点都不热，这个就说不过去了，要改进改进。还有我出去一趟，门锁就打不开了，我还以为是我的卡消磁了，后来竟然是锁坏了，坑爹啊。', '短评打分': 5}
{'短评内容': '环境不错，服务还好！', '短评打分': 3}
{'短评内容': '环境还是不错的，就是房间有点小，不过总体来说还是挺好的', '短评打分': 5}
{'短评内容': '房间相对于其地理位置和价格来说，性价比不高，早餐不堪言语了，居然在会议室临时搭建的，不推荐入住', '短评打分': 3}
{'短评内容': '酒店不错，很干净，离机场很近。', '短评打分': 3}
{'短评内容': ' 很干净，环境不错，装修风格也现代，离机场很近，交通便利。总体不错！', '短评打分': 3}
{'短评内容': '还可以，前台服务很好。性价比比较高，离机场很近。', '短评打分': 5}
{'短评内容': '干净 热水也热的 离机场很近 打车八块就到了 房间也好看设施也齐全。感觉挺满意，早上很早就走了不知道早餐是怎样的。', '短评打分': 5}
{'短评内容': '前台服务态度很好，特价房价钱合理，环境干净舒适，距离机场比较近', '短评打分': 5}
{'短评内容': '卫生还可以，就是房间有点小，灯太亮，希望以后改善。', '短评打分': 3}
{'短评内容': '宾馆房间还好，就是三楼跟足浴店在一起，感觉不好。还有就是周边不知道哪里放的歌比较吵，宾馆有机场送车，10元一位。', '短评打分': 3}
{'短评内容': '早餐的花样不多，酒店以西方风格为主，相应的早餐也应该配套。', '短评打分': 5}
{'短评内容': '酒店的早餐比较简单，应增加西餐的花样。住宿条件不错。', '短评打分': 5}
{'短评内容': '酒店环境还算不错~到机场有接送的车，10元1人，早餐比较丰盛，房间很温馨，房间的个人网速大概在2m左右', '短评打分': 5}
{'短评内容': '离机场是近,但配套较差,而且比较闹,周围有吃饭的地方不过也要走至少5分钟路以上,如果不是赶飞机之类的不太推荐', '短评打分': 1}
{'短评内容': '距离机场很近，网速很快，价格还可以，每次来重庆都住这里。', '短评打分': 5}
{'短评内容': '  额   总体情况还是不错的  客服人员服务态度很好. 下次还来这里.', '短评打分': 5}
{'短评内容': '环境很好 不错 就是难找一点 从机场起步价就到了 ', '短评打分': 5}
{'短评内容': '还可以，希望以后把大厅的卫生抓起来，还有职员的服务热情', '短评打分': 5}
{'短评内容': '临近广场, 晚上大妈都在扭秧歌, 那个广播啊', '短评打分': 1}
{'短评内容': '昨晚住重庆戴根酒店隔音太差！', '短评打分': 3}
{'短评内容': '干净整洁，很好的环境，已经住过2次了，安逸', '短评打分': 5}
{'短评内容': '离机场非常近，步行15分钟的样子就到重庆江北机场', '短评打分': 5}
{'短评内容': ' 一般！房间隔音效果不好！一面靠广场，一面靠小区！白天较吵，晚上可以听到楼上和隔壁房间声音！', '短评打分': 1}
{'短评内容': '服务态度不错，换了4楼房间比三楼好', '短评打分': 3}
{'短评内容': '特价房有点小之外，其他还好。而且离机场很近，适合早上坐飞机的人', '短评打分': 5}
{'短评内容': '，房间比较小。', '短评打分': 3}
{'短评内容': '飞机晚点凌晨2:30才到酒店。房间还不错，就是肚子饿了，楼下只有烧烤，想一碗面条也没有。', '短评打分': 3}
{'短评内容': '以前住过觉得不错，这次又住了，不过这次悲剧了。开了3楼的特价房，床比较硬，给加了被子垫着还好。悲剧的是隔音效果不好，隔壁的女人吵到半夜3点。春运，早上又很多人赶飞机，也吵。第二天换了4楼，好很多，环境也好很多。总体上来说，还是推荐的。离机场很近，出租车就是起车费，所以司机一般拒载。可以叫酒店接送，好像是20.服务态度很好，硬件设施也不错的。对得起这个价了。', '短评打分': 5}
{'短评内容': '酒店真的很不错。服务态度好。环境也很好。强烈推荐！', '短评打分': 5}
{'短评内容': '足浴就在客户前面，一走进去还以为是什么呢，很吵，开房的啊什么的~~~房间那个床硬啊~~', '短评打分': 1}
{'短评内容': '其实外面看着不怎么样，但是大堂和房间都还不错', '短评打分': 5}
{'短评内容': ' 酒店性价比还不错，挺干净挺好的酒店', '短评打分': 3}
{'短评内容': '环境比较好，服务也比较到位。就是就餐不方便，而且选择不多。', '短评打分': 5}
{'短评内容': '总体感觉还行吧！房间不是很大，但值那个房价。只是晚上有点吵，因为下面是广场。有KTV，晚上很晚才能静下来。', '短评打分': 3}
{'短评内容': '位置还可以，做转机酒店还是比较合适的，性价比还可以', '短评打分': 5}
{'短评内容': '挺干净，可能因为住的是特价房，所以挺安静。隔音有点差。离机场很近，方便。', '短评打分': 5}
{'短评内容': '离机场近 挺不错的 环境挺好 价钱也合理', '短评打分': 5}
{'短评内容': '感觉一般', '短评打分': 3}
{'短评内容': '这是一家典型的经济型酒店，但在电话订酒店时服务员的推荐中说是四星级的标准，这给客人有误导，希望以后准确说明就是经济型的就好。因为酒店的四星级是有确定的标准的，也是大家都知道的。', '短评打分': 1}
{'短评内容': '离机场很近，走路也要不了多久，有停车场，服务也不错，算是在机场旁边性价比很高的酒店了', '短评打分': 5}
{'短评内容': '1,环境不错，开始的房间是临街，KTV上面的，换了一个面向小区的，很安静。\n2，服务不行。要换房间，前台让我自己下去重新刷卡，带着行李实在不方便\n3，没吃早餐，不知道\n4，离机场只有10分钟车程，可以帮忙叫车，每车20元\n5，整体不错，会推荐', '短评打分': 5}
{'短评内容': '定的特价房，真是很不错，房间紧凑，浴室用的全透明玻璃，真香艳啊，适合情侣住。虽然没有窗户，但胜在干净便宜啊。', '短评打分': 5}
{'短评内容': '离机场很近，就是不太好找，出租司机也是跟酒店人员确认以后才知道在哪儿。房间很大，居然还有个防盗门，打开出去以后是个面对空港广场的大凉台，真是爽啊。可惜我们半夜才到，睡5个小时以后又赶早班飞机走了。以后还可以住这里。', '短评打分': 5}
{'短评内容': '价格實在,離机场只要10分钟,房間的風格精緻,环境乾淨,下次还会入住.', '短评打分': 5}
{'短评内容': '房间干净，价格合理，离机场近，周边地方风味不错，挺方便。就是送机有偿服务。', '短评打分': 5}
{'短评内容': '很好！床和被子枕头太舒服了～', '短评打分': 3}
{'短评内容': '总体上还可以，对得起这个价钱。房间装修还不错。', '短评打分': 5}
{'短评内容': '酒店离机场比较近，房间比较温馨，但比较小，卫生间也小，外面打广场很吵，入住那天居然停水。', '短评打分': 5}
{'短评内容': '好处：1.前台小妹长的很漂亮，态度很好\n2.早上有车送机场\n不好的地方就是房间太小，我住的豪华单人房还那么小，不应该。房间还是挺干净的，电信的数字电视也很好，可以看英超，哈哈', '短评打分': 5}
{'短评内容': '离机场较近，环境较好。但是交通不是很便利，位置不太好找。', '短评打分': 5}
{'短评内容': '我住的普通单人间只有10平米左右，放了一张床转身都困难，网络也不通，上电梯后开门先要穿过足浴区，感觉怪怪的。房间隔音很差，隔壁声音听得很清楚，不建议住，至少这种房型不好。', '短评打分': 1}
{'短评内容': '很不错，离机场近，很方便出行，呵呵呵呵呵呵呵呵', '短评打分': 5}
{'短评内容': ' 服务好 环境好', '短评打分': 3}
{'短评内容': '房间很大，洗澡水不错，楼下还有空港广场可以运动，最好的是20元宾馆有车送你去机场。不错！', '短评打分': 3}
{'短评内容': '＋很好挺满意', '短评打分': 3}
{'短评内容': ' 有点难找,房间没有想象的大,哈哈,将就。', '短评打分': 3}
{'短评内容': '房间不错，总台服务员态度不好', '短评打分': 3}
{'短评内容': '外面不怎么样，里面装修好不错，还算精致，酒店离机场比较近，打的就五分钟，但是的哥不太愿意这么近的生意哇。到渝北区，渝中区这些商圈打车要50元左右。', '短评打分': 5}
{'短评内容': '酒店的入口真的很难找，我住的是特价房，没有窗户。进去有一种奇怪的味道。厕所和洗澡间是分开的两个小隔间。洗漱池竟然和床事再一个地方的。我是第一次见到这种布局。一不小心就会弄的睡觉的地方都是水。隔音非常差，半夜隔壁入住一对情侣，然后就是嗯嗯啊啊了几分钟。一个晚上都没有睡好。干净的话还是可以的', '短评打分': 1}
{'短评内容': '环境还好，就是隔音太差，可能我住的是特价房的缘故，房间没有窗户，有点闷', '短评打分': 5}
{'短评内容': '相当不错！', '短评打分': 3}
{'短评内容': '特价房还是比较值的，不过如果正价的话，有点不值了，没窗户，空气有点闷，房间刚进去有一股味道，总休还比较温馨', '短评打分': 5}
{'短评内容': '酒店还是很不错的，就是房间稍微小点,环境很好，离机场很近，交通去市内也很方便的，服务态度什么的也都很不错，还是比较推荐夜间航班的朋友们入住修整的', '短评打分': 5}
{'短评内容': ',ok!', '短评打分': 3}
{'短评内容': '酒店不错，装修很好，冷气不给力', '短评打分': 3}
{'短评内容': '酒店跟网站的推荐度有点不符，酒店的硬件设备很是一般，特别是电梯、走廊等比较残旧，只是房间刚翻新了，装修味比较大，不过房价倒是不贵，综合来说，只能说是宾馆了。', '短评打分': 3}
{'短评内容': '酒店接送服务是要收20元单趟的，还不如打车。楼下是个广场，每天都很吵。早上6点半开始放音乐，到10点结束。晚上6点多开始又放，一直要到10多才结束。早餐很简单，去晚了连餐具都没有。房间装修还不错。', '短评打分': 1}
{'短评内容': '环境不错，就是楼下太吵了', '短评打分': 3}
{'短评内容': '楼下公园大清早就开始吵。烦人', '短评打分': 3}
{'短评内容': ' 酒店装修较新，设施齐全，服务也不错，早餐能吃饱，就是离机场太近，出租车不肯带:-)', '短评打分': 3}
{'短评内容': '房间较小，没有桌子，只有茶几，外面有些吵，其他设施还不错，服务态度也不错，相对比房价偏高了', '短评打分': 1}
{'短评内容': '特价房太小，七八平方左右吧，158一晚偏贵，三楼有个街舞教学工作室，星期六日中午的时候小孩子的吵闹声和音乐声很大，门窗隔音不好，早上到下午无法休息，其他楼层的客房可能会好一点，但酒店工作人员有时候说话太大声，在房间可以听得清楚，比较闹心，喜欢安静的房客可能会受不了，早餐很一般，真的是仅限于填饱肚子。\n不过我住的这个房间装修还比较有特色，比较新，还可以接受，总的来说，缺陷是门窗隔音太差，如果安静点就', '短评打分': 1}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '物美价廉', '短评打分': 3}
{'短评内容': '酒店离机场近，但房间隔音差，比较小。', '短评打分': 3}
{'短评内容': '房间有些小，酒店前面有个广场晚上10点以前很嘈杂，走廊里半夜两点还可以听到茶楼服务员下班和住客的喧哗声，隔音很差，网速还不错，就是可以放电脑的桌子太小', '短评打分': 1}
{'短评内容': '还不错，装修、设施都比较新，用品也比较干净。就是我住的房间临近广场20点左右的时候吵得很，人群散去就没事了。', '短评打分': 5}
{'短评内容': '酒店房间感觉干净舒适，性价比高，晚上楼下有唱ktv稍有点吵，12点后就好安静了。位置有点偏，但周围还是很热闹的。机场离好近。', '短评打分': 5}
{'短评内容': '酒店房间感觉干净舒适， 打的到机场很近10元就可以，5分钟就到了。前台办理退房稍有点慢。早上退房赶飞机的，要早点办理了。', '短评打分': 5}
{'短评内容': '服务态度超好  舒适 干净  价格合理。。。赞一下建议大家来这家 相比别家的酒店简直就是不一个档次，好比莫泰168简直是无语了。。那态度 那质量 鄙视中，还是连锁的，无奈了，这样的店面还好意思说是连锁，当然别的莫泰还是挺好的en。。这家莫泰建议关门大吉了。。。。', '短评打分': 5}
{'短评内容': '重庆戴根酒店性价比挺高,到机场、外面吃饭都很方便,上次住过这里,下次还会住。', '短评打分': 3}
{'短评内容': '性价比不错，无窗房比较闷，有味道，但还可以忍受。最不可忍受的是，隔音效果奇差，隔壁的房客半夜招妓，半夜鸡叫真是很敬业，清晰入耳，请问，这个酒店还提供色情服务吗，否则为啥半夜3点都能有“鸡”来酒店里服务呢？', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '性价比很高的酒店，离重庆江北机场也近，很方便，装修呀很有欧式风格，而且还送早餐，很划算的！', '短评打分': 5}
{'短评内容': '这个酒店给我比较大的感触就是服务态度超好，来到重庆感觉这个城市真是个服务城市，不管什么地方，服务态度都好！硬件方面对得起这个价钱，总之不错，唯一有点欠缺的就是前台处理问题的能力有待加强，但前台服务态度不错。', '短评打分': 5}
{'短评内容': '还不错吧，下次会考虑继续入住的，讨厌的20字。。。。', '短评打分': 5}
{'短评内容': '酒店到机场很方便，房间很温馨，睡觉很舒服，下次还会住这里。', '短评打分': 5}
{'短评内容': '房间挺温馨的。价格也合适。挺干净，很不错', '短评打分': 5}
{'短评内容': '意外的发现，这家酒店的早餐是相当的不错，赞！服务也很不错！', '短评打分': 5}
{'短评内容': '是帮我们公司领导定的，回来反应不是很好，根本达不到4星级标准。失望', '短评打分': 1}
{'短评内容': '一般般，无窗房味道不好，过道很长，环境不佳', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '，该洒店价格偏高与环境不匹配，只是一个一般商务型酒店', '短评打分': 3}
{'短评内容': '3楼的房间不如高层的好，装修风格比较农村化，隔音效果太差了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间不错。性价比高。', '短评打分': 3}
{'短评内容': '赶飞机的话，住宿方便，干净的！\n\n附近有广场，晚上有点吵！', '短评打分': 5}
{'短评内容': '服务到位热情', '短评打分': 3}
{'短评内容': '离机场近,服务不错，可以送机，不过要交20元', '短评打分': 5}
{'短评内容': '酒店周边很吵，房间不隔音，楼下广场的噪音，隔壁房间讲话的声音，楼道服务员对讲机的声音，都听得清清楚楚，没办法好好休息。', '短评打分': 1}
{'短评内容': '房间很干净，很舒服，但是有一些很轻微的发霉的气息，影响不大。\n隔音太差，睡午觉的时候几乎能听到楼道里服务员的对讲机说的内容，可以清楚听到是哪间房要退房，汗。。\n早餐还可以，但是比同类的酒店要差一些，是自助餐。\n去机场挺近的，建议不要做酒店提供的车，过去要20.打车最多10块，摩的也是10块。', '短评打分': 5}
{'短评内容': '感觉比较一般，早餐品种好少……洗澡间下水相当堵……早晨楼下跳坝坝舞的好早就开始锻炼了……', '短评打分': 1}
{'短评内容': '  环境和装修好,但隔音差.', '短评打分': 3}
{'短评内容': '入住的房间还可以，挺舒适的。', '短评打分': 3}
{'短评内容': '离机场很近，交通方便，设施齐全，性价比高。', '短评打分': 5}
{'短评内容': '客房大小。卫生情况总体还可以。。送的早餐。差强人意！有待提高！', '短评打分': 3}
{'短评内容': '房内设施不错，紧临广场吵', '短评打分': 3}
{'短评内容': '还好还好还好还好还好还好还好还好还好还好还好还好', '短评打分': 5}
{'短评内容': '电视不错，可以点播电影，而且不是很老的片子。热水有点不足，有时忽然就变冷了。。。', '短评打分': 5}
{'短评内容': '很不错的一家经济型酒店，离机场近，LG比较喜欢。', '短评打分': 5}
{'短评内容': 'N次入住了!不好的话也就不会推荐了!继续努力!', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 3}
{'短评内容': '酒店离机场很近，提供接送服务，一辆车20块，但酒店条件一般，到的那天竟然停电，还要搬着大箱爬楼梯。酒店的3楼是富侨足疗，感觉怪怪的。房间设施一般，我住的房间有麻将桌和电脑，但沙发脏得有点吓人，是因为第二天早班飞机才住的，走得太早还没吃到早餐，不过没抱太大希望', '短评打分': 1}
{'短评内容': '离机场很近，整体环境也还算不错。只是我们靠窗，旁边是一个广场，音乐声很大很吵，楼下貌似是KTV，再加上中央空调的声音，一整晚都没有睡好...', '短评打分': 5}
{'短评内容': '酒店不错，在机场附件办事住这两还可以，早餐太差了', '短评打分': 5}
{'短评内容': '不错  很实惠的价格  离机场很近  方便', '短评打分': 3}
{'短评内容': '转机休息，要求不高的话可以了，干净、离机场较近。', '短评打分': 5}
{'短评内容': '服务不错，价钱公道，电视太小', '短评打分': 3}
{'短评内容': '离机场很近，而且还有专门往返于机场和酒店间的商务车，10元钱一位，非常合算！特别适合出差、赶早飞机的商务人士入住！最关键是酒店前台服务员的素质相当不错哦~', '短评打分': 5}
{'短评内容': '很不错，早餐也赞，刚开始以为会吵，不过实际上很安静，可能装修完了吧。离机场很近', '短评打分': 5}
{'短评内容': '如果是因为航班的缘故，不管是早上出发还是半夜抵达，这里确实是相应价位的首选，高性价比。推荐！而且正常上班时间段内，酒店还提供接送服务，这样尽管在酒店到市内打车不方便，但可以到候机楼后再换车，还是可行的。', '短评打分': 5}
{'短评内容': '外面看起来不怎么样。里面装修还不错。住4星惯了，这个价格还算可以', '短评打分': 5}
{'短评内容': '酒店不错挺好的 很干净屋里环境也很好 离机场很近很方便！', '短评打分': 5}
{'短评内容': '环境一般，不隔音，价格也不是很美好，也许就是因为这家酒店离机场近吧', '短评打分': 1}
{'短评内容': '感觉酒店很不错，性价比不错，大家进去住吧', '短评打分': 5}
{'短评内容': '还可以,第二天早班飞机住这里比较方便实惠!', '短评打分': 5}
{'短评内容': '房间整洁干净，价格合适，离机场近，有车接送机场较方便，部分房间隔音稍差。', '短评打分': 5}
{'短评内容': '酒店不错…', '短评打分': 3}
{'短评内容': '总体来讲还不错，比较干净舒适，出入也比较方便。', '短评打分': 5}
{'短评内容': 'Very near Airport, difficult to find the main entance.\nPrices are good.', '短评打分': 5}
{'短评内容': '挺好，方便，干净！！！！！！！！！！！！！！！！！！！！11', '短评打分': 5}
{'短评内容': '价格有点高，离机场近，早餐还可以，房间有点小', '短评打分': 5}
{'短评内容': '酒店很好~服务不错，干净卫生，性价比高！', '短评打分': 5}
{'短评内容': '很不错的商务酒店，干净卫生，还好啦。。。。', '短评打分': 5}
{'短评内容': '房间设施好，性价比不错。白天有施工，伴晚广场放音乐跳舞，声音很大，10点后就安静了。总的来说是机场附近不错的酒店。', '短评打分': 5}
{'短评内容': '里机场很近，打个的一会儿就到了，但是有点吵。而且貌似正在维修中……', '短评打分': 1}
{'短评内容': '热水都没！\n\n\n等到12点才来热水，还是一般热！\n\n地理位置不好，车都开不进去\n\n\n', '短评打分': 1}
{'短评内容': '我这个房间上面装修很吵', '短评打分': 3}
{'短评内容': '房间很干净，离机场也很近，而且服务态度很好，下次还会入住。', '短评打分': 5}
{'短评内容': '该店最主要离机场较近。早餐一般。周边有几家餐馆还不错。推荐天桥旁的羊肉火锅。', '短评打分': 5}
{'短评内容': '酒店房间很干净,离机场地很近,很不错', '短评打分': 3}
{'短评内容': '服务态度超好，环境也可以。就是有的地方还不够完善', '短评打分': 5}
{'短评内容': '价廉物美 环境不错 地理位置不错 值得推荐 下次去还住', '短评打分': 5}
{'短评内容': '服务态度很好，房间也很不错。\n\n就是位置有点尴尬。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '酒店环境卫生还可以，并且离机场很近，航班很早或是很晚的旅客可以考虑入住。从机场打出租车到酒店不足十块钱（重庆打出租车起价是8元）。', '短评打分': 5}
{'短评内容': '性价比高，住的比较舒服。就是出门打车不太方便', '短评打分': 5}
{'短评内容': '酒店离机场不是太远，因为赶早班机，所以住在这里，环境不错，下次要是再赶早班机，还会住', '短评打分': 5}
{'短评内容': '性价比一般！赶早班飞机还比较方便，周围没有什么生活设施。', '短评打分': 5}
{'短评内容': '各方面还可以， 就是晚上坝子人多， 有点闹腾', '短评打分': 5}
{'短评内容': '酒店不错，隔音太差', '短评打分': 3}
{'短评内容': '离机场近，卫生较好。因要赶飞机，没来的及吃早餐，不知味道如何。服务人员态度也较好。打的不便，但有机场接送（另收钱）。', '短评打分': 5}
{'短评内容': '去机场比较方便,内部设施都不错,性价比较高!', '短评打分': 5}
{'短评内容': '条件不错，特别是特价房性价比很高，离机场也很近', '短评打分': 5}
{'短评内容': '不错，离机场近。服务态度不错。房间精致。缺点也是有的，就是桌子不是很平，都有点晃。。。', '短评打分': 5}
{'短评内容': '很好，离机场很近，还是宽带电视，可以点播电影\n坐早班飞机的最佳歇脚点', '短评打分': 5}
{'短评内容': '住房不错', '短评打分': 3}
{'短评内容': '酒店设施较新,价格也还公道,到机场挺方便。', '短评打分': 3}
{'短评内容': '环境,卫生,都不错,下次还会住这里,离机场也很近', '短评打分': 5}
{'短评内容': '很超值的。没问题。4星级左右肯定也是有的。服务也很全', '短评打分': 5}
{'短评内容': '环境整洁，房间舒服温馨，酒店整体都很不错，离机场也很近。', '短评打分': 5}
{'短评内容': '条件不错，但是离机场近，比较适合早班飞机或转机。', '短评打分': 5}
{'短评内容': '抵达时间交迟，做个歇脚点还可以。', '短评打分': 3}
{'短评内容': '干净，整洁，不错，下次如果有机会还是会选择住这个酒店的。', '短评打分': 5}
{'短评内容': '酒店环境不错 但是服务员素质不怎样', '短评打分': 5}
{'短评内容': '虽然外部环境跟图片上有很大差异，入住时也产生了一些不愉快，但是酒店解决问题的速度和质量还是不错。', '短评打分': 5}
{'短评内容': '不错，第五次住了。', '短评打分': 5}
{'短评内容': '酒店外观不怎么，但是房间不错。整洁、给人舒服的感觉,总的來说不错!', '短评打分': 5}
{'短评内容': '重庆戴根酒店位于渝北区空港商务中心（空港广场），距离重庆江北国际机场1.5公里；按国际高星级酒店标准打造欧式风格的商务型酒店，酒店出入交通便利，比邻重庆江北国际机场和空港工业园区管委会、渝北商业中心和购物中心；酒店装饰华丽、时尚、新颖，配置完善，功能齐全。酒店内设有早餐厅、中餐厅、会议室、商务中心、休闲保健中心等；提供餐饮、住宿、会议、旅游、票务、保健、茶艺等综合服务，是差旅人士理想的下榻之所。 ', '短评打分': 3}
{'短评内容': '酒店不错，物美价廉，房间干净，服务员态度很好', '短评打分': 5}
{'短评内容': ' 环境不错,隔音效果差点。离机场相对很近。', '短评打分': 5}
{'短评内容': '环境不错，离机场也近，打车十块钱，酒店也有车接送，十元一位', '短评打分': 5}
{'短评内容': '位置不方便,离候机楼有段距离,打车不好打.打上了司机也会多要钱.酒店价格还算便宜.', '短评打分': 5}
{'短评内容': '很不错的酒店，环境卫生一流，如果有负责机场接送就更好了', '短评打分': 5}
{'短评内容': '+很不错，房间比想象中好很多。', '短评打分': 5}
{'短评内容': '隔音效果不好 但是窗户是相通的 。........', '短评打分': 3}
{'短评内容': '干净，舒适，交通便利，设施先进，服务良好', '短评打分': 5}
{'短评内容': '早餐比较一般，餐种少，不是很理想，周边环境一般，在施工，周边吃饭的地方要跨过一个桥。等施工好了可能就有改善了吧应该。', '短评打分': 3}
{'短评内容': '服务还可以，早餐比较少，不太理想，只能说是吃饱，吃好就一般了！周边环境一般，正在施工，打车到不了酒店门口，要走一点，不过也远，还行！', '短评打分': 3}
{'短评内容': '在网上查了一下，戴根的性价比和评价都很高，要坐第二天早上的飞机，离机场超近，10分钟的车程，酒店服务员的态度也很好，值得推荐，下次去重庆还选戴根。', '短评打分': 5}
{'短评内容': '早餐不太好，网络有点慢，交通不是很好，而且打车不太方便。', '短评打分': 5}
{'短评内容': '整体还好，就是接机服务一般，没发票，就是一个黑车而已', '短评打分': 5}
{'短评内容': '离机场较近，赶飞机方便，酒店到机场建议增设班车', '短评打分': 5}
{'短评内容': '138元  绝对值！   要是还能免费接机就更好。', '短评打分': 5}
{'短评内容': '初听这家酒店，还以为是戴斯酒店呢，位置不好找，设施还行，新装修的，味道较浓，但环境不太好，外面是空港广场，很嘈杂，还跟富侨保健及另一家宾馆在一幢楼，性价比不高，标间要是降到150元以下比较合适。前台人员业务不大熟练，且一直推销酒店会员卡。', '短评打分': 1}
{'短评内容': '住的是特价房啦，感觉还是物有所值吧~毕竟价钱只那么点哈！！还是不错啦!~总体来说是间不错的酒店哈！！！适合中产阶级消费！', '短评打分': 5}
