{'短评内容': '很棒的酒店！就在海边！开开窗户面朝大海春暖花开！', '短评打分': 5}
{'短评内容': '找酒店找的很纠结呀,虽然去的时候也做了攻略,看了怎么走的路线,可是到了德记大浴场之后,还是不确定,问了卖饼的阿婆,把我们指到林氏府去了,绕了很大的一个圈子,建议店家真的该在门口挂一个牌子,哪怕小小的也好.酒店外观确实不怎么样,到的时候有点小失望,其实就是家庭旅馆,里面还行吧,比较干净的,晚上还可以听着海浪声入睡,比较安静,服务态度也还不错', '短评打分': 5}
{'短评内容': '4-1期间，特意住两家不同酒店对比一下，价格都在500左右，\n林氏还是不错的，房间少，有点像家庭旅馆，适合老人和小孩，也适合者喜欢幽静的年轻人！\n本次有点感冒，所以没到下面沙滩玩，看见已经有游泳的，非常羡慕、遗憾，下次会再住，呵呵！', '短评打分': 5}
{'短评内容': '这家酒店真的很舒服哦，干净又安静，服务员态度很好，要求基本都能满足哦。下次还来的', '短评打分': 5}
{'短评内容': '房间如大家所说，很大很干净，用品质量也都很不错，吹风机是飞利浦的。由于没订到海景房，走前去参观了下，呵呵，觉得海景套房确实不错，海景大床没有我们的大床房大，海景其实看看也就这样了。酒店的早餐真的品种不多，最喜欢的是白粥，熬得刚刚好。因为之前就看了网友的评价，所以从码头到酒店没走一步冤枉路，一下就找到了，大概10分钟的路程。就是到其他景点稍稍有点远。总体还是比较满意的，下次去还是会考虑入住。', '短评打分': 5}
{'短评内容': ' 很不起眼的一栋楼，但内部装修和软设施相当到位，坐在露天平台上看着海吃早餐感觉不错，去大德记浴场的海边沙滩很方便', '短评打分': 3}
{'短评内容': '离龙头路较远，好处是较安静，坏处是出去逛要走5-10分钟，真正海景套房，早餐不错，WIFI信号太差了', '短评打分': 5}
{'短评内容': '很不起眼的一个别墅，但是内部很好，房间是按4星的标准，早晨也很丰盛，建议在路边挂个牌子，要不根本找不到', '短评打分': 5}
{'短评内容': '酒店的环境很好,很舒服.订票的时候,一直担心会货不对版,去到之后,我和女朋友都台喜欢了,住了三天,很舒服,酒店的服务员态度很好,基本我们提出的要求都满足了,面对如此多的旅客还有这样的服务态度,实属不易.海景套房不错不错.晚上能听着海浪声入睡.空气很好.唯一让我感到蛋疼的是,酒店wifi网速实在不行,不过这是小问题,不妨碍我对你们的好评.以后有朋友去鼓浪屿.,我还是会推荐这家,', '短评打分': 5}
{'短评内容': '位置处于皓月园附近，位置不错，环境也还好，就是价格贵了点。', '短评打分': 5}
{'短评内容': ' 这里环境不错，很适合家庭来的', '短评打分': 3}
{'短评内容': '基本上是鼓浪屿上最接近沙滩的酒店了，楼下就是沙滩！\n入住的是海景套房，很给力，不过价格感觉有点高了，因为这就相当于家庭别墅型的旅馆。\n还是比较干净的，就是卧室有点小了！\n', '短评打分': 5}
{'短评内容': '给父母定的。服务很周到热情，房间能听到浪涛的声音。老妈给我短信写的是：“岛的这一侧更能体会到幽静、优美和自然。温暖干净的小屋。。。早餐不错，牛奶、果汁、果酱、芝士、面包、米粥、鸡蛋、肉肠、烤肉卷、青菜、竹筒甜点，有微波和烤箱。东西不多但是全。自己动手热，很居家的感觉。”', '短评打分': 5}
{'短评内容': '帮家里人订的，入住后感觉非常不错的，不过早餐比较简单。所以这次带父母去还住那个酒店。这次订到海景大床房了，希望感觉更好！', '短评打分': 5}
{'短评内容': '鼓浪屿林氏府第的分支，楼没什么起眼的，而且有点难找，不过还算靠海，服务和房间的环境还是可以的，走的是家庭式的感觉，干净、基本设施齐全。晚上听着海浪声，感觉真不错。。。', '短评打分': 5}
{'短评内容': '离码头的位置很近，步行就可以走到，到皓月园在往大德海滨浴场走。酒店外表看上去很普通，可是房间的布置很干净很温馨，服务人员态度很热情，很有些欧洲的小酒店的味道，大床很舒服（硬硬的）。酒店的位置很好，下面就是海滨浴场，离热闹的商业街也不远。总之这次选择了这家酒店，很满意，很舒服，下次还会来。强烈推荐。', '短评打分': 5}
{'短评内容': '地理位置好，房前的景色好，大床很舒服，枕着波涛入睡，听着鸟鸣醒来，很惬意！\n建议：1.离开码头，左转，沿着海边走，在皓月园上面一点就到了。\n      2.热水器不大，冬天要洗得快点', '短评打分': 5}
{'短评内容': '美！那是我所有旅行中住的最合乎我心境的酒店，虽然酒店很朴实，可位置真的好，面向大海，前方又是郁郁葱葱的树木。总在想那要是自己的房子该何共幸福呀。', '短评打分': 5}
{'短评内容': '很不错的一间酒店，从窗户可以看到海，真的是枕着海涛入睡，听着海涛醒来，感觉很美妙，是我一直想要的感觉。还可以听到鸟叫，轮船的声音。太美了。', '短评打分': 5}
{'短评内容': '服务员超热情，酒店的外观和内设一般，胜在离海滩很近，view很不错，晚上还能枕着涛声入睡^_^', '短评打分': 5}
{'短评内容': '从外表看不怎么样的酒店,内部确是不错.海景套房风景很好,就是没有招牌,容易错过.其实就在大德记浴场边上,一个楼梯下去.\n也许是房间少,早餐相对也不丰盛,但是味道不错的,有荤有素.就是不能刷卡比较麻烦,希望系统能尽快升级.\n另外提一下,送的牙刷很漂亮,牙膏也是大品牌的,这点很好.还有,房间能听到海浪声.', '短评打分': 5}
{'短评内容': '外表平平，房间还是不错的，和旁边一家旅店外型是一样的，差点找错', '短评打分': 5}
{'短评内容': '不错的家庭式酒店，外观看上去不怎么样房间还是不错的，定了套房在厅里面能从两个方向看到海景，房间很干净，床和枕头也很舒服，休闲度假的可以选择入住。', '短评打分': 5}
{'短评内容': '酒店很干净，服务员也热情，很有家的感觉，特别是海景套房，听海浪的感觉真好，无敌海景确实很特别。但酒店位置比较难找，又没挂招牌，都要靠服务员领路。沐浴间设备有点问题，老漏水出来。', '短评打分': 5}
{'短评内容': '很喜欢这的环境：伴海隐林望石，服务好卫生佳，这正是我要的，下次来还选这家及这间海景房。', '短评打分': 3}
{'短评内容': '酒店不大，但是每个房间都非常的棒，很舒适，早餐也很好吃，站在阳台就可以看到蔚蓝的大海，美不胜收', '短评打分': 5}
{'短评内容': '因为友人推荐的中德记没定上，所以根据自己的想法找了德记这家，正如前人评论的，虽然外表普通，可是入住后相当满意，很安静，阳台视野清爽，室内干净舒服，前台小伙子很和气，呵呵，正是我和老公所期望的，就是淋浴器水量少了点，呵呵。', '短评打分': 5}
{'短评内容': '原订海景房未订到，普大房面积大不实用，不太值。服务生热情周到，甚至到路口帮忙提行李，凌晨还借茶具烧水，帮忙洗衣服。', '短评打分': 3}
{'短评内容': '太喜欢这次住宿了，面朝大海，春暖花开，房间又大又舒适。服务的小哥态度很好，给人回家的感觉。酒店还提供了早餐，虽然种类不多，但感觉很贴心。不过第一次去有点难找，但找到一次就很难忘记啦。。。地段也还不错，楼下就是海滨浴场，但又安静不喧哗。夜晚伴着海浪的声音，很舒心。很后悔只订了一晚，想多住一天都没机会，房间已经被其他人订了。。。以后有机会还住他家。。。喜欢', '短评打分': 5}
{'短评内容': '酒店感觉很不错干净，安静，很有鼓浪屿的感觉', '短评打分': 3}
{'短评内容': '不错的酒店！出轮渡左手边一直走，过皓月园的边门即可看到，在楼梯的下面。出行比较方便，离龙头路，景点都不远。晚上很安静，服务员很热情，关键的是性价比不错！早餐一般，由于房间很少，入住必须等到下午，有点麻烦。', '短评打分': 5}
{'短评内容': '在酒店楼下的露台吃早饭的感觉挺好；到下面的沙滩玩很方便；但我们因为订的时间迟，前面的海景套房没了，很遗憾，后面的花园房和后面的房子间隔有些近。不过下次去，还可以考虑再去。', '短评打分': 5}
{'短评内容': '那家酒店表面比较差，但是里面包括服务真的比较好，值得大家入住', '短评打分': 5}
{'短评内容': '相当不错，内部装修精致，又临海，很舒服，都不想走了', '短评打分': 3}
{'短评内容': '住的是海景大床~\n很温馨的家庭式旅馆~感觉很好，可以听着海浪声睡觉~\n服务员的态度很好，很贴心。玩累了回到酒店，服务员会很热情的说，“回来了呀~！辛苦了”超级贴心。\n另外，自助餐很好吃~~', '短评打分': 5}
{'短评内容': '比想象的好得多，服务人员态度好，浴场就在脚下，房间也很棒', '短评打分': 5}
{'短评内容': '望海楼的大门就在大德记浴场入口的旁边，可是却没有任何标志，本来是挺好找的，结果走了很多冤枉路后又走了回头路才找到。房间里很干净，可惜的是窗户没有纱窗，为了防止小虫子进来只能时时刻刻关着窗户。不过离浴场近，到海边确实是很方便。', '短评打分': 5}
{'短评内容': '早餐好吃，临海。环境相当好！！！服务态度也很好', '短评打分': 5}
{'短评内容': '房间设施比较新，离海滩很近，走出门就是海边，房间比较小，卫生间很大。', '短评打分': 5}
