{'短评内容': '商誓师大会就开始克拉克机会的话睡觉睡觉', '短评打分': 5}
{'短评内容': '总的而言还是不错的，对得起锦江之星的招牌，但是开始给的房间比较差，不晓得是不是中介订的原因，后来房间窗户关不上才换了个好的', '短评打分': 5}
{'短评内容': '环境不错，离火车站也近，不错', '短评打分': 3}
{'短评内容': '服务员很热情，离火车站也不是很远，很方便！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '离火车站近，离办事地方近，但是太吵，一侧马路，一侧唱歌.....', '短评打分': 1}
{'短评内容': '离开汉口火车站相当近，所以我们选择了这里，上海特莱士队也赢球了，这次远征相当开心的！', '短评打分': 5}
{'短评内容': '一楼的早饭很不错，吃的挺饱的~酒店的服务态度也是相当好的~', '短评打分': 5}
{'短评内容': '服务态度绝对是一流的，房间的网线上不了网，前台服务员帮我更换了房间~', '短评打分': 5}
{'短评内容': '打扫的不如其他锦江之星干净，但还是挺安静的。', '短评打分': 5}
{'短评内容': '很好的酒店，很干净卫生，离火车站近，方便出行，做火车来这儿，还会选择。', '短评打分': 5}
{'短评内容': '一般一般很一般，房间狭小，设施陈旧，实在没什么留下印象的', '短评打分': 1}
{'短评内容': '很干净，早餐也不错，但要早起哦，去迟了就没什么了，酒店确认入住慢，房间呢就小了点，不过这种价位的也就这样了。', '短评打分': 5}
{'短评内容': '房间很小，有些吵', '短评打分': 3}
{'短评内容': '酒店位置不错，离车站、万达广场挺近，服务也挺好，房间没上网电脑，电视机比较老，免费送两瓶水', '短评打分': 3}
{'短评内容': '交通不方便，外面还修路。。。打个车要走好远。。累死。。不好', '短评打分': 1}
{'短评内容': '酒店还是不错的，但与武汉的丁字桥锦江之星那就差远了，房间比较小，没有咖啡和立顿红茶，关键是空调效果太差，一晚上开着都还很冷！', '短评打分': 5}
{'短评内容': '酒店位置不错，设施齐备，服务到位，价格适中，下次还会入住。', '短评打分': 5}
{'短评内容': '距离火车站不是很远 但是基本上中间尤其是华南海鲜市场门口 路难走 尤其是下雨', '短评打分': 5}
{'短评内容': '基本上还不错  就是门路的道路不是很好走  ', '短评打分': 5}
{'短评内容': '房间设计简洁、卫生，总体尚可。。。。外部环境不咋的', '短评打分': 5}
{'短评内容': '地理位置不错，离汉口火车站很近。房间不大，还比较干净，就是临街噪音较大。经济型快捷酒店的条件大家都知道，要求不能太高。唯一不太满意就是非酒店会员不能延至两点退房。', '短评打分': 5}
{'短评内容': '锦江之星的服务态度非常好，特别是4楼服务员的服务非常周到', '短评打分': 5}
{'短评内容': '离火车站附近。设施一般。服务周到。\n\n唯一不好的是离火车站虽然只有两三分钟，但我被附近的新疆人讹了。。。。\n新疆人多啊汉口火车站', '短评打分': 5}
{'短评内容': '每次到武汉都住这家酒店，离火车站和机场都近，但是又不象住在火车站边上的那种酒店担心安全问题。', '短评打分': 5}
{'短评内容': '房间蛮干净的，也比较安静。从火车站走过去大概需要15分钟。', '短评打分': 5}
{'短评内容': '就是房间有点小，热水晚上要放很长时间才会比较热有点浪费，其它还好，离火车站也很近', '短评打分': 5}
{'短评内容': '除了店前的石板路是坏的，加上刚下过雨，湿漉漉的，踩的满脚泥，其他都很满意，环境挺好的，设备也很好，服务态度也很好，离火车站挺近的，离机场也很近', '短评打分': 5}
{'短评内容': '一如既往的舒适，干净，卫生，服务好。下次再来一定住这里。餐厅的清蒸武昌鱼味道非常好，而且价格不贵。', '短评打分': 5}
{'短评内容': '快捷酒店，办事方便，自住办事还可以，还算干净。', '短评打分': 5}
{'短评内容': '酒店设施很好，就是房间有点小. 洗澡间也有点小', '短评打分': 5}
{'短评内容': '离汉口火车站有些距离，房间很小，后面房间靠近一个迪厅，音乐不断。', '短评打分': 1}
{'短评内容': '地点好，方便。设施陈旧点 人员服务态度不错，价格和优惠不大理想。', '短评打分': 5}
{'短评内容': '锦江之星还不错,虽说房间有点小,不过卫生干净,交通还方便,值得推荐。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '位置不错 房间不大 靠窗还是有点吵 浴室莲蓬头不能调节 硬是拆了莲蓬头 拿水管冲 坑爹啊', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，很方便。酒店装修布置很不错，周边环境还算安静。性价比不错，m毛巾浴巾比较破，令人不舒服', '短评打分': 5}
{'短评内容': '很好,干净卫生服务态度好:就是门前修路有点不方便', '短评打分': 3}
{'短评内容': '边上有个海鲜市场，再加上最近在修路，环境比较差。酒店里房间比较小，毛巾被服比较旧。', '短评打分': 1}
{'短评内容': '锦江之星（武汉汉口火车站店），离火车站近，图个方便', '短评打分': 5}
{'短评内容': '还 可以，房间干净卫生，就是坐车不 方便呀 \n', '短评打分': 5}
{'短评内容': '锦江之星还不错,就是房间有点小,不过卫生干净,交通方便,值得推荐。', '短评打分': 3}
{'短评内容': '酒店距离火车站很近，很方便。酒店装修布置很不错，周边环境还算安静。性价比不错，值得推荐。', '短评打分': 5}
{'短评内容': ' 挺好！', '短评打分': 3}
{'短评内容': '就是因为离火车站比较近才选择这里。房间装修不久，稍有气味。其它还挺好。', '短评打分': 3}
{'短评内容': '酒店环境很好、工作人员的服务也很彬彬有礼。唯一的瑕疵就是外面的车辆有些噪音。但不影响入住，推荐此酒店。如果再选择酒店的话，我还会选择这家。', '短评打分': 5}
{'短评内容': '还行，早餐价格有点高，', '短评打分': 3}
{'短评内容': '锦江之星仍然住着很舒心，但是，感觉这家的位置面前的街道和对面的盖楼噪声有点大，然后觉得他家的这种房型房间都偏小，和之前住的其他家锦江之星差距有点大了。。。好在位置的确比较近于汉口站', '短评打分': 5}
{'短评内容': '整体感觉还不错，离火车站很近，恰逢道路改造，外部环境不佳。', '短评打分': 5}
{'短评内容': '酒店卫生间设置不好，洗澡进出很不方便。而且出水量小，还没有家里的热水器洗的舒服。', '短评打分': 5}
{'短评内容': '酒店位置比较好，交通方便，总台服务态度较好，但餐厅的服务员面无表情', '短评打分': 5}
{'短评内容': '离火车站不太远，硬件挺好，挺安静。服务态度也好。餐厅的饭菜一般，晚上散步就可以到万达广场，不错。', '短评打分': 5}
{'短评内容': '环境很方便，离汉口火车站极近，条件也还可以', '短评打分': 5}
{'短评内容': '离火车站很近很方便，就是武汉出租车实在难叫啊，都是黑车', '短评打分': 5}
{'短评内容': '锦江之星在所有平价级的连锁酒店里是我最喜欢的。', '短评打分': 5}
{'短评内容': '距离太远了，还不如距离火车站近的速8.很不方便。', '短评打分': 1}
{'短评内容': '感觉挺好，挺方便。前台的服务态度很好，离店时不小心掉了东西，多亏前台帮忙找到，谢谢！', '短评打分': 5}
{'短评内容': '环境不错，房间也挺干净，美中不足就是淋浴的孔隙不够大，水流太小', '短评打分': 5}
{'短评内容': '非常不错，环境和交通都方便，离火车站很近，转青岛后依然选择了锦江，非常满意', '短评打分': 5}
{'短评内容': '房间太小，被子床单都是脏的，还有烟头烫过的痕迹。比起其他锦江之星，这家太差劲了~', '短评打分': 1}
{'短评内容': '锦江之星， 总体来说不错，当时是想找火车站周围的，所以尝试了一次，第一感觉是前台的服务态度很好，热情不失礼貌。在这几天前住过天津开发区的一家宾馆，前台的态度就很一般，给人感觉爱理不理似的。\n锦江 是第一次入住，第一印象还不错，以后还会考虑到锦江。', '短评打分': 5}
{'短评内容': '感觉太破了。到那一看就把房退了。态度还不错。', '短评打分': 1}
{'短评内容': '很不错的酒店，向大家推荐，离汉口火车站很近。', '短评打分': 5}
{'短评内容': '各方面都很好，细节很贴心，是这次出门住过的最好的旅店，严重推荐。', '短评打分': 5}
{'短评内容': '离火车站近，外出方便，周围生活设施完备。\n\n', '短评打分': 5}
{'短评内容': '离火车站近，外出方便，周围生活设施完备。', '短评打分': 5}
{'短评内容': '离火车站近，但是安排的是2楼的楼梯房，不喜欢。其他都不错。', '短评打分': 5}
{'短评内容': '酒店离汉口火车站近，步行15分钟左右。酒店门口在修路，靠路的房间有些吵。路修好后会不错的', '短评打分': 5}
{'短评内容': '虽然酒店周边在施工，但热情周到的服务，使我有到家的感觉.', '短评打分': 5}
{'短评内容': '还不错，就是周围环境太脏了', '短评打分': 3}
{'短评内容': '入住比较舒服，服务态度不错，餐厅饭菜比较可口（午餐）。', '短评打分': 5}
{'短评内容': 'OK。。。。。。。。。。。。。。。。。。。。。！', '短评打分': 5}
{'短评内容': '房间偏小，靠马路侧在施工，晚上会有点吵。电梯不太好，经常出问题。早餐还行，一品煎饺还是那么好吃。网络不稳定，时有断线情况。', '短评打分': 5}
{'短评内容': '房间太小了，酒店服务、设施各方面还是一如既往的不错。就是前面在修路，出行不方便。', '短评打分': 5}
{'短评内容': '建议来武汉的朋友不要住在火车站附近，武汉这城市给人的感觉太差了，交通混乱，人口嘈杂，到处都是工地。到处都在挖沟。尤其是汉口火车站附近。还有堵车那叫一个邪，这个武汉就一个超级停车场。', '短评打分': 1}
{'短评内容': '还可以了，软硬件还算可以了，就是还是要提一下洗澡的濆淋还是要改进改进！', '短评打分': 5}
{'短评内容': '水温忽冷忽热 楼层高了根本就出不来热水 二十四小时热水的基本要求都达不到 外面还吵 郁闷的是离火车站还是有距离的 只要有行李 会发现很累', '短评打分': 1}
{'短评内容': '离马路近的房间实在是太吵了，离火车站还有15分钟走路的路程，价格也不行', '短评打分': 1}
{'短评内容': '房间的面积太小，空间太紧凑了，\n给人压抑的感激，\n但设施还不错，离车站很近', '短评打分': 1}
{'短评内容': '马路上灰太大，早餐有奶酪，交通一般。别的没有了', '短评打分': 5}
{'短评内容': '房间不大，到火车站和汽车站都比较近。只是最近门前马路在翻修，预计五月份竣工。', '短评打分': 3}
{'短评内容': '干净卫让，很舒适。因为临近路边，所以稍有一点吵！！总体很不错！1', '短评打分': 5}
{'短评内容': '环境一般，所在地区由于在修地铁，交通比较混乱。其他尚可', '短评打分': 5}
{'短评内容': '房型狭窄.整体感觉没上海的锦江之星好！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还可以,只是淋浴水比较小', '短评打分': 3}
{'短评内容': '太吵太小', '短评打分': 3}
{'短评内容': '酒店不错，但因门前道路施工不太好走。', '短评打分': 3}
{'短评内容': '相当不错的酒店。房间新，服务不错，满意。\n美中不足的是酒店门口正在修地铁，乱成一团，脏的可以。\n这也好像不是酒店的过错。希望地铁早一点儿可以搞定。', '短评打分': 5}
{'短评内容': '距汉口火车站较近,出行方便。房间整齐干净，服务好。', '短评打分': 3}
{'短评内容': '火车站附近吧，图个方便，还行呢，下次会继续定这个呢', '短评打分': 5}
{'短评内容': '锦江之星酒店的住宿环境、服务都是较理想的，房间比较舒适。唯一的不好就是小广告太多', '短评打分': 5}
{'短评内容': '多次入住就是发现他们的洗澡的喷淋一点都不好，很小很散没有力度。本来就是为了洗个好澡睡个好觉。望其可以改善！', '短评打分': 5}
{'短评内容': '服务的态度很好，服务的质量也还不错！但还需在细节上加以优化！\n\n', '短评打分': 5}
{'短评内容': '值得入住，硬件设计比较人性化，就在最近在市政建设有点不方便，应该入住时加以提醒入住客户。', '短评打分': 5}
{'短评内容': '房间稍微有点小   平安夜的原因  酒店不是很好找  但在火车站附近能找到这样一如既往优秀的酒店更不容易  支持', '短评打分': 5}
{'短评内容': '离火车站比较近，方便坐车，其他没什么特殊的。', '短评打分': 5}
{'短评内容': '房间不错，比较干净。 门前在修路比较吵。', '短评打分': 5}
{'短评内容': '房间小，但很干净，服务也很好。但是因现在附近施工工地很多，环境嘈声很大，影响休息，建议各位半年以后再来住。', '短评打分': 5}
{'短评内容': '该酒店服务不错，交通便利。考虑到施工可能会影响宾客休息，还配备了耳塞，细节工作做得较好。下次还会入住', '短评打分': 3}
{'短评内容': '服务态度不错，离汉口火车站较近，交通便利。但是房间面积有点小，感觉有点压抑。', '短评打分': 3}
{'短评内容': '这家酒店离汉口火车站很近，非常方便。服务也好，下次还会入住。', '短评打分': 5}
{'短评内容': '房间小点。不过环境真的不错。晚上外边有施工的。有点响声。网速不快。这点宾馆应该改进。', '短评打分': 3}
{'短评内容': '酒店整体不错，只是宽带网速太慢（我住过的宾馆里）。希望酒店对这方面加以改进。', '短评打分': 5}
{'短评内容': '比较合适赶火车的时候住 \n也比较干净\n最近汉口火车站在修\n所以有些吵\n但是隔音还行\n离火车站大概步行十五分钟', '短评打分': 5}
{'短评内容': '汉口火车站在修，打车进出都不方便，酒店离火车站很近，走走就到了，酒店隔音不好，晚上很吵', '短评打分': 5}
{'短评内容': '酒店很新，设施不错。服务也相当可以接受。指示周边建设地铁，灰尘很大，一下雨就更受不了。希望那个地铁工程赶紧完工。\r\n性价比很不错的酒店。这次我们公司高管团队华东5市有过程中住过的最好的一家之一。', '短评打分': 3}
{'短评内容': ' 位置很好. 酒店也比较新. 服务态度好. 喜欢!', '短评打分': 5}
{'短评内容': '隔音效果不太好，房间有点小了。位置不错，卫生也很好，服务业很到位', '短评打分': 5}
{'短评内容': '感觉比较干静，大床房房太小', '短评打分': 5}
{'短评内容': '标间舒适。\r\n前台不够热情。\r\n酒店标志不醒目（在站前广场看不见）。\r\n结论：推荐。', '短评打分': 3}
{'短评内容': '价格公道。标准间A还舒适，前台不够热情。', '短评打分': 5}
{'短评内容': '房间略小,设备感觉很干净。', '短评打分': 5}
{'短评内容': '很好！很干净！！', '短评打分': 3}
{'短评内容': '很好 ！', '短评打分': 3}
{'短评内容': '酒店的卫生，等都很好的！就是外面的环境不怎么好！', '短评打分': 5}
{'短评内容': '总体不错，就是有点吵，隔音也不太好', '短评打分': 5}
{'短评内容': '新装修、干净、价格合理，就是旁边有个海鲜批发市场味道有店不好闻', '短评打分': 3}
{'短评内容': '新装修的房子比较干净', '短评打分': 5}
{'短评内容': '离火车站挺近，就是旁边的海鲜市场很恼人，还有那个溜冰场，住在阴面凌晨一点之前都是很大声的音乐，很吵。周围也比较偏僻，晚了想吃点东西都很难。电梯和走廊都很热，房间面积也很小。', '短评打分': 1}
{'短评内容': '有回家的感觉，价格也便宜。一如既往的好', '短评打分': 5}
{'短评内容': '我去的时候正好赶上周边修路，所以交通不是很便利，酒店内部环境还不错，房间里挺干净的，设施也挺齐全的，感觉挺整洁挺舒适的，价格方面也不贵，整体感觉性价比蛮高的。', '短评打分': 5}
{'短评内容': '貌似火车站附近，就这家还不错，建议入住，也比较方便', '短评打分': 5}
{'短评内容': '离火车站太近,周围环境非常混杂,傍边是个海鲜市场,很吵.', '短评打分': 1}
{'短评内容': '感觉不错 房间有点小 离火车站要走十分钟左右  有点远', '短评打分': 5}
{'短评内容': '离汉口火车站、汽车站都比较近，步行15分钟就到了，如果出行选择住经济型酒店还是不错的选择。', '短评打分': 5}
{'短评内容': '环境服务都很好，就是附近在修路，有些吵', '短评打分': 5}
{'短评内容': '距离汉口火车站较近，但是仍需走一会才能到，附近环境一般', '短评打分': 5}
{'短评内容': '很不错  就是空调模式不能自己控制。。。', '短评打分': 3}
{'短评内容': '空调模式不能自己控制  别的都很好  下次还会入住', '短评打分': 5}
{'短评内容': '这个酒店不错，我很满意，如果有下次，一定会再去光临。', '短评打分': 5}
