{'短评内容': '空调不制热太冷了住怎么多酒店从没这样过', '短评打分': 5}
{'短评内容': ' 花旗假日酒店正体感觉挺不错的，服务人员热情，早餐不错，有满多种选择，酒店周围很繁华，想买的东西基本都能买到，是不错的选择。', '短评打分': 3}
{'短评内容': '条件较好，酒店功能齐全，房间内酒水、电子秤、电脑、风筒都全，舒适，缺点交通离火车站、汽车站较远', '短评打分': 5}
{'短评内容': '谢谢，服务很好的酒店。', '短评打分': 3}
{'短评内容': '不错，下次来还要住这个宾馆！', '短评打分': 3}
{'短评内容': '还不错，比九江天翔商务大酒店强一倍！', '短评打分': 3}
{'短评内容': '条件不错，挺干净的，服务员态度挺好的。有机会下次在住', '短评打分': 5}
{'短评内容': '有点吵，                                 kejieshou                               ', '短评打分': 5}
{'短评内容': '毛巾太粗糙。。。。地理环境不好，停车也不方便。', '短评打分': 1}
{'短评内容': '酒店总体来说还行，就是服务速度慢了点。而且早餐品种太少', '短评打分': 5}
{'短评内容': '四星级很勉强，位置有点偏，设施和服务还不错。临街，对面是一家超市。', '短评打分': 5}
{'短评内容': '地毯和设备陈旧，散发霉味。\n淋浴时候地面没有隔水处理，全部洗手间都是大水弥漫。', '短评打分': 1}
{'短评内容': '本来定的是普通单间，到前台后通知已经没有普通单间了，然后前台很大方的给免费升级成豪华单间。我们是一家三口，带个2岁半的小孩，他的豪华单间里面居然还有一个沙发床，撑开后时隔1.3米*2米的床，问客房要了个被子铺在下面睡着也很舒服。\n房间很干净，很大，设施也很不错，值得推荐，下次来九江肯定是首选。', '短评打分': 5}
{'短评内容': '还好了，不过建议大家不要定单间，没有窗户。。。', '短评打分': 5}
{'短评内容': '很满意！干净，总台人员态度好！下次还会来住。', '短评打分': 5}
{'短评内容': '一般，就是电视太小了，也不清楚，还有里面配套的东西也少了', '短评打分': 5}
{'短评内容': '九江花旗假日大酒店还不错，下次还会来住。整体感觉很好.', '短评打分': 5}
{'短评内容': '春节路过，服务还不错，设施也比较到位。地方很当道，对面就是一家大型超市。\n自助早餐的选择少了一点。另外，房间隔音不是很好。', '短评打分': 5}
{'短评内容': '还不错，下次还会来住。整体感觉很好，就是早餐差了。', '短评打分': 5}
{'短评内容': '酒店卫生，地理位置，服务态度都较好，有停车场，但要有一定技术才可驶入，早餐种类较少，但也觉得足够了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '，酒店房间较大，但服务略带生硬', '短评打分': 3}
{'短评内容': '性价比好啊，竟然还有电脑用，哈哈我就再用酒店的电脑在点评哈，四星级不错！！！', '短评打分': 5}
{'短评内容': '酒店房间较大，但服务生硬。', '短评打分': 3}
{'短评内容': '酒店的房间较大，但服务有待加强。', '短评打分': 3}
{'短评内容': '环境和装修都一般。而且房间还有异味。距离市中心也远。不推荐。', '短评打分': 1}
{'短评内容': '帮朋友订的，朋友说是家很好的酒店!推荐！！！', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还不错 还不错 还不错 还不错 还不错 还不错 还不错 还不错 ', '短评打分': 5}
{'短评内容': '\r\n这酒店不错，在九江算还不错了，只是不是在市中心', '短评打分': 5}
{'短评内容': '环境非常好，设施也不错，服务也不错，我是开车去的，停车场不大，停车不是太方便。建议入住，性价比超高！', '短评打分': 5}
{'短评内容': '还是很不错的,总体感觉挺好,服务也很热情', '短评打分': 5}
{'短评内容': '虽然刚开始遇到一些不开心的事（给我们联系旅行社）后来服务员重新给我们联系了一家，比较满意，就是房间不隔音，服务态度不错。', '短评打分': 3}
{'短评内容': '虽然刚开始遇到一些不开心的事（给我们联系旅行社）后来服务员重新给我们联系了一家，服务态度不错。', '短评打分': 5}
{'短评内容': '对于自驾的朋友这个酒店位置还不错，离高速路入口非常近，不用绕来绕去。前台服务很热情，餐厅就太一般了。', '短评打分': 5}
{'短评内容': '，虽然是四星，感觉最多三星。而且不老实，刚开始我们要求要两个大床房，总台说没有，只有一个大床房了，还说已经免费升级为高级一点的', '短评打分': 5}
{'短评内容': '已入住条件可以', '短评打分': 5}
{'短评内容': '交通比较便利，房间条件也不错，比较满意。', '短评打分': 5}
{'短评内容': '周边有回餐，酒店价格适中，很经济！离学校也很近，服务员热情，能根据客人的要求及时服务！', '短评打分': 3}
{'短评内容': '很舒适  价格适中  服务员热情  最主要周边有回餐', '短评打分': 5}
{'短评内容': '只有吃饭没别的 要是只睡觉可以的 环境没的说', '短评打分': 5}
{'短评内容': '+设施和服务都可以就是旧了，特别是地毯旧', '短评打分': 5}
{'短评内容': '总体来所不错！行政房间内有自动麻将桌，房价相当大！', '短评打分': 5}
{'短评内容': '初次到九江，能住到这样的酒店，很幸运！酒店设备很齐整，服务员每天主动打扫2次房间，房间内有保鲜冰箱和保险柜，酒店附近吃饭购物都比较方便。下次去还会住这里！值得推荐给大家！', '短评打分': 5}
{'短评内容': '酒店较整洁，早餐还好，就是种类较少。大堂办事效率高，入住及结账都很快。房间有过滤直饮水机，电脑上网很方便，周边购物方便，马路对面超市很大，日常生活用品都有的，超市还有现做的食品卖，九江的物价很便宜，到庐山玩早上在那里买食物带上很方便的。周围300米之内有个新太子饭店分店，做得食物味道很不错，九江的菜都很辣，饭店环境不错，值得推荐。\r\n\r\n不足之处是房间的窗户没纱窗，空调温度被固定在23度，晚上还是', '短评打分': 5}
{'短评内容': '房间设施很齐全，有冰箱和保险箱，电脑是外接音响很方便，房间空间很高业比同类酒店大，性价比不错！下次来还会入住！不错的酒店！', '短评打分': 5}
{'短评内容': '在当地仅有的几好好点的酒店里,这个还算可以了,早饭很一般,服务卫生都还不错.', '短评打分': 3}
{'短评内容': '停车不是太方便，地方小点，其它可以。', '短评打分': 5}
{'短评内容': '总体来说在九江还算可以，早饭不行。跟江浙沪的酒店来比话职能算个三星', '短评打分': 5}
{'短评内容': '是家很好的酒店，价格合理，', '短评打分': 3}
{'短评内容': '第一次来九江，第一次住这里，但有回家感觉。', '短评打分': 5}
{'短评内容': '性价比很好，房间电脑也为一特色，推荐。', '短评打分': 5}
{'短评内容': '房间大,管理有待提高,性价比还行。', '短评打分': 5}
{'短评内容': '酒店的位置太偏。其它一般般', '短评打分': 1}
{'短评内容': '当时送小孩上学的，在这附近，酒店内部设施很好，价格也便宜，就是周边环境经较差，给人感觉很破旧，周边正在做建设', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都比较不错，位置出行交通方便，价格合理适中。卫生服务也很不错，虽然不是在市中心的酒店但是在庐山区还是比较好的位置上的，值得推荐入住。', '短评打分': 3}
{'短评内容': '非常好的酒店，服务很好。距高速公路出口（九江南）很近。酒店对面有大型超市，购物方便。', '短评打分': 5}
{'短评内容': '酒店的服务人员服务还是蛮热情周到的,房间里的卫生打扫的也蛮干净的,设施也比较齐全,虽然在郊区但是交通还是蛮方便的,价格方面还是比较合适的.', '短评打分': 3}
{'短评内容': '酒店还是很不错的,干净舒适,价格也很适中；交通也很方便；还是很符合我的要求的；所以整体感觉性价比还是较高的；值得推荐一下；\n', '短评打分': 5}
{'短评内容': '1。地理位置很好。对面有超市，不远就是步行街，那里的小炒便宜又好吃。2.房间干净，服务态度也好，还有地方停车。3。早餐也不错。总体来说性价比很高，下次还住这里。', '短评打分': 5}
{'短评内容': '酒店的早餐提供的时间太早，时间太短，别的都很好，性价比可以', '短评打分': 5}
