{'短评内容': '乌镇周边都是差不多的小宾馆，性价比不错。', '短评打分': 3}
{'短评内容': '老板夫妻非常亲切，非常好，来去都是老板亲自开车免费接送的。而且我们本来预定的是标准间，最后去的是三个人，老板主动为我们换成了家庭间，还带电脑的，呵呵。酒店卫生也很好，周边购物吃饭都很方便且便宜。交通嘛，我都不知道诶，我们入住酒店和去车站，都有老板接送，所以，嘿嘿！', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 3}
{'短评内容': '老板两夫妻挺和蔼，景区附近，还不错，游玩夜景回去还挺方便。', '短评打分': 3}
{'短评内容': '老板人很好，很热心，宾馆离西栅非常近，很方便，以后还会住', '短评打分': 3}
{'短评内容': '离西栅很近，看完夜景出门很快就回到，电视、空调、网络挺齐全的，卫生也不错，旅行歇脚不错', '短评打分': 5}
{'短评内容': '还不错的  老板人很热情的  地理位置也好 价格公道', '短评打分': 5}
{'短评内容': '西栅景区入口不远的家庭式旅馆，规模不大，设施一般般，不过空调、网线等也都齐备，价格再低些更好。西栅景区内的民宿据说不错，就是比较贵', '短评打分': 5}
{'短评内容': '位置较好，距离西栅位置较好，服务态度不错。。。', '短评打分': 5}
{'短评内容': '住宿位置离西栅东门很近，室内环境一般，但是老板服务态度不错。。。', '短评打分': 5}
{'短评内容': '条件尚好，比较方便', '短评打分': 3}
{'短评内容': '酒店一般 老板服务很好 很热情 唯一的不好就是那边容易停电', '短评打分': 5}
{'短评内容': '硬件条件还好但是周围比较吵很早就被吵醒了，房里没有吹风机，烧水的电水壶有些脏，建议还是早点预定西栅里面的民宿，更能享受水乡的夜', '短评打分': 3}
{'短评内容': '老板夫妻很热情，微笑服务。房间很宽畅，双床房间空间很大，加被加枕头都很方便，有热水，有吹风机。去西栅2分钟，去东栅就5分钟，真的都很近。', '短评打分': 5}
{'短评内容': '就在西栅旁边，我们是从乌镇汽车站走路过去的，挺远，不过看了沿途的风光，到店之后，老板说可以打电话叫他来接我们，大家以后要入住的话，可以直接打电话。我们晚上怕冷，老板还给我们添了床被子，还不错。就是热水器太小了，只能洗一个人，再洗第二个人就没有办法了，冷冷的。', '短评打分': 5}
{'短评内容': '基本上还是可以的吧，办理的时候是酒店她妈妈，所以询问一些时间表之类的她不清楚，酒店里面没有吹风机，需要在柜台借..', '短评打分': 5}
{'短评内容': '老板很热情。房间设施也不错。不过，我住3楼，行李拿到楼上挺费劲。还好，都是老板帮着拿上去的。如果有电梯就好了。', '短评打分': 5}
{'短评内容': '离西栅很近，老板也比较热心，就是被子薄了点。如果以后去乌镇，还会考虑住这里。', '短评打分': 5}
{'短评内容': '离车站比较远,空调比较给力,小老板不在家,网不能上没人给解决', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '离客运站有些距离~步行也行~坐三轮车也可以~\n乌镇基本都是自建房改的家庭旅馆~设施还行~离东、西栅景区大门距离不远~\n门上贴的银联标志，但是不能刷卡，用现金结的房费~\n不过以后不会再去乌镇了，真的没有宣传的那么好，而且镇上的环境也不怎么好~\n如果有朋友想去乌镇，建议提前去乌镇官网预定西栅景区内的房间，提前可以订到民宿，也不是很贵~我们从门口看了一下，还是不错的~', '短评打分': 5}
{'短评内容': '房间简陋，卫生一般，但是离景点很近，小旅店', '短评打分': 1}
{'短评内容': '地理位置很好，老板态度也不错\n唯一的缺点，床实在太硬。', '短评打分': 5}
{'短评内容': '乌镇锦星宾馆还算干净。但性价比太差。', '短评打分': 5}
{'短评内容': '房间干净，比较满意。酒店的位置很好，离开景点很近，有机会还会预订的。', '短评打分': 5}
{'短评内容': '酒点很不错，离西栅近，特别是老板的态度非常好，住的很舒服。', '短评打分': 5}
{'短评内容': '相对于别的私人客栈好多了，老板和老板娘很热情，有种家的感觉，如果没订上西栅里的房间的话，这也是不错的选择。离西栅东门很近', '短评打分': 5}
{'短评内容': '酒店地理位置不错，距离西栅走路只要三分钟。房间也算干净，设备全,就是简单了一些。总体感觉可以。', '短评打分': 5}
{'短评内容': '位置很好，步行到西栅景区门口大概5分钟：）卫生条件还算干净舒适，老板人很好，推荐~', '短评打分': 5}
{'短评内容': '该私人旅馆条件很差，但是离西栅很近。如果没有订到西栅景区里面的旅馆，在这里将就住一宿也行。', '短评打分': 1}
{'短评内容': '店老板很热情，不过房间太简陋了，我们住的是顶楼，居然漏雨了，很影响心情。', '短评打分': 1}
{'短评内容': '老板态度很好，车站接送，离西栅很近，主要换洗衣服可以在天台晾晒', '短评打分': 5}
{'短评内容': '+非常好的旅店，离西栅近，！老板人好！', '短评打分': 5}
{'短评内容': '首先是老板去接的，这点很好，在车上老板答应送我们去东栅，可最后却没有送，无语！说实话160一晚很不值，房间味道难闻，就是一廉价旅馆，最多值80元，住在三楼，虽然是靠西栅可以看到点景（房顶和树），但环境真的很差，水很小，澡都感觉没洗干净，床也硬梆梆的，网线都是坏的，哎~~~~', '短评打分': 1}
{'短评内容': '性价比不错，离西栅较近，如果对房间不太挑剔，还是值得推荐', '短评打分': 5}
{'短评内容': '房间面积挺大的，离西栅也挺近的。老板态度很热情。', '短评打分': 5}
{'短评内容': '价格是挺高的，位置当时是开车过去的是挺好找的，卫生设施一般般洗手间挺简陋的，服务态度还可以。要是价格再便宜些就更好。', '短评打分': 5}
{'短评内容': '老板人很不错。酒店的位置也很好。', '短评打分': 5}
{'短评内容': '服务态度挺好的老板都很热情，房间卫生都挺干净，设施也不是很旧，价格还行，位置特别好找离西栅景区挺近的。去客运站的时候老板还开车送我们过去的特别好。', '短评打分': 5}
{'短评内容': '老板人很好，，，热情好客，需要电脑就可以把他的提供给你用，没伞也能帮你找到，只要他能帮助的绝对给予你帮助，给你推荐便宜方便饭馆，如何玩省钱等，，，非常好。。', '短评打分': 5}
{'短评内容': '酒店设施简陋，虽然服务热情，但硬件不够条件，卫生不太好。', '短评打分': 1}
{'短评内容': '老板人很好，到客运站接站，服务很不错……环境很好，离西栅门口很近', '短评打分': 5}
{'短评内容': '服务还不错啊,靠近景区老板人不错', '短评打分': 5}
{'短评内容': '锦星宾馆的位置在西栅景区入口处很近的地方，老板人非常好，热情好客，会做生意。需要提升的是酒店的设施和卫生，再精心一些就相当理想了。', '短评打分': 5}
{'短评内容': '酒店离乌镇西栅比较近，位置不错，就是临街有点吵，卫生还行 吧，这个价格在景区', '短评打分': 5}
{'短评内容': '老板服务相当好，但房间环境不太好，比较像旅馆！用的是木床，蚊子超多！', '短评打分': 1}
{'短评内容': '老板很热情！位置比较好！', '短评打分': 5}
{'短评内容': '网上预定，经济实惠~~总体感觉不错~~', '短评打分': 5}
{'短评内容': '老板人很热情，环境很好，离景区很近 不错。我不小心将相机充电器没有带回来。谢谢老板将我寄回来了。', '短评打分': 3}
{'短评内容': '位置很好 老板人不错', '短评打分': 5}
{'短评内容': '酒店真的是挺一般的，离景区虽然很近晚上休息的周围还是很吵房间的隔音效果也不好，价格确实挺高的如果是我自己去的话估计也就是差不多是三百左右因为也是旅游城市所以价格才会这么高但是其实一点都不值这么多钱里面反正是感觉和小旅馆差不多，服务态度还可以，下次再去乌镇估计要考虑一下这家酒店了。', '短评打分': 1}
