{'短评内容': '每次来渝次，基本都住这间酒店。只是价钱不低，其他没得挑的', '短评打分': 5}
{'短评内容': '在晋中来说价格是较贵了,但的确是这儿最好的酒店了,入住旅游房,比较满意.值得的是早餐很好,正餐点餐很贵,但位置好可出去吃.浴室有直饮纯净水,房间也配置两瓶水,晚上还送两个奶芬!孩子很高兴.', '短评打分': 5}
{'短评内容': '总体来说还可以。在榆次来说也就没有什么更好的酒店了。', '短评打分': 5}
{'短评内容': '酒店条件还可以', '短评打分': 3}
{'短评内容': '再点评一次，呵呵。性价比很好，住的很满意，唯一遗憾是结账离开时碰上刷卡机器坏了，耽误了好长时间。', '短评打分': 5}
{'短评内容': '每次到晋中都是入住这家酒店，很不错，性价比很高了。尤其早餐非常满意。甚至还允许打包带走了几根油条、几个包子和一个鸡蛋，非常厚道，赞一个！！！强力推荐，呵呵。', '短评打分': 5}
{'短评内容': '已经点评了好几次这个宾馆，真的不错，  推荐', '短评打分': 5}
{'短评内容': '不错的酒店，地段不错，房间也大，可以算是榆次当地最好的宾馆了', '短评打分': 5}
{'短评内容': '房间好，服务好，地段好，可以说是榆次当地最好的宾馆了', '短评打分': 5}
{'短评内容': '酒店位置好，早餐还ok，酒店设施稍显陈旧，服务质量一般。', '短评打分': 5}
{'短评内容': '临时决定入住，觉得还不错。就是前台的服务不够热情，希望改进。', '短评打分': 5}
{'短评内容': '总体感觉不错，美中不足之处就是在洗澡时发现卫生间的花洒是坏的，郁闷', '短评打分': 3}
{'短评内容': '还行，就是花洒坏了', '短评打分': 5}
{'短评内容': '给客人预定的酒店，根据反映地理位置不错，房间设备比较旧，该换点新的了。', '短评打分': 3}
{'短评内容': '给朋友预定的，反映还可以，主要是位置好。', '短评打分': 5}
{'短评内容': '硬件不错,就是有些旧了,政府开会常用该酒店', '短评打分': 5}
{'短评内容': '不错的酒店，每次到榆次都住这里。唯一遗憾的要了12楼的标间，进去发现居然没有活动窗扇，一大面封死的玻璃，不是很习惯，感觉没法通风。', '短评打分': 5}
{'短评内容': '地理位置不错，装修稍微有些老旧，但是比较干净，应该是在晋中最好的酒店了。', '短评打分': 5}
{'短评内容': '是给客人定的，反映还不错。房间挺大的，听干净。主要是电视该换了。', '短评打分': 3}
{'短评内容': '给客人预定，据客人反应不错，就是房间电视急需更换了！', '短评打分': 5}
{'短评内容': '价格偏高，其他都一般', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '有一点无法理解，为何定酒店时是双早，但却只给一张早餐眷？要第二张时却告知必须登记身份证！！吃早餐，不是住店呀！！！尽管根本就没用早餐，但感觉极不爽！', '短评打分': 3}
{'短评内容': '点评一次还不够吗？', '短评打分': 3}
{'短评内容': '套房这种价格是真便宜！很大，足有80平方！\r\n就是外玻璃太脏，来开纱窗。。。不忍目睹！', '短评打分': 5}
{'短评内容': '房间很干净很舒适。而且酒店的硬件设施也算不错，服务态度前台都特别好，其实我是感觉算是当地最好的一家酒店了真的是很不错下次去的话我肯定还会住这边的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '以后还会入住。', '短评打分': 5}
{'短评内容': '位置非常好，价格可以接受，再低点就非常好了', '短评打分': 5}
{'短评内容': '总体感觉很好。只是地毯可能永久了，看上去不是很干净，没有配一次性刮胡刀。价格稍贵。另外还是应该恢复大床单人房。', '短评打分': 5}
{'短评内容': '他们的环境设施都还不错，位置非常好，但是价格还是贵。', '短评打分': 1}
