{'短评内容': '坐飞机临时住一下还可以。', '短评打分': 4}
{'短评内容': '内部一般，还没有早餐~~关键就是离机场步行几分钟就到~~总的还不错吧~~', '短评打分': 5}
{'短评内容': '还可以         离机场近最大的优点   下次还会考虑', '短评打分': 5}
{'短评内容': '非常方便快捷的酒店,以后有需要还会选择这里', '短评打分': 3}
{'短评内容': '这是唯一为我们升级的酒店,离机场非常近,超级方便', '短评打分': 3}
{'短评内容': '住这家酒店，只为一个目的，边了赶早上的飞机。从酒店走到机场，用不了5分钟。', '短评打分': 5}
{'短评内容': '此酒店距离机场最近，在机场办事很方便，虽然住宿一般，但是还是比较干净的，就是服务态度有待提高，食堂的东西太贵', '短评打分': 5}
{'短评内容': '距离机场非常近，乘机很方便，酒店的设施比较老旧了，性价比一般了', '短评打分': 5}
{'短评内容': '方便，早走，晚到的朋友最佳选择,还有空中美女、帅哥饱眼福', '短评打分': 5}
{'短评内容': '离机场很近，还给免费升级成了套房，不错。', '短评打分': 5}
{'短评内容': '酒店距机场非常近，卫生条件还好，环境也不错，服务好，如果坐早班飞机这是最好的选择。', '短评打分': 5}
{'短评内容': '就是一家快捷酒店，三亚机场附近没什么酒店，导致这家酒店性价比不高。相比离开上海在浦东附近住的398一晚的5星级酒店，真是相差太大了。不过对于起早赶飞机的人来说，只能是一个选择。', '短评打分': 5}
{'短评内容': '     挺好的，离机场200米。', '短评打分': 3}
{'短评内容': '适合晚班来三亚或者赶早班的。就是订了来回当天的房间。其他的性价比之类的，确实一般吧。不如如家快捷这些连锁的划得来。总体还好吧。看自己选择咯。', '短评打分': 5}
{'短评内容': '很不错的酒店做了好几个小时的飞机，出了机场就入住，好方便', '短评打分': 3}
{'短评内容': '实话实说，这个酒店就是离机场方便，适合赶早班机的人，其他的一般般，性价比不高。', '短评打分': 5}
{'短评内容': '此酒店距离机场比较近，服务员服务还比较好，卫生条件不错，免费网络比较慢，临时居住还可以，', '短评打分': 5}
{'短评内容': '周转客栈，也就这样了！房间还可以，走廊和房门看着不舒服！', '短评打分': 5}
{'短评内容': '离机场很近的，如果早班飞机住在这里很方便。', '短评打分': 5}
{'短评内容': '对赶早班飞机的旅客来说，房间设施足矣，一楼的刀削面很好吃，做刀削面的小师傅很可爱。', '短评打分': 5}
{'短评内容': '除了赶早班飞机方便外，实在没有优点了。比较脏，入住后居然地上还有烟头、毛发等。', '短评打分': 1}
{'短评内容': '离机场近，房间很好，就是没早餐', '短评打分': 3}
{'短评内容': '反正我觉得对于那些乘坐早班飞机的人来说，是非常之方便的，只是吃饭不太方便，结果晚上我们也只好到机场去吃肯德基了。', '短评打分': 5}
{'短评内容': '离机场非常的近，很好很方便，走路只需要3分钟。而且环境也很好，房间很干净。', '短评打分': 5}
{'短评内容': '酒店还是挺大  但是设施太陈旧   床单不是很干净  ', '短评打分': 1}
{'短评内容': '酒店设施偏旧', '短评打分': 3}
{'短评内容': '适合半夜入住，白天不推荐。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '以后尽可能的不要晚上过来住，地方环境可以，住的觉得不划算', '短评打分': 5}
{'短评内容': '不错，比想象安静很多', '短评打分': 3}
{'短评内容': '夜间睡觉很吵，不断有飞机降落，而且我住的这间房空调坏了，制冷不好，最要命的是空调开机后吹出很臭的气味，我住的房间是二楼218号', '短评打分': 1}
{'短评内容': '酒店硬件及软件服务都不错', '短评打分': 3}
{'短评内容': '酒店离飞机场很近，房间还可以，去的时候就是赶上电梯坏了。', '短评打分': 5}
{'短评内容': '很陈旧，服务也不行，电梯都坏了，只能自己拎着大箱子上楼，不会再来住的。', '短评打分': 1}
{'短评内容': '环境还可以，在飞机场对面，我晚上到的三亚，所以直接入住，不用找车，比较方便', '短评打分': 5}
{'短评内容': '因为是深夜到的飞机就选了这家，离机场很近，一出机场口就看到广告牌了，很容易找到。不过酒店设施一般，热水要放很久才有，有点浪费水资源', '短评打分': 5}
{'短评内容': ' 酒店离机场近', '短评打分': 3}
{'短评内容': '房间较大，设施较陈旧，不含早餐，自助早餐贵且周围没有什么实惠的吃饭去处。 若非因乘坐晚班飞机抵达且神州租车店设在此处，是不大会考虑入住的。', '短评打分': 1}
{'短评内容': '选择这个酒店的唯一原因和理由就是要坐早班飞机，可能也只有民航工作人员和我们这样的才会住了。房间潮湿，空调声音奇大，下水不畅，卫生间反味儿，飞机的噪音不大，吃饭性价比低，但周围没有选择。值得一提的是，从酒店到出发口的几百米，如果坐电瓶车的话要30元，有点纠结了。', '短评打分': 5}
{'短评内容': '该酒店位于三亚机场对面，对要赶飞机较方便，但装修及卫生极差，浴巾、床单很黑。', '短评打分': 1}
{'短评内容': '酒店房间还是不错的，大床睡得很舒服，阳台居然还是拐角的，这要是在海边简直爽死了，到亚龙湾和市内都有巴士很方便', '短评打分': 5}
{'短评内容': '对于早班机的住客，这酒店是个很好的选择。', '短评打分': 5}
{'短评内容': '条件实在很差，床单竟然也是脏的，主要是因为飞机凌晨2点到才住这里，第二天早上7点起床赶紧逃往亚龙湾。。\n\n竟然还号称准四星。。。 呵呵。\n\n只推荐给赶早机或夜晚到达的人。', '短评打分': 1}
{'短评内容': '地理位置不错，一下飞机就到酒店，特别适合夜机到达的客人，而且酒店设施也很舒服干净！', '短评打分': 5}
{'短评内容': '离机场很近，早上赶很方便。', '短评打分': 3}
{'短评内容': '因为飞机到三亚的时间很晚，入住该酒店，觉得还是很不错。', '短评打分': 5}
{'短评内容': '因为坐早班飞机，所以住这里，离机场非常近，酒店环境不错，房间环境和设施真的非常一般。', '短评打分': 5}
{'短评内容': '比想象的好。首先，离机场最近，需要早走和晚到的是最好的选择。其次，周围环境很好，安静，优美，房间比较干净，没有所说的那么差。晚上也没注意到有飞机起飞的声音。第三，如果租车则最为方便，神州租车就在大堂办公，车多，车况好，取车还车都有接送车在大堂门前等候。如去机场，还直接送到。至于价格嘛，因为没有别的选择，还算合理。如果不是因为早走或者晚到，一般都不会住在机场附近。总之，印象不错！', '短评打分': 5}
{'短评内容': '除了离机场近一无是处，设施陈旧。价格偏高，不如如家等快捷酒店。', '短评打分': 1}
{'短评内容': '酒店很好很方便', '短评打分': 3}
{'短评内容': '服务不行，房间太潮湿，睡起来不舒服。不过离机场真的很近。', '短评打分': 1}
{'短评内容': '距离机场真的很近。住宿条件一般，但是乘坐凌晨的航班到三亚的话，可以入住一下。', '短评打分': 5}
{'短评内容': '帮朋友订的，因为离机场方便，总体感觉还不错，但是认为价格有点高', '短评打分': 5}
{'短评内容': '下飞机已经接近11点 出了机场走了几步 就看见海航 快捷酒店 就是这个三亚凤凰机场快捷酒店了\n穿过 花园 小道 走了10分钟不到 就到了\n没有什么人 大厅有些燥热 黑夜中看见周围环境还不错 \n五分钟左右 办了入住 要求了一间比较安静的房子 网线前台会发\n还不错吧 安静 该有的都有 家具略显陈旧 但是所幸还算干净 卫生间也算整洁干净\n床有些硬 床尾有些脏\n服务员态度还算不错吧 没有电蚊香 等了十分钟', '短评打分': 5}
{'短评内容': '酒店设施一般，要赶早班飞机的话还是有必要住在这个地方的。', '短评打分': 5}
{'短评内容': '.很好，方便', '短评打分': 3}
{'短评内容': '环境一般，服务一般，坐早班飞机的话入住可以，毕竟离机场很近，就在机场对面，如果不赶飞机，可以考虑住其他酒店。', '短评打分': 1}
{'短评内容': '还不错，就是晚上飞机起落声音有点吵，离机场很近，非常方便！', '短评打分': 5}
{'短评内容': '自己感觉价格有点高，环境还可以就是房间设施有点老', '短评打分': 5}
{'短评内容': '酒店房间不错，但是服务不是很好，西餐厅什么都没有，就只有套餐，中餐厅东西贵还不好吃，不过酒店后边的东北烧烤很不错，价格实惠还好吃', '短评打分': 1}
{'短评内容': '确实方便\n比想象的要好点\nPS：貌似空乘也是定点住这里', '短评打分': 5}
{'短评内容': '酒店离机场很近，通往机场的通道很多台阶，如果行李多的朋友就只能坐车进出（绕一圈），我住的标间，小的可怜，洗手间顶上有1/7面积的水痕，里面很多航空工作人员入住，早上我是很早到飞机，行李很多，请酒店的车送到对面花了30大洋，心里有点不爽，据工作人员说此服务旺季收费，淡季免费，要不是酒店设在山上，行李那么多，我也不会坐呵呵，实话了点！', '短评打分': 5}
{'短评内容': '前台服务不错！环境很幽静！走去机场很近！', '短评打分': 3}
{'短评内容': '   顾名思义，确实方便快捷，距离机场走路仅3分钟。建议游客有订到早晨机票的不妨住这儿，因为三亚的出租车很难打到。试想一下7点的飞机，而你6点还在市区打不上车，焦头烂额欲哭无泪，那真是杯具！\n    酒店的环境相当的好，虽距离机场近但很安静，设施方便、简洁，中餐可口（西餐、早餐未吃）。海航的酒店嘛，不经意间在电梯、大堂就会碰到空姐，哇，很好，很强！', '短评打分': 5}
{'短评内容': '虽然飞机晚点有些郁闷,但幸运的是升级了一间套房。环境不错,双层玻璃窗隔音效果也很好.可以安心入睡', '短评打分': 3}
{'短评内容': '三亚凤凰机场快捷酒店条件不错，距离登机楼只一道之隔，非常便利，由其适合赶早班飞机的游客。', '短评打分': 3}
{'短评内容': '凌晨下飞机，到酒店比较方便。很多空姐MM组在这里很养眼~', '短评打分': 5}
{'短评内容': '还不错  临时找的酒店感觉还可以，希望还有机会去三亚啊\n', '短评打分': 5}
{'短评内容': '半夜到机场，入住该酒店。比较方便，其他的一般。', '短评打分': 5}
{'短评内容': '最适合于深夜乘飞机到三亚的人。步行穿过停车场，再过马路即到。总台人员服务热情，即便深夜，也无丝毫厌烦之感，令人欣慰。房间内部设置也不错。\n', '短评打分': 5}
{'短评内容': '离机场很近，步行5分钟就能到机场，设施真的很符合快捷酒店的定位，价格就远远脱离快捷酒店的定位了', '短评打分': 5}
{'短评内容': '本酒店位置方便快捷，就是价格稍偏高于酒店实际设施情况不符', '短评打分': 3}
{'短评内容': '很干静，就在机场对面', '短评打分': 3}
{'短评内容': '很方便，卫生情况还可以，与神州租车在一个楼，所以租车的可以选择入住这里。饮食比较贵。', '短评打分': 5}
{'短评内容': '去机场很便利 但是条件很一般 房间很大 但是不是很干净 很陈旧了', '短评打分': 5}
{'短评内容': '房间一般般，不过床太小了，早餐还可以，服务员的态度还行。', '短评打分': 3}
{'短评内容': '+酒店很好，离机场很近很方便', '短评打分': 3}
{'短评内容': '酒店干净卫生，离机场很近对面就是。离店的时候还有电瓶车免费送到机场，很方便！本以为离机场近会很吵，但是一夜都没有听到飞机起飞降落的声音，睡的很好。', '短评打分': 5}
{'短评内容': '房间一般,床太小,早餐还可以', '短评打分': 5}
{'短评内容': '离机场比较近,适合搭早晚班机的游客,一出机场就可以看到马路对面的酒店,但是牌子写的好象是海航假日酒店', '短评打分': 5}
{'短评内容': '除了离机场近以外,基本没有什么优点，跟小招待所差不多。', '短评打分': 1}
{'短评内容': '再次入住，早上飞机早酒店免费送机~  感觉很温馨~因为是  海航的酒店所以能看到很多空姐~  很漂亮~', '短评打分': 3}
{'短评内容': '适合晚到、早飞的人入住，离机场很近过马路就是，门口有8路公交车很方便，前台服务很好~', '短评打分': 5}
{'短评内容': '酒店位置不错，有电瓶车接送到机场。大堂很棒，但整体布局有些压抑。房间可以看到机场，但是卫生间的灯不好。总体而言，位置很赞！', '短评打分': 5}
{'短评内容': ' 确实离机场很近，如果乘夜机，不太讲究的朋友可以考虑住住，毕竟价格便宜。', '短评打分': 5}
{'短评内容': '总体来讲不错！', '短评打分': 5}
{'短评内容': '机场酒店的好选择', '短评打分': 5}
{'短评内容': '离机场真的很近，我把怎么从机场走到酒店向大家介绍一下，因为我自己就是出了机场后都蒙了，就知道酒店离机场很近，但是不知道怎么去，又不敢随便问哪些很热情的出租车司机。具体是：出了机场大楼后转左，走到大楼差不多尽头的地方，有个小道走向停车场的，穿过停车场后，有几级小台阶，上了台阶后，右手边五米处有斑马线，穿过马路后上那几十级的台阶，再转左走二十米左右就是酒店了。如果有行李，不想走台阶，可以过马路后走左边', '短评打分': 5}
{'短评内容': '酒店交通比较方便，离机场很近   \r\n   但酒店设施一般  取得比较晚   服务态度还凑合', '短评打分': 3}
{'短评内容': '这个基本不能算是酒店，最多可以说是一个招待所，服务很差，设施很差', '短评打分': 1}
{'短评内容': '酒店一般，其实机场离市区很近，打车也就二三十。', '短评打分': 3}
{'短评内容': '地理位置很好，一出机场大楼就看到了，适合赶早班机或者太晚到的', '短评打分': 5}
{'短评内容': '酒店一般，其实机场离市区很近，打车也就一二死分钟', '短评打分': 1}
{'短评内容': '没有必要住在这里 因为三亚市区也比较近  打的过来机场也用不了二十分钟   他们这家酒店虽然在机场对面 但你要自己拖着行李走过去 也要十分钟   酒店 提供送机服务   开酒店电瓶车  那么近一点 还要加收30元  太不合理。 房间内硬件设施不太好 ', '短评打分': 1}
{'短评内容': '除了离机场近，其他的一无所有！性价比很差！', '短评打分': 1}
{'短评内容': '     酒店没什么特色      就是离机场近     比较方便\r\n                其他的都没啥了', '短评打分': 5}
{'短评内容': '适合夜里到达三亚的游客小住一晚', '短评打分': 1}
{'短评内容': '为了早上赶飞机住这酒店。\r\n离之自称的准4星（每人要收9元调节基金，按星级不同收得不同）差远了。', '短评打分': 1}
{'短评内容': '我们入住的是豪华标间，还算干净整洁，园景还不错。', '短评打分': 5}
{'短评内容': '差得很.', '短评打分': 1}
{'短评内容': '本来以为一般般的，但是入住后觉得很不错的。很干净舒适。', '短评打分': 5}
{'短评内容': '只适合转机住宿', '短评打分': 1}
{'短评内容': '唯一的优点就应该是离机场近,方便晚上到达三亚的游客.服务员态度极差,门卡开不了,下去找了服务员也没人搭理的.卫生也很差的.', '短评打分': 1}
{'短评内容': '酒店在机场候机楼对面，走过去5分钟。作为临时落脚的机场酒店，不能苛求很多。酒店大堂很大，园景还好，标间很小，毛巾和浴巾看起看来不敢使用。房间电视可以看到航班信息。上网要另付50元。是一家很一般的酒店，没什么特别值得推荐的。', '短评打分': 5}
{'短评内容': '离机票很近，大概2、300百米左右，赶飞机住这里很方便，价格也便宜', '短评打分': 3}
{'短评内容': '位置很好,位于机场附近,和适合转机的朋友,但酒店的内部环境不太好,房间有虫子不太舒适.', '短评打分': 3}
{'短评内容': '我们入住的是豪华标准间，房间比较大，卫生状况只能说达到勉强过关，其他设施很一般，一份价钱一份货。最大的优势是就在机场对面，对于晚上到达三亚的来说很方便，对面有8路公交可以到市区。只适合入住一天。', '短评打分': 5}
{'短评内容': '价格贵，不论从服务员还是前台的态度来说都是非常糟糕的，明明送了的送机，当天入住时候都说好了，结果临到早上赶飞机前又说没有送机了，要自己出钱，管理十分混乱，性价比太低了，如果不是因为要乘坐早班机的话，根本不会选择，也许酒店是机场的，所以比较牛', '短评打分': 1}
