{'短评内容': '98块钱的标间。感觉一般。房间也一般，比较拥挤。。。。', '短评打分': 5}
{'短评内容': '酒店位置比较好，附近吃饭很方便，酒店总体物超所值，服务很不错！卫生环境也不错！', '短评打分': 5}
{'短评内容': '位置可以，服务还可以，设施一般，早餐质量差点。', '短评打分': 5}
{'短评内容': '服务很不错', '短评打分': 5}
{'短评内容': '各项设施都还不错.', '短评打分': 5}
{'短评内容': '很不错的酒店哦~', '短评打分': 5}
{'短评内容': '入住这家酒店感觉房间气味很刺鼻，天气很热还是把窗户打开透透气，早上起来喉咙特别难受。可能是酒店装修不久吧。', '短评打分': 1}
{'短评内容': '酒店各个方面都还可以，房间也很干净，设施齐全，性价比还可以。', '短评打分': 5}
{'短评内容': '我感觉酒店的各个方面都不错', '短评打分': 5}
{'短评内容': '还不错，值得去住', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错啦', '短评打分': 3}
{'短评内容': '价格挺便宜的，住宿条件也还行，挺适合出差人士入住。', '短评打分': 5}
{'短评内容': '位置相对其它各方面硬件和软件服务而言还算可以，其它各方面都不是很好.', '短评打分': 1}
{'短评内容': '酒店的特价房无窗的，通风不是很好.在酒店后便国际日期变更换了其它房型，因为酒店位置好方便我出行办事.新换的房间硬件条件还不错所以总体感觉还是可以的.', '短评打分': 5}
{'短评内容': '老酒店所以装修比较陈旧，硬件条件还行.服务也很周到.不过我住得时间不长，总得感觉还不错.', '短评打分': 5}
{'短评内容': '性价比蛮好，就是房间窗不太透气，其他都不错，下次还会入住。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，服务也很到位，整体来说入住的比较舒服，下次还会选择的。', '短评打分': 5}
{'短评内容': '装修比较差，但价格也很便宜', '短评打分': 1}
{'短评内容': '从网上订的该酒店地理位置好住宿条件也不错价格也适当而且还有早餐总体不错继续保持', '短评打分': 5}
{'短评内容': '位置还可以，离汽车总站近，但是房间墙壁潮湿脱皮现象严重，入住的时候好多房间正在重新装修，感觉不太好，本来预定了三天，结果住了一天就退房了', '短评打分': 1}
{'短评内容': '性价比好，推荐一下。\r\n房间宽敞卫生，地理位置很好，早餐丰盛，118元房价超值，推荐一下。\r\n\r\n\r\n', '短评打分': 5}
