{'descr': '比较不错的', 'star': 5}
{'descr': ' 条件不好卫生一般跟想象中相差太多', 'star': 3}
{'descr': '第二次入住，还行，就是外面有点吵。', 'star': 3}
{'descr': '服务态度很好，但房间设备实在太差了，链锁坏的，窗划坏的，床头灯罩掉了……', 'star': 1}
{'descr': '设施完备服务良好卫生差点', 'star': 3}
{'descr': '基本满意', 'star': 3}
{'descr': '在网上已经订过几次酒店了，这次是最满意的一次，订房速度特别快，而且房间干净整洁，服务态度也好！下次去北京还来这里！', 'star': 5}
{'descr': '性价比较好，可以推荐。但还需要注意服务。。。', 'star': 5}
{'descr': '酒店卖的酒水的很便宜  但是环境不是太好  房间小的  性价比不高', 'star': 1}
{'descr': '还可以，环境一般，但比较安静，房间比较舒适，但不是很温暖。', 'star': 5}
{'descr': '还算好找。。。坐运通102到交大东路南口？？？貌似是这站。。周围吃的也比较多。。房间一般般。。。网口不好使', 'star': 5}
{'descr': '服务很好，但设施以及卫生条件不尽人意。望能改进。', 'star': 1}
{'descr': '酒店位置还可以，就是房间有点小，价格也不便宜，卫生间有点脏。', 'star': 5}
{'descr': '+此宾馆条件很差!198块钱也不算便宜了吧?又不是星级,普通的旅店这个价也合理吧?简直太让人失望了!不知道怎么会有人评它好的!!', 'star': 5}
{'descr': '房间小，不是很干净，服务态度还可以', 'star': 5}
{'descr': '因为非常便宜而且位置好离交大很近，所以还可以凑活过个夜，家具很旧，房子小', 'star': 5}
{'descr': '设施很久，环境很一般，但是价格很便宜，但如果下次选择我宁可多花些钱选择更好的酒店。', 'star': 5}
{'descr': '算是西直门附近最便宜的酒店了，服务也还行，设施也可以', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '整体感觉一般，条件算不上怎么好，主要是位置方便', 'star': 3}
{'descr': '位置不难找，但是一进大门就感觉有种宿舍楼的感觉，空气潮湿，人员比较杂，4楼的小楼没有电梯，楼道的光线灰暗，屋内没有写字台，只有一张圆桌，卫生间里居然看到了小强。\r\n总体来说，与同等级同价位的连锁酒店相比，价钱偏高很多，卫生条件和屋内设施相距涉远，如果不是没有其他地方可选择的话不建议入住。', 'star': 1}
{'descr': '不说什么了，到酒店就后悔，没住就结帐走了。', 'star': 1}
{'descr': '酒店各方面基本上都还可以,一百多块钱的酒店,也不会对它有什么太高的要求,不过这家也还成吧,没有遇到什么不好的地方.', 'star': 3}
{'descr': '装修很破', 'star': 1}
{'descr': '酒店的环境不错，价格优惠，性价比可以，如果对酒店的档次要求不高的话还是可以选择的', 'star': 5}
{'descr': '酒店的价格属于中等合适，经济型酒店，服务和内部条件也可以', 'star': 5}
{'descr': '酒店的服务态度很好，内部环境感觉不是很好，不如家酒店，位置对我来讲很方便', 'star': 5}
{'descr': '设施条件一般了点,服务卫生还是挺不错的,价格也不贵', 'star': 5}
{'descr': '价格便宜性价比高，地理位置也很好，就是设施老化，卫生方面也有欠缺，地毯和走廊里有些脏', 'star': 5}
{'descr': '酒店设备很差，房间也很小，服务也很一般，一次性拖鞋都没有，还要向服务员去要', 'star': 5}
{'descr': '酒店的整体位置出行方便在西直门附近,但是酒店标识不好,位于小巷子里面,司机师傅都不知道改怎么拐.', 'star': 5}
{'descr': '无', 'star': 1}
{'descr': '龙福宫没有餐厅，就餐不太方便。房间有点小，尤其是卫生间太小了，卫生间设施也比较简陋，不过还好，因为去的时候自己带的东西比较多，也还勉强过得去。卫生条件还比较满意，不过相比198元的标间价格性价比还可以。', 'star': 5}
{'descr': '空间过于狭窄，价格偏高。', 'star': 3}
{'descr': '该酒店设施很差，价格偏高。', 'star': 1}
{'descr': '这种旅馆也只有在奥运会期间实在找不到房了,才有人来住.卫生差,我们住了四个晚上,卫生都没动过,如果被子一掉地上,你捡起来就是一层抖不掉的头发的一些脏得不得了的陈年垃圾.房间很小,不过这也不影响太大.就是卫生实在太差.', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
