{'短评内容': '一般般，就是便宜', '短评打分': 4}
{'短评内容': '总体不错，就是停车在马路边担心被贴条，再有厨房烟道反味', '短评打分': 5}
{'短评内容': '整体感觉不错，就是房间哟点旧，网速超快。。。。。。。。。。。。。。。。。。。。。。。。。。。，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '网速超快，交通不方便，房间很干净，床也很舒服，就是感觉旧点，外国人很多，设施挺完善的，在北京来说这个价位算可以了，下次看情况吧。。', '短评打分': 5}
{'短评内容': '房间很干净，卫生间稍有些小，其他都好~', '短评打分': 3}
{'短评内容': '环境比较安静，设施也比较齐全，价钱也算公道，服务也不错，值得推荐', '短评打分': 5}
{'短评内容': '还好吧，可以做饭，但墙皮有点掉，外部环境稍差了点，图方便便宜的话还不错', '短评打分': 5}
{'短评内容': '还不错，带厨房，可以做饭，可以借碗，不过要自己洗碗。', '短评打分': 5}
{'短评内容': '前台服务员态度很好，并且都是美女，很是愉悦。', '短评打分': 5}
{'短评内容': '房间挺大的，价格也便宜。附近交通也很便利。', '短评打分': 5}
{'短评内容': '热水器不太理想，卫生还可以，比较安静；希望管理能更加标准与规范。', '短评打分': 5}
{'短评内容': '不知道该怎么说了\n\n房间外的马路比较吵~\n其他一切OK\n\n推荐~', '短评打分': 5}
{'短评内容': '在北京,,,這價格找不到了,,,房間內也有,,電磁爐,,想不到吧,,', '短评打分': 5}
{'短评内容': '不錯就差晚上外出還要請人開門外奇她都還不錯', '短评打分': 5}
{'短评内容': '酒店环境一般，好像还没装修完，房间小点，但是风格不错，很舒服，周边交通方便，吃饭也方便。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '很不错的酒店，硬件设施蛮齐全的，房间卫生条件很好，干净整洁，前台服务办事效率蛮快的，房间的卫生间设计的很特别，感觉蛮不错的', '短评打分': 5}
{'短评内容': '服务员办事效率蛮高的，房间硬件设施齐全，电视，冰箱都有，像个家一样，感觉很温馨，舒适度很好', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，管理很到位，蛮安全的，房间硬件很齐全，有厨房可以自己做饭吃，周边超市饭店蛮多的，出行较方便', '短评打分': 5}
{'短评内容': '房间宽敞，价格合理，一些基础的硬件设施齐全，酒店边上有很多不错的餐馆，吃饭很方便', '短评打分': 5}
{'短评内容': '环境很好，很幽静，卫生干净，服务态度周到热情，住宿环境很好', '短评打分': 5}
{'短评内容': '环境总体来讲很不错，房间干净舒适，住着很温馨，很有家的感觉，性价比很高的酒店，下次还会入住的', '短评打分': 5}
{'短评内容': '酒店各方面感觉都很不错，房间卫生条件很好，干净整洁，性价比较高，房间基本的厨房设备都有提供，房间里上网蛮快的，服务也很好。', '短评打分': 5}
{'短评内容': '酒店的员工非常友好，房间很干净，整洁，服务员态度热情周到，性价比较高', '短评打分': 5}
{'短评内容': '酒店服务人员态度很好，蛮周到热情的，房间舒适度不错，干净整洁，还可以上网，网速很快，性价比蛮高的', '短评打分': 5}
{'短评内容': '服务很好，服务员都是微笑服务的，房间很清洁，现代，采光不错，卫生条件很好，干净整洁，住宿环境蛮好的', '短评打分': 5}
