{'短评内容': '交通方便,设施配备齐全是性价比相对合理价格可以接受的酒店环保的酒店绿色的酒店', '短评打分': 5}
{'短评内容': ' 旅馆旁边是个正在施工的工地，通宵作业…', '短评打分': 3}
{'短评内容': '刚看了下面的评论，我住的6楼，洗澡水是有点小，洗澡太费劲了。洗脸盆的水还可以。', '短评打分': 3}
{'短评内容': '房间很干净，服务也还可以。设施方面只有衣架，没有衣柜有点不便。位置距离市中心有点远，不过如果是去高开区办事或者专门要去天山海世界玩，还是不错的。性价比还是很高的。', '短评打分': 5}
{'短评内容': '不错。就是离市区有点远。', '短评打分': 5}
{'短评内容': '入住房间8630，大热的天，下榻第一件事都是洗个热水澡，让人遗憾的是水流太小了，湿一下身子都很困难，打电话给前台，告知是楼层太高的原因。这个理由我无法接受，水压低为什么不装水泵？还有就是刚好碰上下雨天，窗户显然没有密封好，水从窗户上漏进了房间里。', '短评打分': 1}
{'短评内容': '档次低。店内没有订火车票的服务（周边也没有，不得以亲自到火车站订票），前台不提供市话服务；房间超小，连个沙发柜子都没有', '短评打分': 1}
{'短评内容': '离天山海世界不远，购购物啊、逛逛街啊很方便的，我喜欢。', '短评打分': 5}
{'短评内容': '房间的设施挺齐全，用的感觉也很好，在这里挺舒心的，下次应该还会来住的。', '短评打分': 5}
{'短评内容': '所处的位置很好，离高速路很近，方便我们出行，交通便利。', '短评打分': 5}
{'短评内容': '经济型的酒店嘛，不能要求太高，它已经算好的了，服务、卫生做的都还算到位。', '短评打分': 5}
{'短评内容': '前台的服务人员态度很好，会主动带我们去看房间，而且房间住在还是比较舒适的。', '短评打分': 5}
{'短评内容': '酒店距离我考试的地方不远，房间里也很安静，有助于我的睡眠。', '短评打分': 5}
{'短评内容': '我是出差的时候住的这家酒店，总体感觉还不错，客房温馨舒适，服务员打扫的也很认真。', '短评打分': 5}
{'短评内容': '酒店环境不错，客房打扫的很干净，住在里面还是比较舒服的。', '短评打分': 5}
{'短评内容': '客房装修的蛮温馨的，打扫的也很干净，床单被罩也很整洁。', '短评打分': 5}
{'短评内容': '服务态度还行，挺热情的，办事效率也比较快，给我的感受还是挺不错的。', '短评打分': 5}
