{'descr': '便宜，舒适', 'star': 4}
{'descr': '很好，很满意！很好，很满意！很好，很满意！很好，很满意！很好，很满意！', 'star': 5}
{'descr': '除了价格实惠以外，其他马马虎虎。装修虽然是时尚路线但是已经老旧，房间灯有一盏不亮，空调一个劲的往下滴水', 'star': 5}
{'descr': '设施简单，房间内无食品。价格便宜，离火车站较近。', 'star': 1}
{'descr': '服务员态度比较好啊，哈哈，我推荐这个啊。距离火车站很近，地理优势明显！', 'star': 5}
{'descr': '卫生不是很满意', 'star': 3}
{'descr': '酒店很小，环境一般，十二点前必须退房，其他房间不清楚，感觉就是特价房，房间有霉味，灯还一闪一闪的', 'star': 1}
{'descr': '这家酒店不是一般的差！设施差，卫生差，服务态度也差！', 'star': 1}
{'descr': '这家酒店不是一般的差！设施差，卫生差，服务态度也差！', 'star': 1}
{'descr': '不错， 环境优雅，空调效果不错，就是隔音不太好，光线不是很亮', 'star': 5}
{'descr': '不错， 环境优雅，空调效果不错，就是隔音不太好，光线不是很亮', 'star': 5}
{'descr': '国庆期间去的菲米莱，更像一个小旅馆，没有多少宾馆的感觉。房间给人一种不是特别干净的感觉。', 'star': 1}
{'descr': '国庆期间去的菲米莱，更像一个小旅馆，没有多少宾馆的感觉。房间给人一种不是特别干净的感觉。', 'star': 1}
{'descr': '可以满意 如果不挑剔的情况下 可以说是满意  光线太暗 空间稍小', 'star': 5}
{'descr': '可以满意 如果不挑剔的情况下 可以说是满意  光线太暗 空间稍小', 'star': 5}
{'descr': '住宿还可以 空调比较足 就是有时夜里洗澡会遇上短时没水的情况 总体还可以 房价比较值', 'star': 3}
{'descr': '住宿还可以 空调比较足 就是有时夜里洗澡会遇上短时没水的情况 总体还可以 房价比较值', 'star': 3}
{'descr': '该宾馆的优点为房内有电脑可以使用。缺点为房内虽然有顶灯，但都是不亮的。房内电话也不可以打进打出的。另外也不可以使用银行卡付房钱，这很不方便。', 'star': 1}
{'descr': '该宾馆的优点为房内有电脑可以使用。缺点为房内虽然有顶灯，但都是不亮的。房内电话也不可以打进打出的。另外也不可以使用银行卡付房钱，这很不方便。', 'star': 1}
{'descr': '额。。。还不错,环境可以,就是前面上不去网!', 'star': 3}
{'descr': '额。。。还不错,环境可以,就是前面上不去网!', 'star': 3}
{'descr': '出长春站,走地下通道到酒店,非常远...............................', 'star': 5}
{'descr': '出长春站,走地下通道到酒店,非常远...............................', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '就是在宾馆信号不咋的 总的来说 还是不错的 ', 'star': 5}
{'descr': '就是在宾馆信号不咋的 总的来说 还是不错的 ', 'star': 5}
{'descr': '还可以，有点微小，洗发露需要自己令花钱。', 'star': 3}
{'descr': '还可以，有点微小，洗发露需要自己令花钱。', 'star': 3}
{'descr': '服务态度还可以，房间卫生较差，卫生间马桶里有好多残留大便。押金比房费高。网上订108元，现场只要88元', 'star': 1}
{'descr': '服务态度还可以，房间卫生较差，卫生间马桶里有好多残留大便。押金比房费高。网上订108元，现场只要88元', 'star': 1}
{'descr': '环境还可以', 'star': 3}
{'descr': '环境还可以', 'star': 3}
{'descr': '环境还好，卫生干净', 'star': 3}
{'descr': '环境还好，卫生干净', 'star': 3}
{'descr': '屋子很温馨，和如家很像，比如家便宜，电脑网速也还好。挺快得。但是我再也不会住长春火车站附近这家了！进去的时候，有两个客户不同房间得，说灯是坏得，空调打不开。有个前台（东北味很重得一个，还有个服务比较好，很有礼貌）服务很臭，说，没时间跟他们整这些事，忙着呢，一群SB！然后我还是入住了，想起那个东北前台那样得素质，我居然也敢住。胆子真大啊。后来发现，房间就两个灯，厕所一个，床头一个！很暗！打电话给那个', 'star': 1}
{'descr': '屋子很温馨，和如家很像，比如家便宜，电脑网速也还好。挺快得。但是我再也不会住长春火车站附近这家了！进去的时候，有两个客户不同房间得，说灯是坏得，空调打不开。有个前台（东北味很重得一个，还有个服务比较好，很有礼貌）服务很臭，说，没时间跟他们整这些事，忙着呢，一群SB！然后我还是入住了，想起那个东北前台那样得素质，我居然也敢住。胆子真大啊。后来发现，房间就两个灯，厕所一个，床头一个！很暗！打电话给那个', 'star': 1}
{'descr': '被子好脏看上去，早餐太差，就破咸菜。还没有发票床很不舒服。建议各位去长江路17号的DNA连锁，本人只是房客。', 'star': 1}
{'descr': '被子好脏看上去，早餐太差，就破咸菜。还没有发票床很不舒服。建议各位去长江路17号的DNA连锁，本人只是房客。', 'star': 1}
{'descr': '干净安静，挺好的，唯一的遗憾就是没电脑', 'star': 3}
{'descr': '干净安静，挺好的，唯一的遗憾就是没电脑', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '初到宾馆感觉不错，在长春期间不打算换宾馆了。', 'star': 3}
{'descr': '初到宾馆感觉不错，在长春期间不打算换宾馆了。', 'star': 3}
