{'短评内容': '很不错的一次购物体验', '短评打分': 5}
{'短评内容': '挺好的酒店，位置和服务都不错，吃饭也方便，对面弄堂里好像有家齐齐火锅不错．', '短评打分': 5}
{'短评内容': '酒店房间非常舒适，早餐种类非常丰富啊，可以不用吃午餐了，值得推荐', '短评打分': 5}
{'短评内容': '整体环境不错， 卫浴设施有些老。\n\n自助餐超级棒， 价廉物美。\n\n位置优越，\n\n下次会再考虑入住。', '短评打分': 5}
{'短评内容': '   如果你入住该酒店解决好两个问题，1，别遇到粉红衣服短发女人在前台，2，了解所有房型以免被忽悠。解决好这两个文艺你放心住吧其它环境说的过去，交通也还行。\n   大堂有个短发粉色衣服的女服务员态度很不友好，也很不诚信，我很难理解酒店会用这样的人在前台，一开始我定的是400多一晚的房间，我因为老婆怀孕想要个稍微安静点的，很友好的让她帮我选安静点的（我的国语很标准），她居然说现在要找的是干净些的房间', '短评打分': 1}
{'短评内容': '酒店位置不错，服务也不错！交通方便，交通购物都十分方便。下次来还会住。', '短评打分': 5}
{'短评内容': ' 酒店乾淨價格合理', '短评打分': 3}
{'短评内容': '很好的酒店，值', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '房间很大，床铺也很大，很舒服，地段是在市中心，步行街上，非常方便', '短评打分': 5}
{'短评内容': '大世界酒店室内环境非常不错！宽敞，干净，简约，一进房间我和老公就特别满意！', '短评打分': 3}
{'短评内容': '帮我们贵宾预定的，反应说不错。\n\n主要考虑打车方便', '短评打分': 5}
{'短评内容': '这家酒店很不错，位置非常好，就在市中心，下次去重庆还住它家。', '短评打分': 5}
{'短评内容': '早上退房时落了耳钉在盥洗台，发现后打电话回酒店询问，转了几个人，包括领班都说找了房间没有找到。最后自己回了酒店，客房服务部的人让清洁人员翻了垃圾袋，最后被找到了。别的我不妄加评论，最最少，清洁人员不够细心。其他人员服务态度还好。左手边就是解放碑，位置上还不错。', '短评打分': 1}
{'短评内容': '很干净的，交通很方便，下次去还会住吧，价廉物美，房间非常大', '短评打分': 5}
{'短评内容': '装修一般，装修时间久了点，服务还是可以的。所处位置比较好，交通便利，出行很方便。', '短评打分': 5}
{'短评内容': '酒店交通很方便，楼下就是出租车上客点，环境也不错，服务也很不错哦', '短评打分': 5}
{'短评内容': '到达酒店,大堂很热情!', '短评打分': 3}
{'短评内容': '非常好.有客人来都将安排到该店住宿.并介绍有关单位定点.', '短评打分': 5}
{'短评内容': '这个酒店需要隆重推荐，我在重庆住过好多的四星酒店，感觉这个事最好的。\n1，地处闹市区；\n2，价格相对便宜；\n3，旁边就是步行街。\n\n唯一的缺点就是容易堵车。', '短评打分': 5}
{'短评内容': '环境很好设施不错', '短评打分': 3}
{'短评内容': '昨晚已经入住，其实今年来过很多次了，每次都入住“大世界”，就是交通饮食什么都方便，解放碑也就在旁边，陪老婆逛街购物如果累了，还可以回来酒店休息，老婆也是指定要这里，你说能不照办吗？！', '短评打分': 5}
{'短评内容': '酒店交通方便，门口有出租车站，处于中心繁华地区，早餐非常好，就是装修旧了点，前台服务不错，结账速度需要加快。', '短评打分': 5}
{'短评内容': '酒店服务不错，只是办理入住时前台的态度有问题。............................................', '短评打分': 5}
{'短评内容': '每次都住的时该酒店的精致单人间，每层楼的单人间差不多都轮过一遍了，觉得17楼的相对是最舒适的，因为有此类客房难得的大窗户。但是不喜欢对着门得镜子，以及在走廊尽头的房间——太远了！', '短评打分': 5}
{'短评内容': '酒店还好,干净舒适,只是办理入住时前台的态度有问题.', '短评打分': 3}
{'短评内容': '地段不错，地段不错，地段真的不错。地段不错，地段不错，地段真的不错。地段不错，地段不错，地段真的不错。地段不错，地段不错，地段真的不错。地段不错，地段不错，地段真的不错。地段不错，地段不错，地段真的不错。地段不错，地段不错，地段真的不错。', '短评打分': 5}
{'短评内容': '地理位置不错，但停车不方便，酒店设施一般。', '短评打分': 3}
{'短评内容': '地理位置非常好..出门就是解放碑的入口..轻轨就在门口..入住还送水果...唯一不好的就是大堂有股味道', '短评打分': 5}
{'短评内容': '位置非常好。 房间狠舒适。   极力推荐、', '短评打分': 5}
{'短评内容': '交通便捷，硬件还行，服务一般，员工素质有待提高', '短评打分': 5}
{'短评内容': '还不错了，我上周就住在这个酒店里。周围逛街购物都很方便。', '短评打分': 5}
{'短评内容': '很方便，就在解放碑旁边，有很多美女可以看，出门就是打车排队的地方。', '短评打分': 5}
{'短评内容': '酒店尚可，服务有待加强。', '短评打分': 3}
{'短评内容': '地理位置不错,就是网络超慢.......房间挺大的.还行吧这个价格!', '短评打分': 5}
{'短评内容': '据入住的朋友说，位置很好，饭店前面就是排队出租车站。饭店设备不错，价格也算合理。', '短评打分': 5}
{'短评内容': '总体来讲，酒店的环境，服务态度还不错，本人比较满意，来重庆一般都住这家酒店', '短评打分': 5}
{'短评内容': '好：位置离办事地点近，方便。周围购物也方便。\n    要网线送来了长网线，方便上网。\n    有room service.晚上饿了可以点餐。\n    有送水果服务，虽然很少，但感觉贴心。\n不好：1.最不好的是每次在一楼感受到的异味！！ 可能是空调出风口对着大堂，每次那股味道都让我受不了！如果说大厦结构无法改善，可否加入香气等让大家觉得舒服一点呢？\n      2.叫出租车时，门迎很礼貌的说要让我到', '短评打分': 5}
{'短评内容': '早餐很丰富，比某些五星酒店还好。电视机太老旧了，该换平板的了。', '短评打分': 5}
{'短评内容': '出入方便，就在解放碑。但是设施比较老了，感觉地毯不够干净。', '短评打分': 5}
{'短评内容': '很不错的酒店，硬件过关，除了电视机太旧。早餐非常好。', '短评打分': 5}
{'短评内容': '地点方便，不错', '短评打分': 3}
{'短评内容': '酒店环境很好，购物很方便！', '短评打分': 3}
{'短评内容': '办理入住比较慢，服务还可以！', '短评打分': 3}
{'短评内容': ' 位于市中心 房间宽敞整洁.隔音不大好.不好打车', '短评打分': 3}
{'短评内容': '酒店位置相当不错，就是隔音太差了！晚上隔壁的声音很清晰的传过来。', '短评打分': 5}
{'短评内容': '一切都挺好的,环境不错.价格也挺适中的.就是前台办手续有点小慢,不过都还好啦.', '短评打分': 5}
{'短评内容': '还不错吧。。。就是收银没什么笑脸。。。以后还是会考虑住这个酒店', '短评打分': 5}
{'短评内容': '立地、価格共に申し分なし。部屋も十分で、インターネットも出来て大変満足しました。', '短评打分': 3}
{'短评内容': '酒店还可以~', '短评打分': 3}
{'短评内容': '0000000000000000000000000000000000000000000000000', '短评打分': 5}
{'短评内容': '1.交通便利，服务亲切。\n2.早餐丰富，房内订餐快速。\n3.可惜房内硬件老旧,如果床铺软点，又有伸缩莲蓬头，那就满分了！', '短评打分': 5}
{'短评内容': '挺好很方便', '短评打分': 3}
{'短评内容': '这次18楼单人间的感觉：\n1.隔壁声音可以听的一清二楚，建议在床上时，要控制音量；\n2.客厅跟房间都有电视，可惜都是老旧的映像管机型，与四星级不搭；\n3.床铺跟上次15F房间一样那么硬，还是不搭；\n4.早餐服务比上次来的时候好多了，建议九点半前下去用餐；\n5.清洁员素质比上次提升了；\n总的来说，勉强可以接受，下次还会再来！', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 3}
{'短评内容': '地理位置好，服务态度好，迎宾很热情。', '短评打分': 3}
{'短评内容': '蛮好，性价比高；\n房间大、服务员态度好；\n', '短评打分': 5}
{'短评内容': '要无烟房，结果没有，好大的烟味哦，早餐还不错', '短评打分': 1}
{'短评内容': '还好，就是那个电视该换换，灯光再明亮点就好了', '短评打分': 3}
{'短评内容': '帮亲戚定的', '短评打分': 3}
{'短评内容': '酒店入住什么的不太方便，但服务比较到位，商务间的小会议室很好', '短评打分': 3}
{'短评内容': '位置不错，房间里的布置挺温馨的，床偏硬，综合性价比较合适。', '短评打分': 5}
{'短评内容': '酒店位置和服务均很好，性价比很高，商务套房\n格局蛮好', '短评打分': 5}
{'短评内容': '价格虽然高，但是绝对值得，我定的商务套房。很不错，房间够大，有客厅区餐厅区，每日供冰完全满足，非常满意。提供的餐饮很棒，绝对值得！', '短评打分': 5}
{'短评内容': 'OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO', '短评打分': 5}
{'短评内容': '一如继往的好，位置，服务，硬件都不错，经常安排客人到这里入住。', '短评打分': 5}
{'短评内容': '步行街口,地段不错,房间大,配套设施全.值得大家一住.', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '房间很满意', '短评打分': 3}
{'短评内容': '地处解放碑，房间很大，设施需提升，出入很方便，有一定的性价比', '短评打分': 5}
{'短评内容': '大世界下面的牛排非常好吃。大世界服务也很好!', '短评打分': 3}
{'短评内容': '很不错！', '短评打分': 3}
{'短评内容': '酒店环境和服务还可以，主要是地理位置比较好交通便利。唯一美中不足的就是一起定的两个房间不在一个楼层。', '短评打分': 5}
{'短评内容': '还不错。不知道为什么，退房时的态度比入住的好。很安静，床偏硬，就是在要求服务员打扫房间时服务员的态度让人不太满意。其他都挺好的。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '房间还可以，床挺舒服的,属于比较硬板的那种。', '短评打分': 5}
{'短评内容': '位置很好 很适合去购物的外地人居住 价格比较合理', '短评打分': 5}
{'短评内容': '到解放碑相当方便，房间够大，早餐种类较多，比较满意啦', '短评打分': 5}
{'短评内容': '地点方便，早餐丰富，性价比较高。', '短评打分': 3}
{'短评内容': '优点：\n1）在繁华的市中心，购物方便。\n2）性价相比，也算可以，房间面积较大\n3）自助式早餐不错', '短评打分': 5}
{'短评内容': '酒店位置很好，离解放碑很近，门前有出租车，打车十分方便', '短评打分': 5}
{'短评内容': '不错。房间挺大的，沙发挺舒服。楼下就是的士站，方便', '短评打分': 5}
{'短评内容': '在解放碑附近,作为商务出差住这个酒店还是挺方便的', '短评打分': 5}
{'短评内容': '最大优点：\n1）出于绝对市中心，繁华，购物方便。\n2）房间布置和价格相比，也算过得去，但稍显陈旧，房间面积较大，不拘谨。\n\n最大缺点：\n1）附近吃的很多，但太商业化了，而且绝对不是正宗重庆味道，重庆正宗味道必须到小巷子中寻找，除了一家木之兰日本自助餐的餐厅外，基本找不到味道好价格好的餐厅，即使最富盛名的重庆火锅店，在附近也找不到。', '短评打分': 5}
{'短评内容': '交通便利，乘坐出租车和轻轨都很方便。地理位置优越，离解放碑步行三分钟。整体服务和设施都很满意，下次出行首选', '短评打分': 5}
{'短评内容': '酒店前台与房间外观都不错，房间最好的地方在冲凉房够大，房间的装饰不会太新，但能接受。', '短评打分': 3}
{'短评内容': '地段好，购物方便，房间大，服务态度好，电梯有点慢', '短评打分': 5}
{'短评内容': '大世界设施有些陈旧，服务还不错，早餐种类挺多的但味道一般，酒店性价比不高。下次应该不会再来住了，还是扬子岛住得舒服，早餐也好吃。', '短评打分': 3}
{'短评内容': '酒店位置很好，离解放碑很近，门前有出租车，打车十分方便，早餐很丰盛，值得推荐。', '短评打分': 5}
{'短评内容': '不错，酒店位置很好，出行很方便，内部设施也还不错', '短评打分': 5}
{'短评内容': '位置不错，房间大设施一般，性价比高，下次还会想到入住该酒店', '短评打分': 5}
{'短评内容': '地理位置不错，交通还有购物，都相当方便，可惜价格有点偏高！', '短评打分': 5}
{'短评内容': '位置不错，服务态度好，环境好，卫生不错，早餐丰盛。', '短评打分': 5}
{'短评内容': '酒店服务还行。就是太陈旧', '短评打分': 3}
{'短评内容': '  房间比较大 感觉还不错', '短评打分': 3}
{'短评内容': '住过多次，感觉非常好，各方面都不错，这次过来虽然已腊月28了，但是宾馆的服务和平时一样。', '短评打分': 5}
{'短评内容': ' 已入住 。不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '服务还可以', '短评打分': 3}
{'短评内容': '好几次入住重庆大世界酒店了 非常喜欢 环境也不错', '短评打分': 5}
{'短评内容': '地理位置非常好，价格适中，卫生、干净，房间大', '短评打分': 5}
{'短评内容': '大世界的位置不错，就在解放碑上，很方便，但是酒店应该有点历史了，有点旧，服务还不错，够得上四星。', '短评打分': 5}
{'短评内容': '重庆大世界酒店不错 距离近 环境也不错 就是比原来贵了', '短评打分': 5}
{'短评内容': '位置相当理想 进入了花的海洋 购物休闲都很便利', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '位置很好。打车难的时候，门前有特定的出租车点很便利。只是两天都错过了早饭，无法知道饭菜的种类和味道。价钱比常住的另一家贵。', '短评打分': 5}
{'短评内容': '酒店地段好，非常方便。早餐好！就是周围在施工，工程机械比较吵。', '短评打分': 5}
{'短评内容': '我在重庆大世界入住过二次，总的来说还是满意的，酒店的早餐还是很丰满的，下次可能到重庆去还会入住大世界酒店。', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '対応、立地、金額、全てにおいて素晴らしかったです。次回も利用したく思います。', '短评打分': 1}
{'短评内容': '性价比不错的酒店，但酒店的餐厅的98元自助餐，感觉不太实惠 ', '短评打分': 5}
{'短评内容': '酒店地点好，就在解放碑，房间也很大。还不错！', '短评打分': 5}
{'短评内容': '房间很大，格局不错，沙发很干净，总的来说性价比很值！', '短评打分': 3}
{'短评内容': '地理位置很好，就在解放碑旁边，酒店设施一般，服务很好', '短评打分': 5}
{'短评内容': '地理位置超好，下面就是市中心解放碑。就是房型有一点小了，其他都很好，尤其是服务态度很好，也很安全，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置好，但设施比较旧了，外面环境比较吵闹。', '短评打分': 5}
{'短评内容': '一如既往，非常好。就是上楼的时候在电梯遇到几位员工在运东西，感觉不是很好。', '短评打分': 5}
{'短评内容': '环境还可以，给的是11楼，没啥景观，推荐15以上的', '短评打分': 5}
{'短评内容': '很好的酒店 位置好  性价比高  房间 和卫生间在面积都很大 早餐也可以', '短评打分': 3}
{'短评内容': '还可以  价格也比较便宜  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,', '短评打分': 5}
{'短评内容': '+酒店位置好,很方便,房间也不错,就是大堂的香水味太过浓烈,很刺鼻,使酒店的品味大打折扣哦!另外,这样的商务套房应该提供免费水果的.', '短评打分': 5}
