{'短评内容': '房间比较小，价格也还行', '短评打分': 5}
{'短评内容': '不错，怎么可能呢，那是相当的不错，尤其是早餐，吃一次就爱上一。。。', '短评打分': 5}
{'短评内容': '已经住好几天了，比较适合我   ，便宜而且早餐还不错，只是马上就要回去了', '短评打分': 5}
{'短评内容': '酒店还可以，性价比比较高   ，下次出差到马鞍山还住这个宾馆', '短评打分': 5}
{'短评内容': '酒店性价比比较高，早餐比较好，尤其是炒面', '短评打分': 5}
{'短评内容': '宾馆还可以 ，尤其是早餐炒面，太有水平了  ，顶一个', '短评打分': 5}
{'短评内容': '交通方便，价格便宜，出差首选。交通方便，价格便宜，出差首选。', '短评打分': 5}
{'短评内容': '是一家不错的酒店，性价比比较高，出行和生活都比较方便。服务态度和卫生条件也蛮好。', '短评打分': 5}
{'短评内容': '地理位置还好，硬件环境不错，软件服务有点欠缺。总的还不错。下次来海珠。', '短评打分': 5}
{'短评内容': '感觉不错。价格很划算。卫生条件也很不错。绝对值得一住。', '短评打分': 5}
{'短评内容': '价廉物美。环境不错。地段很好。值得一住。', '短评打分': 5}
{'短评内容': '感觉不错…值', '短评打分': 3}
{'短评内容': '感觉很不错的经济酒店。值得推荐。性价比比较高。', '短评打分': 5}
{'短评内容': '环境舒适，服务态度好。价格公道。所处地段也不错。交通方便。', '短评打分': 5}
{'短评内容': '非常满意……', '短评打分': 3}
{'短评内容': '酒店很干净，舒适，感觉不错！希望加强隔音效果，谢谢~', '短评打分': 5}
{'短评内容': '感觉不错。卫生条件很好。很舒适。', '短评打分': 3}
{'短评内容': '干净，比较温馨，就是小了点，在夫子庙这种地段，价格还是属于便宜的', '短评打分': 5}
{'短评内容': '整体不错，是不是因为刚开张的缘所以价格还比较实惠。\n这个价位配置的酒店经济性价比较高，如果渡假休闲可能配置就低了点。', '短评打分': 5}
{'短评内容': '交通很便利 房间很干净 空间虽小但是环境很好 有情调 ', '短评打分': 5}
{'短评内容': '还不错吧。。可惜没一次性拖鞋。隔音有待提高。', '短评打分': 5}
{'短评内容': '酒店环境不错，房间也挺不错的，交通方便,价钱也不高，这样的价钱住的环境不错', '短评打分': 5}
{'短评内容': '床单被套还蛮干净的，房间面积够了，单人双人比较合适，早餐有待改善', '短评打分': 5}
{'短评内容': '干净.整洁...性价比很高.服务员的态度很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '隔音很差，基本对得起这个价位的，马马虎虎吧', '短评打分': 5}
{'短评内容': '态度很好，环境也不错，房间也挺大的，家里人很喜欢，我也很喜欢，呵呵', '短评打分': 5}
{'短评内容': '新  净', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '比较喜欢房间的型，房型不错，老人在卫生间也不怕了，是玻璃透明的，我很喜欢，老公也喜欢，以后回马鞍山还是会去住的，呵呵，就是和妈妈住 在里面时，床头柜上的东东看着怪怪的，呵呵', '短评打分': 5}
{'短评内容': '总体还不错。比较干净整洁。服务态度也很好', '短评打分': 5}
{'短评内容': '酒店色调比较清爽，看上去挺舒服，打扫也蛮干净，总体来说性价比还不错，还会继续支持', '短评打分': 5}
