{'短评内容': '有水果', '短评打分': 4}
{'短评内容': '好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！', '短评打分': 3}
{'短评内容': '非常不错的酒店！价格也不高。服务非常得好。为了凑足20个字，我只能说，好好好好好——', '短评打分': 5}
{'短评内容': '服务上响应及时，态度也很好，房间干净整洁，住的很舒服。', '短评打分': 5}
{'短评内容': '房间很干净，通风和采光还不错，设施也齐全，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店位置好方便出行,其它各方面很一般,不过房间住起来很舒服.整体感觉不错.', '短评打分': 5}
{'短评内容': '位置不是在市中心周围环境不是很好，房间的卫生设施还可以但是四星级酒店确实达不到， 价格还差不多。', '短评打分': 1}
{'短评内容': '前一晚住在南麂岛上，价格贵而设施、卫生均不令人满意。第二天入住平阳国际大酒店，立刻感觉又大又洁净又舒适，像个四星级酒店的样子。因为单位搞活动，所以这是大家普遍的感觉。性价较高，以后还会选择。', '短评打分': 5}
{'短评内容': '位置不错挺方便出行的.就是硬件设施有些陈旧了.其它各方面还不错.', '短评打分': 5}
{'短评内容': '星级服务', '短评打分': 3}
{'短评内容': '很不错!', '短评打分': 3}
{'短评内容': '星际服务', '短评打分': 5}
{'短评内容': '还可以。附近没有其他酒店。', '短评打分': 5}
{'短评内容': '茶杯居然有污渍。中午打电话送餐，居然说厨师在吃饭，要的话等12点以后，送过来要1点了，还吃什么中午饭啊。性价比太差，200左右差不多。可惜周围没有别的宾馆，没办法。', '短评打分': 1}
