{'短评内容': '房间很大，交通便利，离北京站挺近，不错', '短评打分': 5}
{'短评内容': '出行很方便，离王府井就15分钟步行路程，东2环，北京就这点不好出租车绕来绕去的很不爽，才一点点路，哎！！！谁让人家是首都呢', '短评打分': 5}
{'短评内容': '第三次入主，交通便利，房间干净，设施也不错，下次还来哈', '短评打分': 5}
{'短评内容': '已经去住了好几次了，感觉很好，房间不错，住的也舒服，推荐', '短评打分': 5}
{'短评内容': '非常好！住的很舒服，因为出差去北京，已经入住好几次了，感觉很不错', '短评打分': 5}
{'短评内容': '还好,但是我四月份住在里面太热了,一点风都没有,空调又没有,晚上睡觉都给热死了,打给前台咨询,他们说北京的空调全关了,但是窗子风怎么都进不来.', '短评打分': 5}
{'短评内容': '说我打碎杯盖赔了20', '短评打分': 3}
{'短评内容': '酒店很不错,服务也很好,很干净,早点一般', '短评打分': 3}
{'短评内容': ' V otele xorosho gotovyat. Dlya baryg xorosho chto vozle yabalu.', '短评打分': 5}
{'短评内容': '入住感觉很好，床很舒适。前台工作人员的服务态度很好。', '短评打分': 5}
{'短评内容': '干净，房间大', '短评打分': 3}
{'短评内容': '很新，舒服。', '短评打分': 3}
{'短评内容': '酒店不应随意改动订单，而造成的费用增加还要客户承担。洗手间的洗浴热水不热，如此酒店价格应有很多的提升空间', '短评打分': 1}
{'短评内容': '环境很好，服务也很好', '短评打分': 3}
{'短评内容': '硬体还不错，很新，但软体不行，浴室打扫不是很完全，住2天，第2天床没有铺好，早餐很差！', '短评打分': 5}
{'短评内容': '房间大，位置好；价格不便宜；房间不算新，但也不算旧的；早餐品种还可以，就是布置太像如家汉庭什么的了。', '短评打分': 5}
{'短评内容': '价格再高就不值了，因为没有星级吧。只是现在比较新还有点卖点，服务要跟上才行。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '设施比较新，入住体验比较舒适。。。。。。。。。。。。。。。。。。。。。。。。。。。。..........', '短评打分': 5}
{'短评内容': '内部设施新，就是价格高了...............................................', '短评打分': 5}
{'短评内容': '房间挺大的也很干净、早餐也不错{这个推荐}，但是房间设施配套一般，相比较而言价格高了，关键是服务水平还有待于很大提高，办理入住手续时等了一个多小时，另外酒店提供给房间的餐勺居然是地摊上几毛钱一把的铁勺，上面还有铁锈斑，就这还是打电话催了两次送来的。', '短评打分': 1}
{'短评内容': '房间不错、设施不错，但是大堂不够气派；餐饮精致、好吃，但是价位太高；服务很好，从门童，到前台，到客房，都不错！', '短评打分': 5}
{'短评内容': '确实不错，就是大堂小了点，矮了点。餐厅价位比较高，但是食物都很可口、精致，自助早餐中的广式早点尤为不错！', '短评打分': 5}
{'短评内容': '价钱太高了，离王府井也远，不过房间设施还是不错的，只是应该没有到四星', '短评打分': 5}
{'短评内容': '房间还蛮不错的，但是价钱太高了，感觉这个酒店没有到这个水平', '短评打分': 5}
{'短评内容': '酒店不错，到王府井步行街与英国签证中心INN很方便，唯一不足是牙刷太硬。', '短评打分': 5}
{'短评内容': '虽然只住了一晚，但是感觉还是不错的呀，下次来北京还住这里！', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置很中，当时是为了办英国签证，所以住在这里，里签证中心很近，很方便。', '短评打分': 5}
{'短评内容': '酒店还可以，订了一个套间和单间，很干净，就是餐厅的菜不怎么样。', '短评打分': 5}
{'短评内容': '很好的一家酒店，地点适宜，服务态度良好，\n下次到北京还来住。', '短评打分': 5}
{'短评内容': '真的很好 就是设施少了点 价钱合理 同酒店对比比较便宜\n', '短评打分': 5}
{'短评内容': '酒店比较新，房间很大。入住还送了饮料。就是订双人房只送单早有点奇怪，早餐种类也较少。', '短评打分': 3}
{'短评内容': '门面是比较小，但房间的配置都不错，住得很舒服啊', '短评打分': 5}
{'短评内容': '这个宾馆真是很不错，来北京我就喜欢住这个宾馆，外表很普通，但内部很奢华，因为这里是鄂尔多斯驻京办，比一些5星酒店还要好。', '短评打分': 5}
{'短评内容': '房间很大，设施也比较新！关键是地段好啊，步行到王府井20分钟，天安门35分钟！', '短评打分': 3}
{'短评内容': '酒店不错，房间很大，离开公交车站算比较近，但是离开王府井有点距离，不过打的只有起步费而已。', '短评打分': 5}
{'短评内容': '酒店很好，干净温馨，服务很满意，就是早餐简单了些', '短评打分': 3}
{'短评内容': '非常棒的酒店 绝对物超所值 地理位置适中 价格也不高 服务和房间都很好 第一天到酒店后预定的房型没有了 前台迅速给免费升级了房间 很部错', '短评打分': 5}
{'短评内容': '常住这里 房间超大 早饭很鄂尔多斯 不过这回感觉没以前好了 房间有点脏', '短评打分': 5}
{'短评内容': '挺好的，办事也方便，价格也可以，下次来北京还会考虑入住这家', '短评打分': 5}
{'短评内容': '十满意', '短评打分': 3}
{'短评内容': '房间很大，很新，很干净，位置稍微有点偏僻，步行到建国门地铁站需要15分钟。', '短评打分': 5}
{'短评内容': '酒店内设施齐全 卫生条件可以 交通方便 会经常光顾！', '短评打分': 5}
{'短评内容': '房间硬件较新,装饰颜色协调,感觉舒适。服务态度也不错。缺点早餐过于简单。', '短评打分': 5}
{'短评内容': '干净舒适，设施不亚于五星级，卫生间很大很干净，床也非常舒服，推荐。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务还不错，但是最大的遗憾是一直被我津津乐道的早餐不如从前了，不知道是不是更换了师傅？', '短评打分': 5}
{'短评内容': '总体来说不错，位置很好，其它一般，是性家比很高的酒店。', '短评打分': 5}
{'短评内容': '服务态度很好，环境、卫生挺好，房间挺大的。下次来京，还住这里。', '短评打分': 5}
{'短评内容': '北京鄂尔多斯艾力酒店房间是五星的设施，感觉不错。就是门面小了。很舒服，推荐。。。', '短评打分': 3}
{'短评内容': '管理比较混乱，希望能够改进', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '性价比较高', '短评打分': 3}
{'短评内容': '性价比好', '短评打分': 5}
{'短评内容': '很精致，但品位不够。推荐。', '短评打分': 5}
{'短评内容': '第二次住，非常不错。非常喜欢.“”', '短评打分': 3}
{'短评内容': '超级好', '短评打分': 3}
{'短评内容': '酒店的位置好,离天安门不远但需打的,周边的食店和王府井步行可到.说实话,这地没啥好吃好逛的.酒店还算舒适,就是价格贵了点', '短评打分': 5}
{'短评内容': '变贵了啊，这样性价比就降低了', '短评打分': 5}
{'短评内容': '感觉酒店门头小', '短评打分': 3}
{'短评内容': '早餐品种太少，酒店外观看起来象小酒店', '短评打分': 5}
{'短评内容': '房间宽敞', '短评打分': 5}
{'短评内容': '退房结帐稍微慢了些,早餐种类太少,其它方面均不错,推荐入往.', '短评打分': 5}
{'短评内容': '不错    不过我把手机的充电器丢在酒店了   酒店没发现？', '短评打分': 5}
{'短评内容': '非常好，物有所值', '短评打分': 3}
{'短评内容': '酒店位置非常好，从北京站打车10块钱，酒店里面很豪华，五星酒店标准，服务非常热情，早餐免费的，服务员都是帅哥，美女。', '短评打分': 5}
{'短评内容': '王府井地区最具性价比的酒店，房间大、床大、电视大，洁具新。', '短评打分': 5}
{'短评内容': '整体来讲还是一家很不错的酒店,地理位置非常好,出行都很方便,而且卫生服务方面也都不错,很热情,性价比还是比较高的.', '短评打分': 3}
{'短评内容': '位置不错。价格略高。', '短评打分': 5}
{'短评内容': '位置非常之好,可以步行到东单,也就到了王府井商业区,酒店设备很新,床很舒适,电视是大液晶的,卫生间很好,是城区内性价比极高的酒店', '短评打分': 5}
{'短评内容': '酒店各方面条件还是不错的,服务也很周到,环境也还可以,性价比挺不错的.', '短评打分': 5}
{'短评内容': '结账时没办法刷国外的信用卡，周边也没有银行可以外币的兑换', '短评打分': 5}
{'短评内容': 'When I stayed at this hotel which was a brand new hotel and the location was very good. Please keep it up!', '短评打分': 5}
{'短评内容': '该酒店里面很好，很干净，很舒服，就是门面跟里面不搭配。有机会我会再去的。', '短评打分': 3}
