{'descr': '酒店位置很好就在清河坊，比较安静，公交打车都很方便', 'star': 5}
{'descr': '交通很方便，居住周边环境也很好，逛街很方便，就是房间有点小，不知道是不是去晚了的原因，房间没留', 'star': 5}
{'descr': '非常好的一家酒店，很干净很卫生，洗手间很大，因为是无窗的房间，但竟然没有异味很难得，离西湖很近，旁边都是闹市街，很方便，酒店工作人员很热情主动，非常的好，除了早上的一次停电，其他都很不错', 'star': 5}
{'descr': '    替爸妈自助游订的宾馆，位置好，游览西湖及周边景点都很方便，狂赞，下次来杭州还住这里。\n    服务员态度非常好，给老人一种宾至如归的感觉，主动帮助拿行李，热情帮助预订房间，老人玩得非常高兴。\n    的确是一个物美价廉、经济实惠的好酒店。', 'star': 5}
{'descr': '酒店位置不错，方便游玩和吃饭，高铁即达', 'star': 3}
{'descr': '酒店位置确实很好，就在河坊街步行街上，旁边就是胡庆余堂，虽说有些中药味，但不难闻，就是特价房实在太小了，除了一张1.5米的床和一张桌子几乎就没有空间了，也没有窗户，感觉很压抑', 'star': 1}
{'descr': '我建议怕吵的朋友不要选择这里，隔音设备很差，隔壁说话大声点都能听到。房间挺小的，浴室是用透明玻璃隔开的，晚上睡觉翻个身床就会发出吱吱声。说是酒店门面不大，就三层楼，楼上两层住人的。你说有什么优点那也就是地段不错吧。', 'star': 1}
{'descr': '酒店位置不错，出行方便,干净卫生。下次还是住你们家。', 'star': 5}
{'descr': '杭州清河假日酒店坐落在河坊街，地理位置十分便利，酒店虽小，但清洁，服务周到。是自助旅游的理想住宿点，比较经济实惠，酒店周围购物，观光都点多，特别推荐酒店旁的吴山值得一玩。', 'star': 5}
{'descr': '地段不错，方便晚上的活动，物有所值得', 'star': 3}
{'descr': '地理位置优越，楼下就是河坊街，离美食街也很近，西湖下楼直走10分钟就到了。卫生，服务都不错。', 'star': 5}
{'descr': '酒店位于河纺步行街旁边，紧邻胡庆余堂，应该是很好找的，但是根据百度的地图找起来却是费了一番周折。酒店离火车站也不远打车也就个起步价，如果要坐公交去火车站却是不方便，最近的吴山公交站没有到火车站的公交车。', 'star': 5}
{'descr': '不错的,交通方便阿!也靠近火车站,值得再住.', 'star': 5}
{'descr': '5', 'star': 3}
{'descr': '感觉目前尚好', 'star': 3}
{'descr': '前台服务员，态度都很冷，不知哪来的傲慢。满楼的中药味道。开窗就是一堵墙，前面点评的人说的不错，确实挺尴尬。而且河坊街就是一个人为的风情街一样的东西，没什么好看的。住里面还不如旁边找一个别的店。性价比倒是不错。要求不高，不是去玩的，可以考虑住。', 'star': 1}
{'descr': '酒店还行，就是隔音效果有点差，隔壁打呼噜都听得到，比较郁闷\n服务质量还行，可能是因为不是节假日的缘故\n以后有机会的话还会再去', 'star': 5}
{'descr': '第二次住了 很好', 'star': 3}
{'descr': ' 就在河坊街里面，先找到85度c，然后才发现这里，房间不大，但是麻雀虽小五脏俱全', 'star': 3}
{'descr': '地理环境和服务态度都不错，而且卫生状况也良好。虽然房间不大，但该有的东西都齐全，价格也很合理。下次还是会选择这家酒店。', 'star': 5}
{'descr': '很喜欢。比想象的还好。', 'star': 3}
{'descr': '很不错的地方，环境好，酒店很干净，房间也挺大的。特别是因为在河坊街里，所以一大早起来就可以拍照片，旅游。原以为会很吵，没想到早上起来周围也很安静，下次去还会想住的地方。', 'star': 5}
{'descr': '地段不错，很适合自助游的朋友，走到西湖柳浪闻莺十几分钟路程，唯一不足的就是隔音不好有点闹。', 'star': 3}
{'descr': '卫生还可以，房间也并不太小，特别值得推荐的是地理位置不错，离西湖很近，到周边游玩很方便，一天游玩回到酒店，下楼还可以逛逛街，买买东西，吃小吃在附近也方便。在旅游城市，这样的价格，性价比也算不错了。', 'star': 5}
{'descr': '位子优越。。。附近吃喝玩都很方便 。。就是房间有味道  不是中药味', 'star': 5}
{'descr': '酒店就在河坊街上，地理位置很优越，酒店内装修很精致，很亲切，很舒服，住了三晚上，才花了600，很值', 'star': 5}
{'descr': '地理位置真的很好，在河坊街上，仿宋老街，晚上可以逛逛。这个价格，在这个位置，还是不错的！房间很干净，但是真的好小，虽然之前看评价说很小，做好心理准备，但是到了看下，还是咯噔了下，实在是小！不过小归下，应有的东西还是都有。还有，隔音效果真的不怎么样哦！', 'star': 5}
{'descr': '服务态度很好，性价比还是较高的酒店，到逛河坊街太方便了，去西湖边也很近。就是被子太厚了，盖着嫌热，不盖又冷。', 'star': 5}
{'descr': '酒店装修古典，同时融合了现代风格,悠然步行可至西湖边.', 'star': 5}
{'descr': '很干净很不错的酒店,吃住都很方便,离西湖也很近,夜晚可以散步去西湖,值得一住,以后若再去,还会再住的.酒店旁边因为有个国字号的中药店,很闻到一股淡淡的中药味,很清心.', 'star': 5}
{'descr': '酒店就在河坊街上，距吴山公交站步行5分钟，距柳浪闻莺步行20分钟。\n河坊街上有很多五花八门的小玩意儿，喜欢的朋友住在这里最合适。\n酒店门口的宋都美食城有很实惠的小吃。\n客房很干净，晚上也安静。 \n没有电梯，提着东西上三楼有些累。\n', 'star': 5}
{'descr': '地处步行街，闹中取静，步行10分钟可致西湖。卫生，服务都不错。推荐！', 'star': 5}
{'descr': '酒店位置好是旅游居住的理想地方，总体满意,干净，出行交通方便，吃饭方便。', 'star': 5}
{'descr': '地理位置不错，一进门虽然有中药的味道，但是不难闻的！房间是古色古香的', 'star': 5}
{'descr': '房间真的不错，很精巧，整洁。环境很好，古色古香。', 'star': 3}
{'descr': '位置很好，属于闹中取静型，内部设施也很不错，值得推荐。', 'star': 5}
{'descr': '值得推荐，位置超好，就是河坊街步行街上，是夜杭州最具代表的地方，离西湖也非常近。酒店新装修过，房间虽小，但干净、整齐。很适合驴友们。', 'star': 5}
{'descr': '因为住过所以再来定了一次。离商场和西湖都很近，标间比大床房大了很多~多一二十块还是比较值的。但是整理房间的速度比较慢，一般早上叫下午才会收拾，卫生纸给的有点小气。总体来说就是房间和地理位置很好，配备的物品比较烂', 'star': 5}
{'descr': '酒店位置不错，但是房间隔音效果差，条件嘛就跟快捷酒店差不多，还有点贵', 'star': 3}
{'descr': ' 住了两个晚上，房间不大，隔音不是很好，一般般吧，不过前台很热情的，出门的时候主动问我们去哪里，然后告诉我们路线和天气什么，还不错。', 'star': 3}
{'descr': '出行方便。热闹，就是价格偏高了，酒店也没有电梯', 'star': 5}
{'descr': '卫生尚可，比较安静，只是酒店没电梯，住三楼有行李不便', 'star': 5}
{'descr': '马马虎虎，地理位置不错，房间木板隔开，隔壁生意听得见，一个人凑合住', 'star': 5}
{'descr': '酒店位置是挺好的 就是一股味道 难受 房间很小 只适合单身的背包族自己出游的', 'star': 1}
{'descr': ':位置还可以，就是房间太小了', 'star': 3}
{'descr': '服务态度不错,连续住了二晚(共三间房间)', 'star': 3}
{'descr': '方便,房间也不错!下次去杭州会考虑在入住!只要訂房時不要出问题就好!这次訂房发生的问题被折腾的非常不高兴!请改进', 'star': 5}
{'descr': '位子很好，只是住了间临商家的房间，吵到很晚。窗子是老式木窗，隔音效果不好的。', 'star': 3}
{'descr': '打开窗子，很新鲜的空气，床就靠在窗边，晚上不开空调，只吹着风，感觉特好。一出门就是河坊街，有吃有玩，很不错。服务也很热情', 'star': 3}
{'descr': '地段相当好的地方，可以刷卡省事多了.性价比比较高。舒适性同价格可以成正比。', 'star': 5}
{'descr': '很不错 值得推荐  很不错 值得推荐 很不错 值得推荐 很不错 值得推荐 ', 'star': 5}
{'descr': '酒店位于步行街内，晚上热闹但房间安静，前台态度好很热情。房间干净凉快，只是隔音不太好隔壁说话可以听见', 'star': 3}
{'descr': '，总体感觉很好，周围去哪也很方便', 'star': 3}
{'descr': '酒店服务很好，我们开车找酒店找不到就打电话给总台，他们不厌其烦，还冒雨出来接我们，很感动。酒店装修还可以，这样的价位在西湖是不错了，酒店就在购物街上很方便，吃也不错，离杭州有名的白鹿饭店很近。如果在白鹿等不到位子，就去百胜吃很不错。', 'star': 5}
{'descr': '地理位非常好，在河坊街内，离吴山广场很近，离西湖也挺近，但是房间还是太小了，卫生间就用一块玻璃隔开，洗澡的地方比较小', 'star': 5}
{'descr': '酒店地段很好，方便，繁华，房间不大，但也算舒适。热水很好，且很安静。总的来说，还是满意的。', 'star': 3}
{'descr': '下次还会订这家，交通方便，卫生干净，环境不错，价格实惠。在河坊街中间的位置。稀饭！', 'star': 3}
{'descr': '刚从成都到达入住。第一印象非常满意。过几天再详细点评。', 'star': 3}
{'descr': '酒店不错，位置很好，在河坊街上。装修蛮古朴的。洗澡什么的都不错，总之挺满意的。', 'star': 5}
{'descr': '吃饭、购物、出行都很方便，酒店周边什么都有，西湖的柳浪闻莺也在不远处。前台很热情，推荐了好多好吃的地方，房间也干净整洁，冷热水充足，晚上休息环境很好很安静。白天比较嘈杂，酒店没有电梯，拿着行李爬3楼还是很累的，床硬睡着不舒服，插座太少了，隔音效果不好，门外动静听得很清楚。网速慢，还好自己带电脑，用他们的要收费。\n', 'star': 5}
{'descr': '总体来说不错啦，就是过节房费涨得太多了！不要订它家的大床房，太小了，两个人还是住标间吧。', 'star': 5}
{'descr': '位置很不错，前台态度非常好，很热情。下次去杭州，还会选择住那里！', 'star': 3}
{'descr': '真的不错，关键是晚上夜宵方便，哈哈，推荐的', 'star': 5}
{'descr': '地处河坊街，出入方便。闹中取静，离景区很近，南宋御街和美食街近在咫尺。酒店又清洁，服务也到位，价格适中。确是旅行者最佳选择。', 'star': 5}
{'descr': '酒店位置很好，就在步行街。难能可贵的是房间一点也不吵，卫生条件也不多。古色古香，下次去还会住那里。', 'star': 5}
{'descr': '第二次住了，位置很好，价格实惠，酒店内部环境不错', 'star': 5}
{'descr': '酒店地理位置真的很方便，也很好找。服务热情、房间干净。离西湖特别近，超赞。下次来还住这家酒店。', 'star': 5}
{'descr': '我们去的时候，服务员说我们没有订房间，而当我们把预订的短信拿出来时，她们查了一会儿才说有预订过。价格还是合理的，但环境很吵，每次入住上楼时，服务员盯着你上楼，有点象警察看小偷的眼光，好在咱没做亏心事也不怕，但总是感觉不会舒服的。另外挂着的手巾太旧了，估计使用了好几年了，能否换新的，将这些旧手巾退休了？', 'star': 1}
{'descr': '非常好，虽然看上去有点小。酒店人员很热心，房间也很温馨，位置也很好，下楼拐个弯就是热闹的仿宋街。有很多特色的小店。', 'star': 5}
{'descr': '房间很小很小，设施一般，没有介绍电脑使用的信息，电话机上的总台号码已看不清楚，又没有电梯，咨询事情好不方便，服务态度也不是很热情。总的来说，性价比不高。', 'star': 1}
{'descr': '房间很有感觉，浴室和房间有浪漫的玫瑰色帷幔隔开，和房间古色古香的装潢很相称，就是房间小了点，空调不太好。其他蛮满意的', 'star': 5}
{'descr': '该旅店地处河坊街  有地方特色小店  房间小  卫生还行  公交不太方便', 'star': 3}
{'descr': '呵呵，当时是这样选了这家店的：\n1.相对便宜。\n2.干净，整洁（背包族的我很看重这两点哦！）\n3.交通便利（喜欢河坊街的同志可以考虑）。那天杭州大雪，这个太必要了。去西湖什么的，这里还是很便捷的。\n不足：\n1.没有电梯。如果痛恨搬行李箱的驴友，要考虑哦。不过这家店就只有第二层和第三层，不至于太恐怖。去的早的话，接待员还很热心地问有没有箱子，有箱子就会尽量给你安排在二层哦！（要看有没有房间了哈。）\n', 'star': 5}
{'descr': '房间有点小，沐浴露的量完全不够，卫生间是全透明的，遮挡的帘子太薄。别的都挺好，地理位置不错，买面包吃很方便。总体还可以。', 'star': 1}
{'descr': '＋酒店位置不错，性价比超值。', 'star': 3}
{'descr': '地理位置好,就在河坊街上,购物吃饭都很方便.离西湖也很近,步行十几分钟就能走到柳浪闻莺.离南汽车站也不远,酒店的房间虽然不大,但是卫生还可以.好评了.', 'star': 5}
{'descr': '酒店就在河坊街上，工作人员态度很好。可惜就是酒店的房间空间小了些，马桶刷得不够干净', 'star': 5}
{'descr': '房间不错 按地理位置来说 性价比那是一流的  唯一不足的就是空调太猛了 。。。吹的迷糊', 'star': 5}
{'descr': '房间蛮干净，位置很便利，就是房间小了点！', 'star': 5}
{'descr': '位置极佳  出门就是杭州知名景点河坊街  吃的玩的就在门口 而且房间也很干净 虽然空间不大  但是这样的地理位置 这样的价位 别的硬件就别要求太高 ', 'star': 5}
{'descr': '位置蛮好，也较清爽，不过被欠长点。', 'star': 3}
{'descr': '房间还是不错的，挺喜欢这个卫生间的窗帘，床头柜可以再大点好多放东西，呵呵，床正上方的顶灯挺有设计感，我挺喜欢，逛河坊街很好，这个价位我也不图什么，不过是有点出乎我意料的好，在走廊真的能闻到大家说的熬中药的味道，呵呵，我变态吧，挺喜欢问这些味道的，呵呵，还没过夜呢，不知道晚上隔音效果咋样', 'star': 5}
{'descr': '很干净\u3000很满意', 'star': 3}
{'descr': '不错，顶！就是周末涨价有点 厉害啊，呵呵', 'star': 5}
{'descr': '很不错的宾馆。爸妈说订的不错。', 'star': 3}
{'descr': '给家人预定了这个酒店，反映不错啊。给出的评价是位置很好，房间也很卫生哦！\n', 'star': 5}
{'descr': '位置不错,交通也方便,就是房间好小', 'star': 3}
{'descr': '地点很好，房间很干净，就是小了些', 'star': 3}
{'descr': '还不错，房间有点小但很舒适', 'star': 3}
{'descr': '酒店地理位置很好，离西湖很近，十多分钟。\n隔壁就是 西湖这边的最有名的步行街 和高银美食街。步行街卖些小玩意还是之得去看的。美食街还是算了吧。不好吃不是会。\n离城站打车起步价就行。\n酒店的服务员挺好，挺客气的，服务也很周到，\n酒店的房间很小，我订的是大床房，感觉床不大，房子有点不隔音。但是对得起这个价格了。', 'star': 5}
{'descr': '非常好，很干净，价格也不贵。', 'star': 5}
{'descr': '房间很干净，前台服务员服务还不错。地理位置也好，一出去就有得逛，公交站也近，走5-10分钟就有两个公车站', 'star': 5}
{'descr': '位置不错，环境优美,门口就是步行街，非常喜欢', 'star': 5}
{'descr': '1.地理位置。酒店就在清河坊的小巷子里，出来吃吃逛逛很方便，旁边紧挨着的就是高银街、延安路还有吴山广场，总体来说地段还是不错的。\r\n2.交通。相对不够便利，坐公交的话一个是到吴山公交站（从酒店步行过去7分钟），一个就是到清波门（柳浪闻莺这边，从酒店步行过去15分钟），清波门上的公交选择较多，所以其实蛮远的。而且从城站火车站到酒店的公交也不够便利，尽管实际路程是不远。\r\n3.酒店设施。麻雀虽小，五脏', 'star': 5}
{'descr': '地段好，旁边很多饭店，值这个价。门口的85&#176;C也超级方便...', 'star': 3}
{'descr': '地理位置不错，我去看中医刚好在那里，杭州那边的中医不错，所以住那里很好，早上去挂号很方便。', 'star': 5}
{'descr': '位置非常好！出门游览非常方便，很干净舒适。下次去杭州还住这！', 'star': 5}
{'descr': '宾馆位置很好，楼下就是步行街，但是一点也不吵闹；离西湖也很近，房间也挺干净，总体感觉不错，下次来还会住这里。', 'star': 5}
{'descr': '地段很好，离西湖很近。旁边有很多饭店，门口有85&#176;C也很方便。经济实惠，下次来会考虑再住。', 'star': 5}
{'descr': '在清河坊里面,购物吃饭非常方便,去其他景点也很方便,值得推荐.', 'star': 5}
{'descr': '酒店地点很好，在河坊街上，就是门脸确实小，不过记住李宝赢堂旗舰店就好找了，武大烧饼也行，设施、服务都挺满意，一路上最满意的一家店了', 'star': 5}
{'descr': '房间比较小，但是位置非常好，离西湖柳浪闻莺非常近', 'star': 5}
{'descr': '离西湖柳浪闻莺很近，河坊街像上海的城隍庙，酒店地理位置优越，古色古香非常不错', 'star': 3}
{'descr': '离西湖柳浪闻莺很近，河坊街像上海的城隍庙，酒店地理位置优越，古色古香非常不错', 'star': 5}
{'descr': '位于河坊街内,位置非常好,其他就只能将就了,', 'star': 1}
{'descr': '＋位置很好，去哪都很方便，建议初次来杭州的人入住', 'star': 5}
{'descr': '还OK吧,无论是逛街,饮食,还是交通.离西湖景点柳浪闻莺很近,步行即到.\r\n在闹市中,但是回到酒店相当安静,算是闹中取静吧', 'star': 5}
{'descr': '位置不错，房间比一般经济型酒店稍大，但是卫生间比较简陋。相对国庆长假388的价格来说，性价比一般。', 'star': 5}
{'descr': '这家酒店主要是地理位置太好了，就在极具古香古色的购物街上，门口还有武大郎烧饼！\r\n至于店内设施还行吧，毕竟呆在房间的时间不多。', 'star': 5}
{'descr': '＋房间很干净，位置也很好，就是临街有点吵', 'star': 5}
{'descr': '下次还会光临，服务态度很好。卫生也不错，就是地漏有点问题', 'star': 5}
{'descr': '中秋住两天，第一天319房实在气味太重，开窗也如此，郁闷！第二日赶紧换房，感觉很好，总之地理位置不错，性价比不错，也度过郁闷的一夜！', 'star': 5}
{'descr': '房间很有特色，紧挨着河坊街和西湖，吃饭逛街都很方便。就是没有电梯，行李多爬楼吃力了点', 'star': 5}
{'descr': '很不错，环境不错，隔音效果也还行，卫生服务都不错，交通也很方便！赞！', 'star': 5}
