{'短评内容': '还可以，符合', '短评打分': 4}
{'短评内容': '环境还可以，四星级的酒店，可进去后却没感觉到是四星级的服务，大堂服务员的态度很一般，没有热情', '短评打分': 1}
{'短评内容': ' 帮朋友订的，朋友说很不错，还有免费的“Cd”送，呵呵，第一次遇到。', '短评打分': 5}
{'短评内容': '很好!', '短评打分': 5}
{'短评内容': '酒店位置挺好，交通方便，周边购物也方便。环境卫生不错，性价比高。值得推荐！', '短评打分': 5}
{'短评内容': '再补充一点，酒店的VOD点播比较有意思，太暧昧了', '短评打分': 3}
{'短评内容': '酒店地处西二环交通购物很方便，但是客房隔音有点差', '短评打分': 3}
{'短评内容': ' Ok', '短评打分': 5}
{'短评内容': '房间很大，很干净。', '短评打分': 5}
{'短评内容': '还是一家可选的酒店。价格稍高一点。', '短评打分': 5}
{'短评内容': '餐厅的饭很好吃，', '短评打分': 3}
{'短评内容': '性价比还可以，但是隔音较差', '短评打分': 1}
{'短评内容': '靠近马路，太吵。\r\n房间设施挺好。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '由于办事地点在西二环附近，所以每次都住在天佑。性价比较高，设施不算太旧，房间比较舒适。\r\n缺点是这次结账不知道是设备原因还是服务员操作不熟练，服务员对前面一个外宾的卡折腾了半个多小时始终刷卡不成功，害得我等了好久才轮到我结账，有点恼火。不过，也许这是偶然现象。\r\n总体来说，还算满意。', '短评打分': 5}
{'短评内容': '性价比不错的商务酒店，每次到西安都会选择这里。', '短评打分': 5}
{'短评内容': '酒店网速超级慢.', '短评打分': 3}
{'短评内容': '酒店还行，价格也不高．', '短评打分': 5}
{'短评内容': '酒店位置还不错，出门打车也很方便，出了酒店周遍吃饭的地方也挺多的，价格也不贵。缺点是上网速度比较慢，希望改进。', '短评打分': 5}
{'短评内容': '酒店整体感觉还可以,性价比还是蛮高的,值得推荐.', '短评打分': 3}
{'短评内容': '酒店的卫生条件，地理位置和服务都是很不错的，就是设施稍微简单一点，不是特别完善，其他的就都还不错。', '短评打分': 3}
{'短评内容': '很适合商务出差居住的酒店', '短评打分': 5}
{'短评内容': '住得不错，就是结帐的时候时间有点长。', '短评打分': 5}
{'短评内容': '住15楼还是很吵，以为窗没关，一看还是双层的，\r\n\r\n厕所里卫生间坐便器后面就是镜子，可以看到自己\r\n\r\n嘘嘘的样子，这个不错，呵呵呵\r\n\r\n听说周边还有个叫天翼的不错，有空去那看看', '短评打分': 1}
{'短评内容': '该酒店以前去住过，这次去住显得设施陈旧了，服务员态度不是很好，早餐也很一般，望酒店加强管理，进一步提高服务水平。', '短评打分': 5}
{'短评内容': '酒店尚可,不过周围稍微有点吵,尤其汽车的声音.', '短评打分': 5}
{'短评内容': '这个宾馆是没有星级的,但是是按四星的标准建的.早餐很好,位置也不错.最重要的是性价比高.', '短评打分': 5}
{'短评内容': '设施和舒适性不错，价格上性价比很好。缺点是位置离市中心有点偏，西安打车非常不好打。。', '短评打分': 5}
{'短评内容': '早餐很不错哦，房间也很干净，就是靠路的房间有点闹哦', '短评打分': 5}
{'短评内容': '酒店送早餐，早餐能再丰富些就更好了，房间还不错。', '短评打分': 5}
{'短评内容': '  设施不错 就是位置离市中心有点偏了', '短评打分': 5}
{'短评内容': '不错性价比还行,特别早餐不错', '短评打分': 5}
{'短评内容': '环境还可以，服务也到位，价格比较适中', '短评打分': 5}
{'短评内容': '早餐不好,酒店设施尚可.结帐时消费清单的处理不好.', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
