{'descr': '楼下的银杏好看。隔音差，稍微有点味道', 'star': 3}
{'descr': '交通 挺方便的，靠近地铁10号 ，4号线，但是环境并不是很好，房间的卫生需要改进', 'star': 1}
{'descr': '快捷酒店嘛,还可以了!装修一般了,早餐还可以!', 'star': 5}
{'descr': '总体来说，这个价格买这个条件是可以的，就是网速特慢', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '位置、管理都不错，很温馨的感觉位置、管理都不错，很温馨的感觉', 'star': 5}
{'descr': '位置、管理都不错，很温馨的感觉，位置、管理都不错，很温馨的感觉', 'star': 5}
{'descr': '不错 卫生还可以 比起外滩店要强很多 虽然施舍有点旧 但是服务很到位', 'star': 5}
{'descr': '服务还是热情的 中归重矩', 'star': 3}
{'descr': '还可以吧 办事方便 游玩还可以 交通也算便利 房间还凑活吧', 'star': 5}
{'descr': '酒店房间非常干净，交通也很便利，闹中取静，值得推荐', 'star': 5}
{'descr': '预定过程和结账过程都很愉快，亲戚比较满意。', 'star': 5}
{'descr': '干净，交通方便，但隔音差，走廊里人走来走去打扫卫生，声音很大。', 'star': 5}
{'descr': '地段不错，交通方便，离地铁近，服务蛮好！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '值得一住，主要位置好。要是过了世博会更值哦!\n\n', 'star': 5}
{'descr': 'good！！！！！！！！！！good！！！！！！！！！！good！！！！！！！！！！', 'star': 5}
{'descr': '  是一家不错的酒店…地理位置好，周边吃的东西也很多，下次还会考虑入住！', 'star': 5}
{'descr': '性价比高。', 'star': 3}
{'descr': '地点很方便，隔音效果不好，性价比高，会向朋友推荐这家酒店。', 'star': 5}
{'descr': '作为锦江之星的全国连锁酒店之一，这家店的服务真的是比一般的小旅馆还差劲，我们入住6天，要求打扫卫生，客房服务居然都不打扫，每天就是换换毛巾，铺铺被子而已。房间只提供小袋洗发水，不提供沐浴露！如果需要还要自己拿钱买！后来反复交代前台和客房服务每天多给2包洗发水，居然没有一次多给的，说了4、5次之后我们都放弃了，不说了。地脏的从来都不扫不拖的！这样的服务这种价钱真是不值。下次再也不会选锦江了！对了，还', 'star': 1}
{'descr': '可能是世博期间，前台办理速度太慢。其他都挺好的。', 'star': 3}
{'descr': '离地铁很近，还有麦当劳，晚上还有24小时的饭店.', 'star': 3}
{'descr': '附近很方便', 'star': 5}
{'descr': '酒店很干净 服务员态度亲切', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '应该是加盟店，不过还算可以', 'star': 5}
{'descr': '位置不错 服务也还可以 就是周围有工地 有时比较吵', 'star': 5}
{'descr': '唯一不好的是床垫让人感觉比较不舒服，其它的都还行。', 'star': 5}
{'descr': '卫生间。。不是很理想，洗澡水容易渐出来，杯子都是一次性的。其他都不错。', 'star': 5}
{'descr': '各方面都还不错，就是床有点硬。', 'star': 5}
{'descr': '入住该酒店最大的感受是隔音在同类型酒店中算好的。住过其他类似的经济型酒店，走廊有人走动大声说话，或是隔壁有人大声说话都听得到，但是住在这家酒店没有这样的情况。入住时是国庆假期，附近虹口体育馆开演唱会，应该是都住满人了，但是感觉好像周围没人住一般，很安静。不知道是不是与入住的房间位置有关，入住的房间靠最里面，窗口所对方位没有遮挡物，光线足。', 'star': 5}
{'descr': '还行。', 'star': 5}
{'descr': '房间比较干净，而且服务人员很有礼貌，也帮忙留了不靠街的房间，比较安静，总的来说不错噢', 'star': 5}
{'descr': '房间有点小服务还不错,价格不贵性价比好,挺干净舒适的,可以推荐的酒店.', 'star': 3}
{'descr': '挺干净，不过在网上订和去旅店订价格一样', 'star': 5}
{'descr': '酒店的环境设施都很好,位置对我来讲出行很方便,价格也比较合适.', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '&lt;font face=&quot;黑体&quot;&gt;Sample Text&lt;/font&gt;锦江之星一贯高品质，这家酒店位置不错，服务质量也很好。只是附近没什么可吃饭的地方。虽然结帐时算错钱了，可后来通过Elong帮助解决了。在这里要感谢Elong。', 'star': 5}
