{'descr': '性价比不错了', 'star': 4}
{'descr': '差！差！差！以后绝对不会再住这家酒店了，本来预定两天，第一天预付押金只能交一天，第二天的押金第二天再交，第二天你人不在酒店酒店就不停的给你打电话让你回来交押金，太差了，大家都不要住！而且不能刷卡', 'star': 1}
{'descr': '整洁合理的布局，周到的服务，让人感到了新望江的新面貌。', 'star': 3}
{'descr': '7+1还是非常不错的，地点毗邻科大西区，十分方便。房间设施良好，价格也比较合理。来科大访问的老师和同学可以考虑。', 'star': 5}
{'descr': '一如既往的好，迷你单也挺宽敞，很干净，也很温馨…就是希望吹风机不要用一会就停，有些小郁闷…', 'star': 3}
{'descr': '其他还可以，就是价格稍高、早餐一般，离市区稍远', 'star': 1}
{'descr': '我住的是没有窗户的房间,屋里的酶味太大,我都没睡好', 'star': 1}
{'descr': '房间倒是挺大挺气派,可是卫生实在差劲,地上床上好多头发,澡也没敢洗,睡了一觉赶紧退房了.', 'star': 1}
{'descr': '真是让人火大的宾馆，上网另收费还只能用他们的破电脑上，不能保证账户安全。插座接触不良且有破损金属片裸露在外有电到人的危险，跟服务员要新插座，给送来之后哥们研究了半天给我扔下走了，还得我自己钻下面去换插座。酒店房间小，憋屈得很。早餐是挂到门把手上的，晚一点就不见了，问服务员说可能被别人拿走了：（', 'star': 1}
{'descr': '干净卫生，态度也挺好。就是墙不是太隔音，希望酒店方面能改善。', 'star': 5}
{'descr': '酒店环境不错，还有免费早餐。不过服务员竟然在有其他空房的情况下给安排了一个门卡不好使的房间，每次回来还要叫服务员开门，太让人不满了。', 'star': 5}
{'descr': '酒店还不错，卫生条件好，价钱还合理，早餐稍差。', 'star': 5}
{'descr': '环境挺好···早餐不错····就是室内多了根柱子··空间有点小··', 'star': 5}
{'descr': '酒店位置比较符合自己的要求，房价比较大不正对马路的一侧房间非常安静。床非常差，感觉弹簧都要蹦出来似的。网线插口坏了，要反复插拔很多次才能上网，但是打电话免费，这个非常好。因为是过年期间，早晨很差。', 'star': 5}
{'descr': '不错，地段可以，也可停车，还去。价格较实惠，干净。', 'star': 5}
{'descr': '一如既往的干净舒服,每次出差都会住这.楼下有几个小馆子,很方便', 'star': 5}
{'descr': '住过N次了，感觉不错，所以这次推荐给来访的朋友，希望酒店继续努力。O(∩_∩)O', 'star': 5}
{'descr': '所说是迷你房但不小，舒服 蛮不错的 推荐入住 ', 'star': 5}
{'descr': '   环境还不错   不过性价比不是太高', 'star': 3}
{'descr': '干净，交通方便，价钱合适，非常好，该有的都有', 'star': 5}
{'descr': '黄山路上这家酒店性价比不是很高，排水系统坏了，房间设施比较旧，而且价格不是很实惠。总体来说一般', 'star': 1}
{'descr': '不错，卫生、地段、服务都可以，性价比非常高。', 'star': 3}
{'descr': '房间不如上次住的大了，送的水果也比较烂，但总体上还是可以的', 'star': 5}
{'descr': '一句话，非常好，想不到快捷酒店还有这样的条件。\r\n关键是在这个市中心地段还有停车场，不错。\r\n值得推荐。', 'star': 5}
{'descr': '房间的布局感觉很合理，室内采光不错，通风也很好，房间很干净，酒店地处市区，打车或者座公交都很方便的', 'star': 5}
{'descr': '酒店还过得去，卫生还好但是当时网站上说酒店有什么赠送水果的但是到酒店之后并没有，位置还好。价格的话还可以。', 'star': 5}
{'descr': '服务很好，那家店员工都是微笑服务，也很周到有耐心。', 'star': 5}
{'descr': '这家店距离果戈里大街比较近。周围也比较繁华。', 'star': 5}
{'descr': '房间看起来很通透，像是玻璃床上物品都很干净。', 'star': 5}
{'descr': '临近繁华街道休息有比较安静的酒店，配置也很不错。', 'star': 5}
{'descr': '床上像是枕头棉被都非常舒适，环境很不错。', 'star': 5}
{'descr': '黄山路上，交通比较方便，虽然沿街，但是隔音效果还比较好，有停车场，比较方便。', 'star': 5}
{'descr': '酒店装修的风格很温馨，卫生也很好。非常干净的酒店。', 'star': 5}
{'descr': '性价比很好的酒店，房间很干净，设施完善，很不错的酒店，下次还会入住。', 'star': 5}
{'descr': '年初的时候入住的入住的房间很便宜，觉得性价比很高。', 'star': 5}
{'descr': '我最在意的是酒店的卫生，这家店的卫生很好，打扫都很彻底。住起来也很舒心。价格合理适中。', 'star': 5}
{'descr': '酒店圆床房很适合情侣入住。服务也很人性化。', 'star': 5}
{'descr': '人和店的位置还是比较不错的，出行交通都很方便。', 'star': 5}
{'descr': '整体感觉不错,价格很实惠,位置也不错,交通便利,就是服务员太少', 'star': 5}
{'descr': '酒店没电梯，但有大件行李服务，总体性价比不高', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
