{'短评内容': '老牌子，还可以！', '短评打分': 5}
{'短评内容': '中关村附近性价比高的值得入住的五星酒店，唯一不足的是酒店设施有点儿老旧。', '短评打分': 5}
{'短评内容': '我住了四晚，入住的房间电视屏幕天天显示着欢迎XX先生，心里很不舒服，要么就不要写，要么就及时更新。', '短评打分': 5}
{'短评内容': '第二次入住了。环境不错，干净卫生,交通方便。', '短评打分': 3}
{'短评内容': '入住是遇到一些问题服务人员非常耐心的解决了，非常好，环境宜人。', '短评打分': 5}
{'短评内容': '房间相当不错,有点古色古香的味道,服务态度也不错,特别是还能看到马拉松,相当有运气.', '短评打分': 5}
{'短评内容': '条件很好很气派，中西结合，服务态度好，吃饭品种多，价格适中。', '短评打分': 5}
{'短评内容': '自助早餐没有穆斯林专用分区,而附近也没类似饭店,让客人感到不舒服', '短评打分': 3}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '很好，一直住翠I宫，现在又更现，很划算。', '短评打分': 3}
{'短评内容': ' 较好!', '短评打分': 3}
{'短评内容': '酒店性价比不错，服务人员态度很好。尤其是门童，很友善。下次去还会入住。', '短评打分': 5}
{'短评内容': '位置好，交通方便！位置好，交通方便！位置好，交通方便！', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '一家老五星酒店，交通便利，在中关村地区办事这家酒店还算价格适中，房间面积够大，设施较旧，搞了个视频服务系统还老出状况。', '短评打分': 5}
{'短评内容': '酒店挺好！\n房间很干净，还会在入住该酒店。\n就是前台态度不是特别好，需要提高服务态度。\n门口停车还要收费，非常不好。', '短评打分': 5}
{'短评内容': '还不错。床比较宽。房间也比较大。虽然离飞机场有距离但还算方便的。而且价格相对比较合适。就是停车是个麻烦事，还要收费！没有道理啊！', '短评打分': 5}
{'短评内容': '翠宫饭店地理位置好，很方便。服务态度不错，就是停车不好，要收费！没有道理！希望酒店考虑顾客意见！！！', '短评打分': 5}
{'短评内容': '交通便利，出行方便，价格适中。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。现在点评要求的字数太多了，二十个字足以描述了啊', '短评打分': 5}
{'短评内容': '已入住。', '短评打分': 3}
{'短评内容': '已经住过很多次了。这次很幸运，高级单人间位置在拐角处，房间和卫生间面积好大。位置上地处中关村，出差北京高校区方便，地铁知春路站就在旁边。价格超实惠，服务很到位。房间服务很快响应，非常令人满意。', '短评打分': 5}
{'短评内容': '房间很干净，不错，还会在入住该酒店。\n就是前台态度不是特别好，需要提高服务态度。\n门口停车还要收费，非常不好。', '短评打分': 5}
{'短评内容': '服务质量不错，还会在入住该酒店，只是要收停车费？！非常不合理，应该改变,希望酒店能够考虑顾客的意见！', '短评打分': 5}
{'短评内容': '很不错的五星级酒店，在北京这个级别的酒店中性价比较高，推荐！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店位置还比较好，但是设施比较陈旧，上网还得用网线，卫生间马桶下水都不太通畅。另外早餐品种也比较单一。', '短评打分': 1}
{'短评内容': '位置好，离地铁很近，房间干净，与价位成正比，下次还会推荐入住', '短评打分': 5}
{'短评内容': '服务一般。房间比较小早餐也很贵。不适合自费住店的客人。', '短评打分': 1}
{'短评内容': '服务不错，位置很好，交通方便，游泳池很舒服，有很好的餐馆等。经常在这里下榻。电视需要更新了！', '短评打分': 5}
{'短评内容': '服务不错，位置很好，交通方便，有很好的餐馆等。经常在这里下榻。', '短评打分': 5}
{'短评内容': '酒店服务很好！房屋质量卫生很好！吃饭的地方花样很好！但酒店不提供停车位是个遗憾！', '短评打分': 5}
{'短评内容': '很好很干净、游泳池很舒服。电视机不是很先进，房间空气很清新。', '短评打分': 5}
{'短评内容': '房间很大，也干净，但是电视台太少了，就住了一天倒也无所谓了。地理位置很好，地铁知春路站就在附近，周边公交也多，出门很方便。', '短评打分': 5}
{'短评内容': '酒店不错，吃的也不错，关键是地理位置不错！\n就是要停车费不好', '短评打分': 5}
{'短评内容': '环境不错，大堂给人感觉比较舒服，价格也还算合理。只是房间稍小了点。', '短评打分': 5}
{'短评内容': '酒店内部环境很好很干净也很新，套间面积较大。前台服务一般。酒店院子很破旧，停车场竟然外包停车公司照市价收费，太差了！', '短评打分': 5}
{'短评内容': '好，交通方便，价格适中。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错不错不错不错哦\n下次还会入住\n如果停车不收费更好', '短评打分': 5}
{'短评内容': '还可以，帮朋友定的，以前也订过。位置不错。', '短评打分': 5}
{'短评内容': '位置、交通方便，就是酒店楼层比较低吧，价位还算可以。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好，交通方便，设施不错。价位还可以。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境还不错。就是稍微有点旧！！希望能改善一下就好了！！！！', '短评打分': 5}
{'短评内容': '浴室是设施有点陈旧，淋浴室的密封门关不严，一冲澡水就溅出来。', '短评打分': 5}
{'短评内容': '性价比颇高的一个酒店，有机会还会接着去住。也会向别人推荐。', '短评打分': 5}
{'短评内容': '服务态度挺好,房间较大,性价比在北京五星酒店是较好的.缺点:床单有点旧.总体感觉挺好!有机会还会住,也会向朋友推荐.', '短评打分': 5}
{'短评内容': '老旧，设计过时，配套不全，时尚不足，缺乏新意。', '短评打分': 1}
{'短评内容': '整体还不错，只是不含早餐这一点有些不方便。', '短评打分': 5}
{'短评内容': '帮助朋友订的，房间的设施还可以，就是感觉在靠窗的墙上做的台板当做是写字台与这样的酒店不行匹配了，如果是如家这样的快捷酒店就没有问题。', '短评打分': 5}
{'短评内容': '酒店的服务还不错.房间还可以.', '短评打分': 3}
{'短评内容': '位置非常好，环境也不错，价格适中，推荐啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '中餐厅服务质量不错\n房间也还不错\n还会住的', '短评打分': 5}
{'短评内容': '硬件需要提高 热水壶该换了\n软件也要提高 前台态度一般', '短评打分': 5}
{'短评内容': '房间还挺大 比较舒适 地理位置方便 还会再住的', '短评打分': 5}
{'短评内容': '态度不错 硬件需要提高 热水壶该换了', '短评打分': 3}
{'短评内容': '价格合理，地理位置不错。交通便利，有地铁线在酒店附近。', '短评打分': 5}
{'短评内容': ' 服务不错 设备也可以 就是笨重的电视与酒店不配', '短评打分': 3}
{'短评内容': '酒店设施非常好，地理位置优越，交通也十分便捷！唯一美中不足的就是前台服务人员态度一般，没有体现出星级酒店的品质~房间空调不知是不是坏了，把冷风调到最低还是很热……', '短评打分': 5}
{'短评内容': '饭店服务态度非常好，服务人员的服务意识特别强，让住店的人有亲切感。', '短评打分': 5}
{'短评内容': '宾馆新装修过，设施挺不错的。离地铁口二百米，交通比较方便。', '短评打分': 5}
{'短评内容': '*饭店整洁，服务周到！', '短评打分': 3}
{'短评内容': '酒店设备太旧了，还有霉味，同星级不配，服务还算热情！', '短评打分': 1}
{'短评内容': '硬件设备都旧了', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': ' 老五星，过了吃饭点就餐不方便，得出去吃', '短评打分': 3}
{'短评内容': '交通便利，紧邻中关村，服务业不错。。。。。。还会再来的', '短评打分': 5}
{'短评内容': '性价 比不高', '短评打分': 3}
{'短评内容': '老酒店，经常住，设施环境很一般，但是价格很便宜，地理位置很好，值得推荐。', '短评打分': 5}
{'短评内容': '住了几天，房间实在是小，和星级不符合，餐厅的服务很专业，印象特深。', '短评打分': 1}
{'短评内容': '酒店服务员态度都不是很热情，请他们帮忙做什么都是说你自以去跟他们说，一点服务意识都没有，退房匆忙还落下一件衣服，我觉的客房查房时应该是能发现的，可是很遗憾！', '短评打分': 5}
{'短评内容': '酒店总是挑客人的毛病，竟然说是客人偷了水杯，那种破水杯，拿了还嫌掉价呢！\n也没有证据证明是客人偷的，竟然让客人赔，这不是霸王条款是什么？\n难道就不会是服务员弄丢了吗？！！！！', '短评打分': 1}
{'短评内容': '太极品了，酒店的车位都外包出去了，停车一晚过夜得另外交100多的停车费，快赶上570的房费了，看来酒店是靠停车费挣钱的', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '北京翠宫饭店 位置不错  其他都还可以。', '短评打分': 5}
{'短评内容': '酒店的管理很好。客房整洁。服务员服务亲切周到。缺点是早餐太简单。内容单一不够丰盛。应该参考学习一下附近的皇冠假日酒店', '短评打分': 5}
{'短评内容': '位置非常好，环境非常好，价位适中可以接受，北部可以选择', '短评打分': 5}
{'短评内容': '很安静，靠近中关村很方便，吃饭很方便，但房间设施有点旧，只提供单早不是很好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '网速有点慢其他还好', '短评打分': 3}
{'短评内容': '北三环及北四环间价钱算便宜的了,设施还可以,只是服务稍差一些,还是建议大家来住.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很好，交通较方便，离办事的地方很近。还回来的。', '短评打分': 5}
{'短评内容': '出差入住的，设施不是很新，但是地理位置好，比较方便，住的也挺舒服的。', '短评打分': 5}
{'短评内容': '翠宫酒店挺好', '短评打分': 3}
{'短评内容': '据老板回应不错，位置较好，服务还行，希望继续努力！！价格稍微高，大厅很气派，临近地铁', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店位置很好，房间很大、很干净，之前要求客服安排安静的、无烟层，很好，在中关村办事非常方便。电视机有点不适应这个年代了，还是那种荧光显示的，很旧。应该换换了。', '短评打分': 5}
{'短评内容': '环境是不错，但是软件方面确实挺差服务很不好，房间的装修还可以也就一般，价格还算合适。', '短评打分': 1}
{'短评内容': '给同学和孩子订的，他们觉得很好，干净、交通方便', '短评打分': 5}
{'短评内容': '酒店非常舒适，环境不错，就是早餐的价格和品质不相配', '短评打分': 5}
{'短评内容': '环境不错，很卫生、干净。服务态度很好。最近价钱折扣不错。', '短评打分': 5}
{'短评内容': '酒店的硬件不错，服务很好，不过距离真正的5星级还有一定距离。还要好好努力才行', '短评打分': 5}
{'短评内容': '折扣不错，服务态度不错，房子比较容易订到。餐厅的菜口味不错', '短评打分': 5}
{'短评内容': '酒店还好，就是停车场收费人员让人感觉真差劲，影响心情，不推荐', '短评打分': 1}
{'短评内容': '房间有点旧~~早餐很难吃~~但是价格还在低的', '短评打分': 1}
{'短评内容': '地理位置好，房间虽然较老但保持的不错。服务也不错，价格适中。', '短评打分': 5}
{'短评内容': '酒店外边还好，内装一般般，价格还可以，有点贵！服务态度有点差', '短评打分': 1}
{'短评内容': '大堂挺气派的，服务不错。', '短评打分': 3}
{'短评内容': '饭店对于去中关村的朋友很方便，地铁10号线车站也近。', '短评打分': 5}
{'短评内容': '老饭店,装修不错,挺豪华的,离城铁很近,性价比不错,适合商旅或者请朋友住,但周边生活设施少点,唯一的遗憾. 北方人普遍热情,前台甚至保安都很热心,态度不错!', '短评打分': 5}
{'短评内容': ' 办事效率快、主动热情、服务周到环境干净整洁。', '短评打分': 5}
{'短评内容': '装修陈旧了点，服务不周全，下次不会再住这个店了。', '短评打分': 3}
{'短评内容': '为什么酒店停车场要收停车费？？？\n停车费太贵！', '短评打分': 1}
{'短评内容': '如果不是因为离目的地比较近，才不会定这个酒店！\n不仅要收停车费，而且停车费太贵！', '短评打分': 1}
{'短评内容': '酒店的中餐厅，竟然汤里有头发！\n酒店的停车场，竟然还要停车费！\n太过分了！\n再也不住了！', '短评打分': 1}
{'短评内容': '酒店服务很好', '短评打分': 3}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '是我住过的最差的北京酒店，服务很不到位，完全不配称作5星级！\r\n房间的位置也很偏，再三要求换房间无果\r\n出尔反尔，打了很多次电话才同意2点半退房，但到了2点，房卡已经失效，无法进入房间！', '短评打分': 1}
{'短评内容': '房间很舒适。游泳池非常好。住宿的停车要钱不好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '其它硬件设施跟服务还可以,就是房间隔音效果太差.', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错，性价比较高，在北京能用500大洋住上5颗星的房子算是物有所值了。谢谢', '短评打分': 5}
{'短评内容': '我为客人预定，已经入住，比较满意，关键是他办事方便。', '短评打分': 3}
{'短评内容': '有点老五星的感觉，不过位置不错，性价比较高', '短评打分': 3}
{'短评内容': '中关村办事比较方便，毕竟也是老五星了，性价比在这个季节还是可以的，能有早餐就最好了', '短评打分': 5}
{'短评内容': '+酒店不错，非常好', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '离开中关村很近；早餐挺好；房间比较大、干净。', '短评打分': 5}
{'短评内容': '这个地方服务态度好，比较满意，以后还来住。嘿嘿嘿嘿嘿', '短评打分': 5}
{'短评内容': '早餐太贵，酒店附近无消费娱乐场所，其他还不错。', '短评打分': 5}
{'短评内容': '虽然标示是5星，但房间不大，设施有些陈旧。', '短评打分': 5}
{'短评内容': '地理位置不错，离目的地很近！经常入住，很安静！', '短评打分': 5}
{'短评内容': '北京翠宫饭店 北京翠宫饭店 还是可以选择的', '短评打分': 5}
{'短评内容': '翠宫性价比高，位置也比较好，适合到中关村办事', '短评打分': 5}
{'短评内容': '中关村附近很好的五星级酒店，价位合理，服务到位。游泳池也很好。', '短评打分': 5}
{'短评内容': '在餐饮的面食类上再下下功夫，尤其是面条。其他还比较满意', '短评打分': 5}
{'短评内容': '性价比非常好的酒店,北京中关村附近办事很方便.', '短评打分': 3}
{'短评内容': '酒店的服务质量好，环境设施好，下次还要去住', '短评打分': 3}
{'短评内容': ' 在中关村地区五星级酒店中算是性价比相当好的酒店了.服务不错,房间很大.下次还可以来住.', '短评打分': 5}
{'短评内容': '较好', '短评打分': 5}
{'短评内容': '有健身房，游泳池，位置很好，很满意。今后还会住。', '短评打分': 5}
{'短评内容': '服务一流，条件很好，价格便宜', '短评打分': 5}
{'短评内容': 'hotel lobby is very large and good decoration.good location and envirenment.worthwhile a 5 star hotel.doorman and waitress there very polite,and always sunny smile,walk little then can see subway.hope', '短评打分': 3}
{'短评内容': '北京翠宫饭店离中国科学院和中关村电子街很近。房间很干净。有免费的上网。早餐很贵而且周围无餐馆。', '短评打分': 5}
{'短评内容': '性价比高，但是服务相对于五星级这个名头来说还是稍显逊色！', '短评打分': 5}
{'短评内容': '房间够大，卫生间也不错，可是床太硬了。还有早餐的品种不够丰富', '短评打分': 3}
{'短评内容': '在北京如此价位的五星级酒店已经很少见了。重要的是他的地理位置靠近地铁，周围交通发达，房间面积比较大，服务系统正规。卫生做的也不错，及时。如果经常能搞些优惠活动就更好了。', '短评打分': 5}
{'短评内容': '入住成功，非常满意!谢谢!', '短评打分': 5}
{'短评内容': '好 .就是停车收费太高', '短评打分': 5}
{'短评内容': '一般公司来客户都推荐住这里，反应还不错', '短评打分': 5}
{'短评内容': '于以往所住的五星级酒店相比，翠宫的床太硬了，舒适度不够', '短评打分': 1}
{'短评内容': '入住很舒适，客房走道有点暗，大堂无沙发。', '短评打分': 5}
{'短评内容': '其他方面还可以，就是喝水壶太旧，洗澡一地水密封不太好。', '短评打分': 5}
{'短评内容': '房间不错，交通方便，但周围吃饭的地方很少。', '短评打分': 1}
{'短评内容': '各方面均较好', '短评打分': 5}
{'短评内容': '不错，性价比很好', '短评打分': 5}
{'短评内容': '服务周到、比较舒适', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的酒店，值得！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '该酒店位于中关村科技园区中心，周边具有浓厚的学术气息，非常舒服酒店条件非常好，各种设施齐全，尤其那里的西餐老外很喜欢酒店服务人员相当热心，这次我的两个外国朋友生病我不在现场，他们的服务人员帮忙找医院等，很周到！下次来客人一定还来这里住，哈哈', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': 'hao!', '短评打分': 5}
{'短评内容': '位置和性价比不错的一家酒店。', '短评打分': 5}
{'短评内容': '位置不错，性价比较高的一家酒店。', '短评打分': 3}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '位置很好，硬件和服务也不错，性价相对较高的一家酒店。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '比较适合上学的需要', '短评打分': 5}
{'短评内容': '属涉外酒店，基础设施不错，房价价位较高，位置在海淀区，离地铁站很近，出行比较方便。\r\n适合对象：地处大学密集区，适合来此看望在京上学孩子的有钱家长！', '短评打分': 5}
{'短评内容': '中关村附近五星酒店中，性价比较高的一家酒店，个方便都不错。', '短评打分': 5}
{'短评内容': '服务员上午不应敲门，影响休息。收衣物应看牌服务', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 1}
{'短评内容': '服务很不错，去清华办事也不远,住过两次了,以后有机会还会来的', '短评打分': 5}
{'短评内容': '从丽亭转到翠宫第一感觉前台的接待就有明显的差别，星级就是不一样，我会再次入住的！   ', '短评打分': 5}
{'短评内容': 'Very ordinary', '短评打分': 1}
{'短评内容': '很喜欢其内部饰品，中西合璧！', '短评打分': 3}
{'短评内容': '房间装饰很豪华！', '短评打分': 5}
{'短评内容': '价格有些贵,感觉一半的价格去住汉庭也不差哪里去,感觉有些不值.', '短评打分': 1}
{'短评内容': '环境不错，周围设施不错,服务很好，前台小姐不是很热情', '短评打分': 5}
{'短评内容': '早餐太差', '短评打分': 5}
{'短评内容': '总体一般', '短评打分': 1}
{'短评内容': '其他都很好，可是保护住客隐私做的太差了，随便泄露住客的住宿信息给别人，大家要小心了', '短评打分': 1}
{'短评内容': '多次了，还行', '短评打分': 1}
{'短评内容': '交通位置还可以，设施一般。', '短评打分': 5}
{'短评内容': '各方面都很好，但要是空调弄不好的话， 有点冷', '短评打分': 3}
{'短评内容': '房间干净，装修时尚，床很舒适', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 1}
{'短评内容': '只能说还可以了,不过可以看碟还是不错的,住了两次', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，值得下次再次光临', '短评打分': 5}
{'短评内容': '酒店还不错。', '短评打分': 5}
{'短评内容': '酒店各方面条件基本上感觉都还可以,没有什么不太好的地方,但没有什么特别大的优势,建议多比较一下.', '短评打分': 3}
{'短评内容': '老的5星了，大家注意同样房间类型，但户型不一样。', '短评打分': 5}
{'短评内容': '总体来说还不错，地理位置离清华很方便，就是ELONG的房价不含早饭，有点不喜欢', '短评打分': 5}
{'短评内容': '位置不错，房间舒适，吃的一般！', '短评打分': 5}
