{'descr': '好好好好好好好好好好好好好好好好', 'star': 4}
{'descr': '地处商业中心，交通便利，经济实惠，早点很好', 'star': 5}
{'descr': '设施老旧 性价比高，但是在石家庄相对繁华的地方，还算安静。', 'star': 1}
{'descr': '不是第一次入住了，地理位置是最大优势，服务也还可以。', 'star': 5}
{'descr': '室内设施不太好，房间面积较小，电视是老式的，床还是比较舒服，对于必须住在北国附近的人来说，是便宜的酒店。早餐不错，品种较多，推荐！', 'star': 5}
{'descr': '室内设施不太好，房间面积较小，电视是老式的，床还是比较舒服，对于必须住在北国附近的人来说，是便宜的酒店。', 'star': 5}
{'descr': '不错，这里免费早餐地理位置在市中心很方便，价格也合适', 'star': 5}
{'descr': '酒店设施比较旧，地理位置很好，每次去都住这', 'star': 5}
{'descr': '环境住置很好，服务很客气，下次还可再光临！', 'star': 3}
{'descr': '酒店够古老的，设施比较怀古一些。，。。。不过早餐还是不错的。也只有地理位置对得起这个价格！！！', 'star': 5}
{'descr': '酒店不错， 环境较好，出行方便，服务态度较好，就是隔音效果差点。', 'star': 5}
{'descr': '这个价位,房间洁净还挺不错,不过网上预定只比大厅现定便宜10块钱,还有就是暖气真好,热的我半夜开窗踹被子,不过真是挺干燥的呀', 'star': 3}
{'descr': '石家庄燕春速8除了地理位置好以外没有别的优点了 酒店装修陈旧家具陈旧 墙纸都脱皮了 门也脱皮了 房间很小 是我住过最不好的酒店了', 'star': 3}
{'descr': '酒店位置不错，房间有点小，不过床挺大的，比燕春的大', 'star': 5}
{'descr': '地理位置挺不错，离商场近，房间小点，不过床比燕春的大', 'star': 5}
{'descr': '地理位置不错，床比燕春的大，性价比还是可以的', 'star': 5}
{'descr': '地理位置挺不错，离火车站比较近，房间稍微小点，不过床比起燕春还是挺大的，', 'star': 5}
{'descr': '酒店虽然现在是速8在经营，但是整体房间还是小，不干净。\n虽然地理位置不错，早上和燕春酒店合作有早餐，但是188在周边酒店还是偏高了。\n最可恶的就是还要收停车费，这样的酒店不值得推荐，石家庄好酒店也不少。', 'star': 1}
{'descr': '房间很好,干净  早餐丰富  隔音不太好', 'star': 5}
{'descr': '有点旧，地段很好，设备已经很久了  在装修', 'star': 1}
{'descr': '环境和早餐很不错！是一个旅行和公务首选的住地！', 'star': 5}
{'descr': '走廊里很陈旧，床大，但房间小的可怜，床周围几乎只能站一个人就碰到墙壁了。太上当了。', 'star': 1}
{'descr': '酒店环境不错！', 'star': 3}
{'descr': '不如选择同一个屋檐下的燕春花园酒店了。价格没优势，房间设施感觉还不如燕春。唯一好处是那个湘君府味道不错，值得推荐。', 'star': 1}
{'descr': '酒店环境不错，周边购物吃饭非常方便，酒店提供的早餐也蛮可口的，并且上网速度奇快，，呵呵~~~赞一个！下次还去', 'star': 5}
{'descr': '酒店的环境不错！', 'star': 3}
{'descr': '早餐的凉拌土豆丝很好吃  房间装修比较旧  重新装修一下会更好', 'star': 3}
{'descr': '是个老酒店，设备陈旧，但是位置好，早餐好。', 'star': 5}
{'descr': '性价比不高，房间很小，很狭小。建议不要住', 'star': 1}
{'descr': '位置极其方便！社施稍有陈旧。但性价比还不错，推荐', 'star': 3}
{'descr': '房间挺好，挺干净，就是总台难找了点，隔音效果不是很好，早上服务员的声音有点大', 'star': 5}
{'descr': '已经住过好几次了，地理位置没得说，房间也还可以。', 'star': 5}
{'descr': '不错，还会入住，很好，方便，干净，不错不错不错.......\n', 'star': 5}
{'descr': '服务态度不错，早餐很好，地理位置也很好，唯一重要且不太满意的是，我住的不知道有没有18平米。。。但看对面同样价格的房好象要大一些。疑惑中。。。。。。', 'star': 5}
{'descr': '环境还可以\u3000服务态度不错.', 'star': 3}
{'descr': '很好很好很好很好很好很好很好，就是空调一般\n很好很好很好很好很好很好很好，就是空调一般很好很好很好很好很好很好很好，就是空调一般很好很好很好很好很好很好很好，就是空调一般', 'star': 5}
{'descr': '服务态度很好,提前入住的,打扫很及时.感觉不错.', 'star': 3}
{'descr': ',房间有点小,也有点旧了', 'star': 3}
{'descr': '地理位置好 易找 环境中上等 适合商旅前往火车站以及机场快线站都很方便', 'star': 5}
{'descr': '位置很好，早餐很棒。，价位合理。建议大家下次提前3天预订。160元。前台价格是198.', 'star': 5}
{'descr': '条件，不错，地段也不错，各方面都不错，可以推荐来', 'star': 5}
{'descr': '地理位置好 服务周到 唯一不足就是电视信号太差', 'star': 5}
{'descr': '干净，舒适，卫生，服务态度好！交通方便，喧嚣与幽静相邻！', 'star': 5}
{'descr': '酒店价格很合理，服务还不错，免费早餐比较丰盛，卫生间有些偏小了', 'star': 5}
{'descr': '房间比较小，住的大床间，床上铺的太软，好象与照片上的不很相符', 'star': 5}
{'descr': '地理位置好，和周边几个酒店相比，性价比还不错。速8的服务还是不错的，只是隔音稍先不足--尤其是把角的豪华单间（观景房），可以说上下通透的感觉。', 'star': 5}
{'descr': '挺不错的 很干净 性价比挺高  下次还会来住的', 'star': 5}
{'descr': '酒店还不错.舒服干净.服务也不错.值得推荐', 'star': 3}
{'descr': '房间还可以，主要是比较便宜，另外高层有液晶电视，可以插优盘看电影，早餐一般，特价房房间比较小。', 'star': 5}
{'descr': '酒店位置不错，对面就是北国商城，床很舒服…', 'star': 3}
{'descr': '住宿还要收停车费实际住宿成本不低，上网速度比起燕春差远了，早餐一般吧', 'star': 1}
{'descr': '房间太小，服务不错，在市中心。属于经济型酒店。', 'star': 1}
{'descr': '酒店位置优越，出行方便，物超所值。不错。', 'star': 5}
{'descr': '地理位置不错，交通便利，酒店房间比较陈旧，性价比不高。', 'star': 1}
{'descr': '酒店干净整洁，交通方便，价格公道，经济实惠。下次还订这家。', 'star': 5}
{'descr': ' 速8我又来了,感觉还不错.服务好.有礼貌.干净方便…', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': ' 燕春速8不错/干净服务好.网速快!', 'star': 3}
{'descr': '服务态度不错，就是房间有点潮，而且隔音效果不太好', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '居市中心，位置不错，周围吃饭逛商场很方便，离我要去的地方走路就可以到。而且服务也好，还有早餐吃。不错。', 'star': 5}
{'descr': '住过很多次了，这次安排的房间实在是觉得很一般，5楼，破旧，隔音很差，而且好像有什么比赛之类的，全是小孩子，不过服务员态度很好，这点提出表扬', 'star': 5}
{'descr': '环境不错，床太硬，不怎么舒服，服务还不错', 'star': 1}
{'descr': '还是很好啊，虽然有些小缺点，但是这个地理位置配上这个价格已经不错了。', 'star': 5}
{'descr': '很好啊，这个地理位置配上这个价格已经不错了。', 'star': 5}
{'descr': '虽然比较小，但是还是蛮干净的，下次去还会入住的。', 'star': 5}
{'descr': '还有早餐，只是有点吵！房间有点小，设备有点旧...', 'star': 5}
{'descr': '性价比不错，还有早餐，周围的商场很多，下次来还可以住。', 'star': 5}
{'descr': '房间小，设备旧，隔音不好。价格倒是便宜。下次要换一个住了。', 'star': 3}
{'descr': ' 房间干净，吃饭交通都很方便。下次还住这边', 'star': 3}
{'descr': '感觉一般了, 比较其他地方速8稍差,房间电话总是有问题', 'star': 1}
{'descr': '房间小 很简陋 卫生不太好 不值这个价格', 'star': 1}
{'descr': '地理位置优越，住宿环境很好\n餐饮也不错哦', 'star': 5}
{'descr': '价格适中，位置不错，条件还可以~~~~~', 'star': 5}
{'descr': ' 入住愉快', 'star': 3}
{'descr': '房间太小', 'star': 3}
{'descr': '酒店还行，位置好，临着中山路，有点吵，总体很好，', 'star': 5}
{'descr': '地理位置好，但过年时的早餐不是很好，，但总体很好。。', 'star': 5}
{'descr': '位置比较比错 商业区 交通便利 周边酒吧娱乐场所不错 去机场做大巴不远 火车站也不远 只是床有点硬 不舒服', 'star': 5}
{'descr': '整体环境不错，干净卫生，就是隔音效果不是特别好。楼下就是肯德基和湘君府，湘君府的饭上的超慢，菜量也不大也不是很便宜，还是建议去对面北国六楼吃饭。', 'star': 5}
{'descr': '酒店尚好，繁华区域，方便！', 'star': 3}
{'descr': '房间太小了，只能在床上坐，放包和挂衣服都不方便，设施沉旧，电视还不是数字，见意不要推荐', 'star': 3}
{'descr': '＋很好，不错', 'star': 3}
{'descr': '房间设施很差，早餐也很一般，下次不会再住！', 'star': 1}
{'descr': '实在是太方便了。交通非常便利，购物、就餐、看电影，找不到比这个位置更好的了。关键是还可以看凤凰卫视、星空、hbo。一个字，帅。至于住的方面，实在是太欧化了。不敢恭维！\n', 'star': 5}
{'descr': '房间内太老旧了，墙纸掉的那么多。。。\n位置是不错，同样价格可以住附近的其他快捷酒店了。', 'star': 1}
{'descr': '地理环境很优越，在市中心位置，就是有点吵，别住在邻街那面就好，卫生环境给3颗星', 'star': 5}
{'descr': '位置很好 在中心点  不过 房间设施有点陈旧 电视也不清楚', 'star': 5}
{'descr': ' 位置不错,服务很好,早餐还可以,就是沿街的房间有些吵,下次还会住而且也会推荐给朋友!', 'star': 5}
{'descr': '有点旧。', 'star': 5}
{'descr': '感觉还不错，地理位置也很好', 'star': 5}
{'descr': '住着感觉还不错，就是设施旧了一点，也缺东西，得打服务台自己要', 'star': 5}
{'descr': '这是我住过的最差的速8了，房间设施很差，连衣架都只有一个！！！', 'star': 1}
{'descr': '房间太旧了。交通位置还是不错，早餐不错。', 'star': 3}
{'descr': '这个酒店以后不要住了，装修太老化了，又不重新装修。另外前台退房的时间太长了，要是以很高的职业素质去要求他们，你会气死。', 'star': 3}
{'descr': '前台办事的速度太慢了，服务态度也不好，总感觉是客人做错了。退个房，有4、5个人在等，半天都办不完。', 'star': 1}
{'descr': '印象中比以前住的时候要旧了很多。位置还是在市中心，对面有个峨嵋小镇，吃小吃比较不错。', 'star': 3}
{'descr': '印象中比以前住的时候要旧了很多。位置还是在市中心，对面有个峨嵋小镇，吃小吃比较不错。', 'star': 1}
{'descr': '该酒店地处市中心，地理位置不错，周边交通很方便。卫生条件一般，房间内设施比较陈旧，性价比一般，早餐不错，内容很丰富。', 'star': 5}
{'descr': '早餐差,电视差,地理位置好,服务还行,房间没找到蚊香', 'star': 1}
{'descr': '交通便利,地理位置优越，比较符合要求。服务还行', 'star': 3}
{'descr': '房间内卫生，特别是死角的卫生有待提高。', 'star': 5}
{'descr': '又一次入住这家酒店，服务非常好，地段也好，朋友很喜欢！', 'star': 5}
{'descr': '地理位置优越', 'star': 5}
{'descr': '这家速八设施不是一般的差。可以免费停车是我唯一满意的地方，好像石家庄的住宿就是性价比差，位置是没的说。', 'star': 1}
{'descr': '地段很好，卫生情况一般，性价比高', 'star': 5}
{'descr': '交通便利，卫生条件好。', 'star': 5}
{'descr': '地段非常好，离北国很近，周围商业气氛浓，就是应该加强卫生的管理。', 'star': 5}
{'descr': '除了位置不错，能闹中取静外，设施一般，服务一般，楼层没有专职服务生，房间小，电视小非液晶，此外真的就很一般般了，房价较高，性价比不高，188元标间在石家庄有更好的选择，如果真的不是很在乎位置的话。', 'star': 5}
{'descr': '朋友说不错，这个价格挺超值的。', 'star': 5}
{'descr': '除了位置好，其余都不怎么样', 'star': 1}
{'descr': '交通方便，性价比高，设施服务一般！', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '还算不错，经济型酒店', 'star': 5}
{'descr': '房间舒适干净，服务人员热情友好，交通便利，有宾至如归的感觉！', 'star': 5}
{'descr': '市中心这个房价经济实惠，可能跟石家庄整体消费不高有关，房间设施也不错，推荐！', 'star': 5}
{'descr': '位置不错，别的也算可以吧。', 'star': 5}
{'descr': '房间太旧了，床也硬，除了地理位置好，其它真的太一般了。', 'star': 5}
{'descr': '除了位置上占据一些优势外，基本上没有什么了。房间超级小', 'star': 1}
{'descr': '优点：位置比较方便，周围麦当劳、肯德基、全聚德、北国商城等全有，房间干净、整洁，上网速度很快。\r\n缺点：房间太小，服务一般，隔音效果差', 'star': 5}
{'descr': '酒店的床非常暖，不舒服，看了三间房，每间的墙纸都是大面积损坏，墙角发霉。', 'star': 1}
{'descr': '位置比较好，价格略贵，但比同位置其他星级饭店就便宜多了', 'star': 5}
{'descr': '很差～～', 'star': 1}
{'descr': '地毯有异味，请及时清理地毯', 'star': 5}
{'descr': '房间不错，很安静，而且距离北国很近，逛街很方便啊', 'star': 3}
{'descr': '位置非常好，适合喜欢逛街的朋友住，周围都是商圈。交通也很便利！', 'star': 5}
{'descr': '地理位置非常好，住的也比较舒服', 'star': 5}
{'descr': '位置好，其他的很一般', 'star': 5}
{'descr': '燕春速8，位置非常好，很方便！我已去住过两次了，卫生、服务等都挺好的！只是定价比其他快捷酒店感觉稍贵，总之不错。', 'star': 5}
{'descr': '很满意，以后有机会还会再来的，谢谢！', 'star': 5}
{'descr': '条件一般，位置很好。', 'star': 5}
{'descr': '速8酒店，价格一般，地理位置就不错，会经常进住。', 'star': 3}
{'descr': '价格低，每次都住。只是在前天，因为西美4星才226元，所以这次去了西美。', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '地理位置很好，早餐没水果。下次还会住。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': ' 连锁店的特色充分体现经济实惠，还会选择 ', 'star': 5}
{'descr': '除了双早，现在还可以免费停车了，', 'star': 5}
{'descr': '地理位置不错，靠近北国商城，住宿条件一般，隔音不是太好', 'star': 5}
{'descr': '一般，交通方便但是靠马路的房间比较吵。不如选择旁边的其他酒店，不过加几十块就可以了。', 'star': 1}
{'descr': '地理位置很好，设施老化。', 'star': 5}
{'descr': '地理位置优越  环境不错  方便', 'star': 5}
{'descr': '我觉得房间环境一般，卫生不是很好，酒店也不太注意设施维护，晚上12点的时候就听到暖气响，后来让服务人员给修了，原来是该放水了，服务态度还可以，要是价格在低点就更好了  ', 'star': 3}
{'descr': '饭店在装修,很吵杂,社备太老化了,没有中央空调,房间很冷.', 'star': 1}
{'descr': '交通良好但酒店设施一般不如华庭', 'star': 1}
{'descr': '还行。值得推荐', 'star': 5}
{'descr': '我一直住这家酒店，位置还不错，出行还是较方便的，房间的卫生和设施一般，服务和性价比也一般', 'star': 3}
{'descr': '除了地理位置好 其它都比较陈旧', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '位置不错，北国对面。房间设施一般，比较陈旧，好象是老酒店改的，入住的时候房间的电话是坏的。', 'star': 5}
{'descr': '还行吧！~ 值得推荐！', 'star': 3}
{'descr': '不错 ', 'star': 3}
{'descr': '设施有些陈旧；了.服务态度还行的,位置也比较好找的出行挺方便的.性价比还是一般,我下次应该会换一家酒店的.', 'star': 3}
{'descr': '后院维修， 晚上有点吵，其他的都还凑合。', 'star': 5}
{'descr': '这个酒店的设施及内部装修和一般的商务酒店比相差很远,住了一晚,比较失望,不会再住了.内部装修的很粗糙,另外房间很小,我住的是大床房,床和桌子之间勉强放进一个椅子,但是就没有办法过人了.和价格相仿的如家快捷,锦江之星是没有办法比的.', 'star': 3}
{'descr': '这个酒店的设施及内部装修和一般的商务酒店比相差很远,住了一晚,比较失望,不会再住了.内部装修的很粗糙,另外房间很小,我住的是大床房,床和桌子之间勉强放进一个椅子,但是就没有办法过人了.和价格相仿的如家快捷,锦江之星是没有办法比的.', 'star': 1}
{'descr': '总的来说还行吧~~！', 'star': 5}
{'descr': '不错交通方便', 'star': 5}
{'descr': '位置不错，但大变样行动搞得无法停车；房间内毛巾非常旧，影响情绪，两个枕头全是喷胶棉的不舒服，', 'star': 1}
{'descr': '价格还是比较低的,环境比较一般,其他方面还可以,卫生和服务做的还好,比较满意', 'star': 3}
{'descr': '设施太差，条件也很差，设备太老，也没什么服务，就是位置非常好', 'star': 3}
{'descr': '房间浴室里的洗发液和淋浴露都那种袋装的,这样使用起来很不方便,住宿环境还是可以的,价格也比较合理,可以推荐.', 'star': 3}
{'descr': '酒店的硬件设施和环境都比较不错的，地理位置也挺好的，交通还算方便，总的来说算是挺好的。', 'star': 3}
{'descr': '环境不好，走廊里潮乎乎的，还有异味道，特别难闻，房间里也潮，最大的优势就是位置，总的来说感觉不好，下次不会住这了 ', 'star': 1}
{'descr': '酒店的硬件条件，环境设施我觉得都很一般，除了位置好点，比较方便，不过我觉得他们对面有一个商务酒店还不错。', 'star': 5}
{'descr': '在石家庄来说，他们这个速8的位置是比较不错的，很方便，而且连锁酒店也比较干净舒服，设施基本是统一的，挺不错，价格也合适。', 'star': 5}
{'descr': '这家酒店觉得就应该还可以,住的时间不是很长,所以没有过多的感受,不过应该还不错,还是比较适合商务入住的.', 'star': 5}
{'descr': '首先酒店的接待人员就一个，我办理入住时服务员接个电话，20多分钟，楞是没人搭理我，其次设施陈旧，强面都脱落，价格还可以吧', 'star': 1}
{'descr': '这家酒店去我办事的地方特别方便，一直住这，环境还可以，价格也可以接受，整体感觉可以推荐 ', 'star': 5}
{'descr': '酒店的硬件条件和服务都比较一般，但是位置还不错，挺方便的，条件就一般了。', 'star': 1}
{'descr': '酒店的服务还是挺热情周到的,设施有些陈旧了,卫生方面还需要加强改进,整体感觉价格还是蛮实惠的.', 'star': 5}
{'descr': '酒店的经济实惠，舒适整洁，符合快捷酒店的条件，不错', 'star': 5}
{'descr': '酒店很不错,干净舒适,价格也比较合理;位置很好,交通方便.', 'star': 5}
{'descr': '硬件设施比较陈旧,我比较喜欢入住一些比较新的酒店,这家酒店比较陈旧,但是位置非常好.', 'star': 1}
{'descr': '酒店的硬件设施和服务都比较一般，房间也挺小的，但是位置不错，而且价格也不贵，个人住的话，没有什么问题。', 'star': 5}
{'descr': '估计是我住过所有速8中设施最差的一家\r\n除了地理位置好其余无话好说', 'star': 1}
{'descr': '酒店觉得还不错，房间比较干净，服务有不错，要是价格在低一些就更合理了', 'star': 5}
{'descr': '该酒店位置还行，价格偏高，服务一般，比如一般的手机充电器都没有，擦鞋机也没有，设施一般，', 'star': 5}
{'descr': '感觉酒店一般，位置不错，交通比较方便', 'star': 5}
{'descr': '酒店的地理位置和价位还不错,内部设施和装潢很勉强,只能说还说得过去.如果能有比它更好的,以后会放弃这家.', 'star': 5}
