{'短评内容': '相对来说比较合适的低价选择！', '短评打分': 5}
{'短评内容': '就是一个字近就是一个字近就是一个字近就是一个字近就是一个字近就是一个字近', '短评打分': 5}
{'短评内容': '价格适中，很干净，地理位置不错，去关闸步行7.8分钟，很方便，关闸有去各大赌场的免费巴士', '短评打分': 5}
{'短评内容': '环境还好。性价比高。可以选择，但离大三巴远了点。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '干净,服务好,出行方便,5分钟步行到拱北,超值阿!!!!!', '短评打分': 5}
{'短评内容': '还是比较方便，就在关闸这里，卫生也不错，电视频道也很多。', '短评打分': 5}
{'短评内容': '环境不错，交通还算方便，澳门本来就小，到关闸坐坐酒店班车还蛮方便的~', '短评打分': 5}
{'短评内容': '房间蛮大蛮干净的，洗手间也干净，前台只有一个人，总是很忙，不过态度OK，附近就是拱北口岸，去珠海很方便。', '短评打分': 5}
{'短评内容': '离关闸很近，步行十分钟的样子\n\n设施就是国内经济型酒店的样子，这个价格已经很OK啦', '短评打分': 5}
{'短评内容': '不错的一家酒店，酒店对面一一家小饭店.好吃不贵，酒店的服务有待提高，房间有味。', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 3}
{'短评内容': '洒店离口岸很近.虽然房间小点但很温心.干净.吃玩很方便.价格也合适.', '短评打分': 5}
{'短评内容': '澳门维多利亚酒店条件不错,服务也还行,比香港豪境酒店强多了,多的这100港币很值!', '短评打分': 3}
{'短评内容': '本家酒店服务态度很好，条件设施也挺不错的。环境干净，整洁。洗澡的水也很大很舒服。推荐大家入住。', '短评打分': 5}
{'短评内容': '房间很干净，离关闸近，性价比很高的一个酒店~！\n酒店附件没有澳门地道小吃，都是茶餐厅，价格很公道~ \n', '短评打分': 5}
{'短评内容': '这家酒店房间还算比较大，比香港的酒店要大多了，也很干净，设施也很全，离关闸也很近，走路10分钟吧，酒店的外观很漂亮，服务也不错，性价比不错，以后还会住这家吧。', '短评打分': 5}
{'短评内容': '位置不大好，房间不大，但价格确实便宜，如果白天在赌场玩，回来就睡觉，划得来', '短评打分': 5}
{'短评内容': '虽然服务态度很好，也离口岸很近，但房间太小，感觉自己不像住酒店，像住宾馆，加上我订的是豪华房，但与标准房是一样的。', '短评打分': 1}
{'短评内容': '离拱北口岸相对来说比较近，走走还是有点距离的，尤其是拖着行李箱，打车不是很方便，离市区也较远，下次不会住了', '短评打分': 1}
{'短评内容': '离关口很近，很方便，特别是价格便宜，值得推荐', '短评打分': 5}
{'短评内容': '酒店挺干净，挺新，离关闸很近，价格好便宜，唯一不好的是离商业街中心太远，一个东一个西，打的一趟要三十！', '短评打分': 3}
{'短评内容': '交通方便，出了拱北口岸对面一条马路直走8分钟就到酒店了。从拱北口岸可以坐很多免费巴士往返澳门各景点，回酒店也方便。酒店面积也蛮大的，挺好的。就是要注意检查茶杯啊什么的，要不然有一点点缺口都会让你赔的。', '短评打分': 5}
{'短评内容': '出了关口径直向前走就能找到。还是很方便的。周围也很热闹。就是房间有一股闷了很久的味道，似乎很久没人住的感觉。只不过是找个地方休息一天，如果对住宿条件要求不高，这家店还是很不错的。', '短评打分': 5}
{'短评内容': '好找，在路边。也许是澳门这个地方的关系，有些贵，条件一般。', '短评打分': 5}
{'短评内容': '离拱北关口很近 交通满方便的 附近就有便利店 就是离各个景点比较远。 酒店比较旧，但是还算干净。', '短评打分': 5}
{'短评内容': '酒店近关闸，过了关闸，沿直路一直走就到，酒店附近有银行，兑换货币很方便。酒店出行也方便，各赌场均有车来往关闸。酒店还可以。', '短评打分': 5}
{'短评内容': '澳門便宜酒店位於海關口走路十分鐘可達交通方便', '短评打分': 5}
{'短评内容': '酒店的位置很好，距离澳门闸口很近！交通方便！房间还有免费的基督教书籍', '短评打分': 3}
{'短评内容': ' 优点是离关闸很近 房间比较干净  前台服务好  餐厅吃饭方便  缺点是房间风扇噪音大 窗外的声音也很大', '短评打分': 3}
{'短评内容': '酒店性价比很高了~房间小，但是设施很全的。很干净。打车到永利那边的赌场25港币这样。酒店周围气氛是最最普通的澳门市民生活区，感觉挺有意思的，可以融入他们的生活中，小商店也很多，卖什么的都有。离拱北也很近的。', '短评打分': 5}
{'短评内容': '还比较干净', '短评打分': 3}
{'短评内容': '己入住', '短评打分': 3}
{'短评内容': '不错，满意，离口岸近，很方便，下次还会来的', '短评打分': 5}
{'短评内容': '我觉得环境还是比较好的，前台的服务也很热情，就是到了最后网没有上去，但是很感谢工作人员一次次跑上跑下。', '短评打分': 5}
{'短评内容': '很好的酒店,服务,卫生很好.靠近市区,吃饭很方便,购物要乘车到中环,交通也很方便', '短评打分': 5}
{'短评内容': '位置好 价格不错 ，性价比高，位置好 价格不错 ，性价比高位置好 价格不错 ，性价比高', '短评打分': 5}
{'短评内容': '酒店总体还不错，就是离市中心有点路程，周围也没有什么地方可以逛逛', '短评打分': 5}
{'短评内容': '设施略旧，但是干净。设施齐全。桌上有圣经……有网线，无转换插头。到了港澳码头打车过去十几分钟就到了，大约需要二三十MOP。距离拱北关口步行5分钟可达，到了关口前面有很多免费赌场巴士可乘坐。（例如葡京赌场距离大三巴步行仅需3分钟……你懂的~）楼下保安很热情~回答问题很仔细！附近有便利店和凉茶铺。', '短评打分': 5}
{'短评内容': '离拱北口岸非常近，方便从珠海进入，但是酒店周边的环境卫生挺次的，酒店服务很次，就一个服务员什么都当，一会儿是前台一会儿是门童。', '短评打分': 5}
{'短评内容': '这家酒店外观还行 但内部明显陈旧 唯一的优点是离拱北口岸很近 不行5分钟左右', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '总之方便是肯定的，交通也很方便，下次去还要再订这家酒店，出门在外图的也就是个方便嘛', '短评打分': 5}
{'短评内容': '价格实惠，酒店设施陈旧，虽然是澳门旅游局公布的三星级酒店，但是说句实话，这档次和设计以及服务和三星差远了。不过过珠海确实很近，吃东西也还方便。就我清明节这个小高峰出游所限（涨价），还凑合。', '短评打分': 5}
{'短评内容': '昨天已经成功并完成入住澳门维多利亚酒店.', '短评打分': 3}
{'短评内容': 'quite well.~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '离关闸很近，过了海关走路大约15分钟就到， 去葡京那边有很多路公交', '短评打分': 5}
{'短评内容': '好酒店', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还不错，性价比高，酒店里拱北关口很近，打车方便', '短评打分': 5}
{'短评内容': '酒店前台服务人员比较好，热情周到。房间虽然小一点，但很干净。卫生间热水很大，是这一类经济型酒店中最好的的一家。', '短评打分': 5}
{'短评内容': '距离拱北海关很近，走路才6-7分钟，边上还可以找到盛记的白粥，然后交通可以通过赌场免费的穿梭巴士到关闸。。。。\n酒店较老，不过还算干净和舒适。。。', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好和好很好很好很好很好很好\n', '短评打分': 5}
{'短评内容': '地理位置好,出了拱北口岸一直往南走就到了,不是很远,不行就可以,房间干净整洁,设施齐全,价格也很公道.门口就有公交车,很方便.', '短评打分': 5}
{'短评内容': 'Good but no good in environment', '短评打分': 5}
{'短评内容': 'Good but the environment is no good.', '短评打分': 5}
{'短评内容': '交通方便，对住宿环境要求不高的人来说可入住', '短评打分': 5}
{'短评内容': '服务很好。\n房间也很好。...\n我要再来', '短评打分': 5}
{'短评内容': ' 很好的酒店！！我喜欢！！！', '短评打分': 3}
{'短评内容': '旅游渡假可以选择，还不错的酒店！', '短评打分': 3}
{'短评内容': '维多利亚酒店环境不错，房间空间可能有点小，但不影响它的舒适度，价钱比较合理，卫生条件还算好，二楼有酒楼，吃饭吃早餐比较方便！', '短评打分': 5}
{'短评内容': '很好的酒店,离拱北很近,进赌场也方便,不错!!!', '短评打分': 5}
{'短评内容': '每次都住这家,不过这次房间有点冷.房间很大,周围交通也很方便.', '短评打分': 5}
{'短评内容': '酒店离关闸确实很近，不过我们没有享受到这个便利，过关后，因为没啥行李，直接在关闸坐威利斯人的车先去玩了，晚上8点多钟从新马路坐公车去的酒店，也方便，有几路车就在酒店旁边。酒店设施虽然有点旧，但卫生还不错，比较干净，推荐入住。下次再去澳门，除非能享受高级酒店（嘿嘿），经济型酒店还会选它。', '短评打分': 5}
{'短评内容': '靠近拱北口，位置很方便。酒店外观还是挺气派的，可是里面小的可怜，加了张床，结果是张很窄的折叠床，整个屋子挤的没地方下脚，房间也很闷。卫生间很小，倒是洗漱用品都有，不过貌似有小强……反正真的是只能洗个热水澡睡个觉的地方，因为靠近关闸，所以交通也算是方便。', '短评打分': 1}
{'短评内容': '酒店离关口比较近，关口有到各大娱乐场所的班车，非常方便，遗憾的是酒店房间比较小', '短评打分': 5}
{'短评内容': '出关方便，门口有多条公交车。房间干净卫生。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '酒店不错，卫生很好。', '短评打分': 3}
{'短评内容': '酒店交通方便', '短评打分': 3}
{'短评内容': '从关闸出来正对面的马路，步行8-10分钟可以到酒店，内部设施很一般，这个价格相对于当地的收入水平，已经很低了，相当于国内的招待所。路边便利店招售货员，底薪8000MOP，另加提成。对于内地游客来说，潮气太重进去都有很大的霉味，不过对于旅游者来说洗个热水澡，睡一宿好觉就成啦。\n半夜隔壁入住的两位性致很高，估计大战了三四回合，从午夜到早上起来，都能听见叫床的声音，唉，年轻真好啊。不过，也可能是药效好。', '短评打分': 5}
{'短评内容': '入住后感觉比想象的要好确实值得推荐', '短评打分': 3}
{'短评内容': '房间比较干净，靠近关闸，交通比较方便，价格也很实惠', '短评打分': 5}
{'短评内容': '房间还可以，也安静，在澳门这个价格算可以了。到拱门北口岸关很方便。', '短评打分': 3}
{'短评内容': '该酒店都不错···\n喜爱\n下次还会去澳门去这里', '短评打分': 5}
{'短评内容': '酒店离关闸很近，十几分钟就到了，房间不大，但房价便宜。', '短评打分': 3}
{'短评内容': '在澳门来说是比较便宜的\n只是服务态度不好，晚上也非常吵，几乎没睡着', '短评打分': 1}
{'短评内容': '房間是蠻乾淨的.缺點就是離各大賭場太遠了.打得去威尼詩人要70元', '短评打分': 1}
{'短评内容': '地理位置比较偏僻,床板很硬,睡的不舒服,服务也不好,价格也比较贵', '短评打分': 1}
{'短评内容': '在澳门来说算是比较便宜的酒店了，位置在一堆看起来贫民窟的地方，当然澳门本来就那么点大地方出了大三巴附近挺好的外其他地方都很差，酒店附近公交比较方便，3路车可以从港澳码头做到赛狗场，然后走一小段就看到了一个鹤立鸡群的楼就是了，打的比较困难。。。要留有足够的时间去坐公交到码头，期待打的会误船的。', '短评打分': 5}
{'短评内容': '从拱北口岸过关后步行就可到达，马路对面就是公车站，交通便利\n酒店服务很好，入住订单出了点问题，但她们还是先让我入住才来确认解决方案\n只是设施稍显陈旧，不过不影响入住啦\n总体评价，性价比不错。\n下次再去还会留意它', '短评打分': 5}
{'短评内容': '这家酒店性价比还好~~~麻雀虽小，但五脏俱全，地方挺干净~~~但床小了一些，觉得双人大床应大一些~~~好挤的！！在澳门这个价格的酒店算不错的~~虽然不认识各地方怎么走，但是走着走着其实去娱乐的地方也不算远，交通也挺方便~~~以后有机会可以再选择这家酒店！！！', '短评打分': 5}
{'短评内容': '总体还不错。离关闸也不远，大约走10分钟。', '短评打分': 5}
{'短评内容': '维多利亚酒店离关口很近,可以搭乘很多免费班车,双床房床很大:大约1.2米宽度,房间很干净.比较满意.', '短评打分': 3}
{'短评内容': '位置还是不错，酒店外观看起还行，是欧式风格，但内部有点霉味，床有点硬。因为元旦价格双标才MOP531，在澳门来说，性价比还是可以的。', '短评打分': 5}
{'短评内容': '虽然小但细节做得很好，窗户不能开，空气不太好，能拿到414元算很便宜的了。', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 3}
{'短评内容': '还不错，较方便。服务也不错，价格也还可以', '短评打分': 5}
{'短评内容': '酒店感觉不错，房间干净舒适，在澳门这样的环境很不错的！下次还会订的', '短评打分': 5}
{'短评内容': '酒店挺舒适的，很干净，就是离葡京远了点。', '短评打分': 3}
{'短评内容': '还好，就是贵了点，设施较好，地理位置较好！', '短评打分': 5}
{'短评内容': '環境挺好的.很對的起這個價錢...離關口超近的說/', '短评打分': 5}
{'短评内容': '    靠近关闸，8分钟内步行至关闸就可以坐免费大巴到各大娱乐场，而且多数员工都是国内劳务输入人员，沟通无障碍，唯一的缺点就是酒店有些年头了，房间小了点，不过想想5星级的丽景湾也不过如此。', '短评打分': 5}
{'短评内容': '酒店性价比很高，到关闸就是直线距离10分钟路程，可以步行到关闸到各酒店的免费巴士。', '短评打分': 5}
{'短评内容': '还可以。就系有呢吵。环境好可以。房间还几大的', '短评打分': 5}
{'短评内容': '距离拱北口岸非常近,走过去即可.有免费上网专区.总体感觉是性能价格比很好.下次继续住.', '短评打分': 5}
{'短评内容': '酒店离关闸蛮近的，走过去大概10分钟左右就可以换乘到免费班车去葡京、威尼斯人等著名的旅游景点。房间么小了点，但还算干净，前台服务不错，价格也不算贵。', '短评打分': 5}
{'短评内容': '环境还可以，服务员态度也不错。靠近关闸，交通都采用步行到关闸（大约5分钟左右吧）再乘车的方式。主要澳门也挺小，到其他地方还算方便', '短评打分': 5}
{'短评内容': '很干净服务业很好！离关口很近很方便！从酒店到关口打的起步价~走路8分钟~~~', '短评打分': 5}
{'短评内容': '我觉得这里卫生搞的挺干净床铺宽度也比此前住的七十、八十公分要宽些挺好的', '短评打分': 3}
{'短评内容': '从珠海入境很方便，性价比较高的酒店', '短评打分': 3}
{'短评内容': '很一般的酒店，物美价廉吧。离港澳码头比较远，而且服务员的服务水平一般，估计没有培养就上岗了。不提醒退押金，导致出关后又回来要押金。', '短评打分': 5}
{'短评内容': '酒店离关闸很近，出关后沿关闸马路走不到10分钟就能见到酒店。酒店地处老城区，可回到关闸口坐到各娱乐中心直达班车，很方便。', '短评打分': 5}
{'短评内容': '我选择的是该酒店的大床房 虽然只入住了一宿 但是对该酒店的客房硬件非常满意 卫生间很干净 开窗通风很舒适~ 而且该酒店离珠海拱北口岸非常近 我还没看够路边的风景 就已经为司机提示：到了！打车只花了10多块澳门币 ', '短评打分': 5}
{'短评内容': '最大的优点是离拱北口岸近。\n房间较小，设施也比较陈旧。\n不过算对得起440mop的价格', '短评打分': 5}
{'短评内容': '还行吧，就是有点吵了，勉强住住，毕竟便宜嘛！还行吧，就是有点吵了，勉强住住，毕竟便宜嘛！', '短评打分': 5}
{'短评内容': '酒店离关闸很近步行十几分钟就能到达，酒店还算干净就是设施非常陈旧，房间也很小，但房价便宜也只能这样了', '短评打分': 3}
{'短评内容': '干净，便捷，很适合旅游，服务员很周到。性价比比较高', '短评打分': 5}
{'短评内容': '该酒店离商业及娱乐场所不是很远、交通也方便、服务态度和卫生环境也行、市内设施一般，但在澳门该酒店的性价比还行，本人就常住该酒店。', '短评打分': 5}
{'短评内容': '地方太小，房间里空气不好', '短评打分': 3}
