{'短评内容': '周边相对性价比比较高的酒店了。', '短评打分': 5}
{'短评内容': '晚上到的，房间还留着。已入住，大床房适合一人住，房间干净，价格便宜。', '短评打分': 5}
{'短评内容': ' 房间干净整洁，就是地方有点小。 我住的是大床房\n', '短评打分': 3}
{'短评内容': '温馨，舒适', '短评打分': 5}
{'短评内容': '设施不错，还可以，屋子有点小，但其他的还好', '短评打分': 5}
{'短评内容': '＋还不错，房间挺大的', '短评打分': 3}
{'短评内容': '实在是太小了，太小了，态度也不是很好，需要培训', '短评打分': 1}
{'短评内容': '这家店还不错，但是打车的时候说地址司机不知道，说三中都知道', '短评打分': 5}
{'短评内容': '位置不错,早饭还可以,房间太小,除了在床上,地上基本上没空间', '短评打分': 5}
{'短评内容': '此行最失望的酒店。有异味、网速慢、房间小！', '短评打分': 1}
{'短评内容': '干净、友好、舒适。靠马路的这边稍微有点吵，但不影响我对这里的好感。', '短评打分': 5}
{'短评内容': '便宜，性价比挺高的， 如果是亲戚来住可以了', '短评打分': 5}
{'短评内容': '设施还行,就是上网不行,像蜗牛!一班人会疯的!', '短评打分': 5}
{'短评内容': '感觉还不错的，价位低，环境也还好。', '短评打分': 3}
{'短评内容': '还可以，就是床上用品不是每天换。', '短评打分': 3}
{'短评内容': '酒店不错，交通方便。房间设施较好，干净卫生。晚上隔音不错。', '短评打分': 5}
{'短评内容': '就是地方小点~其他的都很好，性价比不错~~下次还住这个地方', '短评打分': 5}
{'短评内容': '已经是第二次入住了，房间除了小点，其他都很不错，干净整洁，服务也好，绝对物有所值。早餐很丰盛价格也便宜，旁边就是生活广场，超市、购物、吃饭都很方便。', '短评打分': 5}
{'短评内容': '看了之前的评价，没订109元的房间，订了豪华房，结果很满意。房间比较大，液晶电视，办公桌不小啊，服务也挺好的，尤其是餐厅，很厚道。当然，也有缺点：卫生间确实如网上所说，下水很慢，洗澡时脚都泡在水里到脚面了；上网太慢，传10多兆的照片，花了一个小时都还失败。', '短评打分': 5}
{'短评内容': '给错房间，还让客人帮他们补差价，什么道理啊', '短评打分': 1}
{'短评内容': '服务态度太差劲了，第二次入住了。毛巾有问题，说是顾客造成的，让顾客赔偿。与客房经理沟通，反馈意见，宁愿相信他们的员工，也不愿意相信顾客。这是什么服务理念？', '短评打分': 1}
{'短评内容': '酒店地理位置还可以，就是房间小了点，总体来说还算可以。', '短评打分': 5}
{'短评内容': '房间太小，无法放东西，价格虽然看上去不贵（109元天），但相对铁岭这个大城市，在这个淡季来说，还是不便宜。就是在大连这种旅游城市，现在这个淡季，109元也能找到比这条件好的宾馆。', '短评打分': 5}
{'短评内容': '总体还可以，就是房间有点小，可以订餐，挺暖和的!', '短评打分': 3}
{'短评内容': '＋环境还可以，房间比想象的小，但是服务态度不好，给中评', '短评打分': 3}
{'短评内容': '性价比挺高的，卫生环境也不错。入住时间的安排上不够人性化，我们的火车是凌晨4点左右到的铁岭，5点刚过到的酒店，结果不让入住，非要等到6点过。郁闷！', '短评打分': 5}
{'短评内容': '还不错！就是有点小了，但是真的很干净啊！', '短评打分': 5}
{'短评内容': '虽然房间小了一些 但性价比较高 不过就是毛巾浴巾破旧一些 应该更换一下了吧 ', '短评打分': 5}
{'短评内容': '酒店干净温暖不错', '短评打分': 3}
{'短评内容': '入住东杉美昱，环境感觉还不错，服务态度也很好 ，价格比较合理！比较划算！交通便利！周围有购物广场！值得推荐！', '短评打分': 3}
{'短评内容': '第二次入住，干净方便，服务态度好！', '短评打分': 3}
{'短评内容': ' 环境不错 而且周边吃饭和玩的地方也挺多', '短评打分': 3}
{'短评内容': '第2次去了，各方面都不错，价钱也很公道，唯一就是卫生间地漏下水太慢了，洗澡不太方便', '短评打分': 5}
{'短评内容': '环境很不错，位置也挺好，附近有很多饭店，有家韩餐不错。停车很方便，后院是个驾校，很安全。', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '一般一般一般随便住住一般一般一般随便住住', '短评打分': 1}
{'短评内容': '住时感觉房间小点，可是还算房间比较干净，但是网速太慢，下载文件像蜗牛的速度，如果想上网冲浪的话，恐怕会失望。服务还算可以。入', '短评打分': 1}
{'短评内容': '还不错，房间跟照片上的一样，装修也可以，价钱比较合理................................................', '短评打分': 5}
{'短评内容': '房间很干净,服务也好.', '短评打分': 3}
{'短评内容': '酒店还是不错的  住的是109的房间 感觉性价比还不错  虽然房间有些小 但比较精致 \n布局很合理  而且酒店位置很好 旁边就是兴隆大家庭  买东西也方便  另外说一点最满意的地方 房间的网速很快 能到1m每秒  值得推荐', '短评打分': 5}
{'短评内容': '＋房间太小，只能说一般！', '短评打分': 3}
{'短评内容': '一行十八人自驾游到东北，回程时选择停在铁岭这个“大城市”，到店时间很晚，酒店一直为我们保留房间，并且提供热情的服务。酒店位置很好找，早餐10元很值！房间干净，家庭房比较宽敞，最吸引我们的一点是后院有很大的停车场，非常适合自驾游的朋友。\n', '短评打分': 5}
{'短评内容': '不错 挺好的  也好找  挺干净  就是淋浴不好  下水道 不下水  哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦', '短评打分': 5}
{'短评内容': '服务较好，房间稍微小了一点。。很安静，只是浴室有点墙皮掉皮了，不过没什么太大影响。浴巾每天都是有服务员给你更换，尤其赞三楼做卫生的阿姨很贴心。', '短评打分': 5}
{'短评内容': '位置好，并且非常好找。我们的到店时间比原定的留房时间晚了近一个小时，但是宾馆前台服务人员非常理解我们自驾游对时间的不确定性，一直给我们保留了6间房到晚上10:30。这家酒店是我们一路走下来，房价最便宜的一间，大床房109，标间148.后院有很大的停车场，非常适合自驾游的朋友。对面有烧烤店，开到晚上11点。早餐每人10元，不包含在房费中，但是很值，绝对是吃饱又吃好。', '短评打分': 5}
{'短评内容': '大床房床有够大，就是房间太小，没多少地方放东西。网线在床头柜后面，没地方放电脑，只能把电脑放床上。交通还是蛮便利的，有公交直达火车站。还有就是不能刷卡，希望能改进。总的来说还是性价比比较高的，值得住。', '短评打分': 5}
{'短评内容': '感觉不错，很满意', '短评打分': 3}
{'短评内容': '服务很不错///////////////', '短评打分': 5}
{'短评内容': '干净舒适，交通便利。', '短评打分': 3}
{'短评内容': ' 环境还行 就是一面室内墙掉皮拉 请及时修理', '短评打分': 3}
{'短评内容': '质价相符，餐厅做菜太一般了水平', '短评打分': 3}
{'短评内容': '性价比不错，服务也尚可。', '短评打分': 3}
{'短评内容': '这家快捷酒店价格便宜,服务态度尚好.但浴室排水不好,往住室溢水,很烦人.', '短评打分': 3}
{'短评内容': '在铁岭，这个店算不错的了，经济型酒店，还可以', '短评打分': 5}
{'短评内容': '环境很好，特别是餐厅很漂亮，价钱也很便宜，离车站也近，一个起步费就到了', '短评打分': 5}
{'短评内容': '帮朋友订的 朋友说还可以吧 位置不是很方便 ', '短评打分': 5}
{'短评内容': '马马虎虎的酒店，不过对得起价格，在铁岭也算不错的', '短评打分': 5}
{'短评内容': '价格比较合理！房间小了点！但是功能很全！很方便！', '短评打分': 5}
{'短评内容': '一般,没什么突出优点,倒也说得过去.本来也没有期望过高.', '短评打分': 5}
{'短评内容': '这家酒店很好，后院还有停车场，方便司机，客房很干净。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '总体不错的，就是房间小了点，不过位置挺好，购物吃饭都很方便，卫生还行。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '还可以啦！                                         服务挺好。                  ', '短评打分': 5}
{'短评内容': '不错，                               推荐！', '短评打分': 5}
{'短评内容': '不错，支持。  在铁岭算是性价比还可以的酒店 了                                                   ', '短评打分': 5}
{'短评内容': '支持！                                  支持啦！', '短评打分': 5}
{'短评内容': '服务态度挺好的，服务员长的也挺漂亮，除了房间有点小，其他方面都可以。', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '挺好的，服务态度不错，卫生也干净，就是房间有点小，活动空间有点紧。。', '短评打分': 5}
{'短评内容': '环境干净，晚上吃东西比较方便。就是隔音稍差点', '短评打分': 5}
{'短评内容': '舒服 感觉到家了 尤其是大床非常舒服 交通也比较方便 打车也不贵 服务态度也不错 ', '短评打分': 5}
{'短评内容': '房间不错，价格还可以，卫生做得也好，最满意的就是上网速度相当快，支持下哦！', '短评打分': 5}
{'短评内容': '房间太小了，也少了张坐的椅子，建议得改善一下…', '短评打分': 3}
{'短评内容': '房间还可以，下次还会考虑，但是不能刷卡不太方便。', '短评打分': 3}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '地理位置挺好的，卫生干净，价格比较合适，服务态度挺好，推荐啦！', '短评打分': 5}
{'短评内容': '房间虽小点，但很卫生，床很舒适，电视清晰，网速也可以，总体性价比不错。', '短评打分': 3}
{'短评内容': '挺好的!', '短评打分': 3}
{'短评内容': '位置不错，距离兴隆生活广场很近，铁岭城南商业区，就是房间稍微小了点，支持！', '短评打分': 5}
{'短评内容': '地理位置理想，酒店设施尚可。还算舒服。饭菜可口。', '短评打分': 5}
{'短评内容': '东杉美昱酒店环境很不错，温馨舒适。', '短评打分': 3}
{'短评内容': '酒店不错,价格合理,设施完善。', '短评打分': 3}
{'短评内容': '还不错，服务态度也挺好的，主要是交通方便，附近该有的东西都有，银行，药店，各种小吃，很方便', '短评打分': 5}
{'短评内容': '房间设施还比较干净；不过前台服务员的态度有待提高', '短评打分': 5}
{'短评内容': '已进住谢谢', '短评打分': 3}
{'短评内容': '挺实惠的，比较干净，顶一个吧！就是房间小了点，桌子被电视都占了一半。', '短评打分': 5}
{'短评内容': '墙皮都没了，太可怕了！!!!!!!!!!!!!!!!!!!!!!', '短评打分': 1}
{'短评内容': '很满意\r', '短评打分': 3}
{'短评内容': '总体来说还不错，就是房间小了点，然后浴室设计的不是很好，容易跑水到卧室，别的还都可以', '短评打分': 5}
{'短评内容': '环境不错，服务很好。', '短评打分': 3}
{'短评内容': '不错，卫生比较好，隔音效果也不错的，就是桌子小，上网不是很方便！', '短评打分': 5}
{'短评内容': '挺好 不错，地方干净 装修很精致 值得推荐\n挺好 不错，地方干净 装修很精致 值得推荐', '短评打分': 5}
{'短评内容': '总体不错，就是房间桌子小，地方小了点，尽量弄个能放电脑的桌子吧，嘿嘿', '短评打分': 5}
{'短评内容': '冬天有点冷，设备有点陈旧，房间小，但是很干净，热水慢', '短评打分': 5}
{'短评内容': '+位置还可以，房间太旧，有些地方都掉皮了', '短评打分': 5}
{'短评内容': '感觉真的还不错,干净,设施齐全,只是空间稍微狭小了些,听说才开业一年多', '短评打分': 3}
{'短评内容': '房间较小，性价比还可以接受，但酒店前台挂出特价房99元，比网上订少10元，咋解释？', '短评打分': 5}
{'短评内容': '真的不错，比我们想象的便宜，还干净，听说他家是一家较新的店，开业才一年多些', '短评打分': 5}
{'短评内容': '+酒店干净，环境很好，就是房间太小了！', '短评打分': 5}
{'短评内容': '整体还不错，卫生确实不错，就是房间地方小了点，想用个电脑不是很方便的', '短评打分': 5}
{'短评内容': '地点还方便，我住的是大床房，房间很小，卫生间很不好，一洗澡水就流的满地都是，都能流进卧室，整个屋子摆满了销售商品，不管是吃的还是用的，房间没有椅子，桌子上除了销售的商品没有多余的地方放东西，不是很喜欢。', '短评打分': 1}
{'短评内容': '最大的优点就是，房间很干净，卫生方面做的很到位，只是房间有点小，放电脑不是很方便，希望以后做的更好！', '短评打分': 5}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 1}
{'短评内容': '房间很干净，就是房间太小了，桌子上连放笔记本的地方都没有。', '短评打分': 5}
{'短评内容': '这家快捷酒店很不错，设施齐全，卫生服务都很好', '短评打分': 3}
{'短评内容': '这家快捷酒店还是很不错的，虽然都说房间偏小，但是设施齐全，服务态度好，很干净。', '短评打分': 5}
{'短评内容': '价格很公道,设施也很人性化,壁画很温馨,总的来说很好!下次还会住他家!', '短评打分': 3}
{'短评内容': '价格很公道,设施也很人性化,壁画很温馨,总的来说很好!下次还会住他家!', '短评打分': 5}
{'短评内容': '酒店位置很好，服务也很周到，主要就是性价比高。', '短评打分': 5}
{'短评内容': '房间太破了，大厅不错', '短评打分': 5}
{'短评内容': '房间不是很大，但是比较干净；酒店点餐服务也不错；唯一遗憾的是不能延时退房；再加上遇到铁岭百年没有的大雨，酒店门前都能摆船了，印象极其深刻。', '短评打分': 5}
{'短评内容': '房间比较小，内部设施也一般。', '短评打分': 5}
{'短评内容': '性价比还可以 ', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 5}
{'短评内容': '卫生条件和地理位置都不错,但是房间的窗户有漏风的现象,晚上比较冷', '短评打分': 1}
{'短评内容': '房间有点小！', '短评打分': 5}
{'短评内容': '不错的快捷酒店', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 5}
{'短评内容': '酒店环境挺不错的,房间打扫的挺干净,设施也比较齐全.周边环境也比较不错,出行挺方便的,整体感觉性价比还是不错的.', '短评打分': 3}
{'短评内容': '服务员服务态度极差！！！！！！太气人了', '短评打分': 1}
{'短评内容': '一个商务酒店, 卫生比较好, 房型紧凑, 但这个价位接收了.', '短评打分': 3}
{'短评内容': '我住的109块的房间，布局稍微有点奇怪，进门是洗手池，其他方面还可以，用了几次服务电话，回答也还算到位，不能提供火车时刻表等咨询，位置离火车站步行有点远，不过门口就有公交车，出租车也就5块钱，性价比比较高的一家经济酒店，一些细节设施有待提高。', '短评打分': 5}
{'短评内容': '首先酒店结帐的时候是不能刷卡的,而且房间的面积非常小,环境一很,位置有些偏,价格略显偏高.', '短评打分': 3}
{'短评内容': '酒店比较干净，很卫生，服务也比较周到，地理位置也很便捷，就是酒店不能刷卡，这点不太好，其他都不错', '短评打分': 3}
{'短评内容': '地理位置不错 就是屋太小 说是免费宽带不假  可连个电脑都没有 还没有营口的好呢 营口100还带电脑 但服务态度还是不错的  ', '短评打分': 5}
{'短评内容': '服务意识不到位,晚饭也没有', '短评打分': 1}
