{'短评内容': '以后看来不能住了。', '短评打分': 3}
{'短评内容': '酒店的环境很好，幽静，显档次，非常适合自驾游的朋友。“十一”黄金周期间，与杭州同级别的酒店相比，性价比高。离酒店较近的几个景点，如云栖竹径、白龙潭人不多，避开城市的喧哗，来这里度假休闲，与天然的氧吧为伴，确实不错。\n只是酒店价值60元的早餐品种确实不够丰富，有待改进。', '短评打分': 5}
{'短评内容': '酒店位置很偏，连出租车司机都不知道，装修有点旧了，晚上想吃自助餐，居然告诉我是为开会的客人准备的，要他们同意，那我想问这酒店到底是谁开的？', '短评打分': 1}
{'短评内容': '性价比一般，位置比较偏远，还好离我要去的地方比较近。装修还行。不过布局不好，卫生间太小。餐饮，娱乐一般。', '短评打分': 1}
{'短评内容': '已经住了多次了，环境好，设施不错，服务也可以哦', '短评打分': 5}
{'短评内容': '酒店环境不错,性价比适中!位置有点远,房间很舒服!', '短评打分': 5}
{'短评内容': '酒店地理位置不错，宽敞明亮，交通也比较方便。', '短评打分': 5}
{'短评内容': '游泳池挺好的,很适合家庭度假,早餐很一般,性价比一般,地址比较偏,比较适合自驾游', '短评打分': 5}
{'短评内容': '环境还是很好的~~可能是住客不多的原因吧~~有点冷清。。同样的原因，空调压缩机开的不足，房间里比较热，空调不给力啊，打了电话，技术人员看了下，下降了0.5度。。还是很热。同样的原因，早餐品种不多，哈哈起迟了，吃了一会就收了。。其他都满好的，都值得推荐，空调好就完美了。另外，在房间里打死一只指甲那么大的虫子！！', '短评打分': 5}
{'短评内容': '酒店在转塘，离宋城不远，但是个人感觉明显不及宋城附近的云栖和玫瑰园：\n1）住的房间无阳台（云栖每个房间都有阳台）\n2）房内设施一般般\n3）冰箱是坏的\n4）窗外的景观也一般\n\n因此总的性价比不高', '短评打分': 1}
{'短评内容': '不错的酒店，适合自驾游，服务态度很好，免费多送了我一份早餐，迎宾冒着大雨给我撑伞。比较适合夏天去。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': ' ok', '短评打分': 3}
{'短评内容': ',环境不错', '短评打分': 3}
{'短评内容': '离市中心较远，但是环境安静，适合于修闲度假。服务质量不错，对于住客的要求及意见，回复快速。前台小姐的态度再热情点就更好了。', '短评打分': 3}
{'短评内容': '订了698的丽景房，可惜房间只有一扇窗对着平台，周围的好风景完全看不到，名不副实。后来在酒店周围散步的时候发现，隔壁一两间的房间窗户朝向就不错了。有点遗憾，所以提醒下，如果订丽景房的话，1237号房还是不要考虑比较好。\n9点洗澡的时候水很凉，跟客房部沟通后有好一点。\n早餐种类不是特别多，但口味还客气。\n总的来说，值得一住，只是要挑好房间。', '短评打分': 5}
{'短评内容': ' 酒店设施一般。', '短评打分': 3}
{'短评内容': '早餐蛮不错的，房间设施一般，价格有点偏高', '短评打分': 5}
{'短评内容': '酒店环境不错，客房也很舒适，特别适合自驾车前往杭州旅行的朋友。推荐游玩西溪湿地后走灵溪隧道一线入住酒店，沿途景色特别漂亮。', '短评打分': 5}
{'短评内容': '环境很好、中菜馆的口味很好。下次还会入住', '短评打分': 5}
{'短评内容': '酒店环境不错   房间也舒适   服务快捷     只是离机场的距离是50多公里而不是15公里', '短评打分': 5}
{'短评内容': '这个酒店住了好多次，每次去杭州都住这里，不错的', '短评打分': 5}
{'短评内容': '杭州阳明谷酒店环境比较好 酒店设施也较好 但酒店没有迎宾', '短评打分': 3}
{'短评内容': '杭州阳明谷希尔假日酒店环境优美 房间宽敞干净 好', '短评打分': 3}
{'短评内容': '以前去住过，感觉不错。本次带着亲戚，朋友一起去的，包了六间房，住了两天。\n总体感觉不错。但是美中不足的是吃饭后结帐。。。要求签单退房一起结，却被\n总台服务生拒绝，说我们押金不够，要是嫌少可以事先要求多押点。。。小的地方\n影响顾客心情。。和欧美日等国相比硬件可能超越人家了，但是我看软件永远超越不了。。希望贵酒店是个例外。。。 \n', '短评打分': 5}
{'短评内容': '以前去住过，感觉不错。本次带着亲戚，朋友一起去的，包了六间房，住了两天。\n总体感觉不错。但是美中不足的是吃饭后结帐。。。要求签单退房一起结，却被\n总台服务生拒绝，说我们押金不够，要是嫌少可以事先要求多押点。。。小的地方\n影响顾客心情。。和欧美日等国相比硬件可能超越人家了，但是我看软件永远超越不了。。希望贵酒店是个例外。。。', '短评打分': 5}
{'短评内容': '硬件还不错，但是冬天房间温度很低，换了两个房间才勉强温度达标，酒店距离市区很远，服务员态度不热情', '短评打分': 1}
{'短评内容': '环境很好，早餐也不错，房间很大，比较适合度假和开会', '短评打分': 5}
{'短评内容': '酒店位置有点偏，打的好多人都不知道。房间也一般！', '短评打分': 5}
{'短评内容': '这个酒店的管理不行，游泳池是承包给个人的，人很多，实在是不称五星级酒店啊。', '短评打分': 1}
{'短评内容': '房间有点小，景色很不错，房间很干净，也很安静，很适合度假休闲，看电影是要收费的，20元一天，这个好像和其他5星宾馆不一样，总体还可以，目前还在装修，服务员的素质有待提高，不是很熟练，房门坏了。也没有检查到，开门每次都等服务员。。。总体还算可以的。。。。。', '短评打分': 5}
{'短评内容': '每次去了都会住这家酒店的，没话说了。   ', '短评打分': 5}
{'短评内容': '环境啊，服务态度啊都没的说了                  ', '短评打分': 5}
{'短评内容': '已经入住很多次，也点评多次了，一如既往的好', '短评打分': 5}
{'短评内容': '帮朋友订的，他们已经住过好多次了，还是说这家好，服务态度也很好', '短评打分': 5}
{'短评内容': '很享受，硬件设施很不错，服务态度也好，是个渡假的好地方。\r\n¤KP公主¤', '短评打分': 3}
{'短评内容': '环境很好，周围很安静，空气也很清新。。。', '短评打分': 3}
{'短评内容': '帮朋友预定的，他说环境很好，下次还会继续预定', '短评打分': 3}
{'短评内容': '帮朋友预定的，他说很满意，下次还会继续入住这家酒店', '短评打分': 5}
{'短评内容': '周围环境很好，酒店相关的配套设施比较完善，服务周到热情，下次出行还会继续订这个酒店的', '短评打分': 3}
{'短评内容': '性价比不错，入住的是丽景客房。而且周围环境很好，很适合度假入住', '短评打分': 3}
{'短评内容': '房间很不错，非常舒适，而且酒店服务态度也很好', '短评打分': 5}
{'短评内容': '环境不错，适合度假。就是附近餐饮和购物不方便。', '短评打分': 5}
{'短评内容': '很好的酒店,性价比高,洗手间也很漂亮,就是早餐一般,位置也比较偏远,度假还来', '短评打分': 5}
{'短评内容': '游泳池比较好，大堂装修的不是很好比较昏暗，办理入住的时间比较长，电视机也不好一个晚上都修了两三次，酒店的设施很糟糕，而且管理方面也有问题，位置也不是很好找，价格也很一般。', '短评打分': 1}
{'短评内容': '整体不错。', '短评打分': 5}
{'短评内容': '位置稍微有些偏，靠近杭州西面。但如果自己开车的话，就不是问题了。离宋城很近，而且10分钟开车到梅家坞。\r\n酒店硬件较新。前台居然用的是4台苹果机！', '短评打分': 3}
{'短评内容': '这家酒店比较适合渡假.条件非常好，而且性价比也是很高的.整体水平不错.', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，酒店相关的配套设施比较完善，服务周到热情，下次出行还会住的。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，酒店相关的配套设施比较完善，服务周到热情，下次出行还会住的。', '短评打分': 5}
{'短评内容': '酒店的环境很舒服，泳池很漂亮，房间布局也比较清爽舒适，是我最喜欢的酒店之一，唯一欠缺的就是餐饮，种类少，不知道吃什么，而且也没什么人吃………', '短评打分': 5}
{'短评内容': '酒店周围的风景很美，空气很清新，出门酒店还可以帮忙叫出租车，就不用自己去外面找了，方便。', '短评打分': 5}
{'短评内容': '酒店还是很有档次的，整体的配套服务设施都很不错，值得再去入住。', '短评打分': 5}
{'短评内容': '其它都不错;只是车位奇小,早餐很差;另外第一次听说“锁吧”即小冰箱及食品在客人入住时是锁着的!', '短评打分': 5}
{'短评内容': '卫生不错很干净,设施完善,地理位置交通方便,服务还可以,感觉床有些硬睡着不舒服,总体来说还是不错的', '短评打分': 3}
{'短评内容': '位置有点偏，出行不是很方便，不过这是一家新酒店，房间的卫生和设施还不错，作为一家5星酒店餐饮不配不齐全，服务还可以', '短评打分': 3}
{'短评内容': '周围的环境还是比较安静我个人还是比较喜欢的,房间的设施和卫生方面也挺不错的,价格也很合适,挺不错的一家酒店.', '短评打分': 3}
{'短评内容': '酒店总体还是不错的，就是价格相对高了一些，还有就是早餐有待提高', '短评打分': 5}
{'短评内容': '酒店环境优美，近处是阳明谷别墅区，远处是黛色的山峦。酒店很安静，空气清新，09年4月初在这个酒店度过美丽的夜晚。', '短评打分': 5}
