{'短评内容': '很安静 早餐很好', '短评打分': 5}
{'短评内容': '酒店在市中心，位置不错，也比较安静，价格不算贵（跟北京的比啊），配套设施还是很齐全的', '短评打分': 5}
{'短评内容': '第一次入住,还算干净,就是电视信号不好啊...还有遗憾的是住11楼了,还有蚊子啊...悲催啊...', '短评打分': 5}
{'短评内容': '200元左右的房间价格合理.', '短评打分': 3}
{'短评内容': '房间设备可以，电视信号差，楼层装修一般，交通方便。', '短评打分': 3}
{'短评内容': '房间卫生较干净，这个是最满意的一点。其次地理位置不错。', '短评打分': 5}
{'短评内容': '在市中心，距离火车站打车的话一个起步价，闹中取静。订的是豪华标间（258元一晚的四星级），服务也很不错。值得推荐。', '短评打分': 5}
{'短评内容': '很好很强大。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错的酒店，下次还会入住，服务不错，硬件也不错，地理位置不错', '短评打分': 5}
{'短评内容': '酒店不错，很干净', '短评打分': 3}
{'短评内容': '酒店位置很好 新装修的 听前台说是准四星级 环境和设施都很齐全 楼下便利店和餐馆也很多 门口交通也很方便 服务态度也不错 关键是房间内的设施和灯光都很好 如果以后再来无锡还会住在这里！！ 赞一个！ 只是不含早有点遗憾~ ', '短评打分': 5}
{'短评内容': '地段好，房间大，设施不错。美中不足的是天冷，游泳池没开放。', '短评打分': 5}
{'短评内容': '酒店位置还好，只是服务态度太差，入住的高级标准间电视机大多频道都糊的无法收看，打给前台报修，却无任何响应，说好有游泳池的，却以什么天气冷啊等原因搪塞，还说要么自己去14楼看看吧，跑上楼去却是铁将军把门，根本就没人的，实在是人失望，下次再也不会住此酒店了。', '短评打分': 1}
{'短评内容': '来无锡的首选住处，房间大，干净，身处闹市而又安静祥和。', '短评打分': 3}
{'短评内容': '很好得酒店，很好的酒店。下次还会来。很好得酒店，很好的酒店。下次还会来。', '短评打分': 5}
{'短评内容': '酒店房型大，比较干净，性价比高，地理位置处于市中心，适合旅游的朋友入住，房间是新装修的，总体感觉不错，虽然是老的四星级酒店', '短评打分': 5}
{'短评内容': '地理位置不错，走出巷子就是五爱路，也很干净，只是好像没停车场，不是很方便停车，价格还好，性价比还可以', '短评打分': 5}
{'短评内容': '这家酒店是位于市中心繁华地带，交通便利，服务周到，房间整洁干净，顶楼还有泳池，住店是免费的，总体感觉很好！', '短评打分': 5}
{'短评内容': '还行吧 装修一般', '短评打分': 3}
{'短评内容': '整体上不错，住的挺舒服的，早餐也还可以\n唯一遗憾的就是，冲着有游泳池去的，结果说没有泳帽不能进去，一顶泳帽还要15元太贵了；', '短评打分': 5}
{'短评内容': '比较实惠，虽然酒店有些陈旧了，但还是有游泳池。\n早餐比较简单。', '短评打分': 5}
{'短评内容': '价格实惠，其他没有什么了，去了就知道啦。。。。。。。。', '短评打分': 5}
{'短评内容': '不想多说，一塌糊涂的酒店。服务员开个房间要等20分钟。', '短评打分': 1}
{'短评内容': '房间够大，装修够旧，地段不错，房内设施最多3星', '短评打分': 1}
{'短评内容': '房间挺大,早餐品种太少,酒店位置挺方便', '短评打分': 3}
{'短评内容': ' 酒店环境不错。值得推荐', '短评打分': 3}
{'短评内容': '酒店还不错，性价比还可以，值这个价。但是位子比较偏僻，不好找', '短评打分': 5}
{'短评内容': '每次来都住这，很不错的，比较舒服，房间环境都OK', '短评打分': 5}
{'短评内容': '每次来都住这，很不错的，比较舒服，房间环境都OK，早餐可以便宜点', '短评打分': 5}
{'短评内容': '房间隔音太差了，走廊里有人说话，房间里听的清清楚楚，早上五点多就被吵醒', '短评打分': 1}
{'短评内容': '性价比极高   好酒店  房间大  床舒服  东西新  价格低  总之就是好  下次还去住', '短评打分': 5}
{'短评内容': '实地外景不如网上图片，房间还是很干净，春节期间游泳池不开放很遗憾，卫浴设备有些陈旧，至少是美标还是不错，空调很给力，隔音有点差，综合下来还可以。', '短评打分': 5}
{'短评内容': '不错，位置可以，交通挺方便的，酒店也还算干净，自己出行比较实惠。', '短评打分': 5}
{'短评内容': '酒店房间的内部设施真有三星以上标准,服务也还可以,就是我住的五楼有点噪声.其它楼层应该好些.', '短评打分': 5}
{'短评内容': '住了有一段时间了,大致还行,指的是当时的价格,其他一般般了!', '短评打分': 5}
{'短评内容': '市中心，大房型。房价超值！下次入住一定选择该酒店。。。。。。。', '短评打分': 5}
{'短评内容': '房间蛮大的，但是早上没有空调和热水，前台服务人员告诉我他们使用的属于热循环原理，所以后半夜空调会比较冷，这样才不会使您早上感觉比较干，呵呵。', '短评打分': 5}
{'短评内容': '无锡山水锦辉大酒店位置不错，服务态度很好，价格也便宜，房间面积也很宽敞，下次还来住。', '短评打分': 3}
{'短评内容': '无锡山水锦辉大酒店位置不错，价格便宜，服务态度很好，还有免费室内游泳，不错，下次还来住', '短评打分': 5}
{'短评内容': '山水锦辉大酒店位置好，价格便宜，还可以免费在顶层室内游泳池游泳，不错', '短评打分': 5}
{'短评内容': '停车不方便，房间里的异味非常重，像鱼腥味的那种，不知是么原因空调也无法开启，一晚上没睡好', '短评打分': 1}
{'短评内容': '性价比不错,下次还住.位置在无锡市中心附近,公交车去个主要景点很方便,自驾车停放也很安全.', '短评打分': 5}
{'短评内容': '基本上各项条件都一般，就是房间空间还比较大。', '短评打分': 1}
{'短评内容': '酒店房间超大，有点四中星的感觉，只是当时去的时候刚装修，有点油漆味', '短评打分': 3}
{'短评内容': '卫生尚可，地理位置不错，还可以免费游泳，水不是太深，1.1~1.7m适合儿童。隔音效果不佳。', '短评打分': 3}
{'短评内容': '可以延迟到2点退房，免费游泳，总体感觉不错，但隔音效果太差', '短评打分': 5}
{'短评内容': '房间面积很大，就是太吵了，后面有2个冷却水塔，声音很响。设施比较陈旧~~~~~~~~~', '短评打分': 3}
{'短评内容': '太吵了，设施陈旧！！!!!!!!!!!!!!', '短评打分': 1}
{'短评内容': 'good location, tall building', '短评打分': 5}
{'短评内容': '酒店周围的环境虽然一般，但特价房实在是物有所值。房间宽敞，也比较安静。', '短评打分': 5}
{'短评内容': '酒店服务热情，卫生较干净，房间挺大较舒适；卫生间淋浴设备简单，下水有点堵；电梯太慢了，我住8楼，一般要等2-3次才能下楼，很不方便。总体还算不错，值得入住。', '短评打分': 5}
{'短评内容': '该酒店号称四星，实际上差距不小。8月初住了两晚，感觉如下：大厅很宽敞，不错。位置在巷子里，不吵闹。价格也不错，大床房单价298元一晚，房间也挺大。总台提供的无锡一日游服务也很受益。但酒店说是今年刚建，房间里的设施不像是新的。卫生间设施陈旧（本来订的大床房，后前台小姐推荐家庭房），马桶冲水很费劲。更要命的是，上午出游前跟前台一男生提出维修的要求，居然被拒绝（晚上回来后马桶冲水情况照旧）。没有旅游图，', '短评打分': 5}
{'短评内容': '一个四星的饭店里，房间连个吹风机都没有，基本的东西都没有，要副牌还要求自己去买 ', '短评打分': 3}
{'短评内容': '一个四星的饭店里，房间连个吹风机都没有，基本的东西都没有，要副牌还要求自己去买 ', '短评打分': 1}
{'短评内容': '非常棒的酒店，环境非常好，不远处就可看到美丽的蠡湖。。赞，酒店各方面都不错，在风景区性价比极高。极力推荐入住。', '短评打分': 5}
{'短评内容': '在小巷里面，位置不太好\r\n晚上想多要一个枕头都不提供\r\n大堂倒是挺好的', '短评打分': 5}
{'短评内容': '位置非常好挺方便出行的,硬件和软件服务也比较到位,综合水平很不错.我本人挺看好这家酒店的.', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '同类酒店较好的卫生和设施', '短评打分': 5}
{'短评内容': '客房打扫的还是蛮干净的，床上也是，感觉还是比较舒适的。', '短评打分': 5}
{'短评内容': '位置还不错，离市中心很近，交通还是很便利的。', '短评打分': 5}
{'短评内容': '出差时住的这家酒店了，离我办事的地方很近，交通便利。', '短评打分': 5}
{'短评内容': '酒店的服务人员还是很热情的，办事效率需要提高一下，其他都还可以。', '短评打分': 5}
{'短评内容': '酒店的房间很整洁，也很安静，有助于晚上的睡眠。', '短评打分': 5}
