{'短评内容': '挺不错的点，位置也极好，不过隔音效果不太理想。', '短评打分': 4}
{'短评内容': '现在入住酒店房间很冷，空调的制热效果很差，根本无法使房间热起来。住的2楼的房间窗户居然无法正常关毕有缝隙，洗澡水根本就没法洗澡，水一点都不热。差劲', '短评打分': 1}
{'短评内容': '服务很好，酒店地段也不错。唯一美中不足的是浴巾吸水性不太好，擦不干。靠马路的会有点吵  ', '短评打分': 5}
{'短评内容': '地理位置不错，房间干净，10楼的水压不足', '短评打分': 5}
{'短评内容': '非常干净，地点也不错，但是早餐应该在早一些。', '短评打分': 1}
{'短评内容': '临街的房间实在太吵了，前台服务实在是慢节奏，周边吃饭比较方便', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '酒店新，干净而且大气。就是噪音很大。除此以外其他各方面都好。', '短评打分': 5}
{'短评内容': '很不错，很干净', '短评打分': 3}
{'短评内容': '很好，卫生环境都还不错，有机会我会推荐给我的朋友们！！！！！！', '短评打分': 5}
{'短评内容': '26号晚上，房间接到了“按摩服务”的电话。还是第一次在连锁酒店里碰到这种情况。需要加强管理。', '短评打分': 5}
{'短评内容': '环境相对比较安静，不靠近大路，早餐一般，房间设施相对来说还不错。值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺好，新装修的，设备很新，不错', '短评打分': 3}
{'短评内容': '1.相较兰州其它宾馆，算很干净了。\n2.虽在巷内，闹中取静，而且招牌很清楚。\n3.晚上楼下很热闹，一路摆摊到步行街。\n4.我住801，有两个窗户，很好。\n', '短评打分': 5}
{'短评内容': '离小吃街很近，不错~虽然地方在小路里面，但是很安静！!', '短评打分': 1}
{'短评内容': '离小吃街很近，不错~虽然地方在小路里面，但是很安静！', '短评打分': 5}
{'短评内容': '酒店在一个小胡同里面，但是那条街，兰州人都知道~还方便，跟著名的小吃街，就100米元', '短评打分': 5}
{'短评内容': '房间装修的很不错~而且酒店的位置很好，虽然是在一个小路里面', '短评打分': 5}
{'短评内容': '交通方便，酒店房间装修不错在兰州算很不错的，住着很舒服', '短评打分': 5}
{'短评内容': '性价比超高。下次还会选择这里。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间很大，很干净，下回还会选择住在这里！', '短评打分': 3}
{'短评内容': '房间很大，楼下还能吃饭，味道不错，下次去还住这里', '短评打分': 5}
{'短评内容': '卫生干净，也很安静，就是房子有点冷！', '短评打分': 3}
{'短评内容': '房間乾淨整潔。地段也不錯，以後在這附近辦事的話還會入住。', '短评打分': 5}
{'短评内容': '酒店还可以和一般的速8差不多，但是酒店的位置不是很方便，服务态度还是挺好的，价格的话也那样。', '短评打分': 1}
{'短评内容': '总体来说。还是非常不错的。硬件方面应该没有问题。洗澡很舒服。', '短评打分': 5}
{'短评内容': '首先酒店位置不太好找，在一个小巷子里，同时没有停车场，旁边停车场可以让酒店协调停车，但是要单另收费，并且停车场很小，只能停几辆车，非常不方便！另一方面服务也很一般，连基本的贵重物品寄存服务都没有，很失望。最后想想大概就是凭着是新开的酒店所以设备设施还可以的面子才能这样吧。酒店早餐还不错，味道很好，只是处在兰州，能不能早餐加入拉面呢？提个建议，希望酒店能多考虑！', '短评打分': 5}
{'短评内容': '酒店的位置不错，周边蛮热闹的，晚上会有些吵，吃饭购物非常方便，步行几分钟就能到小吃街，服务也还不错，设施较完备，早餐较之一般的商务酒店要好些，不过房价也比大部商务酒店高些，酒店虽然不在大街上，但标示还是挺明显的，有时交通会有些堵车，去市区的景点如铁桥、白塔山等较近，打车起步价，步行也就二三十分钟。', '短评打分': 5}
{'短评内容': '房间比如家和七天大，很干净，很不错', '短评打分': 5}
{'短评内容': '这家酒店挺不错，很干净，位置在市中心，逛街方便，下次来还会住这里。', '短评打分': 5}
{'短评内容': '，这家酒店干净，安静，性价比高，下次还入住。', '短评打分': 5}
{'短评内容': '因为是新开的，所以各方面都不错，房间看着干净，空间也挺大，早饭也算可以；而且在居民区，所以超市夜市都有，去火车站 机场大巴一个起步价，就是晚上又点吵。', '短评打分': 5}
{'短评内容': '  干净舒适地段好，下次还住', '短评打分': 5}
{'短评内容': '早餐单调，点菜价格高，蚊子好大头，整体比较好，细节需改进。电话费有乱算，明明只有1元，确说是20元，在我要看明细单时才说搞错了。', '短评打分': 5}
{'短评内容': '酒店是新修的，装修一般，这价位有点高。', '短评打分': 1}
{'短评内容': '各方面都不错，尤其位置，太方便了（尤其像我这样喜欢夜生活的，夜市、酒吧、咖啡厅、昼夜美食城齐活了），物超所值！下回还住这里！！！', '短评打分': 5}
