{'短评内容': '干净整洁，马桶冲洗器不好用', '短评打分': 5}
{'短评内容': '很不错，性价比高。房间很有特色，印度门童，有按摩捶和熨裤子的机器，床头墙上用藏茶（类似普洱）做装饰，入住有送水果。\n缺点是送的圣女果不太新鲜，320元的客房不送早餐。', '短评打分': 5}
{'短评内容': '价钱说不上便宜，位置不错，交通方便，有健身房很好。', '短评打分': 5}
{'短评内容': '房间装饰别致，热水好，服务也不错，位置好，方便', '短评打分': 5}
{'短评内容': '酒店的设施相对有点旧了，服务总的来说在南昌还是不错的.', '短评打分': 5}
{'短评内容': '酒店在4星酒店中还是不错的，地点也比较方便。服务还可以。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比很高，房间是一股茶的味道', '短评打分': 5}
{'短评内容': ' 交通便利，早餐丰富，基本是我在南昌的定点酒店了', '短评打分': 5}
{'短评内容': '酒店还是不错，酒店前台的服务不是很好，感觉业务不熟练，结账非常慢', '短评打分': 5}
{'短评内容': '房间窗户很大，很敞亮，房间内服务设施也不错，就是结账有点慢！', '短评打分': 5}
{'短评内容': '这家酒店的性价比很不错的 价格320，服务和配套都不错，挺好的！出差旅游都OK!', '短评打分': 5}
{'短评内容': '房间装修很好，早餐很棒！', '短评打分': 3}
{'短评内容': '非常好，价格也很合理，位置也很好，以后就住这了', '短评打分': 5}
{'短评内容': '房间很大，很舒适，很有特色，下次过来南昌还会住在这里。', '短评打分': 5}
{'短评内容': '总体感觉还好，就是进去味道比较大，可能南方天气比较潮湿。', '短评打分': 3}
{'短评内容': '不错的酒店，价格合理，服务周到，温馨舒适，环境宜人 ', '短评打分': 5}
{'短评内容': '中式装修，印度门童，离火车站近', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '总体感觉不错，只是装修的风格太古典，不太适合年轻人', '短评打分': 5}
{'短评内容': '交通方便，设施也很好，就是价格有点小贵，以后还会来的', '短评打分': 5}
{'短评内容': '已经多次入住了，不错。推荐。。。。。。。', '短评打分': 5}
{'短评内容': '不过这次感觉早餐差点，品种不多，味道一般。没有锦峰好。', '短评打分': 5}
{'短评内容': '房间应该是刚更新的地毯，还可以。以后可以再来', '短评打分': 5}
{'短评内容': '我感觉对四星级酒店来说，会差些。', '短评打分': 3}
{'短评内容': '酒店位置不错，大厅很气派，里外吃的地方多；不过一些房间比较脏旧，外面有点乱。', '短评打分': 5}
{'短评内容': '酒店风格很有特色，位置很好，离火车站5分钟车程；总体感觉非常不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，感觉住的比较舒服。\n只是感觉没有什么特别之处，各项服务都一般。', '短评打分': 5}
{'短评内容': '其他都好，就是浴室是玻璃的，灯却是感应的，要好几分钟才熄', '短评打分': 3}
{'短评内容': '重新装修过了,感觉不错', '短评打分': 3}
{'短评内容': '房间很大，设施非常好，不输五星。有直饮水、挂烫机、按摩器，很体贴地提供了一小包洗衣粉。', '短评打分': 5}
{'短评内容': '每天还有水果送，不错。可惜我订的房间不含早餐。', '短评打分': 5}
{'短评内容': '酒店离火车站不算太远，打的士只需起步价。3月份刚刚换了房间地毯和电视，房间内装饰有藏茶，很有特色。服务也还不错，值得推荐。', '短评打分': 5}
{'短评内容': '很好，早餐7点开始，品种丰富。\n来南昌就住这里', '短评打分': 5}
{'短评内容': '藏茶装饰的墙面很有特色。\n早餐很好很丰富', '短评打分': 5}
{'短评内容': '地处市中心，交通很方便。早餐也相当滴丰富，赞一个', '短评打分': 5}
{'短评内容': '房间很大，设施非常好，不输五星。有直饮水、挂烫机、按摩器，很体贴地提供了一小包洗衣粉。早餐只需28元。不足是电视信号不好，图像不清，还有写字台的插座只有一个，少了些。', '短评打分': 5}
{'短评内容': '房间装修挺别致的，周围交通、餐饮、娱乐均方便，离火车站很近', '短评打分': 5}
{'短评内容': '房间蛮有特色的，服务员态度也还可以，交通、餐饮、娱乐均很方便', '短评打分': 5}
{'短评内容': '交通便利，房间环境优良，自助餐食品可口。\n推荐入住。', '短评打分': 5}
{'短评内容': '便利，环境好。', '短评打分': 3}
{'短评内容': '\u3000房间很大很舒服\u3000各项设备都非常人性化\u3000不愧是周杰伦下榻的酒店', '短评打分': 3}
{'短评内容': '很不错的酒店，印度门童，巴西烤肉厨师，很有感觉！', '短评打分': 5}
{'短评内容': '总的说来。非常棒，物超所值，但是从前台打车去机场一定要说好，前台和我说是120，最后司机说不知道，收了我130.\n\n另外我入住当天在酒店举办婚礼的人太多，有点拥挤。', '短评打分': 5}
{'短评内容': '卫生间没有可以拿在手上的淋浴水龙头，电视频道不多，一楼餐厅服务生态度太差,让她帮忙拿个汤勺,居然叫我自己去拿.一楼大门口站的是黑人，很懂礼貌，会帮你开门及提行礼。', '短评打分': 1}
{'短评内容': '酒店里有很多藏茶和水晶等摆设，作为客人感觉怪怪的。', '短评打分': 5}
{'短评内容': '很温馨，性价比很好，下次到南昌一定还住这里!', '短评打分': 5}
{'短评内容': '位置不错，早餐品种比较多，也很不错，网速很快，性价比不错', '短评打分': 5}
{'短评内容': '非常好的一家酒店,早餐很好,价格合理,房间舒适,强力推荐', '短评打分': 5}
{'短评内容': '还不错，各方面感觉都还不错的，下次还是住这家', '短评打分': 5}
{'短评内容': '地理位置不错，周围就餐方便。房间布局不错。电梯慢些，人员喧哗，有些不安静。可能江西人习惯吧。值得入住。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '火车站附近，方便，房间大~', '短评打分': 5}
{'短评内容': '这家酒店真的很好.而且特别是服务员很尽责.我在这住的很舒服.', '短评打分': 5}
{'短评内容': '非常好的一家酒店,我每次去都会住哪,也住过几家类似的,象锦峰价格较高,而锦都价格合理,位置很好,早餐也不错,房间干净,而挨着锦峰的餐馆灶王爷非常吸引我,每次都会从锦都走10分钟到哪吃一顿,价格合理,菜品非常吸引人且价格合理,对面就是一家煌上煌的分销店,每次都是吃完饭买一堆煌上煌的卤味然后直奔机场带给家人,爽', '短评打分': 5}
{'短评内容': '酒店硬件条件不错，性价比比较高，而且位置很好很方便出行.在南昌这家酒店挺不错的.房间面积也比较大住起来比较舒适.', '短评打分': 5}
{'短评内容': '酒店很好，就是位置有点偏', '短评打分': 5}
{'短评内容': '对于在南昌这个城市的4星酒店来说，皇冠还是不错的。房间挺大，酒店自助餐也还不错。总的来说性价比不错。', '短评打分': 5}
{'短评内容': '酒店的性价比还是蛮不错的,值得推荐.', '短评打分': 3}
{'短评内容': '整体是不错的…', '短评打分': 5}
{'短评内容': '酒店的硬件设施很不错，位置也还算可以，比较方便，价格适中，挺不错的酒店。', '短评打分': 5}
{'短评内容': '整体来说性价比还是不错的.', '短评打分': 5}
