{'descr': '去浦东机场，狠方便实用的酒店', 'star': 4}
{'descr': '總的來說還行，衛生方面是希望衛生間每天打掃要把地板也用拖把擦過再消毒，淋浴室裡面的排水口被塞住不易出水，向服務員反映後，並不是把排水口清理乾淨，而是把排水片整片拿起，以後反而容易完全塞住吧？\r\n離地铁站步行約10分鐘還行，正對面是綠地廣場，吃飯有些貴，選擇少了點，到川沙站必須在廣蘭路站換車，晚上7點後就沒地铁可坐，改坐出租車要花50多元，這點要多注意！', 'star': 5}
{'descr': '还好了，有的房间比较小，有的比较适中，服务比较好，呵呵', 'star': 5}
{'descr': '去机场很方便，地铁2号线离酒店不远。酒店对面有个小的商业区。基本算比较实惠', 'star': 5}
{'descr': '酒店卫生环境不错，就是有点偏，打的不太方便，其他还好', 'star': 3}
{'descr': '＋条件还可以，但位置太偏了', 'star': 5}
{'descr': '酒店位置偏了一点，其它还好', 'star': 5}
{'descr': '很值得推荐,性价比很高的酒店', 'star': 3}
{'descr': '去机场的朋友很适合住这个酒店，很舒服，交通也很方便，不过2号线地铁早上很晚才开，早上坐飞机的话要考虑打的士，也不贵，大概50块钱，拼车的话很划算。', 'star': 5}
{'descr': '很好非常不错！值得推荐！', 'star': 3}
{'descr': '不错的酒店', 'star': 5}
{'descr': '交通很便利，地铁二号线从浦东机场过来很方便，周边配套还算齐全，出差不错的选择。', 'star': 5}
{'descr': '位置偏远了一些，晚间想找宵夜的地方比较困难，其他还过得去。', 'star': 5}
{'descr': '总体还可以，较实惠', 'star': 5}
{'descr': '我从浦东机场打的过去花了48元，酒店房间挺不错的，卫生也很好，还提供电吹风我很开心，但是楼下的美林小厨有点郁闷...我下午2点多到的宾馆，饥肠辘辘却被告知下班了不能吃饭，一直到5点半才允许吃饭...吃饭太不方便了！', 'star': 5}
{'descr': '還可以', 'star': 5}
{'descr': '额。其他都挺好的，就是有点偏啊、离市里还是挺远的。', 'star': 5}
{'descr': '还不错，夜间从机场打的花了六十元，第二天步行五分钟可到地铁口直达市区。', 'star': 5}
{'descr': '是家经济型酒店，价格比较公道，服务员也热心。', 'star': 5}
{'descr': '酒店很注重卫生质量，连卫生间都打扫的很干净，能做到让客人放心，很不错。', 'star': 5}
{'descr': '房间采光不错，床铺也整洁，价格挺合理。', 'star': 5}
{'descr': '房间整体的环境不错，价格也便宜，地段去机场挺方便', 'star': 3}
{'descr': '不能及时提供发票只提供 邮寄。定的双人房没有。只有大床房。', 'star': 5}
{'descr': '打折后性价比还是比较高，不过就是电视遥控器老出问题', 'star': 5}
{'descr': '一层、狭小', 'star': 2}
