{'短评内容': '很方便，很舒适，住的很舒服。', '短评打分': 5}
{'短评内容': '地点位置不错，卫生环境好，值得推荐~~\r\n建议房间内提供WiFi上网就好了！！\r\n~~', '短评打分': 5}
{'短评内容': '这个酒店的位置不错，房间很干净，没想到客人那么多几天都满房', '短评打分': 5}
{'短评内容': '挺值得推荐的一家酒店~~我们住的是家庭房~`很大很舒服！！', '短评打分': 5}
{'短评内容': '在一环路边,交通方便.离武侯祠、锦里只有800米，周边吃的小馆子很多。', '短评打分': 5}
{'短评内容': '酒店不错，服务态度好！', '短评打分': 5}
{'短评内容': '一大早就停电了，人是热醒的。', '短评打分': 1}
{'短评内容': '有事情到汉庭暂住了一晚上，住的是单床房，还行吧，就是有点小，总体来说还是不错的，推荐一下', '短评打分': 3}
{'短评内容': '还不错，暂住了一晚，还行吧', '短评打分': 5}
{'短评内容': '酒店位置非常好，门口就是公交站，房间也很好，就是特价房实在有点小，和网上说的23平米左右相差甚远，但是卫生间非常干净，周围吃喝玩乐很方便。', '短评打分': 5}
{'短评内容': '交通很方便，环境一般，不过对于这个价位还可以接受吧。网上预订确实很方便。', '短评打分': 5}
{'短评内容': '电视机摆得不好，太斜了', '短评打分': 5}
{'短评内容': '依然很喜欢汉庭，可以算是经济型连锁酒店里我最喜欢的，这家酒店仍然服务不错，虽然不是汉庭里服务最好的，但总比别的酒店强些。距离武侯祠和锦里很近，我们几乎是每天都花些时间走路五六分钟去锦里喝茶吃小吃，可以度过在成都最悠闲的时间。唯一不太好的是靠马路太近，街道上的声音可能会影响到睡眠，不过我们的睡眠质量本身不错也就不太在意啦！喜欢锦里找不到成都人吃小吃喝茶地方的话这家汉庭是最好的选择。', '短评打分': 5}
{'短评内容': '地理位置非常好，门口就是公交车站，前台服务也非常好。\r\n美中不足的是：据服务员讲双床房都是临街房，因为身处市中心晚上真的很吵，如果你能够忍受这一点，那么这家酒店还是很不错的。', '短评打分': 5}
{'短评内容': '性价比不错!', '短评打分': 5}
{'短评内容': '地段方便，服务一流，环境舒适', '短评打分': 5}
{'短评内容': '市中心，不错', '短评打分': 5}
{'短评内容': '很干净，热水非常好，地理位置也不错！再来的话还会住在这里！', '短评打分': 5}
{'短评内容': '位置不错，但邻街的房间有点吵。服务还不错。', '短评打分': 5}
{'短评内容': '地处一环交通便利，店内服务人员热情待客感觉满意，还提供免费自行车和电脑上网供客人使用，（我只住了一天要不就可以骑车好好逛逛成都了）总体感觉比较满意。', '短评打分': 5}
{'短评内容': '地理位置和性价比不错', '短评打分': 3}
{'短评内容': '位置很不错，其他一般，性价比还可以', '短评打分': 3}
{'短评内容': '位置很好,其他一般,性价比较高', '短评打分': 5}
{'短评内容': '位置不错，一环路边，离武侯祠很近。但门口地方很小，没地方停车。房间设施经常出问题。', '短评打分': 1}
{'短评内容': '我住的房间还不错,性价比很高,环境设施上很一般,地理位置很好交通很方便.', '短评打分': 3}
{'短评内容': '位置非常好，其他方面也过的去，性价比较高', '短评打分': 5}
{'短评内容': '十分一般', '短评打分': 1}
{'短评内容': '首先就是觉得他们的服务真的挺好的，住在酒店感觉挺舒服的，而且房间打扫的干净，内部的设施简单完善，在这个位置也挺方便的，不错。', '短评打分': 5}
{'短评内容': '很经济实惠，地段也很好', '短评打分': 5}
{'短评内容': '当时是特价房，书屋很温馨。', '短评打分': 5}
{'短评内容': '卫生和位置都可以，就是相邻一条主马路，晚上车多噪音大，其次，此位置非常拥堵打不到出租，朋友们都知道，专门过来接的。', '短评打分': 1}
{'短评内容': '酒店的位置很好，很方便，服务和卫生也非常不错，价格适中。', '短评打分': 5}
{'短评内容': '设施比较陈旧，价格是比较优惠的', '短评打分': 1}
{'短评内容': '酒店条件很差，安排的房间空调还是坏的，让他们叫人修，也没个人修，下次在也不去住了', '短评打分': 1}
{'短评内容': '可能因为十一期间入住的，所以要求换个安静不朝马路的房间，服务员称没有，但他们为我们安排了住在高的楼层相对安静些，服务态度还不错！奇怪的是我们询问从住地到机场需要多少时间，服务员居然说不知道！问到琴台路怎么走也不知道，其实出门向前直走或打车或步行都不远。说明业务水平较差！房间很干净，应有的设施都有，但是觉得比较潮湿，还有点怪昧（可能这个价格在市中心这个位置只能是这个水平吧）！所以性价比还可以。结帐速', '短评打分': 3}
{'短评内容': '酒店的地毯感觉不太干净,而且总感觉有一股气味.如果换成地板那就会好多了.位置很好走出门过街就是西湖边.门口的小院子也挺别致.', '短评打分': 3}
{'短评内容': '差``很差``&lt;br /&gt;\n酒店居然还停电```入住用了半个多小时``前台特别混乱``而且房间根本没打扫干净``地板上很多灰尘``而且特别明显`特别是床头两侧``早餐更不用说了``菜品太少了~下次坚决不会入住了```', '短评打分': 3}
