{'descr': '喜欢汉庭，装修风格北欧风，下次还住汉庭，五星好评。', 'star': 5}
{'descr': ' 位置不好找，交通也不便利，但服务还算不错。\n', 'star': 1}
{'descr': '房间挺干净的，交通很方便。', 'star': 3}
{'descr': '不错，，但是进去时候有点味道。。。湿气的味道 总体来说很好。。交通很方便', 'star': 5}
{'descr': '非常舒适，下次还来，卫生环境好。交通便利，下面就有超市，网速也不错，价格稍微有点儿贵，不过也能接受。前台服务也很人性化，屋内设施很齐全', 'star': 5}
{'descr': '酒店干净整洁，价格合理，交通便利。', 'star': 3}
{'descr': '，环境很好，只是不享受免费早餐，中午结账12点前有些早，怎么也得13点前吧！\r\n【乐玉玲】', 'star': 3}
{'descr': '服务员的态度都很好，但是我不知道为什么一进房就一大股烟味儿，就这一点不满意，其他都还不错。', 'star': 5}
{'descr': '酒店位置很好找，就在南开中学旁边100米不到的地方，一栋朱红色的房子，很明显。。隔三峡广场也非常近。。前台、房间、走廊都比较小，不过还是很干净，隔音效果不好，走廊外路过说话都可以听到，，，房间内配备的吹风很好，总得来说比较满意。。', 'star': 5}
{'descr': '\u3000房间很干净\u3000但隔音效果还不够好\u3000总体来说\u3000性价比不错', 'star': 3}
{'descr': '还不错 酒店条件还是不错的  只是有点邻街   有点吵', 'star': 5}
{'descr': '＋还不错，挺新挺干净的，配套也很齐全，就是临街稍稍有点吵闹', 'star': 3}
{'descr': '东西落在房间，主动打电话来，很感谢！', 'star': 3}
{'descr': '这个地段位置不错，房价还算舒适，床头的网线很贴心，有些房间太小可能要注意挑选', 'star': 5}
