{'短评内容': '沒早餐，这点不好，如果有早餐就OK了', '短评打分': 4}
{'短评内容': '酒店在市中心，十分热闹。幸亏附有机械停车位，不然在那市中心真的想停车有十分困难。房间卫生也停挺大，比九江的如家大，下次也可以考虑！', '短评打分': 5}
{'短评内容': '干净、房间不错，每次去都住这里，就是门的隔音不好，过道的声音都听的很清楚，早上下午和民生银行的哥们们挤电梯挺热火。', '短评打分': 5}
{'短评内容': '感觉还可以，如家的服务还是挺到位的', '短评打分': 3}
{'短评内容': '经济实惠，距离商业街很近，出行方便.已经是第三次入住了', '短评打分': 5}
{'短评内容': '这家不错！', '短评打分': 3}
{'短评内容': '如家酒店不错，值得推荐。房间很干净，整洁。住的很舒服。', '短评打分': 5}
{'短评内容': '毛巾太脏，临街太吵，唯一的优点就是便宜', '短评打分': 3}
{'短评内容': '  如家象山北路店,房间干净整洁,美中不足,房间稍小,但距商业区很近。', '短评打分': 3}
{'短评内容': '感觉非常好 非常舒适~~停车也蛮方便的~~~~~', '短评打分': 5}
{'短评内容': '环境卫生都挺好的，服务也不错！气氛很好，下次会继续光顾', '短评打分': 5}
{'短评内容': '优点：位置不错，交通也比较便利，服务人员待客都挺客气的，哪怕是一名打扫卫生的阿姨或者一名维修电工，见到你都会跟你说“你好”，感觉挺不错的。房间设备还好，环境也不错。餐厅的中餐做得口味还不错。\n待改善的地方：卫生间太小了，特别是淋浴的地方小到转个身手都会碰到墙；早餐质量有待改善。还有一个地方就是16楼的会议室显得过于简单了些。', '短评打分': 5}
{'短评内容': '优点：位置不错，交通也比较便利，服务人员待客都挺客气的，哪怕是一名打扫卫生的阿姨或者一名维修电工，见到你都会跟你说“你好”，感觉挺不错的。房间设备还好，环境也不错。餐厅的中餐做得口味还不错。\n待改善的地方：卫生间太小了，特别是淋浴的地方小到转个身手都会碰到墙；早餐质量有待改善。', '短评打分': 5}
{'短评内容': '这个如家还是挺大的 对面不远有个7天 如家的店 全国的标准都保持一致  鼓励', '短评打分': 5}
{'短评内容': '网上预订的酒店，入住后发现环境、设施都不错，实用不奢华，价格比较合理，符合工薪阶层的需求，地理位置在南昌也算不错，感觉比较满意。', '短评打分': 5}
{'短评内容': '设施一般,房间整洁.', '短评打分': 3}
{'短评内容': '环境不错  位子也好~~~交通方便~~~~经济实惠~~~~设施也不错 ~~蛮新的~~~房间干净明快，卫生状况令人满意，但不知是装修的缘故还是什么，房间里有一种气味不太好闻。酒店地理位置很好，交通购物方便，对面的一家韩国料理店口味出乎意料的好，值得推荐。\n\n', '短评打分': 5}
{'短评内容': '酒店隔音效果太差，特价的大床房卫生间有异味，唯一值得欣慰的是酒店服务人员态度非常好，外面停车处的保安态度也非常好', '短评打分': 1}
{'短评内容': '不错哦~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': ' 被子太薄了 ', '短评打分': 3}
{'短评内容': '酒店的位置我很喜欢，离我办事的地方很近，只是房间不大。', '短评打分': 5}
{'短评内容': '已经是第二次住这里了，居然这次给我的房间还是上一次同样的一间，有点意外有点奇妙，给我的印象挺好的，下个月还会去住这里。', '短评打分': 5}
{'短评内容': '交通方便，服务热情，建议最好住高层，不然早上会有些吵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很实惠很干净', '短评打分': 3}
{'短评内容': '什么商务房啊，连一对基本的会客椅都不配，房间空空的，靠近窗户的位置。价格也比较偏贵，还不含早餐。 电视机也比较差。房间洁净度尚可。', '短评打分': 1}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '还好 不错的离商场挺进 逛街蛮方便的 周围小吃也不少', '短评打分': 5}
{'短评内容': '洁净、免费宽带', '短评打分': 3}
{'短评内容': '有立体停车位，闹市中心，方便出行，靠近八一大桥和滕王阁，不错。', '短评打分': 5}
{'短评内容': '房间干净明快，卫生状况令人满意，但不知是装修的缘故还是什么，房间里有一种气味不太好闻。酒店地理位置很好，交通购物方便，对面的一家韩国料理店口味出乎意料的好，值得推荐。', '短评打分': 5}
{'短评内容': '总体硬件软件设施都还不错，对比附近的七天酒店就好太多了。', '短评打分': 5}
{'短评内容': '很好很满意哈                              啊啊吖 ', '短评打分': 5}
{'短评内容': '环境不错！也很好找到！电视机差点！', '短评打分': 3}
{'短评内容': '整体不错，各方面都很好，性价比高，下次还会再考虑住!', '短评打分': 5}
{'短评内容': '不错，很好，是南昌最大的如家，地理位置也很好，服务业不错', '短评打分': 3}
{'短评内容': '酒店地理位置好，五分钟就到步行街，附近餐饮店很多，交通非常方便。酒店规模比较大，客房干净整洁，前台服务态度好。缺点是房间隔音不', '短评打分': 5}
{'短评内容': '+环境还算不错,房间隔音不好,说是免费上网,可只有网线,没有电脑', '短评打分': 5}
{'短评内容': '南昌最大的如家，很好，服务好，出行方便，很好\r\n', '短评打分': 5}
{'短评内容': '+位置该不错，房间也蛮大的，就是电视太老，很多台看不清楚', '短评打分': 5}
{'短评内容': '连续住了3天,地方比较好找,附近牛排店比较多,喜欢吃牛排的可以去看看~\r\n不过味道就一般般吧', '短评打分': 3}
{'短评内容': '连续住了3天,地方比较好找,离火车站10元摩托车的距离,附近有商业街,很不错,离滕王阁很近.酒店附近还有火车票代卖点,购票很方便,不用专门去火车站的.', '短评打分': 3}
{'短评内容': '地方比较好找,离火车站10元摩托车的距离,附近有商业街,很不错,离滕王阁很近', '短评打分': 5}
{'短评内容': '房间比较小，其他还可以\r\n店所处的位置不太好。。。。前台有点慢', '短评打分': 3}
{'短评内容': '房间 比较小。。。其他还可以。。。\r\n位置不太好，周围没有什么可逛的', '短评打分': 5}
{'短评内容': '位置好 干净，性价比高 \n如家最大的优势就是品质如一', '短评打分': 5}
{'短评内容': '这个店位置不错，出行，设施还算满意。', '短评打分': 5}
{'短评内容': '位置很好！卫生条件很好！唯一缺点是房间有点小！', '短评打分': 5}
{'短评内容': '十五楼，会议室在十六楼，一早就在那里叫，太吵。住的时候前台的人也不提醒。郁闷。如家。。。一点家的感觉也没有。', '短评打分': 5}
{'短评内容': '位置很好！！ 而且很干净！', '短评打分': 5}
{'短评内容': '不错。。。比较温馨', '短评打分': 5}
{'短评内容': '感觉不错  很舒适  服务态度很好  宾至如归。', '短评打分': 5}
{'短评内容': '地理位置不错，闹市区，各方面都很方便，离滕王阁、八一纪念馆都不远。但最郁闷的就是房间里的电视严重雪花点，看电视完全是一种折磨。另外，早餐要单独收费，12元的自助，没啥东西，服务生还不是很耐心。', '短评打分': 5}
{'短评内容': '服务非常不错，硬件设施差了点，墙壁有渗水后的痕迹', '短评打分': 5}
{'短评内容': '帮朋友定的房，好像离南昌活跃中心比较近。值得推荐', '短评打分': 3}
{'短评内容': '挺干净 挺舒适的', '短评打分': 5}
{'短评内容': '房间蛮大，服务相当好。', '短评打分': 5}
{'短评内容': '早餐不行', '短评打分': 5}
{'短评内容': '不错的酒店，就是立体停车位不太方便用车', '短评打分': 5}
{'短评内容': '性价比可以。', '短评打分': 5}
{'短评内容': '很干净，这点很赞', '短评打分': 5}
{'短评内容': 'gfg', '短评打分': 5}
{'短评内容': '这家酒店总体感觉还不错,但是前台的办事灵活度不行当时我问酒店前台可不可以我有点事情能不能下午2点的时候再退房但是前台就说不行不过我后来中午12点去办理退房的时候有另外一个客人问可不可以2点钟退房后来前台的那个服务人员想都没有想就答应了我就感觉受到了不平等的待遇,酒店的位置还行,性价比还是挺一般的,房间的设施也有些陈旧了,很一般的一家酒店我想我下次会换一家酒店了.', '短评打分': 3}
{'短评内容': '恩，住的很舒服心，下次出差还过来', '短评打分': 5}
{'短评内容': '酒店价格在经济酒店中稍微偏高了点，前台接待态度不能保持一视同仁：我因为班车原因要求把退房时间延迟到下午两点，接待小姐态度十分坚决说不行！并且说总部会严格审查！但当我按时退房时，旁边一位客人要求将退房时间延迟到下午两点，前台很痛快的答应了，不知道他们总部怎么考核的？\r\n并且房间洗手间太小。', '短评打分': 5}
{'短评内容': '位置不错，服务也很好。就是房间隔音效果不是很好，那天我在走廊上居然听到。。。很夸张。还有就是楼道内感觉很闷', '短评打分': 5}
