{'短评内容': '房间有点小，靠市区很近', '短评打分': 5}
{'短评内容': '总体来说不错。晚上还是比较安静。地理位置不错，晚上可以逛河坊街。只是从杭州南站坐出租车的时候，司机不知道旅店在哪里？同时问了下其它的人，大部分也不知道。建议以后的旅客，直接问路“吴山广场的85°面包店怎么走”，以免多走冤枉路。', '短评打分': 5}
{'短评内容': '酒店部分房间不错。但是又的小房间。。。实在憋闷。\n不要挑选无窗的。\n另外，花洒出水不畅你拧下来就好了。哈。', '短评打分': 5}
{'短评内容': '老板态度很好，本来定的大床房后来因为其他客人原因换成了标间，交通很便利，环境也不错，下次有机会还去！', '短评打分': 5}
{'短评内容': '虽然小了点，不过地理位置很不错。。挺方便的', '短评打分': 5}
{'短评内容': '性价比挺高的，服务态度也不错，以后去的话还住这里', '短评打分': 5}
{'短评内容': '不错。交通环境都很方便。下次来还会到这个酒店。', '短评打分': 5}
{'短评内容': '这家酒店是我再订了2家后不满意重新订的。地处河坊街，下楼就是古街道，离西湖也近，内部也很贴心，原本住一天的打算，因为酒店的原因改成了2天，服务态度也很好，总之很满意，下次还住这家的', '短评打分': 5}
{'短评内容': '酒店的老板服务热情，房间很干净', '短评打分': 3}
{'短评内容': '房间有点小，别的都不错。', '短评打分': 3}
{'短评内容': '房间不错，在吴山广场河坊街位置非常好！房间单人房不错，就是插头有点少充个就不能看电视了，最后老板很热情，不错的经历！', '短评打分': 3}
{'短评内容': '给朋友订的，反映还不错。希望下次还能入住！', '短评打分': 5}
{'短评内容': '，  酒店位置真的很不错环境卫生也好值得推荐。', '短评打分': 3}
{'短评内容': '地理位置不错，就是小了点，和想象还是有点差距。', '短评打分': 5}
{'短评内容': '房间不错，就在河坊街，很方便', '短评打分': 3}
{'短评内容': '地理位置不错，在河坊街里，晚上吃的地方比较近，也可以玩，房间比较有家的感觉。', '短评打分': 5}
{'短评内容': '虽然没想象中的大，但是很温馨，服务态度也很好，下次去还会光顾的，但是能推荐个大点的么。', '短评打分': 5}
{'短评内容': '房间干净卫生,舒适温馨,价格也合理,离清河坊夜市好近,不错不错,下次来杭州还来住.', '短评打分': 5}
{'短评内容': '第一次去的朋友还可以考虑，地里位子是很优越，不过房间就憋屈很小，夫妻房也一样。有窗户的还好，没的话空气很浑浊。如果相对熟悉的话，就离这吴山广场不远的街道里好的旅店可以去考虑，路也不远。', '短评打分': 5}
{'短评内容': ' 房间布置紧凑而温馨 床特有自家的感觉  前台也很热心 赞一个', '短评打分': 3}
{'短评内容': '位置超级好，本以为在这个位置这个价钱可以入住的酒店不怎样，到了之后彻底颠覆了我的想法。预定的是139的房间，面积虽然不是很大，但绝对够放大行李的，前台人员很热情，服务很周到！！碎花的床上用品睡着很是舒服，卫生间淋浴的水量中等，不是特别大，虽然临街，但是不吵。非常好的一家店！！', '短评打分': 5}
