{'短评内容': '设施太老，基本没有服务，房间电话通电没声。', '短评打分': 1}
{'短评内容': '离海比较近，从火车站到酒店，地点不好找，入住后服务态度一般，要求看下房间再办手续，服务员催促快点，不入住的话别人有住店的，好象不多这名顾客似的。。。还有此酒店离马路较近，来往车辆很大噪音，半夜12点多隔壁房间的人还有好几个人在喝酒，好象是常期在此订房的，几个男的哈哈大笑，一晚几乎都没睡好。。。第二天赶紧换地方了。', '短评打分': 1}
{'短评内容': '第二次入住，这次给换了个大点的房间，但是临街，有点吵', '短评打分': 5}
{'短评内容': '最大的优势离海边就几步路，不好的是房间设施很一般，这次住的房间很小，卫生间也不好用', '短评打分': 5}
{'短评内容': ' 非常好，环境好，环境优美，服务周到', '短评打分': 3}
{'短评内容': '＋就是没大床！可以看到海景还凑合吧！比较经济实惠！', '短评打分': 3}
{'短评内容': '不错的宾馆 服务地理环境都挺好  设施陈旧了点但干净', '短评打分': 5}
{'短评内容': '服务态度不错 设施有点旧但很干净 卫生间好像刚改造了没有他们说的臭味切干净', '短评打分': 5}
{'短评内容': '热水器太差劲 烧半天烧不热', '短评打分': 3}
{'短评内容': '酒店位置不错，临近海边。虽然设施一般，但服务态度很好！', '短评打分': 5}
{'短评内容': '房间基本上还算干净，主要是交通便利', '短评打分': 3}
{'短评内容': '酒店的位置不错，对面还有个大超市，很方便，对于我们学生而言，价位还能接受', '短评打分': 5}
{'短评内容': '说实话，冬天去不太好。房间冷，热水器太小，连续两个人洗都不够用的。空调也不给力，还好服务员服务非常好，一直是笑脸相迎。', '短评打分': 5}
{'短评内容': '   服务态度还可以，交通方便。如果初到此地，真的不好找。我们一行五人，在火车站打的士，的士司机居然说不知道西陵峡路。 \n    床铺干净。但卫生间有股臭味。\n', '短评打分': 1}
{'短评内容': '服务态度还可以 酒店环境也算满意 价位比较适中', '短评打分': 5}
{'短评内容': '酒店环境比较一般，房间感觉比较旧包括整个大厅也是显得比较旧，位置也很不显眼但是地段还是可以，服务态度没接触太多，价格还是比较值的。', '短评打分': 3}
{'短评内容': '地理位置很好 离火车站进  出门就是海边  不足之处是设施陈旧  服务态度很好', '短评打分': 5}
{'短评内容': '不错的，离海很近，条件不错，而且不贵，比较推荐这一家', '短评打分': 3}
{'短评内容': '靠海边 靠火车站。就是环境很一般，没有特殊需求的住住还不错', '短评打分': 5}
{'短评内容': '+酒店位置很好 离海边只有150米左右 前台服务热情 房间宽敞 设施有些陈旧 尤其是马桶排水不大通畅 应该是下水道的问题 ', '短评打分': 5}
{'短评内容': '酒店离海边很近，位置好没地说，只是房间有点点味道，卫生间较小，设施齐全但比较旧，总体还是不错，作为居家旅行还是非常好的选择。', '短评打分': 5}
{'短评内容': '态度热情，服务周到，对老人很好！虽然设施陈旧一些，但总体好不错，还能看到海，但是鱼水情登州路店挺差的，去吃饭不合适，啤酒也不象正宗的青岛啤酒，说了本店的给打8.8折，最后就免了个餐位费3元！', '短评打分': 5}
{'短评内容': '位置超级好，步行去栈桥不超过10分钟，离海边也很近几百米\n服务很好，很温馨的感觉\n我的房间还可以看到海', '短评打分': 5}
{'短评内容': '还不错，住的家庭间，一大一小两张床还有个沙发，比较明亮，位置也不错，旁边就是大超市出门就是海，性价比蛮高的。', '短评打分': 5}
{'短评内容': '地点非常好，就在海边，如果能把窗户换成隔音窗就好了', '短评打分': 5}
{'短评内容': '性价比较高，环境舒适，地理位置也较好，推荐入住', '短评打分': 5}
{'短评内容': '挺不错的，性价比挺高，地理位置也挺好，就是设施有点小缺憾，卫生间的喷头挂不上去。。。', '短评打分': 5}
{'短评内容': '说实话，给我的感觉很不好，标间卫生间很小，淋浴直接冲到坐便器上，而且还有一股恶臭。', '短评打分': 1}
{'短评内容': '客房一股霉味扑鼻，难闻死了。有网线不能上网，服务员说“这房没有”，一句话就把客人打发了。这酒店还能住吗？178元真不值！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '刚进屋里有点烟味，门有点难开，其他还好', '短评打分': 5}
{'短评内容': '还不错 对的起这个价格，不过装修还是旧了点', '短评打分': 1}
{'短评内容': '好处是离得海很近，走几步就可以到海边，不过不是海滩。离火车站也不算太远。设施还算齐全，有热水器。\r\n不过卫生不怎么样，墙上有些地方都长毛了。杯子看起来很脏，不敢用。拖鞋也没有一次性的，像小旅馆一样。开水得自己烧，而且不提供纯净水，得烧自来水，海边的水可想而知。\r\n另外我是提前定的房间，定的时候家庭间178，结果后来上亿龙网当天订反而便宜十几块。而且门市上也没有家庭间的价格，不知道是不是定贵了。', '短评打分': 5}
{'短评内容': '酒店外面看门面有点小，想要豪华的朋友就别想了。整个设施不错，离火车站很近，但是有点难找，要过好几个路口。靠着海，过去马路就是海，很不错。卫生还可以，服务也行，性价比不错。', '短评打分': 5}
{'短评内容': '靠近大海,可以听到海水的浪声,吃饭购物很方便,酒店服务比较热情,室内装修有点陈旧,卫生有待提高。', '短评打分': 5}
{'短评内容': '态度不错，房间也可以', '短评打分': 5}
{'短评内容': ' \u3000设施齐全，服务态度也很好。价格也可以接受，很满意。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
