{'descr': '很干净的地方', 'star': 5}
{'descr': '特惠大床房，床很潮湿，服务员说因为是特惠的所以这样。好勉强的理由！', 'star': 5}
{'descr': '舒适\\干净安全\\方便', 'star': 5}
{'descr': '门口单行线，有些不方便，晚上8点后就没问题了。隔音效果差，通病。', 'star': 5}
{'descr': '位置一般，服务挺好的', 'star': 3}
{'descr': '服务不错，满意', 'star': 5}
{'descr': '性价比真的一般.位置太不喜欢了 ', 'star': 5}
{'descr': '较为一般，房间设施齐全', 'star': 1}
{'descr': '旁边儿有一所学校\r\n从早上太吵', 'star': 1}
{'descr': '身份证查得很严 其他还好 靠近小学有点吵', 'star': 5}
{'descr': '服务一般，位置还可以，上午9：00出去挂了牌子：请打扫房间，中午回到酒店牌子依旧挂着房间无打扫。差。。。', 'star': 5}
{'descr': '环境还好吧，就是交通不方便，门口单行线', 'star': 5}
{'descr': '服务态度很差，设施一般，房间也很小，不是很理想', 'star': 1}
{'descr': '服务水平，都很好呢', 'star': 5}
{'descr': '很不错，特别是服务', 'star': 5}
{'descr': '卫生还行，服务态度比较好，交通比较便利，性价比较高，感觉比较舒服。', 'star': 5}
{'descr': '干净\\安全', 'star': 5}
{'descr': '位置不错，打的到重庆路，桂林路都在10元以内，服务不错。隔音有点不行', 'star': 3}
{'descr': '酒店位置不错，到一些商业区打的都在10元以内。房间整洁卫生，很舒服的感觉！推荐', 'star': 5}
{'descr': '位置好，设施尚可，推荐', 'star': 5}
{'descr': '住宿条件较好，但是房间格局相对偏小，最大的缺点是 门前大经路已经改为单行线，出行收到影响比较严重。', 'star': 5}
{'descr': '价位还可以啦~', 'star': 5}
{'descr': '总体还行。但隔音效果不好。', 'star': 5}
{'descr': '不错的店面，唯一不足的地方附近那个街上是卖丧葬用品的', 'star': 5}
{'descr': '位置好，比较安静。', 'star': 5}
{'descr': '位置不错,就是我住的特惠房房间有点小,窗帘洗了,天四点多就亮了.', 'star': 5}
{'descr': '自从大经路改了单行线，交通没那么方便了', 'star': 5}
{'descr': '  位置在大经路上，离市中心人民广场和机场巴士停靠站都不远， 前台服务态度很好（我一般不太关注这个  但我接下来的点评要以这个为背景） 虽然服务态度不错，业务实在不熟练，我办理入住的时候用的护照， 前台弄了好久，翻来翻去的不知道在找什么， 前后大概有六七分钟，上岗之前应该都培训好，总不能客人来了再培训吧？   房间布置的不错，还算干净，里面有桶装水，可以不用买水了！  但是房间的隔音很不好，因为床', 'star': 5}
{'descr': '不错  ', 'star': 5}
{'descr': '不错的酒店,干净,安静,价格居然比延吉的如家还低一点. 不足之处在于酒店门前马路是单行线,打车不容易.', 'star': 5}
{'descr': '地理位置是挺好的，去哪都很方便。\r\n卫生条件相对不错，只是卫生间的毛巾看着有些脏旧，知道是消毒后的还是不太敢用。\r\n价格还算合适。', 'star': 5}
{'descr': '推荐入住，很不错。位置很好离市中心很近，也很安静。屋子里有饮水机，矿泉水都不用自己买啦~', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '位置不错，房间也挺干净，喜欢那粉红色的被子。', 'star': 5}
{'descr': '酒店保持了如家一贯的风格，服务啊，位置啊，都不错，毕竟是连锁的麻，我是晚上11点多到酒店的，第二天早班飞机，也没用早餐什么的，就是晚上到酒店，上网定第二天的飞机，网速那个慢啊，太难受了，定了张机票，花了我大概有1个小时，速度基本都只有几K，最快一下，瞬间的100K，我电脑有360显示流量的，上了1个多小时网，总流量只有20M，\r\n所以，下次不住了，\r\n其他不错，', 'star': 1}
{'descr': '价位合适，位置优越，服务一般', 'star': 5}
{'descr': '还好，位置不错。为什么没有免费早餐？', 'star': 3}
{'descr': '非常好！  ', 'star': 5}
{'descr': '不错，床大，比较舒适。位置也还可以。', 'star': 5}
{'descr': '房间大小和网上报的不太符合', 'star': 5}
{'descr': '价位适中...布置是很舒适的感觉...\r\n床垫能感觉到弹簧不爽...靠近学校，能听到上下课铃以及广播体操...', 'star': 5}
{'descr': '学校边，铃声早早的响起。', 'star': 3}
{'descr': '床垫太旧，感觉的到弹簧。', 'star': 1}
{'descr': '很不错，特别是被子的颜色我喜欢，很舒适', 'star': 3}
{'descr': '比较不错，环境挺好的。', 'star': 5}
{'descr': '整体感觉还可以，除了前台的一个服务人员办事能力差了点，进门竟然没给我房卡就让我上楼。。条件还好啦，卫生也还好，就是第一间的时候，卫生间漏水了，不过还很爽快的给换了房间。整体还不错，性价比一般吧。', 'star': 5}
{'descr': '很喜欢的，以后要去长春还住这里', 'star': 5}
{'descr': '几乎每次到长春出差都住这里，店家的服务很好，早餐也不错！很推荐！', 'star': 5}
{'descr': '卫生很好，洗澡水很大，房间面积不小，交通还行，早餐也凑合！', 'star': 5}
{'descr': '房间挺大的，很干净，装修还行，性价比不错！', 'star': 5}
{'descr': '离商业区和火车站很近，交通便利，舒适干净', 'star': 3}
{'descr': '长春的如家当中非常值得推荐的一家店。', 'star': 3}
{'descr': '交通方便，适合坐公交。打车的话，由于就处于闹市区，必须在大街上等很长的一会儿。\r\n那天晚上降雪后，第二天，10点出门，在寒风中站了15分钟也没有打到车。连个拼车的都没有。每辆车子都是坐得满满的。\r\n现在的房价不高，加上有现金券的返还。性价比还是较高的。', 'star': 3}
{'descr': '离长春大街和重庆路都很近，步行3-5分钟即到。要是没有行李，步行到全安广场坐机场大巴也很方便。餐厅、大堂、房间都小，那也是正常的。反正如家都是这个风格。', 'star': 5}
{'descr': '房间很不错，位置也很好，出门不远就有公交车。', 'star': 1}
{'descr': '不错 就是房间小了点', 'star': 3}
{'descr': '很好 经济实惠', 'star': 3}
{'descr': '感觉还算可以，床比较大，比较满意。', 'star': 5}
{'descr': '非常不错，以后还住。', 'star': 5}
{'descr': '舒适温暖，地点好，服务好，态度好', 'star': 3}
{'descr': '温暖，舒适，热情，地点好，出差的首选', 'star': 5}
{'descr': '很干净舒适，床也很大，就是价格在长春稍稍算贵点。', 'star': 5}
{'descr': 'okokokokokokokokokokok', 'star': 5}
{'descr': '总体感觉很NICE，唯一需要改进的是隔音问题！', 'star': 5}
{'descr': '各方面都不错。', 'star': 5}
{'descr': '太不怎么样了！', 'star': 1}
{'descr': '还可以\r\n', 'star': 5}
{'descr': '总体还不错，就是房间小了点，没有衣柜。', 'star': 5}
{'descr': '- Romm is smaller than usual but is tidy and clean.\r\n- Comfortable to stay.\r\n- Service is execeptionally good, provide helpful answer for all \r\n  our enquiries.\r\n- Needs improvement in hot air system.', 'star': 5}
{'descr': '酒店环境很好，交通很便利，性价比较高！', 'star': 5}
{'descr': '位置其实算是比较偏的地方，但从火车站打车或者坐公车过来都很方便，离市中心的人民广场也不算太远，如果你不嫌累的话走过去也可以。从位置上说，这酒店的位置算是旺中带静的地方吧。我觉得比较不足的地方是，酒店附近的食肆（不是指小吃店喔）比较少，想找个好一点的地方吃东西就比较麻烦点。至于酒店的设施好不错，跟它的房价比较成比例，性价比比较高。我个人就住得挺舒服的。', 'star': 5}
{'descr': '服务很好，酒店隔音不是很好，隔壁的开门声都能听见，但是服务员的软件还不错的，能及时处理客诉，地理位置不是很好，价格很便宜，房间也比较大，住过几个时尚酒店，觉得这里总的来说还是挺好的，我满意', 'star': 5}
{'descr': '这样的酒店挺经济实惠的,住起来挺舒适的,值得推荐.', 'star': 3}
{'descr': '酒店的隔音效果一般，其它的都还好', 'star': 5}
{'descr': '挺好的啊，比较便宜', 'star': 5}
{'descr': '位置很不错，性价比高，住过很多次，符合如家的标准，冬天稍冷~', 'star': 3}
{'descr': '服务挺好', 'star': 5}
{'descr': '性价比高，方便，舒适，温度偏低，总体较好，有待于增温设备购置', 'star': 3}
{'descr': '温度有点低，尽管空调暖风可以略微弥补，但是在冬天的长春酒店还是应该增温，哪怕价格涨上20元一天，也要温暖一点较好。总体性价比较好，位置方便', 'star': 3}
{'descr': '性价比较高，位置不错，唯有隔音一般，总体讲还算不错', 'star': 5}
{'descr': '性价比很高，地理位置很好，离重庆路非常近，不过有些房间的空调不是很好。', 'star': 5}
{'descr': '手巾感觉好脏。', 'star': 1}
{'descr': 'Good value for money. Cold in winter due to poor heating system.', 'star': 3}
{'descr': '卫生、服务、设施都和一般的如家都差不多，没什么特突出的。冬天房间稍微有点冷，暖气不够热，但可以开空调暖风增加室内温度。位置不错，距离机场大巴的南关车站比较近，步行10分钟就到了。周围购物也方便，有老华联。反正长春比较小，去哪打车用不了多少钱都能到。舒适度也不错，和一般的如家都差不多。性价比比较好，才159一晚。', 'star': 5}
{'descr': '价格很便宜，位置可以，但酒店服务及卫生一般。', 'star': 1}
{'descr': '一进前门大厅就给人感觉很乱，也不知道正赶上酒店装修还是咋的。不知道是啥管子一直在门口那乱放。。。。\r\n', 'star': 1}
{'descr': '酒店位置靠近学校早上有些吵,设施比较齐全,服务很不错,性价比很高,住着很舒适.', 'star': 3}
{'descr': '酒店的卫生和设施条件还不错.位置很好很方便出行.但是酒店服务可能相对来讲就很一般化了，不过总体感觉还是不错的', 'star': 3}
{'descr': '和其他如家没什么区别', 'star': 1}
{'descr': '位置稍微偏一些，出行不是特别方便，房间的卫生和设施还行，服务挺好，我觉得它的价格高一些，性价比不是很高', 'star': 3}
{'descr': '找了很久才找到,因为把他跟四马路混了...= =\r\n不过房间内部设施是典型的如家式,感觉比人民广场咸阳路店的房间小一点似的. 卫生间有点小但是很干净. 唯一不好的就是觉得毛巾不是很干净- -', 'star': 5}
{'descr': '还好!毛巾等旧了些!房间有点小', 'star': 5}
{'descr': '很好的酒店 下次还住这个', 'star': 5}
