{'descr': '前台很漂亮，o(&cap;_&cap;)o 哈哈', 'star': 5}
{'descr': '房间很干净，服务质量好，整体感觉不错，下回接着订', 'star': 5}
{'descr': '干净、安静,交通方便，酒店服务态度好，提供自费早餐。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '不错，该有的都有，环境也不错，价格也实惠。', 'star': 3}
{'descr': '帮朋友订的，说是不错，交通方便，下次还会入住！', 'star': 5}
{'descr': '干净、清爽、交通便利，第一次去有点难找。\n', 'star': 5}
{'descr': '还不错就是没在街面上一不小心就错过了', 'star': 3}
{'descr': '非常好很干净，温馨', 'star': 3}
{'descr': '商务大床，很好\n附近还有KFC，很方便 就是停车不方便，只有3个车位', 'star': 5}
{'descr': '很干净，很舒心，一直都很喜欢！每次出去玩不是锦江就是如家有时也是汉庭，其他的都是垃圾', 'star': 5}
{'descr': '首先缺点是酒店不在大马路上比较难找，优点就是不靠马路不用担心噪音。然后酒店离个园蛮近的，所以地理位置还算OK。', 'star': 5}
{'descr': '酒店不错，在一个巷子里，交通也很方便，价格也不贵，只是厕所里隔音不大好。总的来说是很不错。', 'star': 5}
{'descr': '地理位置很好，服务也很好，性价比不错，但空调声音有点大，还是推荐入住！\n', 'star': 5}
{'descr': '位置非常好，设施也不错，不过确实隔音效果不大好。', 'star': 5}
{'descr': '就是停车不方便，没停车位，停边上老头子敲竹杠的，还有我们的房间烟味挺重的，估计靠近电梯的原因，其他就和别的如家差不多了!', 'star': 5}
{'descr': '地点不错，但是房间隔音不好，非常吵，！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '房间很小，定的无窗房，非常闷就不说了，床垫硬的无法形容一晚上没睡好觉，隔得浑身骨头疼。。', 'star': 1}
{'descr': '+酒店干净,下次还会订如家的酒店', 'star': 5}
{'descr': '很好的快捷酒店，在莫泰的后面，我选择它而舍莫泰，是因为它的隔音效果好过莫泰。', 'star': 5}
{'descr': ' 环境幽静，干净整洁。', 'star': 5}
{'descr': '服务不错，就是房间有点小，位置有点隐秘', 'star': 5}
{'descr': '很好，我们以后还要推荐别人入住。希望保持住这种服务和环境。', 'star': 5}
{'descr': '干净卫生 性价比挺高的~离风景区挺进的 ~总之还不错啦~', 'star': 5}
{'descr': '地理位置不错，环境也比较好，就在市中心附近，去哪都比较方便', 'star': 5}
{'descr': '一般吧，房间有点小，且房间内设施不够，连方便面什么的都没有，而且连门铃都没有，整个酒店内没空调，一出房间门就感觉很热。宽带网速有点慢，在线看视频会卡的纠结。不过房间内的色彩很大胆，比较不错！比较喜欢房间内的灯。另外说下服务员打扫不够细心', 'star': 5}
{'descr': '位置好，但因为我们到店18：00刚过了一会，在蓝天大厦站下车后打电话问他们店位置时忘了报姓名，等我们过马路到店时，我们只有眼睁睁看见我们的标间被前脚到店的旅客住下了，不过前台服务员很周到，帮我们调剂了如家瘦西湖店。印象不错。', 'star': 5}
{'descr': '这家如家一如既往地感觉像家一样亲 就是位置稍微隐蔽了点 在一个巷子里面 位置不错 去瘦西湖也就几分钟的路程 从扬州汽车西站20路到蓝天大厦下 对面巷子里就是了 很方便', 'star': 5}
{'descr': '位置还可以，服务还好，一往如家的风格', 'star': 5}
{'descr': '酒店位于扬州市汶河北路，距市中心不超过800米，离瘦西湖距离也在出租起步价内。卫生情况比较良好，但存在几乎所有经济型酒店存在的通病--隔音较差，同时入住的商务房面积较小，也没有汉庭商务房提供的上网电脑。但比一路之隔的汉庭价格便宜。', 'star': 5}
{'descr': '酒店位置非常好，无论是旅游还是购物都非常方便，且干净卫生，对于自费住店的朋友来说，是一个不错的选择。', 'star': 5}
{'descr': '总体不错，就是空调声音太大了点。应该换成静音的就更好了', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '还不错呢，地理位置好', 'star': 3}
{'descr': '还可以吧', 'star': 5}
{'descr': '酒店位置非常好，走几分钟就能到瘦西湖；如家的服务确实都是一流的，服务人员的态度都很好，尽管门口只有4个停车位，服务员都能帮你周到地安排；酒店的设施稍有一些陈旧，因此来说，标间227元的价格还是偏高了一些。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '一如既往的支持', 'star': 5}
{'descr': '位置不错，离瘦西湖很近，步行可以抵达。酒店卫生服务都不错。只是只有早餐。', 'star': 5}
{'descr': '不错，值得推荐，也安静。', 'star': 5}
{'descr': '空调好吵', 'star': 3}
{'descr': '现在比冬天价格涨了一些，旅游旺季嘛\r\n地理位置很不错，打的可以和师傅说在蓝天大厦的后面，它确实也比较的隐秘\r\n确实还不错，已经入住了两次了，上次住的时候很吵，这回还行', 'star': 5}
{'descr': '没有停车位，其他都还不错', 'star': 5}
{'descr': '是性价比很好的一家经济型酒店，位置很好，离瘦西湖、个园、文昌阁都很近，前台服务小姐态度很好。', 'star': 5}
{'descr': '地理位置很好，这是此酒店的最大优势。服务不错、性价比很高。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '总体很舒服', 'star': 5}
{'descr': '太漂亮舒服的酒店了 很有个性  值得推荐', 'star': 5}
{'descr': '优惠太少，明码标价179，仅优惠9元，要付170，贵啦', 'star': 1}
{'descr': '地理位置优，出行方便。\r\n唯一不满意的是餐饮服务，早餐午餐都不行。', 'star': 5}
{'descr': '酒店房间太小了，位置有点偏，不好找，价格稍微偏高点，就是服务还不错，挺干净的，如果还到这附近还是可以考虑的。', 'star': 3}
{'descr': '酒店不是特别好找，当时找了一会才找到，不明显，还有就是在房间里发现了一只大蟑螂，其他倒是都还不错，服务态度很好，设施条件也比较到位。', 'star': 3}
{'descr': '房间的面积有点小，卫生和设施还不可以，位置也行，这边出行还是很方便的，服务也不错，整体感觉性价比还行', 'star': 3}
{'descr': '性价比不错，就是酒店车位太少', 'star': 5}
{'descr': '房间较小，不过蛮舒服的。', 'star': 5}
{'descr': '另外 隔音效果不太好 不过服务态度很不错', 'star': 3}
{'descr': '还不错  就是电话 坏的 不好用 其他的 都很不错 环境也好 地理位置也方便', 'star': 5}
{'descr': '地点不错，隔音不好，听见人在楼道里交谈，房间太小，总体感觉还行', 'star': 5}
{'descr': '这家酒店各方面条件感觉都还可以,服务挺周到的,而且房间也蛮干净舒适的,还是比较满意的.', 'star': 3}
{'descr': '地段很好，闹中取静，服务员都非常热情可爱，非常干净卫生。只是门面在街道里面没有明显的标志导向，出租车司机兜了一圈并打电话才找到，多花了几元钱，希望改进。', 'star': 5}
{'descr': '整体来讲还是一家很不错的酒店,房间的卫生和设施上都很不错,很符合酒店的价位,但就是酒店的位置稍微有点偏,不太好找.', 'star': 3}
{'descr': '服务态度和蔼，环境清洁，室内空气清新无异味，设施新净，地理位置适中，值得推荐给各位朋友。我希望再次光顾此店。', 'star': 5}
{'descr': '卫生、服务、设施都还不错，房间有点小，价格有些高，关键是环境嘈杂，楼下有个停车场，整个晚上都能听见“倒车、打轮、再来点儿”……而且楼下好多狗一直叫，在外旅游一天，能安静舒适的休息是最重要的，如果旅客无法休息，其它再好也没用。', 'star': 1}
{'descr': '如家感觉还是很好的,里面的卫生和设施都挺不错的,就是上次预定了一个南京的传家酒店就感觉不是这么的好,洗漱用品是好是坏,还是感觉这次订的如家挺好的.', 'star': 3}
{'descr': '性价比挺不错的 就是位置不怎么样 就在莫泰的隔壁  可能开的时间不长 所以设备都挺新的 房间环境很好 ', 'star': 5}
{'descr': '在扬州据说一共有3家如家，所以打车跟师傅说去文昌阁店他们都晓得，不过这店的位置确实隐秘了一些，本以为隐秘会比较安静，结果环境嘈杂得不行，楼下有个停车场，整个晚上都能听见“倒车、打轮、再来点儿”……而且楼下好多狗一直叫，房间隔音效果也不行，像我住的时候就半夜起来打电话投诉隔壁房的人，太吵了，结果我同事在另外一个房间也说很吵，睡得不好。由于洗的衣服太多，衣架不够，跟服务员拿了俩衣架结果有一个是坏的，等', 'star': 1}
{'descr': '除了卫生间淋浴房下水不太好，别的都还可以，房间比较干净，位置也方便，值得推荐', 'star': 3}
{'descr': '酒店周边环境很好很安静,出门就是瘦西湖,酒店都是大床房很适合两个人来住,性价比比较好,很喜欢这家酒店.', 'star': 5}
{'descr': '酒店最大的优势是位置特别好，外出方便，房间卫生还可以，其他的比较一般，价格要是在低点就更好了 ', 'star': 5}
{'descr': '酒店本身挺好的，房间特别干净，服务也不错，就是酒店是在一个小巷子里，第一次去的话有点不好找，价格要是便宜点就好了 ', 'star': 5}
{'descr': '整体感觉不错，价格合适，服务和卫生条件也不错，主要是性价比合适', 'star': 5}
{'descr': '这家如家没有莫泰好,位置不太好,不好找.在弄堂里,而且酒店都是台阶没有斜坡拖着行李很不方便,其它感觉也就一般.', 'star': 5}
{'descr': '酒店的环境卫生都非常好,因为是新酒店,环境硬件设施都很不错,位置市中心位置但是在巷子里面的酒店,不过司机师傅都知道.', 'star': 5}
{'descr': '我是比较喜欢住如家酒店，设施整洁，简便，这家的价格感觉是稍微有点高', 'star': 3}
{'descr': '各个方面都还不错,不过当时我们到的时候没有停车位,协调了半天才给我们安排一个,就是停车位太少了;其他条件还可以,性价比还比较高;', 'star': 5}
{'descr': '价格很实惠，房间干净整洁，本事是经济型酒店，设施方面比较简单，不过还可以接受，服务态度很好', 'star': 5}
{'descr': '酒店的价格适中，而且地理位置很好，去哪个景点都很方便，服务和房间卫生都很不错。', 'star': 5}
{'descr': '环境卫生还可以 ,房间里的网经常断,网速也慢.', 'star': 5}
{'descr': '房子还可以，就是不太好找，不是临街的那种！', 'star': 5}
{'descr': '酒店布置的很温馨感觉真的很像家的样。在市中心购物交通都挺方便的，价格也算可以。', 'star': 5}
