{'descr': '住过好几次 真的适合小情侣哈哈哈', 'star': 5}
{'descr': '北京色彩酒店工作人员态度好，服务周到。装修得比较有特色，红色墙，红色纱曼，但觉得不适合商务人士出差住宿。', 'star': 3}
{'descr': '挺好的环境不错很安静', 'star': 3}
{'descr': '服务员态度很好,房间也很干净,很温馨.还可以免费看碟片.地方离车站也很近,交通也很便利.办了张VIP卡,以后还住这里', 'star': 5}
{'descr': '设备简陋，有点个性，房间铺有特色\n碟机有坏的，五彩斑斓，喜欢浪漫的人士会喜欢\n临近国展，位置靠里，较安静', 'star': 5}
{'descr': '色彩酒店非常有特色，接待人员非常敬业，服务态度热情，我挺喜欢他们家房间里的布局的，下次朋友过来的话我还是会选择色彩酒店入住，而且还是大床房！', 'star': 5}
{'descr': '很温馨的小店 位置很好就在地铁门口 交通很方便 很安静 但隔音稍差 墙面再装修下就更好了 服务很热情周到 衣架 勺子甚至皮筋都可以从前台借到 有DVD机还可以免费借DVD看 ', 'star': 5}
{'descr': '很有特色的酒店，里面的工作人员非常非常热情，进门会说你好，在楼梯间碰到了也会说你好，环境很不错，适合情侣们来入住，很个性的一个店，而且还不贵。', 'star': 5}
{'descr': '环境不好，房间比较旧，周围交通不方便，只是离地铁近。。。。。。。\n服务不好，晚上有声音，隔音不好，离吃的地方比较远。。。。。。。', 'star': 1}
{'descr': '和图片有点差距，一进屋就看见一只超大的蟑螂。挺失望的。工作人员的服务很好，有免费的光盘和书籍。~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '比一般酒店有特色  还办了个会员  以后还回去   很有情调的酒店 服务态度也热情  \n大堂设计的也有意思  ', 'star': 5}
{'descr': '住的色彩浪漫房，房间挺大的，圆床，上面还有个大镜子，周围是纱帘，房间的主基调是红色的，很浪漫。前台服务员态度还不错，只是不能刷卡，这个很麻烦。地理位置不错，但是招牌不大，比较难找。整个房间的隔音效果不是很好，旁边屋子如果动静稍微大一点，这边听的很清楚，希望能改进一下。', 'star': 5}
{'descr': '预订的是主题吊圆床,但是没有这种房了,好失望啊.不过方形床还是挺舒服的,房间比较小,装修比较有特色.周六日客房紧张,需要提前预定.', 'star': 3}
{'descr': '还可以啦，就是本来顶的圆床，可是来了却不是....', 'star': 3}
{'descr': '非常适合情侣住，圆床很有意思。屋子虽然小了点，但不会很影响住宿的心情。等实在不多，但很好的营造了氛围。还是就是大家说的隔音效果实在是不太好。洗澡的撒花水流一般，虽然不是很小，但明显水压不够，不过觉得酒店大多数都是这样...', 'star': 5}
{'descr': '出了房间比较好点以外，没有一个东西是好的，，，没有网络，没有服务，真的什么都没', 'star': 1}
{'descr': '工作人员服务态度不错，交通也方便。硬件设施一般。性价比不高', 'star': 5}
{'descr': '服务态度很好，找的时候有点困难。其他的都不错。', 'star': 5}
{'descr': '比较干净，离城铁很近，就是光线太暗，另外卫生间没有门容易反味不太好', 'star': 5}
{'descr': '不错，很有感觉，很浪漫，特别喜欢圆床和卫生间，而且还提供免费DVD碟服务', 'star': 5}
{'descr': '离地铁站很近，周围早餐吃饭方便，就是浴室的水很难调到水温刚好，不是热就是冷。在北京住的第一家，感觉洗澡花洒水量不够大，没洗头。结果后来住的几家国际青年旅舍都是水不大。', 'star': 5}
{'descr': '风格很温馨，服务态度很热情，干净、清洁的小客栈，只是位置稍偏了点儿。', 'star': 5}
{'descr': '内部很一般，性价比不高，不过服务还是蛮热情的', 'star': 1}
{'descr': '不错的小店，离光熙门城铁站很近，就是隔音不太好，希望改进。', 'star': 5}
{'descr': '非常不错的酒店 推荐~~适合情侣去住 交通方便又干净', 'star': 5}
{'descr': '非常不错的酒店 离地铁还很近~~ 服务人员态度很好 又可以去前台免费借碟看 推荐~~', 'star': 5}
{'descr': '很有特点，漂亮，距离地铁站步行5分钟就可到，推荐', 'star': 5}
{'descr': '根本称不上酒店，也不是什么主题酒店，就一噱头，性价比根本没法提', 'star': 1}
{'descr': '很一般的酒店，类似普通的商务快捷酒店，就是增加了些色彩而已。房间杂志还是2008年的很陈旧。', 'star': 5}
{'descr': '老公感觉很不错，挺温馨可爱的~~服务员态度非常好！推荐推荐~~', 'star': 5}
{'descr': '性价比还不错。就是隔音太差。房间没有宣称的造价那么高。也就一般吧。卫生各方面还不错。服务也不错。就是被褥有些潮，没有完全干。', 'star': 5}
{'descr': '装修格调有特色，设施简单点，没有衣架。还有就是早上可以不让服务员总是敲门要做卫生吗？', 'star': 5}
{'descr': '很难找，在偏僻的小街上，房间不大，下水道有点味。虽然硬件让人失望，但是前台的服务是非常满意的。', 'star': 1}
{'descr': '房间设计太经典了，绝对适合情侣入住，位置也还可以，酒店很温馨', 'star': 5}
{'descr': '网路不行！！！房间风格还可以。\n服务态度超级热情呢。', 'star': 5}
{'descr': '酒店不错，地理位置好，走5分钟就是光熙门城铁站，房间也不错，电视有点小，不过也没怎么看，性价比不错，推荐。', 'star': 5}
{'descr': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', 'star': 5}
{'descr': ' 酒店服务态度好 挺温馨的 不错哦 重点是离地铁非常近', 'star': 3}
{'descr': '环境很好', 'star': 3}
{'descr': '位置还行，地铁13号线光熙门站很近。门脸不大。服务很热情，但设施有点旧。', 'star': 5}
{'descr': '比较有情调，在小巷中，安静休闲，附近一家小店的煎饼确实不错', 'star': 5}
{'descr': '挺不错的酒店 每间房都不一样 而且服务挺好的 推荐', 'star': 5}
{'descr': '服务不错，有dvd可看，安静，就是隔音有点。。。。尤其在夜里。。。', 'star': 5}
{'descr': '服务人员态度不错，但屋内设施不全，就连随行物品都没地方放，遗憾！', 'star': 1}
{'descr': '地址有些难找 房间内的硬件设施也有些差强人意 但是好在酒店很干净 而且服务态度也是极其的好', 'star': 5}
{'descr': '服务态度很好，很热情；酒店布置的很有特色，适合年轻人；', 'star': 5}
{'descr': '酒店很有特色，很适合年轻的小情侣，只是地方不太好找。', 'star': 5}
{'descr': '服务好，诚恳细致\n内部环境很好。\n总之挺不错~', 'star': 5}
{'descr': '很不错，安静卫生，要是有早晚就更好了。下次还回来', 'star': 5}
{'descr': ' 还不错…', 'star': 3}
{'descr': '很干净，也非常安静，基本一晚睡觉啥也没听见。不过有待改进的是，洗手间该安装门，实在不行安个帘子也行。', 'star': 5}
{'descr': '情调很好，比较清静。离国展很近，价格也适中。', 'star': 5}
{'descr': '红色主题很有特色，也很干净，就是卫生间是透明的，有些不适应', 'star': 5}
{'descr': '酒店很好。主題酒店就是不錯。非常的適合情侶居住！推薦。', 'star': 5}
{'descr': '酒店服务员 很不错  房间小了  厕所没有门  就这点遗憾  情侣型的', 'star': 5}
{'descr': '酒店位置很棒 地铁13号线边上  楼下小店很多  吃的不少i', 'star': 5}
{'descr': '服务很到位，一看就是一支训练有素的团队。\n房间虽然比想象中的小，但是里面很多的细节还是能吸引我和我的女朋友。\n隔音真的有些不好。晚上睡觉会觉得有点吵。\n走时办了会员卡，本周周末有房的话，还会去的。', 'star': 5}
{'descr': '环境不错，卫生条件也比较好。\n就是比较难找，还有就是不能刷卡。', 'star': 5}
{'descr': '房间虽小，但挺温馨，唯一不足的是洗手间没有门', 'star': 5}
{'descr': '很好找', 'star': 3}
{'descr': '服务热情周到\n非商务型酒店，适合情侣旅游', 'star': 5}
{'descr': '服务态度好，热情。交通也方便。就是房间餐桌的灯光较暗。浴室应该装个玻璃门，浴巾和毛巾的质量很不好，很硬而且很破，改更新了吧。\n\n', 'star': 5}
{'descr': '服务态度非常好，而且热情。交通也很方便。就是房间餐桌的灯光较暗。浴室应该装个玻璃门，浴巾和毛巾的质量不是很好，很硬而且很破！', 'star': 5}
{'descr': '的确很有特色,住得吊床,上面还有镜子,离地铁也近,就是洗浴水小了点,', 'star': 5}
{'descr': '酒店不能刷卡，真的不方便', 'star': 3}
{'descr': '房间有点小，但总体还不错，床很硬，最后一天想再继房，服务员不让继了...再找酒店...', 'star': 3}
{'descr': '沿街有点吵，但整体还不错。好的是色彩，缺点在于不够精致', 'star': 5}
{'descr': '感觉还不错，在比较幽静的小巷里。不过酒店所用物品还是显得廉价。。。。', 'star': 5}
{'descr': '设施完善，氛围浪漫，服务给力\n下次还来，\n非常适合情侣^_^', 'star': 5}
{'descr': '服务不错，硬件能再提高就更好了', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '很好，下次有机会还会入住的，房间布置的很精致，很温馨', 'star': 5}
{'descr': '很不错的酒店，值得推荐，刚到的时候走错路了，给前台打电话，前台非常耐心而且仔细的告诉了正确的路线。而且服务方面特别号。总之还会入住的。', 'star': 5}
{'descr': '\u3000色彩鲜艳\u3000浪漫\u3000有特色\u3000房间小点\u3000隔音效果不好', 'star': 3}
{'descr': '很好。下次还会来。离地铁站很近。就是厕所是透明没有门的', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '环境还行，服务也不错，就是店面有点微小。。。', 'star': 5}
{'descr': ' 订给爸妈的，他们说还行', 'star': 3}
{'descr': '离地铁很近 很安静 就是热水设施不太好。总体来说不错', 'star': 5}
{'descr': '还行~~就是隔音效果不好。虽然稍微有点偏僻，但是总体还是不错的，是一家不错的酒店', 'star': 5}
{'descr': '适合情侣，不适合商旅，没看错的话应该是1号前台接待的帅哥服务态度非常好！', 'star': 3}
{'descr': '非常好呀 就是预定太难 天天爆满 值得一去 性价比非常高', 'star': 5}
{'descr': '酒店的服务态度非常好。。。地理位置也好找。。。但是就是刷不了卡。。。隔音一般', 'star': 5}
{'descr': '环境很好，有情调，特别适合情侣，不足的是房间隔音效果太差了，隔壁时不时传来噪音很郁闷啊，入住时间给我推迟了了一个下午，干等着人家退房，真是无语！', 'star': 5}
{'descr': '除了位置不太好找剩下都挺好的', 'star': 3}
{'descr': '只能现金，风格暧昧，空调噪音大，楼道隔音差，地铁公交方便', 'star': 3}
{'descr': '环境还不错，就是被子和毛巾不是新的,隔音效果有点不给力', 'star': 5}
{'descr': '红黑主提色系，挺好,浪漫,服务热情,干净,还会再去 ！！', 'star': 5}
{'descr': '感觉很好，适合情侣，就是不能刷卡。。。。。。', 'star': 5}
{'descr': '除了房间少点，不好预订之外。。。我已经挑剔不出什么了。。。尤其是环境。。。装修。。。真的非常好。。。希望以后不要有信用卡担保。。。', 'star': 5}
{'descr': '房间内的床铺较小，能够点餐送餐服务，房内间的装饰别致，适合情侣入住。', 'star': 5}
{'descr': '除不隔音外都还好', 'star': 3}
{'descr': '没住到圆床房很遗憾，其它方面都挺好的，办了会员卡，下次还会住', 'star': 5}
{'descr': '酒店位于一个安逸美好的小区，出门百米就是地铁站。交通很便利。值得一提的是，酒店的工作人员很热情友好，房间设置的也很有味道。尤其喜欢房间里的那个高高的小方桌。房间很干净，环境很好。极力推荐。', 'star': 5}
{'descr': '位置不太好找 环境不错 装修风格也很温馨\n就是等的时间太长，说是展会有客人不退房，等到4点多才入住。\n可以看DVD不错哦\n以后会去', 'star': 5}
{'descr': '房间挺温馨的，尤其是浪漫方和主题房，大圆床挺浪漫的，性价比挺好的。', 'star': 5}
{'descr': '床有点小，不适合我这样的高人。情调比较适合年轻人短住。', 'star': 5}
{'descr': '很有特色的酒店，交通也方便，下次还会考虑住那里，服务也不错', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '很好很浪漫， 要的不靠马路的屋子，也挺安静的。床上还有玩具玫瑰花，床边是红色纱帘。', 'star': 5}
{'descr': '很适合情侣 交通还方便 附近还有电影院 周围也很安静', 'star': 5}
{'descr': '非常好，很温馨浪漫~ 房间也很干净，免费的影碟可以看，推荐啊！', 'star': 5}
{'descr': '房间真不赖，超级浪漫，住的吊床，环境可好了。屋顶上有一快圆形茶色玻璃，很漂亮。前台人员超级客气，还i可以借光盘看。很好，以后还回来。', 'star': 3}
{'descr': '总的来说不错！！！性价比比较高！！！！！推荐！！！', 'star': 5}
{'descr': '还可以哦，红房子，。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '   红色基调，很浪漫，屋内设施和布置都很适合情侣。称赞一下，支持！！', 'star': 5}
{'descr': '挺有特色的酒店，交通方便，就是水太小，希望能改进', 'star': 5}
{'descr': '优点：\n1.主题酒店，有特色，装修漂亮，值得一住，更值得推广\n2.交通便利，临近三环“太阳宫”站及城铁“光熙门站”\n3.服务很好，设施较齐备，可以借DVD，浴室有吹风机\n缺点：\n1.周围缺少大型超市，新辣道、爆肚宛等均要步行15分钟到达\n2.色彩浪漫大床房的床宽应该没有1.8米，希望店员能用尺子量下\n3.浴室地面遇水后极滑，希望能再加块防滑垫\n', 'star': 5}
{'descr': '店员很热情，第一次住情侣酒店，感觉挺不错的，大圆床很喜欢，关键离地铁很近，就是水小了点', 'star': 5}
{'descr': '服务态度很好，但房间设施欠佳，凳子都没有，洗漱用水没有压力，而且水很小，希望能改善这些', 'star': 5}
{'descr': '酒店很一般，就是和开会的地点很近。不好的就是不能刷卡。', 'star': 1}
{'descr': '交通很方便，光熙门地铁旁，环境也还好，就是隔音有些差，也能理解啦！', 'star': 5}
{'descr': '非常适合情侣的酒店，交通也方便，距离地铁很近', 'star': 3}
{'descr': '     酒店免费借电影碟。。有很多。不错！', 'star': 3}
{'descr': '价格在对于我们这边就是3星的价格了，但是对于北京来说还算不贵。酒店的装潢不错，也很干净，服务也蛮好的，就是入住那天没有房间等了两个小时（之前是预定了的），退房那天超了几分钟就加收了半天的房费（有点郁闷），还有就是没早餐', 'star': 5}
{'descr': '服务相当地周到。装修有特色，地理位置也方便。只是一般订不到房，呵', 'star': 5}
{'descr': '位置还行，离地铁站不远，周围也有小餐馆和小卖店，服务态度很好，基本上你需要的都会帮你考虑。不足的主要就是隔音太差，周围情侣开房的声音都听得一清二楚。还有屋里的灯都是黄色的，很暗。晚上要想看书写字不太方便。', 'star': 5}
{'descr': '酒店的服务不错，服务人员都彬彬有礼的，房间的装饰蛮有浪漫情调的，能免费借阅影碟和杂志，总之很赞！', 'star': 5}
{'descr': ' 环境很好,屋里颜色很漂亮很温馨,就是屋里有点冷.', 'star': 3}
{'descr': '创意不错,但没订到圆床房,环境一般。', 'star': 3}
{'descr': '客房各不相同，所以每次入住都会有新感觉。', 'star': 5}
{'descr': '可以说是北京最好的快捷主题酒店了。没有什么不足之处', 'star': 3}
{'descr': '前台的服务人员态度特别好~酒店风格很有特点。', 'star': 5}
{'descr': '环境漂亮,服务很好,隔音差,效率不高.总体不错.', 'star': 3}
{'descr': '1. 水温不够热\n2。 空调制热功能非常一般\n3。 可提供的屋内用品极少，只有一些吃的。\n\n好的地方：\n1。服务热情，专业\n2。卫生很好。\n3。免费光盘不错~', 'star': 1}
{'descr': '有特色。适合年轻人住。尤其是情侣。就是连锁店少了。。。。。', 'star': 5}
{'descr': '有点像一居室的公寓，很有浪漫情调，适合二人时间！就是被子有些旧了。希望店家改进', 'star': 5}
{'descr': '酒店的感觉很不错，就是位置有点偏远。工作人员也很热情，总体来说很不错…', 'star': 3}
{'descr': '不错的小酒店，很适合情侣，服务也很周到，值得推荐。', 'star': 5}
{'descr': '酒店特色一般,地理位置不太好找,周围就是居民区', 'star': 1}
{'descr': '卫生间确实反味，把门关上就好多了。色彩浪漫房圆床的感觉屋子有点小。\n不过床很不错。以后还会去的。推荐', 'star': 5}
{'descr': '还可以，但249的房间也很小，不知道199的如何，可能性价比更高吧，算了，还是续住了一天，懒得折腾了', 'star': 5}
{'descr': '热水温度不是很好，水量有限。毛巾很久了，希望更换', 'star': 5}
{'descr': '还不错，最大的问题就是淋浴的水量太小了，而且不热', 'star': 1}
{'descr': '环境虽说有特色，但地方难找，服务很差，我都到店里房间还没打扫，等了1个多小时，无语！', 'star': 1}
{'descr': '房间不错，服务态度也挺好', 'star': 3}
{'descr': '环境各方面没什么说的，希望店里在将房间预订出去的时候及早通知客户，刚住上准备续订的时候说不好意思已经被别人定了是比较容易让人心里出现落差的！', 'star': 5}
{'descr': '酒店位置很便利，房间布局也很好，很浪漫的…', 'star': 3}
{'descr': '前台很热情，就是房间不是很热，总的来说很满意，走的时候办了会员卡，非常不错的一间酒店。', 'star': 3}
{'descr': '酒店吊床房很漂亮，就是卫生间没有门会冷。', 'star': 5}
{'descr': '感觉非常好！！设施、格局都很温馨，很浪漫！', 'star': 5}
{'descr': '酒店很有特色，就是网速很差，只能去前厅上....还有就是房间也不暖和..空调开到30度，但就是不发挥30的热', 'star': 5}
{'descr': '服务态度很热情，其他的不敢恭维，隔音效果很差。', 'star': 1}
{'descr': '很有创意，适合情侣，希望价格再稍加调整，标准间低于150,会更有市场', 'star': 5}
{'descr': '前台服务态度好，房间设计好。就是晚上有点冷感觉', 'star': 5}
{'descr': '装修不错，氛围不错，价格不错，就是碟片可以归一下类就好了～～～～～', 'star': 5}
{'descr': '不错  离地铁近  很有调调，酒店服务态度很不错，', 'star': 5}
{'descr': '很不错，适合年轻人的酒店，但是房间少点旧点，位置也不算太好找', 'star': 5}
{'descr': '前台态度很好，我来的时候正是元旦后，天冷得很，房间暖气不够，网速很快，如果不是冷天，这里还是好住，店家多增加暖气片也会好一点。', 'star': 5}
{'descr': '地方很偏，不太好找。宽带完全不能用。哎，下回肯定不会选的。', 'star': 1}
{'descr': '光临很多次了，老客户了！很喜欢这家宾馆，很有特色，还会再光临的', 'star': 5}
{'descr': '很舒适，服务业不错。。。很有特色的宾馆，以后还会光临的。。。。', 'star': 5}
{'descr': '我们这次住的是铁艺主题房。很好很强大！ \n很稀饭哦。，。下次的下次的下次还来~~\n开心开心呢~~\n', 'star': 5}
{'descr': '很好很满意.特别有情调.店员超级热情.下次还会去.', 'star': 3}
{'descr': '后半夜洗澡，水真凉啊。。。。。。\n其他方面都不错 \n服务员收拾房间的时候你从楼道经过都会和你打招呼\n前台非常有礼貌 ', 'star': 5}
{'descr': '酒店的格调还算浪漫，但就是桌子之类的设施太简陋了', 'star': 5}
{'descr': '这个酒店 真不错 。。。。 给人感觉很温馨，地理位置还很好，服务很棒，下次还会去', 'star': 5}
